time,Utah,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. D. Favors (R. Rubio gains possession),,,,Jump ball: M. Plumlee vs. D. Favors (R. Rubio gains possession)
11:44.0,J. Ingles misses 3-pt shot from 23 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by J. Murray
11:27.0,,,0-0,,Turnover by W. Chandler (bad pass; steal by R. Rubio)
11:12.0,D. Favors makes 2-pt shot from 8 ft (assist by J. Ingles),2,2-0,,
10:45.0,,,2-2,2,J. Murray makes 2-pt shot from 14 ft
10:25.0,R. Rubio makes 3-pt shot from 25 ft (assist by T. Sefolosha),3,5-2,,
10:04.0,,,5-4,2,N. Jokic makes 2-pt shot from 4 ft (assist by M. Plumlee)
9:51.0,D. Mitchell misses 2-pt shot from 12 ft,,5-4,,
9:48.0,,,5-4,,Defensive rebound by N. Jokic
9:44.0,,,5-6,2,J. Murray makes 2-pt shot from 1 ft
9:44.0,,,5-6,,Shooting foul by R. Rubio (drawn by J. Murray)
9:44.0,,,5-7,1,J. Murray makes free throw 1 of 1
9:29.0,R. Rubio makes 3-pt shot from 25 ft (assist by J. Ingles),3,8-7,,
9:15.0,,,8-7,,W. Chandler misses 3-pt shot from 24 ft
9:13.0,Defensive rebound by D. Mitchell,,8-7,,
9:09.0,Turnover by D. Mitchell (lost ball; steal by G. Harris),,8-7,,
9:03.0,,,8-9,2,G. Harris makes 2-pt shot from 12 ft
8:37.0,R. Rubio makes 2-pt shot from 21 ft,2,10-9,,
8:16.0,,,10-12,3,J. Murray makes 3-pt shot from 25 ft (assist by G. Harris)
7:54.0,T. Sefolosha misses 2-pt shot from 4 ft (block by M. Plumlee),,10-12,,
7:52.0,Offensive rebound by T. Sefolosha,,10-12,,
7:52.0,T. Sefolosha misses 2-pt shot from 1 ft,,10-12,,
7:52.0,Offensive rebound by D. Favors,,10-12,,
7:52.0,D. Favors misses 2-pt shot at rim,,10-12,,
7:51.0,,,10-12,,Defensive rebound by Team
7:39.0,,,10-12,,W. Chandler misses 2-pt shot from 3 ft
7:37.0,Defensive rebound by D. Favors,,10-12,,
7:32.0,R. Rubio misses 3-pt shot from 24 ft,,10-12,,
7:29.0,,,10-12,,Defensive rebound by Team
7:17.0,,,10-12,,J. Murray misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by D. Mitchell,,10-12,,
7:14.0,R. Hood enters the game for R. Rubio,,10-12,,
6:56.0,D. Mitchell makes 3-pt shot from 26 ft,3,13-12,,
6:41.0,,,13-14,2,M. Plumlee makes 2-pt shot from 2 ft (assist by N. Jokic)
6:23.0,Turnover by R. Hood (lost ball; steal by G. Harris),,13-14,,
6:15.0,,,13-14,,Turnover by N. Jokic (bad pass; steal by J. Ingles)
6:09.0,T. Sefolosha misses 2-pt shot from 21 ft,,13-14,,
6:05.0,,,13-14,,Defensive rebound by M. Plumlee
5:59.0,,,13-14,,Turnover by G. Harris (bad pass; steal by T. Sefolosha)
5:56.0,,,13-14,,Personal foul by N. Jokic (drawn by T. Sefolosha)
5:56.0,,,13-14,,Denver full timeout
5:56.0,J. Johnson enters the game for T. Sefolosha,,13-14,,
5:44.0,Turnover by J. Ingles (bad pass; steal by N. Jokic),,13-14,,
5:40.0,,,13-14,,Turnover by J. Murray (bad pass; steal by R. Hood)
5:31.0,J. Ingles makes 2-pt shot from 2 ft,2,15-14,,
5:16.0,,,15-14,,G. Harris misses 3-pt shot from 24 ft
5:15.0,Defensive rebound by Team,,15-14,,
5:15.0,,,15-14,,T. Craig enters the game for W. Chandler
5:15.0,,,15-14,,T. Lyles enters the game for M. Plumlee
5:01.0,Turnover by R. Hood (bad pass; steal by T. Lyles),,15-14,,
4:57.0,,,15-14,,Shooting foul by D. Mitchell (drawn by T. Craig)
4:57.0,,,15-14,,T. Craig misses free throw 1 of 2
4:57.0,,,15-14,,Offensive rebound by Team
4:57.0,,,15-14,,W. Barton enters the game for J. Murray
4:57.0,,,15-14,,T. Craig misses free throw 2 of 2
4:54.0,Defensive rebound by J. Johnson,,15-14,,
4:33.0,Turnover by J. Johnson (turnover),,15-14,,
4:21.0,,,15-14,,T. Craig misses 3-pt shot from 22 ft
4:18.0,Defensive rebound by R. Hood,,15-14,,
4:11.0,R. Hood makes 2-pt shot from 2 ft,2,17-14,,
3:59.0,Def 3 sec tech foul by R. Hood,,17-14,,
3:59.0,,,17-14,,G. Harris misses technical free throw
3:59.0,,,17-14,,Offensive rebound by Team
3:59.0,A. Burks enters the game for J. Ingles,,17-14,,
3:54.0,,,17-17,3,G. Harris makes 3-pt shot from 24 ft (assist by N. Jokic)
3:41.0,D. Mitchell makes 2-pt shot from 3 ft (assist by A. Burks),2,19-17,,
3:41.0,Shooting foul by W. Barton (drawn by D. Mitchell),,19-17,,
3:41.0,D. Mitchell misses free throw 1 of 1,,19-17,,
3:41.0,,,19-17,,Defensive rebound by Team
3:29.0,,,19-17,,G. Harris misses 2-pt shot from 3 ft
3:27.0,Defensive rebound by J. Johnson,,19-17,,
3:11.0,A. Burks misses 3-pt shot from 24 ft,,19-17,,
3:08.0,,,19-17,,Defensive rebound by T. Lyles
3:00.0,,,19-17,,W. Barton misses 3-pt shot from 24 ft
2:57.0,Defensive rebound by D. Favors,,19-17,,
2:49.0,D. Favors makes 2-pt shot from 1 ft (assist by J. Johnson),2,21-17,,
2:49.0,,,21-17,,Denver full timeout
2:49.0,,,21-17,,M. Beasley enters the game for G. Harris
2:49.0,,,21-17,,W. Chandler enters the game for N. Jokic
2:49.0,E. Udoh enters the game for D. Favors,,21-17,,
2:49.0,R. Rubio enters the game for D. Mitchell,,21-17,,
2:35.0,,,21-19,2,W. Barton makes 2-pt shot from 3 ft (assist by T. Lyles)
2:19.0,J. Johnson misses 3-pt shot from 24 ft,,21-19,,
2:17.0,,,21-19,,Defensive rebound by T. Lyles
2:11.0,,,21-19,,W. Barton misses 3-pt shot from 24 ft
2:07.0,Defensive rebound by R. Hood,,21-19,,
1:50.0,R. Hood makes 2-pt shot from 4 ft,2,23-19,,
1:31.0,,,23-19,,W. Chandler misses 2-pt shot from 1 ft
1:28.0,Defensive rebound by J. Johnson,,23-19,,
1:24.0,A. Burks misses 3-pt shot from 22 ft,,23-19,,
1:20.0,,,23-19,,Defensive rebound by T. Lyles
1:10.0,Personal foul by R. Rubio (drawn by T. Lyles),,23-19,,
1:00.0,,,23-21,2,W. Barton makes 2-pt shot from 6 ft
0:48.0,Turnover by R. Hood (bad pass; steal by M. Beasley),,23-21,,
0:48.0,,,23-23,2,M. Beasley makes 2-pt shot from 2 ft
0:30.0,A. Burks misses 2-pt shot from 4 ft,,23-23,,
0:28.0,Offensive rebound by E. Udoh,,23-23,,
0:27.0,R. Hood makes 3-pt shot from 25 ft (assist by E. Udoh),3,26-23,,
0:03.0,,,26-23,,T. Lyles misses 2-pt shot at rim
0:01.0,Defensive rebound by R. Rubio,,26-23,,
0:00.0,R. Rubio misses 3-pt shot from 37 ft,,26-23,,
0:00.0,Offensive rebound by Team,,26-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,26-26,3,T. Lyles makes 3-pt shot from 24 ft (assist by W. Barton)
11:36.0,R. Hood misses 3-pt shot from 24 ft,,26-26,,
11:34.0,,,26-26,,Defensive rebound by W. Chandler
11:25.0,,,26-26,,Shooting foul by E. Udoh (drawn by T. Lyles)
11:25.0,,,26-27,1,T. Lyles makes free throw 1 of 2
11:25.0,,,26-28,1,T. Lyles makes free throw 2 of 2
11:14.0,J. Johnson makes 2-pt shot from 13 ft (assist by R. Rubio),2,28-28,,
10:58.0,,,28-30,2,W. Barton makes 2-pt shot from 2 ft
10:34.0,A. Burks misses 3-pt shot from 22 ft,,28-30,,
10:32.0,,,28-30,,Defensive rebound by M. Beasley
10:22.0,,,28-33,3,T. Lyles makes 3-pt shot from 25 ft (assist by W. Barton)
10:20.0,Utah full timeout,,28-33,,
10:20.0,T. Sefolosha enters the game for E. Udoh,,28-33,,
10:20.0,D. Mitchell enters the game for R. Rubio,,28-33,,
10:02.0,Turnover by A. Burks (bad pass; steal by M. Beasley),,28-33,,
9:47.0,,,28-33,,W. Barton misses 2-pt shot from 4 ft
9:44.0,Defensive rebound by A. Burks,,28-33,,
9:36.0,Shooting foul by M. Beasley (drawn by T. Sefolosha),,28-33,,
9:36.0,T. Sefolosha misses free throw 1 of 2,,28-33,,
9:36.0,Offensive rebound by Team,,28-33,,
9:36.0,T. Sefolosha makes free throw 2 of 2,1,29-33,,
9:22.0,,,29-33,,M. Beasley misses 3-pt shot from 24 ft
9:19.0,Defensive rebound by J. Johnson,,29-33,,
9:04.0,D. Mitchell misses 2-pt shot from 5 ft,,29-33,,
