time,Denver,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. N. Jokic (L. Ball gains possession),,,,Jump ball: B. Lopez vs. N. Jokic (L. Ball gains possession)
11:43.0,,,0-0,,J. Randle misses 2-pt shot from 8 ft
11:40.0,Defensive rebound by N. Jokic,,0-0,,
11:27.0,G. Harris makes 2-pt shot from 14 ft (assist by P. Millsap),2,2-0,,
11:16.0,,,2-0,,K. Caldwell-Pope misses 3-pt shot from 25 ft
11:12.0,,,2-0,,Offensive rebound by B. Lopez
11:08.0,,,2-2,2,J. Randle makes 2-pt shot from 11 ft
10:51.0,P. Millsap misses 3-pt shot from 24 ft,,2-2,,
10:47.0,,,2-2,,Defensive rebound by K. Kuzma
10:40.0,,,2-2,,K. Kuzma misses 3-pt shot from 23 ft
10:36.0,Defensive rebound by P. Millsap,,2-2,,
10:29.0,W. Chandler misses 3-pt shot from 22 ft,,2-2,,
10:28.0,Offensive rebound by Team,,2-2,,
10:28.0,,,2-2,,Loose ball foul by J. Randle (drawn by N. Jokic)
10:20.0,G. Harris misses 2-pt shot from 2 ft,,2-2,,
10:18.0,,,2-2,,Defensive rebound by K. Kuzma
10:12.0,,,2-2,,L. Ball misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by G. Harris,,2-2,,
10:05.0,,,2-2,,Violation by K. Caldwell-Pope (kicked ball)
9:57.0,P. Millsap makes 2-pt shot from 6 ft (assist by J. Murray),2,4-2,,
9:38.0,,,4-5,3,B. Lopez makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
9:15.0,Turnover by J. Murray (bad pass; steal by L. Ball),,4-5,,
9:06.0,,,4-5,,K. Kuzma misses 2-pt shot from 2 ft
9:02.0,,,4-5,,Offensive rebound by J. Randle
9:02.0,,,4-7,2,J. Randle makes 2-pt shot at rim
8:51.0,P. Millsap misses 2-pt shot from 2 ft,,4-7,,
8:49.0,,,4-7,,Defensive rebound by L. Ball
8:44.0,,,4-7,,J. Randle misses 2-pt shot from 3 ft
8:42.0,Defensive rebound by N. Jokic,,4-7,,
8:31.0,,,4-7,,Personal foul by K. Caldwell-Pope (drawn by N. Jokic)
8:22.0,G. Harris misses 2-pt shot from 2 ft,,4-7,,
8:20.0,Offensive rebound by N. Jokic,,4-7,,
8:20.0,,,4-7,,Personal foul by B. Lopez (drawn by N. Jokic)
8:09.0,J. Murray makes 3-pt shot from 25 ft (assist by N. Jokic),3,7-7,,
7:50.0,,,7-9,2,B. Lopez makes 2-pt shot from 8 ft
7:37.0,J. Murray misses 3-pt shot from 24 ft,,7-9,,
7:33.0,,,7-9,,Defensive rebound by L. Ball
7:30.0,,,7-9,,K. Kuzma misses 3-pt shot from 23 ft
7:27.0,Defensive rebound by N. Jokic,,7-9,,
7:21.0,J. Murray makes 3-pt shot from 24 ft (assist by W. Chandler),3,10-9,,
7:07.0,,,10-9,,Turnover by K. Kuzma (bad pass; steal by W. Chandler)
7:03.0,G. Harris misses 2-pt shot at rim (block by L. Ball),,10-9,,
7:00.0,,,10-9,,Defensive rebound by K. Caldwell-Pope
6:57.0,,,10-12,3,B. Lopez makes 3-pt shot from 27 ft (assist by K. Caldwell-Pope)
6:45.0,J. Murray makes 2-pt shot from 12 ft (assist by N. Jokic),2,12-12,,
6:33.0,Personal foul by N. Jokic (drawn by B. Lopez),,12-12,,
6:33.0,,,12-12,,LA Lakers full timeout
6:28.0,,,12-12,,K. Caldwell-Pope misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by P. Millsap,,12-12,,
6:10.0,N. Jokic makes 2-pt shot from 15 ft,2,14-12,,
5:56.0,,,14-12,,B. Lopez misses 2-pt shot from 17 ft
5:52.0,,,14-12,,Offensive rebound by J. Randle
5:47.0,,,14-14,2,J. Randle makes 2-pt shot from 3 ft
5:47.0,,,14-14,,Shooting foul by G. Harris (drawn by J. Randle)
5:47.0,W. Barton enters the game for W. Chandler,,14-14,,
5:47.0,,,14-15,1,J. Randle makes free throw 1 of 1
5:39.0,Offensive foul by N. Jokic (drawn by K. Caldwell-Pope),,14-15,,
5:39.0,Turnover by N. Jokic (offensive foul),,14-15,,
5:39.0,,,14-15,,I. Thomas enters the game for K. Kuzma
5:39.0,M. Plumlee enters the game for N. Jokic,,14-15,,
5:27.0,,,14-15,,L. Ball misses 2-pt shot from 19 ft
5:24.0,Defensive rebound by M. Plumlee,,14-15,,
5:17.0,W. Barton misses 2-pt shot from 7 ft,,14-15,,
5:14.0,,,14-15,,Defensive rebound by K. Caldwell-Pope
5:04.0,,,14-17,2,J. Randle makes 2-pt shot from 11 ft
4:51.0,G. Harris makes 2-pt shot from 8 ft (assist by M. Plumlee),2,16-17,,
4:40.0,,,16-19,2,J. Randle makes 2-pt shot from 3 ft (assist by L. Ball)
4:25.0,Turnover by P. Millsap (bad pass),,16-19,,
4:14.0,,,16-19,,J. Randle misses 2-pt shot from 3 ft
4:14.0,,,16-19,,Offensive rebound by Team
4:14.0,Loose ball foul by P. Millsap (drawn by J. Randle),,16-19,,
4:08.0,,,16-21,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by L. Ball)
4:07.0,Denver full timeout,,16-21,,
4:07.0,T. Lyles enters the game for P. Millsap,,16-21,,
3:50.0,Turnover by M. Plumlee (lost ball; steal by L. Ball),,16-21,,
3:46.0,,,16-24,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by L. Ball)
3:34.0,W. Barton makes 2-pt shot from 1 ft (assist by M. Plumlee),2,18-24,,
3:15.0,Personal foul by W. Barton (drawn by I. Thomas),,18-24,,
3:15.0,W. Chandler enters the game for G. Harris,,18-24,,
3:15.0,D. Harris enters the game for J. Murray,,18-24,,
3:02.0,,,18-24,,J. Randle misses 2-pt shot from 4 ft (block by M. Plumlee)
2:59.0,,,18-24,,Offensive rebound by I. Thomas
2:57.0,,,18-24,,I. Thomas misses 3-pt shot from 26 ft
2:57.0,,,18-24,,Offensive rebound by I. Thomas
2:57.0,Personal foul by W. Chandler (drawn by I. Thomas),,18-24,,
2:57.0,,,18-25,1,I. Thomas makes free throw 1 of 2
2:57.0,,,18-25,,A. Caruso enters the game for K. Caldwell-Pope
2:57.0,,,18-26,1,I. Thomas makes free throw 2 of 2
2:47.0,T. Lyles misses 3-pt shot from 25 ft,,18-26,,
2:44.0,,,18-26,,Defensive rebound by B. Lopez
2:36.0,,,18-29,3,B. Lopez makes 3-pt shot from 25 ft (assist by I. Thomas)
2:23.0,W. Barton misses 2-pt shot from 15 ft,,18-29,,
2:19.0,,,18-29,,Defensive rebound by J. Randle
2:17.0,,,18-29,,Turnover by J. Randle (bad pass)
2:17.0,,,18-29,,K. Kuzma enters the game for L. Ball
2:17.0,,,18-29,,T. Wear enters the game for J. Randle
2:01.0,,,18-29,,Personal foul by T. Wear (drawn by T. Lyles)
1:52.0,T. Lyles makes 2-pt shot from 6 ft,2,20-29,,
1:43.0,Violation by D. Harris (kicked ball),,20-29,,
1:31.0,,,20-29,,Turnover by T. Wear (lost ball; steal by D. Harris)
1:27.0,W. Barton misses 2-pt shot from 1 ft,,20-29,,
