time,Dallas,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Kleber (J. Green gains possession),,,,Jump ball: M. Gasol vs. M. Kleber (J. Green gains possession)
11:41.0,,,0-0,,M. Gasol misses 2-pt shot from 7 ft
11:38.0,Defensive rebound by D. Nowitzki,,0-0,,
11:21.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by W. Matthews),3,3-0,,
10:54.0,,,3-2,2,M. Gasol makes 2-pt shot from 20 ft (assist by C. Parsons)
10:40.0,D. Smith misses 2-pt shot from 10 ft,,3-2,,
10:37.0,,,3-2,,Defensive rebound by M. Gasol
10:29.0,,,3-5,3,D. Brooks makes 3-pt shot from 22 ft (assist by C. Parsons)
10:07.0,H. Barnes misses 2-pt shot from 13 ft,,3-5,,
10:03.0,,,3-5,,Defensive rebound by J. Green
9:53.0,,,3-7,2,D. Brooks makes 2-pt shot at rim (assist by M. Chalmers)
9:38.0,D. Smith misses 3-pt shot from 26 ft,,3-7,,
9:35.0,,,3-7,,Defensive rebound by J. Green
9:20.0,,,3-7,,M. Chalmers misses 2-pt shot from 1 ft
9:18.0,Defensive rebound by M. Kleber,,3-7,,
9:11.0,W. Matthews misses 2-pt shot from 10 ft,,3-7,,
9:08.0,,,3-7,,Defensive rebound by M. Gasol
8:55.0,,,3-7,,M. Gasol misses 2-pt shot from 10 ft
8:52.0,Defensive rebound by D. Nowitzki,,3-7,,
8:48.0,M. Kleber makes 2-pt shot at rim (assist by D. Smith),2,5-7,,
8:24.0,,,5-9,2,D. Brooks makes 2-pt shot from 22 ft (assist by M. Gasol)
8:03.0,H. Barnes misses 2-pt shot from 9 ft,,5-9,,
8:00.0,,,5-9,,Defensive rebound by M. Gasol
7:58.0,,,5-9,,D. Brooks misses 2-pt shot from 1 ft
7:56.0,,,5-9,,Offensive rebound by J. Green
7:56.0,,,5-11,2,J. Green makes 2-pt shot at rim
7:41.0,H. Barnes misses 3-pt shot from 25 ft,,5-11,,
7:38.0,,,5-11,,Defensive rebound by J. Green
7:27.0,,,5-11,,M. Gasol misses 2-pt shot from 3 ft
7:24.0,Defensive rebound by H. Barnes,,5-11,,
7:17.0,D. Smith makes 2-pt shot from 1 ft (assist by H. Barnes),2,7-11,,
7:01.0,,,7-13,2,C. Parsons makes 2-pt shot from 14 ft (assist by M. Gasol)
6:38.0,D. Smith misses 2-pt shot from 17 ft,,7-13,,
6:36.0,,,7-13,,Defensive rebound by M. Gasol
6:27.0,,,7-13,,C. Parsons misses 3-pt shot from 25 ft
6:24.0,Defensive rebound by H. Barnes,,7-13,,
6:21.0,Dallas full timeout,,7-13,,
6:21.0,,,7-13,,J. Martin enters the game for C. Parsons
6:21.0,,,7-13,,T. Evans enters the game for J. Green
6:21.0,J. Barea enters the game for M. Kleber,,7-13,,
6:21.0,S. Mejri enters the game for D. Nowitzki,,7-13,,
6:21.0,Y. Ferrell enters the game for D. Smith,,7-13,,
6:08.0,H. Barnes misses 2-pt shot from 2 ft,,7-13,,
6:08.0,Offensive rebound by Team,,7-13,,
6:06.0,W. Matthews makes 2-pt shot from 1 ft (assist by J. Barea),2,9-13,,
5:47.0,,,9-13,,M. Chalmers misses 3-pt shot from 22 ft
5:41.0,,,9-13,,Offensive rebound by J. Martin
5:41.0,,,9-13,,J. Martin misses 2-pt shot at rim
5:41.0,Defensive rebound by S. Mejri,,9-13,,
5:31.0,H. Barnes misses 2-pt shot from 1 ft (block by M. Gasol),,9-13,,
5:31.0,,,9-13,,Defensive rebound by Team
5:31.0,,,9-13,,D. Davis enters the game for M. Gasol
5:14.0,,,9-13,,M. Chalmers misses 3-pt shot from 22 ft
5:10.0,Defensive rebound by S. Mejri,,9-13,,
4:57.0,Turnover by W. Matthews (bad pass; steal by J. Martin),,9-13,,
4:49.0,,,9-15,2,D. Davis makes 2-pt shot at rim (assist by D. Brooks)
4:24.0,J. Barea misses 3-pt shot from 26 ft,,9-15,,
4:22.0,,,9-15,,Defensive rebound by Team
4:13.0,,,9-17,2,D. Davis makes 2-pt shot at rim (assist by M. Chalmers)
3:54.0,Shooting foul by J. Martin (drawn by Y. Ferrell),,9-17,,
3:54.0,Y. Ferrell makes free throw 1 of 2,1,10-17,,
3:54.0,D. Powell enters the game for H. Barnes,,10-17,,
3:54.0,Y. Ferrell misses free throw 2 of 2,,10-17,,
3:52.0,,,10-17,,Defensive rebound by D. Davis
3:47.0,,,10-17,,J. Martin misses 3-pt shot from 24 ft
3:43.0,Defensive rebound by S. Mejri,,10-17,,
3:37.0,W. Matthews misses 2-pt shot from 8 ft,,10-17,,
3:34.0,,,10-17,,Defensive rebound by T. Evans
3:30.0,,,10-19,2,D. Davis makes 2-pt shot from 1 ft (assist by T. Evans)
3:19.0,,,10-19,,Personal foul by J. Martin (drawn by W. Matthews)
3:19.0,,,10-19,,B. McLemore enters the game for D. Brooks
3:06.0,D. Harris enters the game for W. Matthews,,10-19,,
3:06.0,D. Nowitzki enters the game for S. Mejri,,10-19,,
3:03.0,Y. Ferrell misses 3-pt shot from 27 ft,,10-19,,
3:00.0,,,10-19,,Defensive rebound by J. Martin
2:48.0,,,10-19,,T. Evans misses 2-pt shot at rim
2:44.0,Defensive rebound by D. Nowitzki,,10-19,,
2:33.0,Turnover by D. Nowitzki (out of bounds lost ball),,10-19,,
2:33.0,,,10-19,,Memphis full timeout
2:22.0,,,10-21,2,J. Martin makes 2-pt shot from 9 ft (assist by T. Evans)
2:09.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by J. Barea),2,12-21,,
1:49.0,,,12-21,,D. Davis misses 2-pt shot from 11 ft
1:45.0,Defensive rebound by Y. Ferrell,,12-21,,
1:43.0,Y. Ferrell misses 2-pt shot at rim,,12-21,,
1:40.0,,,12-21,,Defensive rebound by D. Davis
1:33.0,,,12-21,,M. Chalmers misses 2-pt shot from 15 ft
1:31.0,Defensive rebound by J. Barea,,12-21,,
1:18.0,D. Nowitzki misses 2-pt shot from 13 ft,,12-21,,
1:10.0,,,12-21,,Defensive rebound by B. McLemore
1:05.0,,,12-23,2,B. McLemore makes 2-pt shot from 1 ft
0:53.0,J. Barea misses 2-pt shot from 9 ft,,12-23,,
0:48.0,,,12-23,,Defensive rebound by B. McLemore
0:46.0,Personal foul by J. Barea (drawn by B. McLemore),,12-23,,
0:46.0,,,12-23,,M. Gasol enters the game for J. Martin
0:46.0,,,12-23,,J. Ennis enters the game for M. Chalmers
0:39.0,,,12-25,2,D. Davis makes 2-pt shot from 1 ft (assist by T. Evans)
0:30.0,D. Harris misses 3-pt shot from 26 ft,,12-25,,
0:27.0,,,12-25,,Defensive rebound by D. Davis
0:17.0,,,12-27,2,D. Davis makes 2-pt shot from 1 ft (assist by T. Evans)
0:06.0,,,12-27,,Personal foul by M. Gasol (drawn by D. Nowitzki)
0:06.0,,,12-27,,J. Green enters the game for D. Davis
0:06.0,,,12-27,,J. Martin enters the game for B. McLemore
0:02.0,D. Harris misses 2-pt shot from 13 ft,,12-27,,
0:02.0,,,12-27,,Defensive rebound by M. Gasol
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Shooting foul by T. Evans (drawn by D. Powell),,12-27,,
11:47.0,D. Powell makes free throw 1 of 2,1,13-27,,
11:47.0,D. Powell makes free throw 2 of 2,1,14-27,,
11:34.0,,,14-27,,B. McLemore misses 3-pt shot from 22 ft
11:31.0,,,14-27,,Offensive rebound by T. Evans
