time,Oklahoma City,pts.away,score,pts.home,Atlanta
6:03.0,,,103-98,,Defensive rebound by J. Collins
6:00.0,,,103-98,,I. Taylor misses 2-pt shot from 1 ft (block by P. Patterson)
6:00.0,,,103-98,,Offensive rebound by J. Collins
5:52.0,,,103-100,2,I. Taylor makes 2-pt shot from 1 ft (assist by J. Collins)
5:36.0,R. Felton misses 3-pt shot from 22 ft,,103-100,,
5:32.0,,,103-100,,Defensive rebound by D. Dedmon
5:18.0,,,103-103,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Dedmon)
5:15.0,Oklahoma City full timeout,,103-103,,
5:15.0,C. Brewer enters the game for A. Abrines,,103-103,,
5:15.0,C. Anthony enters the game for P. Patterson,,103-103,,
5:03.0,R. Westbrook makes 2-pt shot from 16 ft,2,105-103,,
4:42.0,,,105-103,,Turnover by D. Lee (lost ball; steal by R. Westbrook)
4:34.0,J. Grant makes 3-pt shot from 23 ft (assist by R. Westbrook),3,108-103,,
4:20.0,,,108-103,,I. Taylor misses 2-pt shot from 9 ft
4:19.0,,,108-103,,Offensive rebound by I. Taylor
4:16.0,,,108-103,,I. Taylor misses 2-pt shot from 2 ft
4:16.0,Defensive rebound by J. Grant,,108-103,,
4:02.0,Shooting foul by I. Taylor (drawn by R. Westbrook),,108-103,,
4:02.0,R. Westbrook makes free throw 1 of 2,1,109-103,,
4:02.0,,,109-103,,D. Schroder enters the game for I. Taylor
4:02.0,R. Westbrook makes free throw 2 of 2,1,110-103,,
3:48.0,,,110-103,,Turnover by T. Waller-Prince (bad pass; steal by J. Grant)
3:36.0,J. Grant makes 2-pt shot at rim (assist by R. Westbrook),2,112-103,,
3:36.0,Shooting foul by J. Collins (drawn by J. Grant),,112-103,,
3:36.0,J. Grant makes free throw 1 of 1,1,113-103,,
3:23.0,,,113-103,,T. Waller-Prince misses 3-pt shot from 25 ft (block by C. Brewer)
3:18.0,Defensive rebound by R. Felton,,113-103,,
3:15.0,Shooting foul by J. Collins (drawn by R. Westbrook),,113-103,,
3:15.0,,,113-103,,M. Muscala enters the game for D. Lee
3:15.0,,,113-103,,I. Taylor enters the game for J. Collins
3:15.0,R. Westbrook makes free throw 1 of 2,1,114-103,,
3:15.0,R. Westbrook misses free throw 2 of 2,,114-103,,
3:12.0,,,114-103,,Defensive rebound by D. Dedmon
3:04.0,,,114-103,,D. Schroder misses 2-pt shot from 15 ft
2:59.0,Defensive rebound by R. Felton,,114-103,,
2:52.0,Shooting foul by M. Muscala (drawn by R. Westbrook),,114-103,,
2:52.0,R. Westbrook makes free throw 1 of 2,1,115-103,,
2:52.0,R. Westbrook makes free throw 2 of 2,1,116-103,,
2:43.0,,,116-103,,T. Waller-Prince misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by R. Westbrook,,116-103,,
2:38.0,Turnover by R. Westbrook (lost ball; steal by D. Dedmon),,116-103,,
2:38.0,,,116-103,,Turnover by D. Dedmon (turnover)
2:25.0,C. Anthony misses 3-pt shot from 25 ft,,116-103,,
2:20.0,,,116-103,,Defensive rebound by D. Dedmon
2:03.0,,,116-103,,Offensive foul by I. Taylor (drawn by J. Grant)
2:03.0,,,116-103,,Turnover by I. Taylor (offensive foul)
2:03.0,,,116-103,,D. Lee enters the game for T. Waller-Prince
2:03.0,,,116-103,,T. Dorsey enters the game for D. Schroder
2:03.0,,,116-103,,A. White enters the game for I. Taylor
1:45.0,J. Grant misses 2-pt shot from 3 ft (block by M. Muscala),,116-103,,
1:40.0,Offensive rebound by R. Westbrook,,116-103,,
1:38.0,C. Brewer misses 3-pt shot from 24 ft,,116-103,,
1:34.0,Offensive rebound by R. Westbrook,,116-103,,
1:32.0,C. Brewer misses 2-pt shot from 2 ft (block by M. Muscala),,116-103,,
1:28.0,,,116-103,,Defensive rebound by D. Dedmon
1:15.0,,,116-103,,Turnover by T. Dorsey (bad pass)
0:53.0,C. Anthony makes 3-pt shot from 25 ft (assist by R. Felton),3,119-103,,
0:52.0,Personal take foul by R. Westbrook (drawn by D. Lee),,119-103,,
0:52.0,T. Ferguson enters the game for R. Westbrook,,119-103,,
0:52.0,A. Abrines enters the game for R. Felton,,119-103,,
0:52.0,P. Patterson enters the game for C. Anthony,,119-103,,
0:52.0,D. Hamilton enters the game for J. Grant,,119-103,,
0:40.0,,,119-103,,D. Lee misses 3-pt shot from 25 ft
0:35.0,,,119-103,,Offensive rebound by M. Muscala
0:33.0,,,119-105,2,D. Lee makes 2-pt shot from 1 ft (assist by M. Muscala)
0:10.0,A. Abrines misses 2-pt shot from 20 ft,,119-105,,
0:07.0,,,119-105,,Defensive rebound by D. Lee
0:02.0,,,119-107,2,T. Dorsey makes 2-pt shot from 21 ft
