time,Memphis,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. M. Gasol (B. McLemore gains possession),,,,Jump ball: K. Porzingis vs. M. Gasol (B. McLemore gains possession)
11:43.0,J. Green misses 3-pt shot from 24 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by L. Thomas
11:29.0,,,0-2,2,K. Porzingis makes 2-pt shot from 17 ft (assist by J. Jack)
11:10.0,Shooting foul by C. Lee (drawn by T. Evans),,0-2,,
11:10.0,T. Evans makes free throw 1 of 2,1,1-2,,
11:10.0,T. Evans makes free throw 2 of 2,1,2-2,,
10:57.0,,,2-2,,K. Porzingis misses 2-pt shot from 20 ft
10:56.0,,,2-2,,Offensive rebound by E. Kanter
10:56.0,,,2-2,,Shooting foul by B. McLemore (drawn by E. Kanter)
10:56.0,,,2-3,1,E. Kanter makes free throw 1 of 2
10:56.0,,,2-4,1,E. Kanter makes free throw 2 of 2
10:42.0,T. Evans misses 2-pt shot at rim,,2-4,,
10:40.0,,,2-4,,Defensive rebound by L. Thomas
10:30.0,,,2-4,,K. Porzingis misses 2-pt shot from 13 ft
10:27.0,Defensive rebound by D. Brooks,,2-4,,
10:20.0,M. Gasol misses 2-pt shot from 11 ft,,2-4,,
10:17.0,,,2-4,,Defensive rebound by J. Jack
10:06.0,,,2-4,,Turnover by J. Jack (bad pass)
10:06.0,,,2-4,,Violation by L. Thomas (kicked ball)
9:42.0,B. McLemore misses 2-pt shot from 3 ft,,2-4,,
9:41.0,Offensive rebound by J. Green,,2-4,,
9:38.0,J. Green misses 2-pt shot from 2 ft,,2-4,,
9:38.0,,,2-4,,Defensive rebound by E. Kanter
9:31.0,Violation by M. Gasol (kicked ball),,2-4,,
9:23.0,,,2-6,2,K. Porzingis makes 2-pt shot at rim (assist by J. Jack)
9:15.0,T. Evans makes 3-pt shot from 24 ft,3,5-6,,
9:01.0,,,5-6,,J. Jack misses 2-pt shot from 11 ft
8:58.0,Defensive rebound by M. Gasol,,5-6,,
8:49.0,J. Green makes 3-pt shot from 22 ft (assist by M. Gasol),3,8-6,,
8:31.0,,,8-9,3,L. Thomas makes 3-pt shot from 23 ft (assist by J. Jack)
8:31.0,,,8-9,,Shooting foul by B. McLemore (drawn by L. Thomas)
8:31.0,,,8-10,1,L. Thomas makes free throw 1 of 1
8:17.0,M. Gasol makes 2-pt shot from 11 ft,2,10-10,,
7:59.0,,,10-12,2,E. Kanter makes 2-pt shot at rim (assist by J. Jack)
7:42.0,Offensive charge foul by J. Green (drawn by K. Porzingis),,10-12,,
7:42.0,Turnover by J. Green (offensive foul),,10-12,,
7:42.0,A. Harrison enters the game for B. McLemore,,10-12,,
7:22.0,,,10-14,2,J. Jack makes 2-pt shot at rim
7:14.0,Memphis full timeout,,10-14,,
7:04.0,,,10-14,,Violation by E. Kanter (kicked ball)
6:59.0,M. Gasol makes 2-pt shot from 22 ft (assist by D. Brooks),2,12-14,,
6:42.0,Personal foul by J. Green (drawn by K. Porzingis),,12-14,,
6:42.0,J. Martin enters the game for J. Green,,12-14,,
6:37.0,,,12-16,2,K. Porzingis makes 2-pt shot from 17 ft (assist by J. Jack)
6:08.0,M. Gasol makes 2-pt shot from 11 ft,2,14-16,,
5:49.0,,,14-16,,E. Kanter misses 2-pt shot from 3 ft (block by T. Evans)
5:47.0,Defensive rebound by A. Harrison,,14-16,,
5:43.0,T. Evans makes 3-pt shot from 25 ft (assist by A. Harrison),3,17-16,,
5:29.0,,,17-16,,C. Lee misses 2-pt shot from 10 ft
5:27.0,,,17-16,,Offensive rebound by E. Kanter
5:27.0,,,17-16,,Shooting foul by J. Martin (drawn by E. Kanter)
5:27.0,,,17-17,1,E. Kanter makes free throw 1 of 2
5:27.0,,,17-17,,D. McDermott enters the game for C. Lee
5:27.0,J. Ennis enters the game for D. Brooks,,17-17,,
5:27.0,C. Parsons enters the game for T. Evans,,17-17,,
5:27.0,,,17-18,1,E. Kanter makes free throw 2 of 2
5:18.0,,,17-18,,Personal foul by J. Jack (drawn by A. Harrison)
5:18.0,,,17-18,,D. Dotson enters the game for L. Thomas
5:12.0,M. Gasol misses 2-pt shot from 22 ft,,17-18,,
5:10.0,,,17-18,,Defensive rebound by D. Dotson
4:59.0,,,17-18,,Turnover by E. Kanter (out of bounds lost ball)
4:59.0,,,17-18,,F. Ntilikina enters the game for J. Jack
4:46.0,J. Martin misses 2-pt shot from 2 ft (block by K. Porzingis),,17-18,,
4:43.0,,,17-18,,Defensive rebound by E. Kanter
4:28.0,,,17-18,,K. Porzingis misses 2-pt shot from 10 ft
4:23.0,Defensive rebound by J. Ennis,,17-18,,
4:14.0,A. Harrison misses 2-pt shot from 1 ft (block by D. McDermott),,17-18,,
4:14.0,Offensive rebound by Team,,17-18,,
4:01.0,C. Parsons makes 2-pt shot from 17 ft,2,19-18,,
3:47.0,,,19-18,,Turnover by F. Ntilikina (traveling)
3:47.0,,,19-18,,K. O'Quinn enters the game for E. Kanter
3:47.0,M. Chalmers enters the game for J. Martin,,19-18,,
3:29.0,C. Parsons makes 3-pt shot from 24 ft (assist by M. Chalmers),3,22-18,,
3:17.0,,,22-18,,Turnover by K. O'Quinn (bad pass; steal by M. Chalmers)
3:16.0,M. Chalmers makes 2-pt shot from 1 ft,2,24-18,,
3:16.0,,,24-18,,New York full timeout
2:52.0,,,24-18,,K. Porzingis misses 2-pt shot from 3 ft (block by M. Gasol)
2:49.0,Defensive rebound by M. Gasol,,24-18,,
2:45.0,Shooting foul by D. McDermott (drawn by A. Harrison),,24-18,,
2:45.0,A. Harrison makes free throw 1 of 2,1,25-18,,
2:45.0,D. Davis enters the game for M. Gasol,,25-18,,
2:45.0,A. Harrison misses free throw 2 of 2,,25-18,,
2:43.0,,,25-18,,Defensive rebound by K. O'Quinn
2:21.0,,,25-20,2,F. Ntilikina makes 2-pt shot from 23 ft (assist by K. O'Quinn)
1:55.0,C. Parsons makes 2-pt shot from 21 ft,2,27-20,,
1:37.0,,,27-20,,K. Porzingis misses 2-pt shot from 10 ft
1:33.0,Defensive rebound by C. Parsons,,27-20,,
1:30.0,C. Parsons makes 3-pt shot from 25 ft,3,30-20,,
1:17.0,,,30-20,,Turnover by K. Porzingis (lost ball; steal by M. Chalmers)
1:13.0,M. Chalmers makes 2-pt shot at rim,2,32-20,,
0:54.0,Personal foul by C. Parsons (drawn by F. Ntilikina),,32-20,,
0:54.0,,,32-21,1,F. Ntilikina makes free throw 1 of 2
0:54.0,,,32-21,,M. Beasley enters the game for K. Porzingis
0:54.0,,,32-21,,F. Ntilikina misses free throw 2 of 2
0:53.0,Defensive rebound by J. Ennis,,32-21,,
0:38.0,C. Parsons misses 3-pt shot from 26 ft,,32-21,,
0:35.0,,,32-21,,Defensive rebound by D. Dotson
0:28.0,,,32-23,2,M. Beasley makes 2-pt shot from 22 ft
0:12.0,,,32-23,,Personal foul by F. Ntilikina (drawn by M. Chalmers)
0:12.0,,,32-23,,C. Lee enters the game for K. O'Quinn
0:02.0,D. Davis misses 2-pt shot from 18 ft,,32-23,,
0:00.0,,,32-23,,Defensive rebound by D. McDermott
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,32-23,,Shooting foul by M. Chalmers (drawn by F. Ntilikina)
11:49.0,,,32-24,1,F. Ntilikina makes free throw 1 of 2
11:49.0,,,32-25,1,F. Ntilikina makes free throw 2 of 2
11:37.0,J. Ennis makes 3-pt shot from 25 ft (assist by T. Evans),3,35-25,,
11:14.0,,,35-25,,Turnover by F. Ntilikina (bad pass; steal by J. Ennis)
10:50.0,Turnover by M. Chalmers (lost ball; steal by K. O'Quinn),,35-25,,
10:46.0,,,35-27,2,C. Lee makes 2-pt shot from 1 ft (assist by M. Beasley)
10:21.0,T. Evans misses 3-pt shot from 24 ft,,35-27,,
10:21.0,,,35-27,,Defensive rebound by Team
10:21.0,Memphis full timeout,,35-27,,
10:04.0,,,35-27,,M. Beasley misses 2-pt shot from 1 ft
10:02.0,Defensive rebound by J. Green,,35-27,,
9:57.0,Turnover by T. Evans (bad pass; steal by F. Ntilikina),,35-27,,
9:49.0,,,35-29,2,M. Beasley makes 2-pt shot at rim
9:31.0,J. Green misses 2-pt shot from 17 ft,,35-29,,
9:30.0,Offensive rebound by Team,,35-29,,
9:30.0,,,35-29,,Loose ball foul by D. McDermott (drawn by J. Ennis)
9:15.0,,,35-29,,Personal foul by C. Lee (drawn by J. Green)
9:15.0,M. Gasol enters the game for M. Chalmers,,35-29,,
9:15.0,A. Harrison enters the game for D. Davis,,35-29,,
9:09.0,Turnover by A. Harrison (bad pass; steal by F. Ntilikina),,35-29,,
8:59.0,,,35-29,,C. Lee misses 2-pt shot from 18 ft
8:57.0,Defensive rebound by J. Green,,35-29,,
8:41.0,A. Harrison makes 2-pt shot from 16 ft,2,37-29,,
8:28.0,,,37-32,3,C. Lee makes 3-pt shot from 24 ft (assist by M. Beasley)
8:02.0,Shooting foul by K. O'Quinn (drawn by M. Gasol),,37-32,,
8:02.0,M. Gasol makes free throw 1 of 2,1,38-32,,
8:02.0,D. Brooks enters the game for J. Ennis,,38-32,,
8:02.0,J. Martin enters the game for J. Green,,38-32,,
8:02.0,M. Gasol makes free throw 2 of 2,1,39-32,,
7:47.0,,,39-32,,Turnover by K. O'Quinn (bad pass; steal by A. Harrison)
7:35.0,T. Evans misses 2-pt shot from 1 ft,,39-32,,
7:34.0,,,39-32,,Defensive rebound by M. Beasley
7:30.0,,,39-32,,C. Lee misses 3-pt shot from 25 ft
7:26.0,Defensive rebound by T. Evans,,39-32,,
7:22.0,Turnover by M. Gasol (bad pass),,39-32,,
7:22.0,,,39-32,,L. Thomas enters the game for D. McDermott
7:07.0,,,39-32,,F. Ntilikina misses 2-pt shot from 10 ft
7:05.0,,,39-32,,Offensive rebound by K. O'Quinn
7:03.0,,,39-34,2,L. Thomas makes 2-pt shot from 19 ft (assist by K. O'Quinn)
6:51.0,,,39-34,,Personal foul by F. Ntilikina (drawn by A. Harrison)
6:51.0,,,39-34,,J. Jack enters the game for M. Beasley
6:51.0,,,39-34,,K. Porzingis enters the game for F. Ntilikina
6:51.0,,,39-34,,E. Kanter enters the game for K. O'Quinn
6:45.0,Turnover by A. Harrison (bad pass),,39-34,,
6:32.0,Violation by D. Brooks (kicked ball),,39-34,,
6:32.0,M. Chalmers enters the game for A. Harrison,,39-34,,
6:20.0,,,39-34,,K. Porzingis misses 2-pt shot from 22 ft
6:19.0,,,39-34,,Offensive rebound by Team
6:18.0,,,39-34,,Turnover by Team (shot clock)
6:05.0,J. Martin makes 3-pt shot from 25 ft (assist by M. Gasol),3,42-34,,
5:52.0,,,42-34,,E. Kanter misses 2-pt shot from 1 ft (block by J. Martin)
5:52.0,,,42-34,,Offensive rebound by Team
5:51.0,Loose ball foul by J. Martin (drawn by K. Porzingis),,42-34,,
5:44.0,,,42-36,2,J. Jack makes 2-pt shot from 19 ft
5:26.0,Shooting foul by E. Kanter (drawn by M. Gasol),,42-36,,
5:26.0,M. Gasol misses free throw 1 of 2,,42-36,,
5:26.0,Offensive rebound by Team,,42-36,,
5:26.0,C. Parsons enters the game for T. Evans,,42-36,,
5:26.0,M. Gasol makes free throw 2 of 2,1,43-36,,
5:15.0,Personal foul by D. Brooks (drawn by K. Porzingis),,43-36,,
5:06.0,,,43-36,,C. Lee misses 2-pt shot from 1 ft
5:04.0,,,43-36,,Offensive rebound by E. Kanter
5:02.0,,,43-38,2,E. Kanter makes 2-pt shot from 2 ft
4:57.0,Memphis full timeout,,43-38,,
4:57.0,J. Green enters the game for M. Gasol,,43-38,,
4:41.0,J. Martin makes 2-pt shot from 21 ft (assist by C. Parsons),2,45-38,,
4:23.0,,,45-38,,Turnover by E. Kanter (turnover)
4:04.0,J. Martin makes 2-pt shot at rim (assist by M. Chalmers),2,47-38,,
3:45.0,,,47-38,,E. Kanter misses 2-pt shot at rim
3:42.0,,,47-38,,Offensive rebound by E. Kanter
3:42.0,,,47-38,,E. Kanter misses 2-pt shot at rim
3:41.0,,,47-38,,Offensive rebound by K. Porzingis
3:37.0,Personal foul by J. Martin (drawn by K. Porzingis),,47-38,,
3:37.0,,,47-38,,M. Beasley enters the game for E. Kanter
3:37.0,T. Evans enters the game for M. Chalmers,,47-38,,
3:37.0,D. Davis enters the game for J. Martin,,47-38,,
3:27.0,,,47-40,2,C. Lee makes 2-pt shot from 1 ft (assist by L. Thomas)
3:08.0,D. Brooks misses 3-pt shot from 22 ft,,47-40,,
3:05.0,,,47-40,,Defensive rebound by K. Porzingis
2:58.0,,,47-40,,Shooting foul by D. Brooks (drawn by J. Jack)
2:58.0,,,47-41,1,J. Jack makes free throw 1 of 2
2:58.0,,,47-42,1,J. Jack makes free throw 2 of 2
2:37.0,T. Evans misses 2-pt shot from 22 ft,,47-42,,
2:36.0,,,47-42,,Defensive rebound by K. Porzingis
2:25.0,,,47-42,,Turnover by M. Beasley (bad pass; steal by D. Brooks)
2:20.0,Turnover by C. Parsons (bad pass),,47-42,,
2:03.0,,,47-42,,K. Porzingis misses 2-pt shot from 17 ft
2:00.0,Defensive rebound by D. Brooks,,47-42,,
1:55.0,Turnover by J. Green (bad pass; steal by C. Lee),,47-42,,
1:52.0,,,47-44,2,C. Lee makes 2-pt shot at rim
1:51.0,Memphis full timeout,,47-44,,
1:45.0,,,47-44,,Personal foul by J. Jack
1:45.0,,,47-44,,Technical foul by J. Jack
1:45.0,T. Evans misses technical free throw,,47-44,,
1:45.0,Offensive rebound by Team,,47-44,,
1:45.0,T. Evans makes free throw 1 of 2,1,48-44,,
1:45.0,T. Evans makes free throw 2 of 2,1,49-44,,
1:27.0,,,49-44,,J. Jack misses 2-pt shot from 16 ft
1:23.0,Defensive rebound by D. Brooks,,49-44,,
1:11.0,Turnover by J. Green (step out of bounds),,49-44,,
1:04.0,Personal foul by D. Davis (drawn by J. Jack),,49-44,,
1:04.0,,,49-45,1,J. Jack makes free throw 1 of 2
1:04.0,,,49-46,1,J. Jack makes free throw 2 of 2
0:44.0,Turnover by T. Evans (bad pass),,49-46,,
0:38.0,,,49-46,,K. Porzingis misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by D. Davis,,49-46,,
0:14.0,C. Parsons misses 3-pt shot from 28 ft,,49-46,,
0:11.0,,,49-46,,Defensive rebound by J. Jack
0:02.0,,,49-49,3,C. Lee makes 3-pt shot from 24 ft (assist by J. Jack)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,49-52,3,K. Porzingis makes 3-pt shot from 28 ft (assist by C. Lee)
11:22.0,T. Evans misses 2-pt shot from 22 ft,,49-52,,
11:20.0,,,49-52,,Defensive rebound by E. Kanter
11:15.0,,,49-54,2,C. Lee makes 2-pt shot at rim
10:54.0,B. McLemore makes 2-pt shot from 1 ft (assist by D. Brooks),2,51-54,,
10:33.0,,,51-54,,Shooting foul by T. Evans (drawn by J. Jack)
10:33.0,,,51-54,,J. Jack misses free throw 1 of 2
10:33.0,,,51-54,,Offensive rebound by Team
