time,New Orleans,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. A. Davis (E. Turner gains possession),,,,Jump ball: J. Nurkic vs. A. Davis (E. Turner gains possession)
11:42.0,,,0-0,,C. McCollum misses 2-pt shot from 7 ft
11:39.0,Defensive rebound by E. Moore,,0-0,,
11:31.0,A. Davis makes 2-pt shot from 21 ft (assist by J. Holiday),2,2-0,,
11:14.0,,,2-2,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
11:03.0,J. Holiday makes 2-pt shot at rim,2,4-2,,
10:48.0,,,4-2,,E. Turner misses 2-pt shot from 14 ft
10:46.0,Defensive rebound by A. Davis,,4-2,,
10:31.0,E. Moore misses 2-pt shot from 12 ft (block by C. McCollum),,4-2,,
10:28.0,Offensive rebound by E. Moore,,4-2,,
10:26.0,Turnover by A. Davis (lost ball; steal by J. Nurkic),,4-2,,
10:08.0,,,4-2,,J. Nurkic misses 2-pt shot from 2 ft (block by N. Mirotic)
10:08.0,,,4-2,,Offensive rebound by A. Aminu
10:08.0,Personal foul by R. Rondo (drawn by A. Aminu),,4-2,,
10:01.0,,,4-2,,Turnover by D. Lillard (bad pass)
9:49.0,E. Moore makes 3-pt shot from 24 ft (assist by R. Rondo),3,7-2,,
9:34.0,,,7-2,,Turnover by J. Nurkic (out of bounds lost ball)
9:21.0,A. Davis makes 2-pt shot from 19 ft (assist by R. Rondo),2,9-2,,
9:21.0,,,9-2,,Portland full timeout
9:09.0,,,9-2,,A. Aminu misses 3-pt shot from 25 ft
9:05.0,,,9-2,,Offensive rebound by D. Lillard
9:04.0,,,9-2,,D. Lillard misses 3-pt shot from 26 ft
9:01.0,,,9-2,,Offensive rebound by J. Nurkic
9:01.0,,,9-2,,J. Nurkic misses 2-pt shot from 1 ft (block by A. Davis)
8:55.0,,,9-2,,Offensive rebound by J. Nurkic
8:55.0,,,9-4,2,J. Nurkic makes 2-pt shot at rim
8:49.0,Turnover by R. Rondo (turnover),,9-4,,
8:32.0,,,9-4,,J. Nurkic misses 2-pt shot from 2 ft
8:31.0,,,9-4,,Offensive rebound by Team
8:29.0,,,9-6,2,D. Lillard makes 2-pt shot from 20 ft (assist by E. Turner)
8:05.0,R. Rondo misses 2-pt shot from 8 ft,,9-6,,
8:03.0,,,9-6,,Defensive rebound by E. Turner
7:52.0,,,9-8,2,J. Nurkic makes 2-pt shot from 6 ft
7:40.0,J. Holiday misses 2-pt shot from 1 ft,,9-8,,
7:38.0,,,9-8,,Defensive rebound by E. Turner
7:33.0,,,9-8,,J. Nurkic misses 2-pt shot from 20 ft
7:30.0,Defensive rebound by R. Rondo,,9-8,,
7:23.0,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo),2,11-8,,
7:09.0,,,11-8,,D. Lillard misses 2-pt shot from 21 ft
7:04.0,Defensive rebound by R. Rondo,,11-8,,
7:01.0,,,11-8,,Personal foul by C. McCollum (drawn by A. Davis)
6:50.0,R. Rondo misses 2-pt shot from 22 ft,,11-8,,
