time,Cleveland,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. K. Love (G. Hill gains possession),,,,Jump ball: M. Turner vs. K. Love (G. Hill gains possession)
11:49.0,,,0-0,,Personal foul by B. Bogdanovic (drawn by L. James)
11:40.0,G. Hill makes 2-pt shot at rim (assist by K. Love),2,2-0,,
11:24.0,,,2-0,,Turnover by M. Turner (bad pass; steal by K. Korver)
11:21.0,Shooting foul by M. Turner (drawn by G. Hill),,2-0,,
11:21.0,G. Hill misses free throw 1 of 2,,2-0,,
11:21.0,Offensive rebound by Team,,2-0,,
11:21.0,G. Hill makes free throw 2 of 2,1,3-0,,
11:09.0,Personal foul by G. Hill (drawn by D. Collison),,3-0,,
11:04.0,,,3-0,,D. Collison misses 3-pt shot from 27 ft
10:59.0,Defensive rebound by L. James,,3-0,,
10:52.0,L. James makes 2-pt shot from 10 ft,2,5-0,,
10:35.0,,,5-0,,M. Turner misses 2-pt shot from 16 ft
10:32.0,Defensive rebound by J. Smith,,5-0,,
10:22.0,Turnover by K. Korver (bad pass; steal by V. Oladipo),,5-0,,
10:17.0,,,5-3,3,V. Oladipo makes 3-pt shot from 26 ft
9:54.0,K. Love misses 2-pt shot from 2 ft,,5-3,,
9:53.0,,,5-3,,Defensive rebound by B. Bogdanovic
9:49.0,,,5-5,2,B. Bogdanovic makes 2-pt shot at rim
9:30.0,Shooting foul by B. Bogdanovic (drawn by G. Hill),,5-5,,
9:30.0,G. Hill makes free throw 1 of 2,1,6-5,,
9:30.0,,,6-5,,L. Stephenson enters the game for B. Bogdanovic
9:30.0,G. Hill makes free throw 2 of 2,1,7-5,,
9:12.0,Personal foul by K. Korver (drawn by M. Turner),,7-5,,
9:06.0,,,7-5,,Turnover by D. Collison (bad pass; steal by J. Smith)
9:00.0,J. Smith misses 2-pt shot from 1 ft,,7-5,,
8:58.0,Offensive rebound by L. James,,7-5,,
8:58.0,L. James misses 2-pt shot at rim,,7-5,,
8:57.0,,,7-5,,Defensive rebound by M. Turner
8:53.0,,,7-5,,Shooting foul by K. Korver (drawn by L. Stephenson)
8:53.0,,,7-6,1,L. Stephenson makes free throw 1 of 2
8:53.0,,,7-7,1,L. Stephenson makes free throw 2 of 2
8:37.0,Turnover by L. James (bad pass; steal by D. Collison),,7-7,,
8:28.0,,,7-9,2,T. Young makes 2-pt shot at rim (assist by D. Collison)
8:11.0,G. Hill makes 2-pt shot from 19 ft,2,9-9,,
7:50.0,,,9-9,,M. Turner misses 3-pt shot from 25 ft
7:47.0,,,9-9,,Offensive rebound by T. Young
7:30.0,,,9-11,2,L. Stephenson makes 2-pt shot from 1 ft (assist by V. Oladipo)
7:05.0,Shooting foul by L. Stephenson (drawn by L. James),,9-11,,
7:05.0,L. James makes free throw 1 of 2,1,10-11,,
7:05.0,L. James misses free throw 2 of 2,,10-11,,
7:05.0,,,10-11,,Defensive rebound by L. Stephenson
6:44.0,,,10-11,,Turnover by V. Oladipo (lost ball; steal by K. Korver)
6:41.0,G. Hill makes 2-pt shot from 1 ft (assist by K. Korver),2,12-11,,
6:31.0,,,12-13,2,L. Stephenson makes 2-pt shot at rim
6:17.0,J. Smith makes 3-pt shot from 26 ft,3,15-13,,
5:55.0,,,15-15,2,D. Collison makes 2-pt shot from 2 ft
5:30.0,L. James misses 2-pt shot from 1 ft,,15-15,,
5:28.0,Offensive rebound by K. Love,,15-15,,
5:28.0,K. Love makes 2-pt shot at rim,2,17-15,,
5:23.0,,,17-15,,Indiana full timeout
5:14.0,,,17-15,,Turnover by L. Stephenson (bad pass; steal by J. Smith)
5:02.0,J. Smith misses 3-pt shot from 23 ft,,17-15,,
4:58.0,,,17-15,,Defensive rebound by L. Stephenson
4:54.0,,,17-15,,D. Collison misses 3-pt shot from 23 ft
4:51.0,Defensive rebound by L. James,,17-15,,
4:30.0,Shooting foul by T. Young (drawn by K. Love),,17-15,,
4:30.0,K. Love makes free throw 1 of 2,1,18-15,,
4:30.0,,,18-15,,D. Sabonis enters the game for M. Turner
4:30.0,L. Nance enters the game for K. Korver,,18-15,,
4:30.0,K. Love makes free throw 2 of 2,1,19-15,,
4:08.0,,,19-15,,T. Young misses 2-pt shot from 6 ft
4:06.0,Defensive rebound by L. Nance,,19-15,,
3:57.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,21-15,,
3:48.0,Personal foul by J. Smith (drawn by V. Oladipo),,21-15,,
3:48.0,,,21-15,,C. Joseph enters the game for D. Collison
3:48.0,R. Hood enters the game for K. Love,,21-15,,
3:37.0,Personal foul by L. Nance (drawn by C. Joseph),,21-15,,
3:37.0,,,21-16,1,C. Joseph makes free throw 1 of 2
3:37.0,,,21-17,1,C. Joseph makes free throw 2 of 2
3:23.0,L. James makes 2-pt shot from 2 ft,2,23-17,,
3:19.0,,,23-17,,Turnover by V. Oladipo (bad pass)
3:19.0,J. Clarkson enters the game for G. Hill,,23-17,,
3:10.0,Offensive charge foul by L. James (drawn by L. Stephenson),,23-17,,
3:10.0,Turnover by L. James (offensive foul),,23-17,,
2:57.0,,,23-17,,Turnover by V. Oladipo (turnover)
2:57.0,Cleveland full timeout,,23-17,,
2:57.0,,,23-17,,B. Bogdanovic enters the game for T. Young
2:43.0,J. Smith makes 2-pt shot at rim (assist by L. James),2,25-17,,
2:28.0,,,25-17,,V. Oladipo misses 2-pt shot from 1 ft
2:25.0,Defensive rebound by L. James,,25-17,,
2:18.0,L. James makes 2-pt shot at rim,2,27-17,,
2:18.0,Shooting foul by D. Sabonis (drawn by L. James),,27-17,,
2:18.0,L. James makes free throw 1 of 1,1,28-17,,
2:01.0,,,28-17,,L. Stephenson misses 2-pt shot from 17 ft
1:58.0,Defensive rebound by J. Smith,,28-17,,
1:45.0,L. Nance makes 2-pt shot from 5 ft (assist by L. James),2,30-17,,
1:26.0,,,30-20,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by V. Oladipo)
1:06.0,L. James misses 2-pt shot from 19 ft,,30-20,,
1:04.0,,,30-20,,Defensive rebound by D. Sabonis
0:54.0,,,30-20,,V. Oladipo misses 3-pt shot from 23 ft
0:50.0,Defensive rebound by L. James,,30-20,,
0:45.0,Offensive charge foul by R. Hood (drawn by C. Joseph),,30-20,,
0:45.0,Turnover by R. Hood (offensive foul),,30-20,,
0:45.0,,,30-20,,T. Booker enters the game for V. Oladipo
0:45.0,J. Green enters the game for J. Smith,,30-20,,
0:34.0,,,30-20,,Turnover by C. Joseph (bad pass; steal by R. Hood)
0:28.0,Shooting foul by C. Joseph (drawn by J. Green),,30-20,,
0:28.0,J. Green makes free throw 1 of 2,1,31-20,,
0:28.0,G. Hill enters the game for L. James,,31-20,,
0:28.0,J. Green misses free throw 2 of 2,,31-20,,
0:28.0,,,31-20,,Defensive rebound by T. Booker
0:06.0,,,31-20,,L. Stephenson misses 2-pt shot from 4 ft (block by J. Green)
0:03.0,Defensive rebound by L. Nance,,31-20,,
0:00.0,J. Clarkson misses 2-pt shot from 8 ft,,31-20,,
0:00.0,Offensive rebound by Team,,31-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,31-23,3,B. Bogdanovic makes 3-pt shot from 28 ft (assist by C. Joseph)
11:20.0,J. Green misses 3-pt shot from 26 ft,,31-23,,
11:20.0,Offensive rebound by Team,,31-23,,
11:20.0,Turnover by Team (shot clock),,31-23,,
10:56.0,,,31-25,2,L. Stephenson makes 2-pt shot from 19 ft
10:36.0,R. Hood makes 2-pt shot from 19 ft (assist by J. Green),2,33-25,,
10:12.0,,,33-25,,Turnover by B. Bogdanovic (bad pass; steal by J. Green)
10:04.0,J. Clarkson misses 2-pt shot from 11 ft,,33-25,,
10:04.0,Offensive rebound by L. Nance,,33-25,,
10:03.0,L. Nance makes 2-pt shot at rim,2,35-25,,
9:41.0,,,35-27,2,C. Joseph makes 2-pt shot from 7 ft
9:21.0,K. Love makes 2-pt shot at rim (assist by R. Hood),2,37-27,,
9:03.0,,,37-29,2,D. Sabonis makes 2-pt shot from 7 ft
8:49.0,J. Clarkson makes 2-pt shot at rim,2,39-29,,
8:19.0,,,39-31,2,D. Sabonis makes 2-pt shot from 1 ft
7:52.0,L. Nance misses 2-pt shot from 19 ft,,39-31,,
7:49.0,,,39-31,,Defensive rebound by T. Booker
7:45.0,,,39-31,,L. Stephenson misses 2-pt shot from 20 ft
7:42.0,Defensive rebound by K. Love,,39-31,,
7:32.0,K. Love makes 3-pt shot from 25 ft (assist by L. Nance),3,42-31,,
7:25.0,,,42-31,,Indiana full timeout
7:25.0,,,42-31,,T. Young enters the game for D. Sabonis
7:25.0,,,42-31,,M. Turner enters the game for T. Booker
7:08.0,,,42-31,,M. Turner misses 2-pt shot from 3 ft
7:06.0,Defensive rebound by L. Nance,,42-31,,
6:50.0,K. Love makes 2-pt shot from 15 ft (assist by R. Hood),2,44-31,,
6:34.0,,,44-34,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by L. Stephenson)
6:17.0,K. Love misses 2-pt shot from 19 ft,,44-34,,
6:12.0,Offensive rebound by L. Nance,,44-34,,
6:10.0,,,44-34,,Personal foul by T. Young (drawn by L. Nance)
6:10.0,,,44-34,,D. Collison enters the game for L. Stephenson
6:10.0,,,44-34,,V. Oladipo enters the game for C. Joseph
6:10.0,G. Hill enters the game for R. Hood,,44-34,,
6:10.0,L. James enters the game for J. Clarkson,,44-34,,
6:10.0,J. Smith enters the game for L. Nance,,44-34,,
6:04.0,L. James makes 3-pt shot from 25 ft (assist by G. Hill),3,47-34,,
5:43.0,,,47-34,,Turnover by B. Bogdanovic (bad pass)
5:18.0,Turnover by L. James (bad pass; steal by T. Young),,47-34,,
5:11.0,,,47-34,,D. Collison misses 2-pt shot from 1 ft
5:10.0,,,47-34,,Offensive rebound by M. Turner
5:09.0,,,47-36,2,M. Turner makes 2-pt shot from 1 ft
5:00.0,,,47-36,,Personal foul by D. Collison (drawn by G. Hill)
4:57.0,K. Love misses 2-pt shot from 2 ft,,47-36,,
4:56.0,,,47-36,,Defensive rebound by M. Turner
4:45.0,,,47-36,,B. Bogdanovic misses 3-pt shot from 26 ft
4:43.0,,,47-36,,Offensive rebound by Team
4:43.0,Loose ball foul by G. Hill (drawn by M. Turner),,47-36,,
4:43.0,K. Korver enters the game for J. Green,,47-36,,
4:35.0,,,47-38,2,V. Oladipo makes 2-pt shot from 17 ft
4:17.0,J. Smith misses 3-pt shot from 26 ft,,47-38,,
4:14.0,Offensive rebound by K. Love,,47-38,,
4:13.0,Turnover by K. Love (lost ball; steal by V. Oladipo),,47-38,,
4:12.0,Personal take foul by J. Smith (drawn by V. Oladipo),,47-38,,
3:58.0,,,47-38,,T. Young misses 2-pt shot from 3 ft
3:56.0,Defensive rebound by L. James,,47-38,,
3:47.0,L. James misses 2-pt shot from 5 ft,,47-38,,
3:45.0,,,47-38,,Defensive rebound by M. Turner
3:33.0,,,47-38,,D. Collison misses 2-pt shot at rim
3:31.0,Defensive rebound by L. James,,47-38,,
3:26.0,L. James makes 2-pt shot from 1 ft,2,49-38,,
3:02.0,,,49-38,,Turnover by V. Oladipo (out of bounds lost ball)
2:45.0,K. Love misses 3-pt shot from 28 ft,,49-38,,
2:42.0,Offensive rebound by K. Korver,,49-38,,
2:40.0,Cleveland full timeout,,49-38,,
2:40.0,,,49-38,,L. Stephenson enters the game for M. Turner
2:40.0,,,49-38,,D. Sabonis enters the game for B. Bogdanovic
2:26.0,K. Love misses 2-pt shot from 2 ft (block by T. Young),,49-38,,
2:22.0,,,49-38,,Defensive rebound by L. Stephenson
2:14.0,,,49-38,,L. Stephenson misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by K. Korver,,49-38,,
1:57.0,G. Hill misses 3-pt shot from 24 ft,,49-38,,
1:55.0,Offensive rebound by L. James,,49-38,,
1:55.0,,,49-38,,Personal foul by L. Stephenson (drawn by L. James)
1:40.0,,,49-38,,Personal foul by L. Stephenson (drawn by G. Hill)
1:40.0,G. Hill makes free throw 1 of 2,1,50-38,,
1:40.0,,,50-38,,B. Bogdanovic enters the game for L. Stephenson
1:40.0,G. Hill makes free throw 2 of 2,1,51-38,,
1:16.0,,,51-38,,B. Bogdanovic misses 3-pt shot from 31 ft
1:16.0,,,51-38,,Offensive rebound by Team
1:16.0,,,51-38,,Turnover by Team (shot clock)
1:16.0,J. Green enters the game for K. Korver,,51-38,,
1:16.0,R. Hood enters the game for G. Hill,,51-38,,
1:08.0,J. Green makes 3-pt shot from 23 ft (assist by L. James),3,54-38,,
0:52.0,,,54-40,2,T. Young makes 2-pt shot from 1 ft (assist by D. Sabonis)
0:39.0,K. Love makes 3-pt shot from 26 ft (assist by R. Hood),3,57-40,,
0:31.0,,,57-40,,V. Oladipo misses 3-pt shot from 27 ft
0:31.0,Defensive rebound by J. Smith,,57-40,,
0:08.0,L. James misses 2-pt shot from 20 ft,,57-40,,
0:06.0,,,57-40,,Defensive rebound by D. Collison
0:04.0,Personal take foul by J. Green (drawn by D. Collison),,57-40,,
0:04.0,L. Nance enters the game for K. Love,,57-40,,
0:04.0,C. Osman enters the game for J. Smith,,57-40,,
0:00.0,,,57-40,,V. Oladipo misses 2-pt shot from 20 ft
0:00.0,,,57-40,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
