time,Denver,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:55.0,Jump ball: D. Favors vs. K. Faried (R. Rubio gains possession),,,,Jump ball: D. Favors vs. K. Faried (R. Rubio gains possession)
11:44.0,,,0-0,,D. Mitchell misses 2-pt shot from 8 ft
11:40.0,Defensive rebound by G. Harris,,0-0,,
11:38.0,G. Harris misses 2-pt shot from 2 ft,,0-0,,
11:30.0,Offensive rebound by K. Faried,,0-0,,
11:30.0,K. Faried misses 2-pt shot at rim,,0-0,,
11:30.0,,,0-0,,Defensive rebound by D. Favors
11:25.0,,,0-2,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Rubio)
11:07.0,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic),3,3-2,,
10:42.0,,,3-2,,J. Ingles misses 3-pt shot from 24 ft
10:40.0,Defensive rebound by Team,,3-2,,
10:28.0,,,3-2,,Violation by R. Rubio (kicked ball)
10:22.0,Shooting foul by D. Mitchell (drawn by G. Harris),,3-2,,
10:22.0,G. Harris makes free throw 1 of 2,1,4-2,,
10:22.0,G. Harris makes free throw 2 of 2,1,5-2,,
10:14.0,,,5-2,,Offensive foul by D. Favors (drawn by G. Harris)
10:14.0,,,5-2,,Turnover by D. Favors (offensive foul)
10:07.0,Turnover by N. Jokic (bad pass; steal by D. Mitchell),,5-2,,
9:50.0,,,5-4,2,J. Jerebko makes 2-pt shot from 10 ft
9:34.0,J. Hernangomez makes 2-pt shot from 1 ft (assist by N. Jokic),2,7-4,,
9:16.0,Personal foul by J. Hernangomez (drawn by J. Ingles),,7-4,,
9:08.0,,,7-4,,D. Favors misses 2-pt shot from 1 ft
9:07.0,,,7-4,,Offensive rebound by D. Favors
9:05.0,,,7-6,2,D. Favors makes 2-pt shot from 1 ft
8:57.0,J. Murray misses 3-pt shot from 24 ft,,7-6,,
8:55.0,,,7-6,,Defensive rebound by J. Jerebko
8:41.0,Personal foul by N. Jokic (drawn by D. Favors),,7-6,,
8:33.0,,,7-9,3,R. Rubio makes 3-pt shot from 26 ft (assist by J. Ingles)
8:19.0,J. Hernangomez misses 3-pt shot from 25 ft,,7-9,,
8:17.0,,,7-9,,Defensive rebound by Team
8:06.0,,,7-9,,Turnover by J. Ingles (bad pass)
7:53.0,,,7-9,,Personal foul by J. Jerebko (drawn by N. Jokic)
7:41.0,Offensive charge foul by G. Harris (drawn by J. Jerebko),,7-9,,
7:41.0,Turnover by G. Harris (offensive foul),,7-9,,
7:25.0,,,7-12,3,R. Rubio makes 3-pt shot from 24 ft (assist by D. Mitchell)
7:01.0,J. Hernangomez makes 3-pt shot from 23 ft (assist by N. Jokic),3,10-12,,
6:47.0,,,10-12,,R. Rubio misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by J. Hernangomez,,10-12,,
6:35.0,N. Jokic makes 2-pt shot from 19 ft (assist by J. Murray),2,12-12,,
6:26.0,,,12-12,,Utah full timeout
6:16.0,,,12-12,,D. Favors misses 2-pt shot from 1 ft
6:13.0,Defensive rebound by N. Jokic,,12-12,,
6:03.0,N. Jokic makes 3-pt shot from 25 ft (assist by G. Harris),3,15-12,,
5:44.0,,,15-12,,J. Jerebko misses 2-pt shot from 3 ft (block by J. Hernangomez)
5:40.0,Defensive rebound by J. Hernangomez,,15-12,,
5:40.0,Shooting foul by R. Rubio (drawn by K. Faried),,15-12,,
5:40.0,K. Faried makes free throw 1 of 2,1,16-12,,
5:40.0,,,16-12,,T. Sefolosha enters the game for J. Jerebko
5:40.0,K. Faried makes free throw 2 of 2,1,17-12,,
5:23.0,,,17-12,,J. Ingles misses 2-pt shot from 5 ft
5:17.0,Defensive rebound by J. Hernangomez,,17-12,,
5:14.0,K. Faried misses 2-pt shot from 6 ft,,17-12,,
5:08.0,,,17-12,,Defensive rebound by T. Sefolosha
4:58.0,,,17-12,,T. Sefolosha misses 2-pt shot from 14 ft
4:54.0,Defensive rebound by G. Harris,,17-12,,
