time,Atlanta,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. M. Plumlee (D. Schroder gains possession),,,,Jump ball: T. Zeller vs. M. Plumlee (D. Schroder gains possession)
11:47.0,T. Waller-Prince misses 3-pt shot from 24 ft,,0-0,,
11:43.0,Offensive rebound by E. Ilyasova,,0-0,,
11:22.0,Shooting foul by T. Booker (drawn by E. Ilyasova),,0-0,,
11:22.0,E. Ilyasova misses free throw 1 of 3,,0-0,,
11:22.0,Offensive rebound by Team,,0-0,,
11:22.0,E. Ilyasova makes free throw 2 of 3,1,1-0,,
11:22.0,E. Ilyasova misses free throw 3 of 3,,1-0,,
11:20.0,,,1-0,,Defensive rebound by S. Dinwiddie
11:05.0,,,1-0,,Turnover by T. Booker (lost ball; steal by E. Ilyasova)
10:54.0,Turnover by M. Plumlee (out of bounds lost ball),,1-0,,
10:37.0,,,1-0,,T. Booker misses 2-pt shot from 2 ft (block by M. Plumlee)
10:37.0,Defensive rebound by Team,,1-0,,
10:29.0,E. Ilyasova misses 3-pt shot from 25 ft,,1-0,,
10:26.0,,,1-0,,Defensive rebound by A. Crabbe
10:23.0,,,1-0,,Offensive charge foul by A. Crabbe (drawn by E. Ilyasova)
10:23.0,,,1-0,,Turnover by A. Crabbe (offensive foul)
10:05.0,D. Schroder misses 2-pt shot from 11 ft,,1-0,,
10:04.0,,,1-0,,Defensive rebound by Team
9:49.0,,,1-2,2,A. Crabbe makes 2-pt shot from 13 ft (assist by D. Carroll)
9:32.0,E. Ilyasova misses 3-pt shot from 25 ft,,1-2,,
9:32.0,,,1-2,,Defensive rebound by D. Carroll
9:21.0,,,1-2,,D. Carroll misses 3-pt shot from 24 ft
9:21.0,Defensive rebound by E. Ilyasova,,1-2,,
9:11.0,D. Schroder makes 2-pt shot from 10 ft,2,3-2,,
8:46.0,,,3-5,3,S. Dinwiddie makes 3-pt shot from 25 ft
