time,Boston,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Horford (L. Aldridge gains possession),,,,Jump ball: P. Gasol vs. A. Horford (L. Aldridge gains possession)
11:34.0,,,0-0,,L. Aldridge misses 2-pt shot from 10 ft
11:32.0,Defensive rebound by J. Tatum,,0-0,,
11:19.0,J. Tatum misses 2-pt shot from 20 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by L. Aldridge
11:11.0,,,0-0,,T. Parker misses 2-pt shot from 12 ft
11:07.0,Defensive rebound by A. Horford,,0-0,,
10:56.0,K. Irving makes 3-pt shot from 25 ft (assist by J. Brown),3,3-0,,
10:39.0,,,3-0,,Turnover by L. Aldridge (lost ball; steal by J. Brown)
10:35.0,J. Brown makes 2-pt shot from 2 ft,2,5-0,,
10:35.0,,,5-0,,San Antonio full timeout
10:14.0,,,5-0,,P. Gasol misses 2-pt shot from 17 ft
10:11.0,Defensive rebound by J. Brown,,5-0,,
9:55.0,J. Tatum makes 2-pt shot from 18 ft,2,7-0,,
9:40.0,,,7-0,,P. Gasol misses 2-pt shot from 19 ft
9:38.0,Defensive rebound by J. Tatum,,7-0,,
9:33.0,K. Irving makes 2-pt shot from 15 ft,2,9-0,,
9:13.0,,,9-0,,P. Gasol misses 2-pt shot from 7 ft
9:11.0,,,9-0,,Offensive rebound by L. Aldridge
9:11.0,Personal foul by A. Baynes (drawn by L. Aldridge),,9-0,,
8:59.0,,,9-0,,L. Aldridge misses 3-pt shot from 24 ft
8:56.0,Defensive rebound by J. Tatum,,9-0,,
8:44.0,Turnover by J. Brown (lost ball; steal by T. Parker),,9-0,,
8:32.0,,,9-0,,T. Parker misses 2-pt shot from 17 ft
8:29.0,,,9-0,,Offensive rebound by R. Gay
8:17.0,,,9-0,,P. Gasol misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by A. Horford,,9-0,,
