time,Boston,pts.away,score,pts.home,Minnesota
0:33.0,,,33-28,,Defensive rebound by T. Gibson
0:21.0,,,33-28,,Turnover by A. Wiggins (bad pass; steal by D. Theis)
0:17.0,T. Rozier makes 2-pt shot from 1 ft (assist by D. Theis),2,35-28,,
0:02.0,,,35-28,,J. Crawford misses 3-pt shot from 30 ft
0:02.0,Defensive rebound by M. Morris,,35-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Offensive foul by T. Rozier (drawn by T. Jones),,35-28,,
11:46.0,Turnover by T. Rozier (offensive foul),,35-28,,
11:33.0,,,35-28,,Shooting foul by J. Tatum (drawn by N. Bjelica)
11:33.0,,,35-29,1,N. Bjelica makes free throw 1 of 2
11:33.0,,,35-30,1,N. Bjelica makes free throw 2 of 2
11:18.0,Shooting foul by N. Bjelica (drawn by J. Tatum),,35-30,,
11:18.0,J. Tatum makes free throw 1 of 2,1,36-30,,
11:18.0,J. Tatum makes free throw 2 of 2,1,37-30,,
10:59.0,,,37-30,,J. Crawford misses 2-pt shot from 19 ft
10:56.0,Defensive rebound by G. Monroe,,37-30,,
10:54.0,T. Rozier misses 3-pt shot from 26 ft,,37-30,,
10:50.0,,,37-30,,Defensive rebound by G. Dieng
10:47.0,,,37-30,,Shooting foul by M. Smart (drawn by T. Gibson)
10:47.0,,,37-31,1,T. Gibson makes free throw 1 of 2
10:47.0,,,37-31,,T. Gibson misses free throw 2 of 2
10:45.0,Defensive rebound by G. Monroe,,37-31,,
10:28.0,M. Morris misses 2-pt shot from 17 ft,,37-31,,
10:25.0,,,37-31,,Defensive rebound by G. Dieng
10:15.0,,,37-33,2,T. Gibson makes 2-pt shot from 5 ft
9:55.0,M. Morris misses 3-pt shot from 23 ft,,37-33,,
9:53.0,,,37-33,,Defensive rebound by N. Bjelica
9:50.0,,,37-33,,Turnover by T. Jones (discontinued dribble)
9:50.0,,,37-33,,K. Towns enters the game for T. Gibson
9:35.0,G. Monroe misses 2-pt shot from 6 ft (block by G. Dieng),,37-33,,
9:35.0,Offensive rebound by Team,,37-33,,
9:30.0,M. Smart misses 3-pt shot from 25 ft,,37-33,,
9:24.0,Offensive rebound by J. Tatum,,37-33,,
9:24.0,J. Tatum makes 2-pt shot at rim,2,39-33,,
9:09.0,,,39-33,,Turnover by N. Bjelica (bad pass; steal by T. Rozier)
9:05.0,T. Rozier makes 2-pt shot at rim,2,41-33,,
9:05.0,,,41-33,,Minnesota full timeout
8:55.0,,,41-33,,T. Jones misses 2-pt shot from 9 ft
8:53.0,Defensive rebound by T. Rozier,,41-33,,
8:49.0,M. Smart misses 3-pt shot from 24 ft,,41-33,,
8:47.0,,,41-33,,Defensive rebound by N. Bjelica
8:38.0,,,41-35,2,K. Towns makes 2-pt shot from 16 ft (assist by J. Crawford)
8:21.0,M. Morris makes 3-pt shot from 25 ft (assist by G. Monroe),3,44-35,,
8:03.0,,,44-37,2,K. Towns makes 2-pt shot at rim
7:48.0,Offensive foul by G. Monroe (drawn by K. Towns),,44-37,,
7:48.0,Turnover by G. Monroe (offensive foul),,44-37,,
7:48.0,,,44-37,,J. Teague enters the game for T. Jones
7:48.0,,,44-37,,T. Gibson enters the game for G. Dieng
7:48.0,A. Horford enters the game for M. Morris,,44-37,,
7:34.0,,,44-37,,K. Towns misses 2-pt shot from 8 ft
7:32.0,Defensive rebound by G. Monroe,,44-37,,
7:23.0,M. Smart makes 2-pt shot from 1 ft (assist by A. Horford),2,46-37,,
7:23.0,Shooting foul by J. Crawford (drawn by M. Smart),,46-37,,
7:23.0,M. Smart makes free throw 1 of 1,1,47-37,,
7:07.0,,,47-37,,K. Towns misses 2-pt shot from 4 ft
7:04.0,Defensive rebound by J. Tatum,,47-37,,
7:01.0,J. Tatum makes 2-pt shot from 1 ft,2,49-37,,
6:55.0,,,49-37,,J. Crawford misses 3-pt shot from 25 ft
6:55.0,Defensive rebound by G. Monroe,,49-37,,
6:45.0,J. Tatum misses 2-pt shot from 20 ft,,49-37,,
6:43.0,Offensive rebound by M. Smart,,49-37,,
6:43.0,M. Smart makes 2-pt shot at rim,2,51-37,,
6:43.0,,,51-37,,Minnesota full timeout
6:43.0,,,51-37,,A. Wiggins enters the game for J. Crawford
6:27.0,,,51-40,3,A. Wiggins makes 3-pt shot from 24 ft (assist by J. Teague)
6:08.0,Turnover by A. Horford (bad pass; steal by A. Wiggins),,51-40,,
5:53.0,,,51-40,,N. Bjelica misses 2-pt shot at rim
5:53.0,,,51-40,,Offensive rebound by N. Bjelica
5:51.0,,,51-42,2,N. Bjelica makes 2-pt shot at rim
5:40.0,K. Irving enters the game for J. Tatum,,51-42,,
5:40.0,J. Brown enters the game for M. Smart,,51-42,,
5:40.0,A. Baynes enters the game for G. Monroe,,51-42,,
5:39.0,Turnover by K. Irving (bad pass),,51-42,,
5:18.0,,,51-42,,N. Bjelica misses 3-pt shot from 24 ft
5:16.0,Defensive rebound by A. Baynes,,51-42,,
5:11.0,K. Irving misses 3-pt shot from 24 ft,,51-42,,
5:07.0,,,51-42,,Defensive rebound by N. Bjelica
4:54.0,,,51-42,,A. Wiggins misses 2-pt shot from 16 ft
4:52.0,Defensive rebound by A. Baynes,,51-42,,
4:37.0,A. Baynes misses 2-pt shot from 14 ft,,51-42,,
4:34.0,,,51-42,,Defensive rebound by K. Towns
4:27.0,,,51-44,2,K. Towns makes 2-pt shot at rim (assist by J. Teague)
4:26.0,Boston full timeout,,51-44,,
4:26.0,M. Morris enters the game for T. Rozier,,51-44,,
4:26.0,M. Smart enters the game for A. Baynes,,51-44,,
4:11.0,A. Horford misses 3-pt shot from 25 ft,,51-44,,
4:06.0,,,51-44,,Defensive rebound by J. Teague
3:45.0,,,51-44,,Turnover by T. Gibson (lost ball; steal by M. Smart)
3:45.0,,,51-44,,Personal foul by N. Bjelica (drawn by M. Morris)
3:25.0,J. Brown misses 3-pt shot from 23 ft,,51-44,,
3:22.0,Offensive rebound by M. Morris,,51-44,,
3:18.0,K. Irving makes 3-pt shot from 24 ft (assist by M. Morris),3,54-44,,
2:58.0,,,54-44,,J. Teague misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by J. Brown,,54-44,,
2:49.0,M. Morris makes 2-pt shot from 19 ft (assist by M. Smart),2,56-44,,
2:49.0,Shooting foul by T. Gibson (drawn by M. Morris),,56-44,,
2:49.0,M. Morris misses free throw 1 of 1,,56-44,,
2:47.0,,,56-44,,Defensive rebound by T. Gibson
2:40.0,,,56-44,,J. Teague misses 2-pt shot from 10 ft
2:36.0,Defensive rebound by M. Morris,,56-44,,
2:30.0,J. Brown misses 2-pt shot from 9 ft,,56-44,,
2:30.0,,,56-44,,Defensive rebound by J. Teague
2:17.0,,,56-44,,A. Wiggins misses 2-pt shot from 19 ft
2:15.0,Defensive rebound by M. Morris,,56-44,,
1:58.0,A. Horford makes 2-pt shot from 21 ft (assist by K. Irving),2,58-44,,
1:43.0,,,58-44,,J. Teague misses 2-pt shot from 12 ft
1:43.0,,,58-44,,Offensive rebound by Team
1:39.0,Personal foul by K. Irving (drawn by A. Wiggins),,58-44,,
1:28.0,,,58-44,,Turnover by A. Wiggins (lost ball; steal by M. Smart)
1:22.0,A. Horford makes 2-pt shot from 5 ft (assist by M. Smart),2,60-44,,
1:01.0,,,60-44,,A. Wiggins misses 2-pt shot from 11 ft
0:56.0,,,60-44,,Offensive rebound by A. Wiggins
0:56.0,,,60-44,,A. Wiggins misses 2-pt shot at rim
0:54.0,Defensive rebound by K. Irving,,60-44,,
0:49.0,M. Morris misses 2-pt shot from 8 ft,,60-44,,
0:46.0,,,60-44,,Defensive rebound by A. Wiggins
0:38.0,,,60-46,2,T. Gibson makes 2-pt shot at rim (assist by N. Bjelica)
0:30.0,M. Smart misses 3-pt shot from 25 ft,,60-46,,
0:27.0,,,60-46,,Defensive rebound by K. Towns
0:05.0,,,60-46,,Turnover by Team (shot clock)
0:05.0,,,60-46,,G. Dieng enters the game for K. Towns
0:00.0,Offensive charge foul by K. Irving (drawn by G. Dieng),,60-46,,
0:00.0,Turnover by K. Irving (offensive foul),,60-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,A. Baynes makes 2-pt shot from 10 ft (assist by A. Horford),2,62-46,,
11:17.0,,,62-46,,T. Gibson misses 2-pt shot from 8 ft
11:17.0,Defensive rebound by A. Baynes,,62-46,,
11:09.0,J. Tatum makes 2-pt shot from 17 ft (assist by K. Irving),2,64-46,,
10:49.0,,,64-48,2,K. Towns makes 2-pt shot from 4 ft (assist by N. Bjelica)
10:35.0,A. Horford misses 3-pt shot from 25 ft,,64-48,,
10:35.0,,,64-48,,Defensive rebound by N. Bjelica
10:28.0,,,64-51,3,N. Bjelica makes 3-pt shot from 25 ft
10:15.0,A. Baynes makes 2-pt shot from 11 ft (assist by K. Irving),2,66-51,,
9:56.0,,,66-51,,A. Wiggins misses 3-pt shot from 23 ft
9:54.0,,,66-51,,Offensive rebound by T. Gibson
9:44.0,,,66-53,2,N. Bjelica makes 2-pt shot from 2 ft (assist by J. Teague)
9:28.0,A. Horford misses 2-pt shot from 3 ft,,66-53,,
9:25.0,,,66-53,,Defensive rebound by T. Gibson
9:07.0,,,66-55,2,T. Gibson makes 2-pt shot at rim (assist by J. Teague)
8:46.0,J. Tatum misses 3-pt shot from 25 ft,,66-55,,
8:43.0,,,66-55,,Defensive rebound by K. Towns
8:39.0,,,66-55,,Shooting foul by A. Baynes (drawn by K. Towns)
8:39.0,,,66-56,1,K. Towns makes free throw 1 of 2
8:39.0,,,66-57,1,K. Towns makes free throw 2 of 2
8:25.0,A. Baynes misses 2-pt shot from 8 ft (block by K. Towns),,66-57,,
8:25.0,,,66-57,,Defensive rebound by Team
8:25.0,Loose ball foul by A. Baynes (drawn by K. Towns),,66-57,,
8:07.0,,,66-57,,A. Wiggins misses 2-pt shot from 6 ft
8:07.0,,,66-57,,Offensive rebound by K. Towns
8:07.0,,,66-57,,Shooting foul by A. Baynes (drawn by K. Towns)
8:07.0,,,66-57,,K. Towns misses free throw 1 of 2
8:07.0,,,66-57,,Offensive rebound by Team
8:07.0,M. Smart enters the game for A. Baynes,,66-57,,
8:07.0,M. Morris enters the game for J. Tatum,,66-57,,
8:07.0,,,66-57,,K. Towns misses free throw 2 of 2
8:05.0,Defensive rebound by A. Horford,,66-57,,
7:57.0,K. Irving misses 2-pt shot from 15 ft,,66-57,,
7:54.0,,,66-57,,Defensive rebound by N. Bjelica
7:33.0,,,66-59,2,K. Towns makes 2-pt shot from 1 ft
7:26.0,J. Brown misses 2-pt shot from 17 ft,,66-59,,
7:24.0,,,66-59,,Defensive rebound by K. Towns
7:15.0,,,66-59,,Turnover by T. Gibson (step out of bounds)
7:05.0,A. Horford misses 3-pt shot from 25 ft,,66-59,,
7:02.0,,,66-59,,Defensive rebound by N. Bjelica
6:54.0,,,66-59,,K. Towns misses 2-pt shot from 6 ft
6:52.0,Defensive rebound by K. Irving,,66-59,,
