time,Boston,pts.away,score,pts.home,Minnesota
2:22.0,,,109-97,,K. Towns misses 2-pt shot from 8 ft
2:20.0,Defensive rebound by A. Horford,,109-97,,
2:18.0,,,109-97,,Personal foul by N. Bjelica (drawn by K. Irving)
2:18.0,K. Irving makes free throw 1 of 2,1,110-97,,
2:18.0,,,110-97,,T. Gibson enters the game for J. Crawford
2:18.0,M. Smart enters the game for T. Rozier,,110-97,,
2:18.0,K. Irving makes free throw 2 of 2,1,111-97,,
2:09.0,,,111-100,3,N. Bjelica makes 3-pt shot from 26 ft
1:54.0,A. Horford makes 2-pt shot at rim (assist by K. Irving),2,113-100,,
1:44.0,,,113-103,3,J. Teague makes 3-pt shot from 25 ft
1:34.0,Turnover by K. Irving (out of bounds lost ball),,113-103,,
1:21.0,,,113-103,,A. Wiggins misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by Team,,113-103,,
1:21.0,,,113-103,,Loose ball foul by N. Bjelica (drawn by M. Smart)
1:21.0,,,113-103,,J. Crawford enters the game for N. Bjelica
1:21.0,M. Smart makes free throw 1 of 2,1,114-103,,
1:21.0,M. Smart makes free throw 2 of 2,1,115-103,,
1:09.0,,,115-105,2,J. Teague makes 2-pt shot from 6 ft
0:48.0,M. Morris misses 2-pt shot from 18 ft,,115-105,,
0:45.0,,,115-105,,Defensive rebound by J. Teague
0:40.0,,,115-107,2,J. Crawford makes 2-pt shot from 5 ft
0:26.0,Boston full timeout,,115-107,,
0:26.0,T. Rozier enters the game for S. Ojeleye,,115-107,,
0:22.0,,,115-107,,Personal take foul by K. Towns (drawn by A. Horford)
0:22.0,A. Horford makes free throw 1 of 2,1,116-107,,
0:22.0,S. Ojeleye enters the game for K. Irving,,116-107,,
0:22.0,A. Horford makes free throw 2 of 2,1,117-107,,
0:12.0,,,117-107,,J. Crawford misses 2-pt shot from 13 ft
0:10.0,,,117-107,,Offensive rebound by J. Crawford
0:09.0,,,117-109,2,J. Crawford makes 2-pt shot from 8 ft
0:07.0,,,117-109,,Personal take foul by K. Towns (drawn by M. Smart)
0:07.0,M. Smart misses free throw 1 of 2,,117-109,,
0:07.0,Offensive rebound by Team,,117-109,,
0:07.0,M. Smart misses free throw 2 of 2,,117-109,,
0:06.0,,,117-109,,Defensive rebound by K. Towns
0:02.0,,,117-109,,A. Wiggins misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by T. Rozier,,117-109,,
