time,Charlotte,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. D. Howard (T. Gibson gains possession),,,,Jump ball: K. Towns vs. D. Howard (T. Gibson gains possession)
11:43.0,,,0-2,2,T. Gibson makes 2-pt shot from 20 ft (assist by A. Wiggins)
11:23.0,M. Williams makes 2-pt shot at rim (assist by K. Walker),2,2-2,,
11:06.0,,,2-2,,Turnover by K. Towns (bad pass)
10:54.0,D. Howard makes 2-pt shot at rim (assist by K. Walker),2,4-2,,
10:28.0,,,4-2,,J. Teague misses 2-pt shot from 18 ft
10:25.0,,,4-2,,Offensive rebound by J. Teague
10:09.0,,,4-2,,J. Teague misses 2-pt shot from 7 ft
10:07.0,Defensive rebound by D. Bacon,,4-2,,
9:57.0,K. Walker misses 2-pt shot from 15 ft,,4-2,,
9:54.0,,,4-2,,Defensive rebound by A. Wiggins
9:47.0,,,4-2,,K. Towns misses 3-pt shot from 24 ft
9:43.0,Defensive rebound by D. Howard,,4-2,,
9:29.0,Turnover by D. Howard (out of bounds lost ball),,4-2,,
9:10.0,,,4-4,2,T. Gibson makes 2-pt shot from 10 ft (assist by J. Butler)
8:52.0,Turnover by D. Howard (lost ball; steal by T. Gibson),,4-4,,
8:45.0,,,4-6,2,A. Wiggins makes 2-pt shot from 19 ft
8:18.0,J. Lamb makes 2-pt shot from 11 ft,2,6-6,,
8:05.0,,,6-8,2,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague)
7:50.0,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker),3,9-8,,
7:33.0,,,9-8,,A. Wiggins misses 2-pt shot from 14 ft
7:30.0,Defensive rebound by D. Howard,,9-8,,
7:23.0,K. Walker misses 3-pt shot from 24 ft,,9-8,,
7:20.0,,,9-8,,Defensive rebound by T. Gibson
7:14.0,,,9-10,2,K. Towns makes 2-pt shot at rim (assist by J. Teague)
6:55.0,J. Lamb makes 3-pt shot from 22 ft (assist by K. Walker),3,12-10,,
6:43.0,,,12-10,,Shooting foul by D. Bacon (drawn by K. Towns)
6:43.0,,,12-10,,Minnesota full timeout
6:43.0,,,12-11,1,K. Towns makes free throw 1 of 2
6:43.0,,,12-12,1,K. Towns makes free throw 2 of 2
6:31.0,M. Williams misses 3-pt shot from 24 ft,,12-12,,
6:27.0,,,12-12,,Defensive rebound by J. Butler
6:22.0,,,12-12,,J. Butler misses 2-pt shot from 19 ft
6:19.0,Defensive rebound by M. Williams,,12-12,,
6:07.0,D. Bacon makes 3-pt shot from 22 ft (assist by J. Lamb),3,15-12,,
5:53.0,,,15-12,,J. Teague misses 2-pt shot from 6 ft
5:51.0,Defensive rebound by M. Williams,,15-12,,
5:35.0,Turnover by J. Lamb (traveling),,15-12,,
5:35.0,T. Graham enters the game for J. Lamb,,15-12,,
5:20.0,,,15-12,,Turnover by T. Gibson (traveling)
5:10.0,T. Graham makes 2-pt shot from 8 ft (assist by K. Walker),2,17-12,,
4:56.0,Personal foul by T. Graham (drawn by A. Wiggins),,17-12,,
4:56.0,F. Kaminsky enters the game for M. Williams,,17-12,,
4:45.0,,,17-14,2,K. Towns makes 2-pt shot from 6 ft (assist by J. Teague)
4:22.0,F. Kaminsky misses 2-pt shot from 8 ft,,17-14,,
4:19.0,,,17-14,,Defensive rebound by J. Butler
4:09.0,,,17-14,,K. Towns misses 2-pt shot from 1 ft
4:07.0,Defensive rebound by T. Graham,,17-14,,
3:58.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker),3,20-14,,
3:33.0,,,20-16,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
3:15.0,K. Walker misses 2-pt shot from 18 ft,,20-16,,
3:13.0,,,20-16,,Defensive rebound by T. Gibson
3:06.0,,,20-19,3,A. Wiggins makes 3-pt shot from 25 ft (assist by J. Teague)
2:59.0,Charlotte full timeout,,20-19,,
2:59.0,,,20-19,,G. Dieng enters the game for K. Towns
2:59.0,C. Zeller enters the game for D. Howard,,20-19,,
2:50.0,K. Walker misses 3-pt shot from 26 ft,,20-19,,
2:47.0,,,20-19,,Defensive rebound by T. Gibson
2:38.0,,,20-21,2,J. Butler makes 2-pt shot from 15 ft (assist by J. Teague)
2:24.0,T. Graham makes 2-pt shot from 1 ft (assist by F. Kaminsky),2,22-21,,
2:24.0,,,22-21,,Violation by G. Dieng (def goaltending)
2:19.0,Personal foul by D. Bacon (drawn by J. Butler),,22-21,,
2:19.0,,,22-21,,J. Crawford enters the game for J. Butler
2:19.0,,,22-21,,N. Bjelica enters the game for T. Gibson
2:03.0,,,22-21,,G. Dieng misses 2-pt shot from 14 ft
2:01.0,Defensive rebound by F. Kaminsky,,22-21,,
1:56.0,Turnover by K. Walker (bad pass),,22-21,,
1:56.0,M. Monk enters the game for D. Bacon,,22-21,,
1:56.0,J. Lamb enters the game for K. Walker,,22-21,,
1:42.0,,,22-21,,G. Dieng misses 2-pt shot from 19 ft
1:38.0,Defensive rebound by M. Monk,,22-21,,
1:31.0,F. Kaminsky makes 2-pt shot from 7 ft (assist by M. Monk),2,24-21,,
1:22.0,,,24-23,2,J. Teague makes 2-pt shot at rim
1:02.0,C. Zeller misses 2-pt shot from 5 ft,,24-23,,
1:00.0,,,24-23,,Defensive rebound by G. Dieng
0:47.0,,,24-25,2,G. Dieng makes 2-pt shot from 1 ft (assist by J. Teague)
0:41.0,Shooting foul by J. Teague (drawn by M. Monk),,24-25,,
0:41.0,M. Monk misses free throw 1 of 2,,24-25,,
0:41.0,Offensive rebound by Team,,24-25,,
0:41.0,,,24-25,,T. Jones enters the game for J. Teague
0:41.0,M. Monk makes free throw 2 of 2,1,25-25,,
0:26.0,,,25-28,3,J. Crawford makes 3-pt shot from 25 ft (assist by T. Jones)
0:05.0,T. Graham makes 3-pt shot from 23 ft (assist by M. Monk),3,28-28,,
0:01.0,,,28-28,,J. Crawford misses 3-pt shot from 31 ft
0:01.0,Defensive rebound by F. Kaminsky,,28-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,J. Lamb makes 2-pt shot from 20 ft,2,30-28,,
11:27.0,,,30-28,,S. Muhammad misses 3-pt shot from 24 ft
11:27.0,Defensive rebound by J. Lamb,,30-28,,
11:17.0,F. Kaminsky misses 3-pt shot from 26 ft,,30-28,,
11:13.0,,,30-28,,Defensive rebound by S. Muhammad
11:06.0,,,30-28,,J. Crawford misses 2-pt shot from 18 ft
11:02.0,Defensive rebound by C. Zeller,,30-28,,
10:55.0,C. Zeller makes 2-pt shot at rim (assist by M. Monk),2,32-28,,
10:33.0,,,32-31,3,J. Crawford makes 3-pt shot from 25 ft (assist by N. Bjelica)
10:33.0,,,32-31,,Shooting foul by J. Lamb (drawn by J. Crawford)
10:33.0,,,32-32,1,J. Crawford makes free throw 1 of 1
10:17.0,M. Monk misses 2-pt shot from 21 ft,,32-32,,
10:14.0,,,32-32,,Defensive rebound by N. Bjelica
10:05.0,,,32-32,,T. Jones misses 2-pt shot from 7 ft
10:05.0,,,32-32,,Offensive rebound by G. Dieng
10:05.0,,,32-32,,Shooting foul by T. Graham (drawn by G. Dieng)
10:05.0,,,32-33,1,G. Dieng makes free throw 1 of 2
10:05.0,,,32-34,1,G. Dieng makes free throw 2 of 2
9:50.0,F. Kaminsky misses 2-pt shot from 5 ft,,32-34,,
9:46.0,,,32-34,,Defensive rebound by T. Jones
9:40.0,,,32-34,,G. Dieng misses 2-pt shot from 7 ft
9:38.0,Defensive rebound by C. Zeller,,32-34,,
9:34.0,,,32-34,,Personal foul by T. Jones (drawn by M. Monk)
9:27.0,C. Zeller makes 2-pt shot from 6 ft (assist by M. Monk),2,34-34,,
9:04.0,Personal foul by M. Monk (drawn by T. Jones),,34-34,,
9:00.0,,,34-36,2,J. Crawford makes 2-pt shot from 22 ft
8:46.0,,,34-36,,Personal foul by J. Crawford (drawn by C. Zeller)
8:41.0,J. Lamb misses 2-pt shot from 21 ft,,34-36,,
8:38.0,,,34-36,,Defensive rebound by G. Dieng
