time,New York,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. K. Porzingis (L. Markkanen gains possession),,,,Jump ball: R. Lopez vs. K. Porzingis (L. Markkanen gains possession)
11:38.0,,,0-0,,R. Lopez misses 2-pt shot from 8 ft
11:35.0,Defensive rebound by E. Kanter,,0-0,,
11:20.0,K. Porzingis makes 2-pt shot from 18 ft (assist by C. Lee),2,2-0,,
11:08.0,,,2-0,,L. Markkanen misses 3-pt shot from 24 ft
11:05.0,Defensive rebound by J. Jack,,2-0,,
11:02.0,K. Porzingis makes 2-pt shot at rim (assist by J. Jack),2,4-0,,
10:50.0,,,4-2,2,L. Markkanen makes 2-pt shot at rim (assist by K. Dunn)
10:27.0,C. Lee misses 2-pt shot from 4 ft,,4-2,,
10:24.0,,,4-2,,Defensive rebound by R. Lopez
10:11.0,,,4-2,,Turnover by K. Dunn (bad pass; steal by K. Porzingis)
10:05.0,J. Jack makes 2-pt shot from 2 ft (assist by C. Lee),2,6-2,,
9:52.0,,,6-2,,Turnover by K. Dunn (bad pass)
9:30.0,C. Lee misses 3-pt shot from 23 ft,,6-2,,
9:26.0,,,6-2,,Defensive rebound by R. Lopez
9:14.0,,,6-4,2,R. Lopez makes 2-pt shot from 1 ft (assist by J. Holiday)
9:14.0,,,6-4,,Shooting foul by E. Kanter (drawn by R. Lopez)
9:14.0,,,6-5,1,R. Lopez makes free throw 1 of 1
8:54.0,D. McDermott misses 3-pt shot from 25 ft,,6-5,,
8:49.0,,,6-5,,Defensive rebound by J. Holiday
8:41.0,,,6-5,,K. Dunn misses 2-pt shot at rim
8:39.0,Defensive rebound by E. Kanter,,6-5,,
8:35.0,K. Porzingis makes 2-pt shot from 17 ft (assist by J. Jack),2,8-5,,
8:22.0,,,8-5,,R. Lopez misses 2-pt shot from 19 ft
8:19.0,Defensive rebound by E. Kanter,,8-5,,
8:12.0,J. Jack makes 2-pt shot from 20 ft,2,10-5,,
8:02.0,,,10-5,,Turnover by D. Valentine (traveling)
7:52.0,J. Jack misses 2-pt shot from 4 ft,,10-5,,
7:48.0,,,10-5,,Defensive rebound by D. Valentine
7:34.0,,,10-5,,K. Dunn misses 2-pt shot from 5 ft
7:33.0,Defensive rebound by E. Kanter,,10-5,,
7:25.0,C. Lee misses 2-pt shot from 17 ft,,10-5,,
7:21.0,,,10-5,,Defensive rebound by D. Valentine
7:13.0,,,10-5,,L. Markkanen misses 2-pt shot from 18 ft
7:09.0,Defensive rebound by J. Jack,,10-5,,
7:02.0,K. Porzingis misses 3-pt shot from 24 ft,,10-5,,
7:00.0,,,10-5,,Defensive rebound by J. Holiday
6:50.0,,,10-7,2,R. Lopez makes 2-pt shot from 1 ft (assist by J. Holiday)
6:40.0,Turnover by J. Jack (lost ball; steal by K. Dunn),,10-7,,
6:37.0,,,10-9,2,K. Dunn makes 2-pt shot at rim
6:12.0,E. Kanter misses 2-pt shot from 2 ft,,10-9,,
6:09.0,,,10-9,,Defensive rebound by J. Holiday
6:04.0,,,10-11,2,D. Valentine makes 2-pt shot from 1 ft
6:04.0,New York full timeout,,10-11,,
5:47.0,Shooting foul by K. Dunn (drawn by K. Porzingis),,10-11,,
5:47.0,K. Porzingis makes free throw 1 of 2,1,11-11,,
5:47.0,F. Ntilikina enters the game for J. Jack,,11-11,,
5:47.0,K. Porzingis makes free throw 2 of 2,1,12-11,,
5:35.0,,,12-13,2,L. Markkanen makes 2-pt shot at rim
