time,Atlanta,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. D. Dedmon (J. Bell gains possession),,,,Jump ball: Z. Pachulia vs. D. Dedmon (J. Bell gains possession)
11:44.0,,,0-0,,S. Curry misses 2-pt shot from 14 ft
11:41.0,Defensive rebound by D. Dedmon,,0-0,,
11:26.0,D. Schroder misses 2-pt shot from 10 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by S. Curry
11:17.0,,,0-2,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
11:00.0,J. Collins misses 2-pt shot from 17 ft,,0-2,,
10:56.0,,,0-2,,Defensive rebound by Z. Pachulia
10:52.0,,,0-2,,P. McCaw misses 2-pt shot from 2 ft (block by T. Waller-Prince)
10:46.0,Defensive rebound by D. Dedmon,,0-2,,
10:43.0,D. Lee misses 3-pt shot from 24 ft,,0-2,,
10:40.0,,,0-2,,Defensive rebound by Z. Pachulia
10:37.0,,,0-2,,S. Curry misses 3-pt shot from 29 ft
10:30.0,,,0-2,,Offensive rebound by J. Bell
10:28.0,,,0-2,,Turnover by J. Bell (bad pass; steal by D. Dedmon)
10:24.0,D. Schroder makes 2-pt shot from 3 ft (assist by D. Dedmon),2,2-2,,
10:24.0,,,2-2,,Golden State full timeout
10:24.0,,,2-2,,A. Iguodala enters the game for P. McCaw
10:04.0,Personal foul by T. Waller-Prince (drawn by A. Iguodala),,2-2,,
10:00.0,,,2-2,,N. Young misses 2-pt shot from 12 ft
9:56.0,Defensive rebound by D. Lee,,2-2,,
9:52.0,D. Dedmon makes 2-pt shot from 2 ft (assist by D. Schroder),2,4-2,,
9:31.0,,,4-2,,Z. Pachulia misses 2-pt shot from 2 ft (block by J. Collins)
9:27.0,Defensive rebound by J. Collins,,4-2,,
9:11.0,D. Schroder makes 2-pt shot from 10 ft,2,6-2,,
8:59.0,,,6-2,,J. Bell misses 2-pt shot from 2 ft
8:56.0,Defensive rebound by D. Dedmon,,6-2,,
8:54.0,D. Schroder misses 3-pt shot from 25 ft,,6-2,,
8:51.0,,,6-2,,Defensive rebound by Team
8:51.0,Loose ball foul by J. Collins (drawn by Z. Pachulia),,6-2,,
8:40.0,,,6-4,2,S. Curry makes 2-pt shot from 17 ft
8:18.0,D. Dedmon misses 2-pt shot from 12 ft,,6-4,,
8:14.0,,,6-4,,Defensive rebound by S. Curry
8:09.0,,,6-4,,J. Bell misses 2-pt shot from 4 ft
8:05.0,Defensive rebound by D. Lee,,6-4,,
8:03.0,T. Waller-Prince misses 3-pt shot from 27 ft,,6-4,,
7:59.0,Offensive rebound by D. Dedmon,,6-4,,
7:56.0,D. Schroder misses 3-pt shot from 27 ft,,6-4,,
7:53.0,,,6-4,,Defensive rebound by Z. Pachulia
7:48.0,,,6-6,2,J. Bell makes 2-pt shot from 13 ft (assist by N. Young)
7:26.0,D. Dedmon misses 3-pt shot from 26 ft,,6-6,,
7:23.0,,,6-6,,Defensive rebound by S. Curry
7:18.0,,,6-6,,Shooting foul by D. Dedmon (drawn by J. Bell)
7:18.0,,,6-7,1,J. Bell makes free throw 1 of 2
7:18.0,,,6-8,1,J. Bell makes free throw 2 of 2
7:04.0,J. Collins makes 2-pt shot from 2 ft (assist by D. Schroder),2,8-8,,
6:47.0,,,8-8,,A. Iguodala misses 3-pt shot from 25 ft
6:44.0,Defensive rebound by D. Lee,,8-8,,
6:37.0,,,8-8,,Personal foul by J. Bell (drawn by D. Schroder)
6:26.0,J. Collins makes 2-pt shot from 5 ft (assist by D. Schroder),2,10-8,,
6:15.0,,,10-8,,S. Curry misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by T. Waller-Prince,,10-8,,
6:06.0,T. Waller-Prince misses 2-pt shot from 19 ft,,10-8,,
6:02.0,,,10-8,,Defensive rebound by J. Bell
5:54.0,,,10-8,,N. Young misses 3-pt shot from 26 ft
5:48.0,,,10-8,,Offensive rebound by J. Bell
5:48.0,,,10-8,,J. Bell misses 2-pt shot at rim
5:46.0,Defensive rebound by T. Waller-Prince,,10-8,,
5:29.0,D. Schroder makes 2-pt shot from 2 ft,2,12-8,,
5:17.0,,,12-8,,S. Curry misses 2-pt shot from 16 ft
5:14.0,,,12-8,,Offensive rebound by Z. Pachulia
5:14.0,,,12-8,,Z. Pachulia misses 2-pt shot from 1 ft (block by D. Dedmon)
5:12.0,Defensive rebound by T. Waller-Prince,,12-8,,
4:59.0,T. Waller-Prince misses 3-pt shot from 23 ft,,12-8,,
4:56.0,,,12-8,,Defensive rebound by S. Curry
4:45.0,,,12-10,2,N. Young makes 2-pt shot from 13 ft
4:42.0,Atlanta full timeout,,12-10,,
4:42.0,,,12-10,,J. McGee enters the game for J. Bell
4:42.0,,,12-10,,K. Looney enters the game for Z. Pachulia
4:42.0,M. Muscala enters the game for T. Waller-Prince,,12-10,,
4:42.0,T. Dorsey enters the game for J. Collins,,12-10,,
4:24.0,D. Schroder makes 2-pt shot from 17 ft,2,14-10,,
4:03.0,,,14-10,,N. Young misses 2-pt shot from 12 ft
4:01.0,Defensive rebound by Team,,14-10,,
4:01.0,,,14-10,,Q. Cook enters the game for N. Young
4:01.0,T. Cavanaugh enters the game for D. Dedmon,,14-10,,
3:53.0,,,14-10,,Personal foul by Q. Cook (drawn by T. Dorsey)
3:44.0,M. Muscala makes 2-pt shot from 2 ft (assist by D. Schroder),2,16-10,,
3:32.0,,,16-10,,S. Curry misses 3-pt shot from 24 ft
3:29.0,Defensive rebound by D. Lee,,16-10,,
3:21.0,D. Schroder misses 3-pt shot from 27 ft,,16-10,,
3:15.0,Offensive rebound by T. Cavanaugh,,16-10,,
3:14.0,M. Muscala misses 3-pt shot from 27 ft,,16-10,,
3:11.0,,,16-10,,Defensive rebound by Q. Cook
3:03.0,,,16-10,,Turnover by Q. Cook (bad pass; steal by D. Schroder)
2:55.0,Turnover by T. Dorsey (bad pass; steal by Q. Cook),,16-10,,
2:50.0,,,16-12,2,Q. Cook makes 2-pt shot from 1 ft
2:29.0,D. Lee misses 2-pt shot from 12 ft,,16-12,,
2:23.0,,,16-12,,Defensive rebound by J. McGee
2:18.0,,,16-12,,J. McGee misses 2-pt shot from 5 ft (block by M. Muscala)
2:18.0,Defensive rebound by Team,,16-12,,
2:18.0,,,16-12,,S. Livingston enters the game for S. Curry
2:18.0,A. White enters the game for D. Schroder,,16-12,,
2:18.0,I. Taylor enters the game for D. Lee,,16-12,,
2:12.0,Jump ball: J. McGee vs. M. Muscala ( gains possession),,,,Jump ball: J. McGee vs. M. Muscala ( gains possession)
2:03.0,T. Dorsey makes 2-pt shot from 3 ft,2,18-12,,
1:47.0,,,18-12,,S. Livingston misses 2-pt shot from 11 ft
1:44.0,Defensive rebound by A. White,,18-12,,
1:34.0,A. White misses 2-pt shot from 18 ft,,18-12,,
1:32.0,,,18-12,,Defensive rebound by J. McGee
1:19.0,,,18-14,2,A. Iguodala makes 2-pt shot from 9 ft
1:07.0,T. Dorsey misses 2-pt shot from 11 ft,,18-14,,
1:04.0,,,18-14,,Defensive rebound by Team
1:04.0,J. Collins enters the game for T. Cavanaugh,,18-14,,
0:48.0,,,18-14,,A. Iguodala misses 2-pt shot from 18 ft
0:45.0,Defensive rebound by M. Muscala,,18-14,,
0:29.0,,,18-14,,Personal foul by K. Looney (drawn by I. Taylor)
0:23.0,I. Taylor misses 2-pt shot from 5 ft,,18-14,,
0:19.0,,,18-14,,Defensive rebound by Q. Cook
0:04.0,,,18-16,2,Q. Cook makes 2-pt shot from 18 ft
0:00.0,T. Dorsey misses 3-pt shot from 28 ft,,18-16,,
0:00.0,Offensive rebound by Team,,18-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Shooting foul by P. McCaw (drawn by I. Taylor),,18-16,,
11:42.0,I. Taylor misses free throw 1 of 2,,18-16,,
11:42.0,Offensive rebound by Team,,18-16,,
11:42.0,I. Taylor misses free throw 2 of 2,,18-16,,
11:40.0,,,18-16,,Defensive rebound by Q. Cook
11:25.0,,,18-16,,S. Livingston misses 2-pt shot from 13 ft
11:21.0,Defensive rebound by J. Collins,,18-16,,
11:14.0,Shooting foul by S. Livingston (drawn by J. Collins),,18-16,,
11:14.0,J. Collins misses free throw 1 of 2,,18-16,,
11:14.0,Offensive rebound by Team,,18-16,,
11:14.0,J. Collins makes free throw 2 of 2,1,19-16,,
11:02.0,,,19-16,,P. McCaw misses 2-pt shot from 18 ft
10:59.0,Defensive rebound by T. Waller-Prince,,19-16,,
