time,LA Lakers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. B. Lopez (L. Nance gains possession),,,,Jump ball: J. Nurkic vs. B. Lopez (L. Nance gains possession)
11:45.0,B. Lopez misses 3-pt shot from 25 ft,,0-0,,
11:45.0,Offensive rebound by Team,,0-0,,
11:33.0,B. Lopez misses 2-pt shot from 2 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by M. Harkless
11:20.0,,,0-2,2,C. McCollum makes 2-pt shot at rim
10:53.0,K. Caldwell-Pope makes 2-pt shot from 16 ft,2,2-2,,
10:37.0,,,2-4,2,C. McCollum makes 2-pt shot from 18 ft (assist by J. Nurkic)
10:20.0,B. Ingram makes 2-pt shot from 21 ft (assist by L. Nance),2,4-4,,
9:56.0,,,4-4,,J. Nurkic misses 2-pt shot from 6 ft
9:53.0,,,4-4,,Offensive rebound by N. Vonleh
9:51.0,,,4-7,3,D. Lillard makes 3-pt shot from 26 ft (assist by N. Vonleh)
9:28.0,B. Ingram misses 2-pt shot from 8 ft (block by N. Vonleh),,4-7,,
9:26.0,,,4-7,,Defensive rebound by C. McCollum
9:17.0,,,4-7,,N. Vonleh misses 2-pt shot at rim
9:17.0,Defensive rebound by L. Nance,,4-7,,
9:03.0,Turnover by K. Caldwell-Pope (lost ball; steal by J. Nurkic),,4-7,,
8:54.0,,,4-10,3,C. McCollum makes 3-pt shot from 24 ft (assist by J. Nurkic)
8:40.0,B. Lopez makes 2-pt shot from 15 ft (assist by L. Ball),2,6-10,,
8:25.0,,,6-12,2,J. Nurkic makes 2-pt shot from 19 ft (assist by C. McCollum)
8:11.0,L. Nance misses 2-pt shot from 18 ft,,6-12,,
8:09.0,,,6-12,,Defensive rebound by M. Harkless
7:58.0,,,6-14,2,J. Nurkic makes 2-pt shot from 11 ft (assist by D. Lillard)
7:50.0,LA Lakers full timeout,,6-14,,
7:46.0,Turnover by L. Ball (out of bounds lost ball),,6-14,,
7:34.0,,,6-16,2,M. Harkless makes 2-pt shot at rim (assist by J. Nurkic)
7:19.0,,,6-16,,Personal foul by N. Vonleh (drawn by B. Ingram)
7:11.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,6-16,,
7:05.0,Offensive rebound by L. Nance,,6-16,,
7:05.0,L. Nance makes 2-pt shot at rim,2,8-16,,
6:56.0,,,8-16,,Turnover by D. Lillard (bad pass; steal by K. Caldwell-Pope)
6:51.0,K. Caldwell-Pope makes 2-pt shot at rim,2,10-16,,
6:43.0,,,10-18,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
6:39.0,,,10-18,,Personal foul by J. Nurkic (drawn by B. Lopez)
6:39.0,B. Lopez makes clear path free throw 2 of 2,1,11-18,,
6:39.0,B. Lopez makes clear path free throw 1 of 2,1,12-18,,
6:28.0,B. Ingram misses 2-pt shot from 1 ft (block by N. Vonleh),,12-18,,
6:23.0,,,12-18,,Defensive rebound by D. Lillard
6:23.0,,,12-18,,Shooting foul by L. Nance (drawn by D. Lillard)
6:23.0,,,12-19,1,D. Lillard makes free throw 1 of 2
6:23.0,,,12-20,1,D. Lillard makes free throw 2 of 2
6:11.0,B. Ingram misses 3-pt shot from 24 ft,,12-20,,
6:10.0,,,12-20,,Defensive rebound by Team
6:10.0,Loose ball foul by L. Nance (drawn by N. Vonleh),,12-20,,
