time,Denver,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. N. Jokic (J. Murray gains possession),,,,Jump ball: T. Maker vs. N. Jokic (J. Murray gains possession)
11:44.0,N. Jokic misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,0-0,,
11:39.0,Offensive rebound by N. Jokic,,0-0,,
11:39.0,N. Jokic makes 2-pt shot from 1 ft,2,2-0,,
11:23.0,,,2-0,,Turnover by G. Antetokounmpo (lost ball; steal by N. Jokic)
11:17.0,W. Barton makes 3-pt shot from 25 ft (assist by N. Jokic),3,5-0,,
11:00.0,Personal foul by N. Jokic (drawn by K. Middleton),,5-0,,
10:55.0,,,5-3,3,G. Antetokounmpo makes 3-pt shot from 25 ft (assist by T. Maker)
10:33.0,W. Barton misses 2-pt shot from 2 ft,,5-3,,
10:31.0,,,5-3,,Defensive rebound by G. Antetokounmpo
10:27.0,,,5-3,,G. Antetokounmpo misses 2-pt shot from 19 ft
10:23.0,Defensive rebound by N. Jokic,,5-3,,
10:22.0,,,5-3,,Personal foul by T. Maker (drawn by N. Jokic)
10:17.0,G. Harris makes 3-pt shot from 26 ft (assist by N. Jokic),3,8-3,,
10:02.0,,,8-3,,K. Middleton misses 2-pt shot from 3 ft (block by N. Jokic)
9:59.0,Defensive rebound by N. Jokic,,8-3,,
9:54.0,W. Barton makes 3-pt shot from 26 ft (assist by J. Murray),3,11-3,,
9:29.0,,,11-5,2,E. Bledsoe makes 2-pt shot from 10 ft
9:18.0,Turnover by N. Jokic (bad pass; steal by E. Bledsoe),,11-5,,
9:14.0,,,11-5,,Turnover by G. Antetokounmpo (bad pass)
8:59.0,G. Harris makes 2-pt shot at rim (assist by N. Jokic),2,13-5,,
8:52.0,,,13-7,2,E. Bledsoe makes 2-pt shot at rim
8:39.0,W. Barton makes 3-pt shot from 27 ft,3,16-7,,
8:26.0,,,16-10,3,T. Snell makes 3-pt shot from 26 ft (assist by E. Bledsoe)
8:18.0,Turnover by W. Barton (out of bounds lost ball),,16-10,,
8:07.0,,,16-10,,Turnover by G. Antetokounmpo (bad pass; steal by W. Barton)
8:04.0,Shooting foul by T. Snell (drawn by W. Barton),,16-10,,
8:04.0,W. Barton makes free throw 1 of 2,1,17-10,,
8:04.0,W. Barton makes free throw 2 of 2,1,18-10,,
7:53.0,,,18-12,2,T. Snell makes 2-pt shot from 1 ft (assist by E. Bledsoe)
7:43.0,G. Harris makes 2-pt shot from 2 ft,2,20-12,,
7:27.0,,,20-15,3,K. Middleton makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
7:27.0,,,20-15,,Shooting foul by J. Murray (drawn by K. Middleton)
7:27.0,,,20-15,,K. Middleton misses free throw 1 of 1
7:23.0,,,20-15,,Offensive rebound by G. Antetokounmpo
7:20.0,,,20-15,,T. Snell misses 3-pt shot from 26 ft
7:17.0,Defensive rebound by G. Harris,,20-15,,
7:04.0,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic),2,22-15,,
7:04.0,,,22-15,,Milwaukee full timeout
6:48.0,,,22-15,,T. Maker misses 3-pt shot from 26 ft
6:48.0,,,22-15,,Offensive rebound by Team
6:48.0,Loose ball foul by W. Chandler (drawn by G. Antetokounmpo),,22-15,,
6:38.0,,,22-15,,E. Bledsoe misses 3-pt shot from 26 ft
6:33.0,Defensive rebound by N. Jokic,,22-15,,
6:26.0,Turnover by N. Jokic (lost ball; steal by T. Snell),,22-15,,
6:22.0,,,22-15,,T. Snell misses 2-pt shot from 2 ft
6:22.0,,,22-15,,Offensive rebound by Team
6:22.0,,,22-15,,J. Parker enters the game for G. Antetokounmpo
6:10.0,,,22-17,2,K. Middleton makes 2-pt shot from 9 ft
5:51.0,W. Barton misses 3-pt shot from 23 ft,,22-17,,
5:49.0,Offensive rebound by N. Jokic,,22-17,,
5:48.0,N. Jokic makes 2-pt shot from 1 ft,2,24-17,,
5:36.0,,,24-17,,J. Parker misses 2-pt shot from 5 ft
5:33.0,Defensive rebound by W. Chandler,,24-17,,
5:21.0,Turnover by W. Chandler (bad pass; steal by J. Parker),,24-17,,
5:09.0,,,24-19,2,J. Parker makes 2-pt shot from 15 ft (assist by T. Maker)
5:00.0,N. Jokic makes 2-pt shot from 1 ft (assist by J. Murray),2,26-19,,
