time,Atlanta,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Dedmon (J. Jerebko gains possession),,,,Jump ball: R. Gobert vs. D. Dedmon (J. Jerebko gains possession)
11:46.0,,,0-0,,J. Jerebko misses 2-pt shot from 18 ft
11:42.0,Defensive rebound by D. Dedmon,,0-0,,
11:30.0,D. Schroder misses 3-pt shot from 25 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by J. Ingles
11:18.0,,,0-2,2,J. Ingles makes 2-pt shot from 2 ft
11:10.0,T. Waller-Prince misses 3-pt shot from 25 ft,,0-2,,
11:08.0,,,0-2,,Defensive rebound by J. Jerebko
11:00.0,,,0-2,,Turnover by R. Rubio (bad pass)
10:47.0,D. Dedmon makes 2-pt shot from 2 ft (assist by T. Waller-Prince),2,2-2,,
10:30.0,,,2-4,2,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio)
10:30.0,,,2-4,,Shooting foul by D. Dedmon (drawn by R. Gobert)
10:30.0,,,2-5,1,R. Gobert makes free throw 1 of 1
10:16.0,Shooting foul by J. Ingles (drawn by D. Schroder),,2-5,,
10:16.0,D. Schroder makes free throw 1 of 2,1,3-5,,
10:16.0,D. Schroder makes free throw 2 of 2,1,4-5,,
10:05.0,,,4-5,,J. Ingles misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by D. Schroder,,4-5,,
9:51.0,Shooting foul by R. Rubio (drawn by D. Schroder),,4-5,,
9:51.0,D. Schroder misses free throw 1 of 2,,4-5,,
9:51.0,Offensive rebound by Team,,4-5,,
9:51.0,D. Schroder misses free throw 2 of 2,,4-5,,
9:48.0,Offensive rebound by D. Dedmon,,4-5,,
9:41.0,D. Schroder misses 2-pt shot from 15 ft,,4-5,,
9:38.0,,,4-5,,Defensive rebound by D. Mitchell
9:30.0,,,4-7,2,R. Rubio makes 2-pt shot from 14 ft (assist by D. Mitchell)
9:11.0,D. Dedmon misses 3-pt shot from 25 ft,,4-7,,
9:08.0,,,4-7,,Defensive rebound by J. Ingles
8:57.0,,,4-7,,J. Jerebko misses 2-pt shot from 7 ft
8:53.0,,,4-7,,Offensive rebound by R. Gobert
8:53.0,,,4-7,,R. Gobert misses 2-pt shot at rim
8:53.0,Defensive rebound by D. Lee,,4-7,,
8:44.0,T. Waller-Prince makes 2-pt shot from 4 ft,2,6-7,,
8:20.0,,,6-10,3,R. Rubio makes 3-pt shot from 25 ft (assist by D. Mitchell)
8:07.0,D. Schroder makes 2-pt shot from 2 ft,2,8-10,,
7:51.0,,,8-10,,R. Rubio misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by D. Dedmon,,8-10,,
7:40.0,T. Waller-Prince misses 2-pt shot from 13 ft,,8-10,,
7:38.0,,,8-10,,Defensive rebound by R. Gobert
7:29.0,,,8-13,3,R. Rubio makes 3-pt shot from 22 ft (assist by J. Ingles)
7:13.0,D. Schroder makes 2-pt shot from 15 ft,2,10-13,,
6:57.0,,,10-13,,R. Rubio misses 2-pt shot from 20 ft
6:55.0,,,10-13,,Offensive rebound by R. Gobert
6:51.0,,,10-13,,R. Rubio misses 2-pt shot from 2 ft
6:49.0,Defensive rebound by D. Dedmon,,10-13,,
6:43.0,,,10-13,,Utah full timeout
6:43.0,,,10-13,,J. Crowder enters the game for J. Jerebko
6:35.0,T. Waller-Prince misses 2-pt shot from 11 ft,,10-13,,
6:33.0,,,10-13,,Defensive rebound by R. Gobert
6:25.0,,,10-13,,D. Mitchell misses 3-pt shot from 24 ft
6:22.0,Defensive rebound by D. Schroder,,10-13,,
