time,Orlando,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. N. Vucevic (J. Randle gains possession),,,,Jump ball: B. Lopez vs. N. Vucevic (J. Randle gains possession)
11:39.0,,,0-0,,J. Randle misses 2-pt shot from 20 ft (block by A. Gordon)
11:35.0,Defensive rebound by D. Augustin,,0-0,,
11:32.0,N. Vucevic misses 3-pt shot from 26 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by K. Caldwell-Pope
11:25.0,Personal foul by N. Vucevic (drawn by B. Lopez),,0-0,,
11:18.0,,,0-0,,L. Ball misses 3-pt shot from 27 ft
11:17.0,Defensive rebound by N. Vucevic,,0-0,,
11:12.0,D. Augustin misses 2-pt shot from 2 ft (block by K. Kuzma),,0-0,,
11:12.0,,,0-0,,Defensive rebound by L. Ball
11:00.0,,,0-2,2,B. Lopez makes 2-pt shot from 8 ft
10:38.0,A. Gordon misses 2-pt shot from 19 ft,,0-2,,
10:38.0,,,0-2,,Defensive rebound by J. Randle
10:28.0,,,0-5,3,K. Kuzma makes 3-pt shot from 23 ft (assist by J. Randle)
10:08.0,N. Vucevic makes 2-pt shot from 17 ft,2,2-5,,
9:51.0,,,2-5,,B. Lopez misses 2-pt shot from 16 ft
9:48.0,Defensive rebound by A. Gordon,,2-5,,
9:44.0,A. Gordon misses 2-pt shot from 7 ft,,2-5,,
9:42.0,Offensive rebound by A. Gordon,,2-5,,
9:28.0,A. Gordon makes 3-pt shot from 25 ft (assist by E. Fournier),3,5-5,,
9:14.0,,,5-5,,Offensive foul by J. Randle (drawn by A. Gordon)
9:14.0,,,5-5,,Turnover by J. Randle (offensive foul)
8:58.0,E. Fournier makes 2-pt shot from 2 ft (assist by N. Vucevic),2,7-5,,
8:46.0,,,7-7,2,K. Kuzma makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
8:32.0,N. Vucevic misses 2-pt shot from 11 ft,,7-7,,
8:30.0,,,7-7,,Defensive rebound by L. Ball
8:26.0,,,7-7,,K. Kuzma misses 3-pt shot from 22 ft
8:24.0,Defensive rebound by N. Vucevic,,7-7,,
8:10.0,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic),2,9-7,,
7:58.0,Personal foul by A. Gordon (drawn by J. Randle),,9-7,,
7:48.0,,,9-7,,K. Caldwell-Pope misses 3-pt shot from 26 ft
7:45.0,Defensive rebound by A. Gordon,,9-7,,
7:38.0,A. Gordon misses 3-pt shot from 26 ft,,9-7,,
7:35.0,,,9-7,,Defensive rebound by L. Ball
7:33.0,Personal foul by J. Simmons (drawn by K. Caldwell-Pope),,9-7,,
7:29.0,,,9-7,,Turnover by B. Lopez (bad pass; steal by J. Simmons)
7:27.0,Shooting foul by L. Ball (drawn by J. Simmons),,9-7,,
7:27.0,J. Simmons misses free throw 1 of 2,,9-7,,
7:27.0,Offensive rebound by Team,,9-7,,
7:27.0,J. Simmons makes free throw 2 of 2,1,10-7,,
7:13.0,,,10-7,,B. Lopez misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by N. Vucevic,,10-7,,
7:01.0,A. Gordon makes 2-pt shot from 1 ft (assist by D. Augustin),2,12-7,,
6:48.0,,,12-7,,L. Ball misses 3-pt shot from 26 ft
