time,Sacramento,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. W. Cauley-Stein (M. Chriss gains possession),,,,Jump ball: T. Chandler vs. W. Cauley-Stein (M. Chriss gains possession)
11:48.0,,,0-0,,Turnover by M. Chriss (lost ball; steal by G. Hill)
11:39.0,B. Hield makes 2-pt shot at rim,2,2-0,,
11:25.0,,,2-2,2,T. Chandler makes 2-pt shot from 1 ft (assist by M. James)
11:11.0,Z. Randolph misses 2-pt shot from 18 ft,,2-2,,
11:08.0,,,2-2,,Defensive rebound by T. Chandler
10:59.0,,,2-4,2,M. Chriss makes 2-pt shot from 3 ft
10:41.0,Turnover by W. Cauley-Stein (bad pass; steal by D. Booker),,2-4,,
10:31.0,,,2-7,3,M. Chriss makes 3-pt shot from 25 ft (assist by D. Booker)
10:11.0,W. Cauley-Stein misses 2-pt shot from 9 ft,,2-7,,
10:08.0,,,2-7,,Defensive rebound by M. Chriss
10:02.0,,,2-9,2,D. Booker makes 2-pt shot from 13 ft
9:45.0,J. Jackson misses 3-pt shot from 24 ft,,2-9,,
9:42.0,,,2-9,,Defensive rebound by T. Chandler
9:36.0,,,2-11,2,D. Booker makes 2-pt shot from 13 ft
9:20.0,G. Hill misses 3-pt shot from 25 ft,,2-11,,
9:17.0,,,2-11,,Defensive rebound by T. Chandler
9:14.0,,,2-11,,D. Booker misses 3-pt shot from 26 ft
9:09.0,Defensive rebound by B. Hield,,2-11,,
9:06.0,B. Hield misses 3-pt shot from 25 ft,,2-11,,
9:03.0,,,2-11,,Defensive rebound by T. Warren
8:55.0,,,2-11,,Turnover by M. James (bad pass; steal by W. Cauley-Stein)
8:53.0,Turnover by B. Hield (out of bounds lost ball),,2-11,,
8:39.0,,,2-11,,D. Booker misses 2-pt shot at rim
8:37.0,Defensive rebound by Z. Randolph,,2-11,,
8:34.0,B. Hield misses 2-pt shot from 2 ft (block by T. Warren),,2-11,,
8:34.0,,,2-11,,Defensive rebound by Team
8:25.0,Personal foul by B. Hield (drawn by D. Booker),,2-11,,
8:19.0,,,2-11,,T. Chandler misses 2-pt shot from 1 ft
8:17.0,,,2-11,,Offensive rebound by T. Chandler
8:17.0,,,2-11,,T. Chandler misses 2-pt shot at rim
8:16.0,Defensive rebound by Z. Randolph,,2-11,,
8:07.0,Z. Randolph misses 2-pt shot from 19 ft,,2-11,,
8:04.0,,,2-11,,Defensive rebound by M. Chriss
7:53.0,,,2-13,2,M. Chriss makes 2-pt shot at rim (assist by D. Booker)
7:47.0,Sacramento full timeout,,2-13,,
7:29.0,J. Jackson makes 2-pt shot from 2 ft (assist by Z. Randolph),2,4-13,,
7:07.0,,,4-15,2,T. Warren makes 2-pt shot from 16 ft (assist by M. James)
6:41.0,Turnover by J. Jackson (bad pass; steal by T. Warren),,4-15,,
6:33.0,,,4-17,2,T. Chandler makes 2-pt shot at rim (assist by M. James)
6:11.0,B. Hield makes 2-pt shot at rim (assist by W. Cauley-Stein),2,6-17,,
5:57.0,,,6-19,2,D. Booker makes 2-pt shot from 5 ft
5:43.0,W. Cauley-Stein makes 2-pt shot from 7 ft,2,8-19,,
5:19.0,,,8-22,3,M. James makes 3-pt shot from 26 ft
5:04.0,W. Cauley-Stein makes 2-pt shot from 17 ft (assist by G. Hill),2,10-22,,
4:54.0,,,10-25,3,M. Chriss makes 3-pt shot from 26 ft (assist by D. Booker)
4:28.0,G. Hill misses 2-pt shot from 9 ft,,10-25,,
4:24.0,Offensive rebound by G. Hill,,10-25,,
4:14.0,,,10-25,,Personal foul by D. Booker (drawn by G. Hill)
4:14.0,,,10-25,,A. Len enters the game for T. Warren
4:14.0,,,10-25,,D. Bender enters the game for M. Chriss
4:14.0,,,10-25,,J. Jackson enters the game for T. Chandler
3:59.0,B. Hield misses 2-pt shot from 17 ft,,10-25,,
3:56.0,,,10-25,,Defensive rebound by A. Len
3:50.0,,,10-27,2,J. Jackson makes 2-pt shot at rim (assist by M. James)
3:39.0,,,10-27,,Personal foul by D. Bender (drawn by Z. Randolph)
3:39.0,D. Fox enters the game for B. Hield,,10-27,,
3:27.0,Turnover by Z. Randolph (traveling),,10-27,,
3:21.0,,,10-27,,Turnover by A. Len (bad pass; steal by G. Hill)
3:11.0,D. Fox misses 2-pt shot from 21 ft,,10-27,,
3:06.0,,,10-27,,Defensive rebound by A. Len
2:59.0,,,10-27,,Shooting foul by Z. Randolph (drawn by A. Len)
2:59.0,,,10-27,,Phoenix full timeout
2:59.0,,,10-27,,T. Ulis enters the game for M. James
2:59.0,S. Labissiere enters the game for G. Hill,,10-27,,
2:59.0,B. Bogdanovic enters the game for J. Jackson,,10-27,,
2:59.0,G. Temple enters the game for Z. Randolph,,10-27,,
2:59.0,,,10-28,1,A. Len makes free throw 1 of 2
2:59.0,,,10-29,1,A. Len makes free throw 2 of 2
2:44.0,B. Bogdanovic misses 2-pt shot from 6 ft,,10-29,,
2:43.0,,,10-29,,Defensive rebound by A. Len
2:33.0,,,10-29,,Offensive foul by A. Len (drawn by B. Bogdanovic)
2:33.0,,,10-29,,Turnover by A. Len (offensive foul)
2:33.0,K. Koufos enters the game for W. Cauley-Stein,,10-29,,
2:14.0,K. Koufos misses 2-pt shot at rim,,10-29,,
2:12.0,,,10-29,,Defensive rebound by D. Booker
2:07.0,,,10-32,3,D. Bender makes 3-pt shot from 26 ft (assist by D. Booker)
1:58.0,D. Fox misses 2-pt shot from 7 ft,,10-32,,
1:58.0,Offensive rebound by Team,,10-32,,
1:57.0,,,10-32,,T. Daniels enters the game for D. Booker
1:44.0,G. Temple makes 3-pt shot from 25 ft (assist by D. Fox),3,13-32,,
1:28.0,,,13-34,2,T. Ulis makes 2-pt shot from 13 ft (assist by A. Len)
1:10.0,S. Labissiere makes 2-pt shot from 8 ft,2,15-34,,
0:56.0,,,15-34,,Turnover by A. Len (lost ball; steal by D. Fox)
0:51.0,D. Fox misses 2-pt shot from 1 ft,,15-34,,
0:51.0,,,15-34,,Defensive rebound by J. Jackson
0:51.0,Loose ball foul by S. Labissiere (drawn by J. Jackson),,15-34,,
0:43.0,Personal block foul by D. Fox (drawn by T. Ulis),,15-34,,
0:43.0,,,15-35,1,T. Ulis makes free throw 1 of 2
0:43.0,,,15-36,1,T. Ulis makes free throw 2 of 2
0:30.0,G. Temple misses 2-pt shot from 1 ft,,15-36,,
0:28.0,,,15-36,,Defensive rebound by A. Len
0:23.0,,,15-36,,J. Jackson misses 3-pt shot from 26 ft
0:19.0,Defensive rebound by D. Fox,,15-36,,
0:05.0,D. Fox makes 2-pt shot from 18 ft,2,17-36,,
0:00.0,,,17-36,,T. Ulis misses 3-pt shot from 37 ft
0:00.0,,,17-36,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,S. Labissiere misses 2-pt shot from 9 ft,,17-36,,
11:42.0,Offensive rebound by K. Koufos,,17-36,,
11:40.0,K. Koufos makes 2-pt shot at rim,2,19-36,,
11:23.0,,,19-36,,J. Jackson misses 3-pt shot from 23 ft
11:21.0,,,19-36,,Offensive rebound by Team
11:08.0,,,19-38,2,A. Len makes 2-pt shot from 1 ft (assist by T. Ulis)
10:50.0,S. Labissiere misses 2-pt shot from 16 ft,,19-38,,
10:49.0,Offensive rebound by K. Koufos,,19-38,,
