time,Milwaukee,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. T. Maker (M. Muscala gains possession),,,,Jump ball: D. Dedmon vs. T. Maker (M. Muscala gains possession)
11:38.0,,,0-0,,K. Bazemore misses 2-pt shot from 15 ft
11:35.0,Defensive rebound by T. Maker,,0-0,,
11:21.0,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by K. Middleton),2,2-0,,
10:58.0,,,2-0,,Turnover by D. Dedmon (out of bounds lost ball)
10:53.0,G. Antetokounmpo makes 3-pt shot from 25 ft (assist by T. Maker),3,5-0,,
10:41.0,,,5-2,2,T. Waller-Prince makes 2-pt shot from 20 ft (assist by D. Schroder)
10:25.0,K. Middleton misses 2-pt shot from 18 ft,,5-2,,
10:22.0,,,5-2,,Defensive rebound by D. Dedmon
10:17.0,,,5-2,,D. Schroder misses 2-pt shot from 1 ft
10:14.0,Defensive rebound by M. Brogdon,,5-2,,
10:06.0,M. Brogdon misses 3-pt shot from 26 ft,,5-2,,
10:02.0,,,5-2,,Defensive rebound by D. Dedmon
9:53.0,Personal foul by T. Snell (drawn by D. Schroder),,5-2,,
9:45.0,,,5-2,,T. Waller-Prince misses 3-pt shot from 22 ft
9:42.0,Defensive rebound by T. Maker,,5-2,,
9:23.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,7-2,,
9:10.0,,,7-2,,Turnover by K. Bazemore (bad pass; steal by K. Middleton)
9:06.0,K. Middleton misses 2-pt shot from 2 ft,,7-2,,
9:00.0,Offensive rebound by G. Antetokounmpo,,7-2,,
9:00.0,G. Antetokounmpo makes 2-pt shot at rim,2,9-2,,
8:51.0,,,9-2,,Turnover by D. Schroder (bad pass; steal by M. Brogdon)
8:44.0,T. Snell makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,12-2,,
8:43.0,,,12-2,,Atlanta full timeout
8:28.0,,,12-4,2,D. Schroder makes 2-pt shot at rim
8:08.0,K. Middleton misses 2-pt shot from 12 ft (block by M. Muscala),,12-4,,
8:04.0,,,12-4,,Defensive rebound by K. Bazemore
8:00.0,,,12-4,,Turnover by T. Waller-Prince (bad pass; steal by K. Middleton)
7:55.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton),2,14-4,,
7:43.0,Personal foul by M. Brogdon (drawn by D. Schroder),,14-4,,
7:43.0,R. Vaughn enters the game for K. Middleton,,14-4,,
7:35.0,,,14-4,,D. Schroder misses 2-pt shot from 18 ft
7:32.0,Defensive rebound by G. Antetokounmpo,,14-4,,
7:21.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,14-4,,
7:18.0,,,14-4,,Defensive rebound by D. Schroder
7:12.0,,,14-4,,K. Bazemore misses 2-pt shot from 17 ft
7:09.0,,,14-4,,Offensive rebound by Team
7:02.0,,,14-7,3,T. Waller-Prince makes 3-pt shot from 23 ft (assist by D. Schroder)
6:43.0,Shooting foul by D. Dedmon (drawn by G. Antetokounmpo),,14-7,,
6:43.0,G. Antetokounmpo misses free throw 1 of 2,,14-7,,
6:43.0,Offensive rebound by Team,,14-7,,
6:43.0,,,14-7,,M. Belinelli enters the game for K. Bazemore
6:43.0,G. Antetokounmpo misses free throw 2 of 2,,14-7,,
6:41.0,,,14-7,,Defensive rebound by D. Dedmon
6:29.0,,,14-9,2,M. Muscala makes 2-pt shot from 15 ft (assist by D. Schroder)
6:16.0,M. Brogdon makes 2-pt shot from 2 ft,2,16-9,,
6:03.0,,,16-9,,M. Muscala misses 2-pt shot from 5 ft
5:58.0,Defensive rebound by R. Vaughn,,16-9,,
5:55.0,Shooting foul by M. Belinelli (drawn by M. Brogdon),,16-9,,
5:55.0,M. Brogdon makes free throw 1 of 2,1,17-9,,
5:55.0,,,17-9,,J. Collins enters the game for D. Dedmon
5:55.0,J. Henson enters the game for T. Maker,,17-9,,
5:55.0,M. Brogdon makes free throw 2 of 2,1,18-9,,
5:42.0,,,18-11,2,J. Collins makes 2-pt shot from 16 ft (assist by M. Belinelli)
5:18.0,G. Antetokounmpo misses 2-pt shot from 14 ft,,18-11,,
5:14.0,,,18-11,,Defensive rebound by M. Muscala
5:10.0,,,18-11,,M. Belinelli misses 3-pt shot from 27 ft
