time,Toronto,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Valanciunas (B. Griffin gains possession),,,,Jump ball: A. Drummond vs. J. Valanciunas (B. Griffin gains possession)
11:47.0,,,0-0,,L. Kennard misses 2-pt shot from 19 ft
11:42.0,Defensive rebound by K. Lowry,,0-0,,
11:24.0,J. Valanciunas misses 3-pt shot from 24 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by B. Griffin
11:14.0,,,0-0,,A. Drummond misses 2-pt shot from 7 ft (block by J. Valanciunas)
11:10.0,Defensive rebound by K. Lowry,,0-0,,
10:53.0,J. Valanciunas misses 2-pt shot from 5 ft,,0-0,,
10:50.0,,,0-0,,Defensive rebound by A. Drummond
10:45.0,,,0-0,,B. Griffin misses 2-pt shot from 19 ft
10:40.0,Defensive rebound by K. Lowry,,0-0,,
10:34.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by K. Lowry),2,2-0,,
10:34.0,Shooting foul by B. Griffin (drawn by J. Valanciunas),,2-0,,
10:34.0,J. Valanciunas makes free throw 1 of 1,1,3-0,,
10:15.0,,,3-2,2,B. Griffin makes 2-pt shot from 5 ft
10:02.0,D. DeRozan misses 2-pt shot from 16 ft,,3-2,,
9:59.0,,,3-2,,Defensive rebound by A. Drummond
9:48.0,,,3-5,3,B. Griffin makes 3-pt shot from 27 ft
9:27.0,D. DeRozan misses 2-pt shot from 14 ft,,3-5,,
9:23.0,,,3-5,,Defensive rebound by B. Griffin
9:19.0,,,3-5,,Turnover by B. Griffin (bad pass; steal by K. Lowry)
9:12.0,N. Powell makes 2-pt shot from 21 ft (assist by K. Lowry),2,5-5,,
9:02.0,,,5-5,,L. Kennard misses 2-pt shot from 17 ft
9:00.0,Defensive rebound by N. Powell,,5-5,,
8:54.0,N. Powell misses 2-pt shot from 4 ft,,5-5,,
8:51.0,,,5-5,,Defensive rebound by A. Drummond
8:44.0,,,5-5,,A. Drummond misses 2-pt shot from 10 ft
8:41.0,Defensive rebound by S. Ibaka,,5-5,,
8:31.0,N. Powell makes 3-pt shot from 25 ft (assist by J. Valanciunas),3,8-5,,
8:18.0,,,8-5,,R. Bullock misses 2-pt shot from 3 ft
8:12.0,,,8-5,,Offensive rebound by A. Drummond
8:12.0,,,8-7,2,A. Drummond makes 2-pt shot at rim
8:03.0,S. Ibaka misses 3-pt shot from 26 ft,,8-7,,
8:00.0,,,8-7,,Defensive rebound by L. Kennard
7:56.0,,,8-7,,A. Drummond misses 2-pt shot from 1 ft
7:55.0,,,8-7,,A. Drummond misses 2-pt shot from 1 ft
7:55.0,,,8-7,,Offensive rebound by A. Drummond
7:54.0,,,8-7,,Offensive rebound by A. Drummond
7:49.0,,,8-7,,A. Drummond misses 2-pt shot at rim
7:47.0,,,8-7,,Offensive rebound by A. Drummond
