time,Houston,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. C. Capela (D. Schroder gains possession),,,,Jump ball: D. Dedmon vs. C. Capela (D. Schroder gains possession)
11:43.0,,,0-0,,T. Waller-Prince misses 2-pt shot from 19 ft
11:40.0,Defensive rebound by E. Gordon,,0-0,,
11:29.0,R. Anderson misses 3-pt shot from 24 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by T. Waller-Prince
11:12.0,,,0-2,2,K. Bazemore makes 2-pt shot from 1 ft
10:52.0,,,0-2,,Violation by M. Muscala (kicked ball)
10:45.0,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden),3,3-2,,
10:24.0,,,3-2,,Offensive charge foul by D. Schroder (drawn by E. Gordon)
10:24.0,,,3-2,,Turnover by D. Schroder (offensive foul)
10:05.0,J. Harden makes 2-pt shot from 5 ft,2,5-2,,
9:54.0,,,5-2,,D. Schroder misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by R. Anderson,,5-2,,
9:36.0,T. Ariza misses 3-pt shot from 23 ft,,5-2,,
9:31.0,,,5-2,,Defensive rebound by D. Dedmon
9:23.0,,,5-4,2,T. Waller-Prince makes 2-pt shot from 2 ft
9:12.0,T. Ariza makes 2-pt shot from 1 ft (assist by C. Capela),2,7-4,,
8:56.0,,,7-4,,T. Waller-Prince misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by R. Anderson,,7-4,,
8:51.0,Shooting foul by M. Muscala (drawn by C. Capela),,7-4,,
8:51.0,C. Capela makes free throw 1 of 2,1,8-4,,
8:51.0,C. Capela makes free throw 2 of 2,1,9-4,,
8:41.0,,,9-6,2,D. Schroder makes 2-pt shot from 2 ft
8:31.0,E. Gordon makes 3-pt shot from 25 ft,3,12-6,,
8:16.0,,,12-6,,Turnover by D. Schroder (bad pass; steal by T. Ariza)
8:13.0,,,12-6,,Atlanta full timeout
8:12.0,T. Ariza makes 2-pt shot from 1 ft,2,14-6,,
7:54.0,,,14-8,2,K. Bazemore makes 2-pt shot from 4 ft
7:36.0,C. Capela misses 2-pt shot from 9 ft,,14-8,,
7:31.0,,,14-8,,Defensive rebound by D. Schroder
7:27.0,,,14-8,,M. Muscala misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by R. Anderson,,14-8,,
7:21.0,J. Harden makes 3-pt shot from 25 ft,3,17-8,,
6:57.0,,,17-10,2,D. Dedmon makes 2-pt shot from 1 ft (assist by K. Bazemore)
6:57.0,Violation by C. Capela (def goaltending),,17-10,,
6:47.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Harden),3,20-10,,
6:31.0,,,20-10,,Shooting foul by T. Ariza (drawn by K. Bazemore)
6:31.0,,,20-10,,K. Bazemore misses free throw 1 of 2
6:31.0,,,20-10,,Offensive rebound by Team
6:31.0,,,20-10,,M. Belinelli enters the game for T. Waller-Prince
6:31.0,P. Tucker enters the game for R. Anderson,,20-10,,
6:31.0,N. Hilario enters the game for C. Capela,,20-10,,
6:31.0,L. Mbah a Moute enters the game for E. Gordon,,20-10,,
6:31.0,,,20-10,,J. Collins enters the game for D. Dedmon
6:31.0,,,20-11,1,K. Bazemore makes free throw 2 of 2
6:14.0,P. Tucker misses 2-pt shot from 13 ft (block by M. Muscala),,20-11,,
6:10.0,,,20-11,,Defensive rebound by M. Muscala
6:08.0,,,20-11,,Shooting foul by T. Ariza (drawn by D. Schroder)
6:08.0,,,20-12,1,D. Schroder makes free throw 1 of 2
6:08.0,,,20-12,,T. Waller-Prince enters the game for K. Bazemore
6:08.0,,,20-13,1,D. Schroder makes free throw 2 of 2
5:58.0,J. Harden misses 2-pt shot from 2 ft,,20-13,,
5:52.0,,,20-13,,Defensive rebound by M. Belinelli
5:48.0,,,20-13,,Turnover by T. Waller-Prince (bad pass)
5:37.0,N. Hilario misses 2-pt shot from 1 ft,,20-13,,
5:34.0,Offensive rebound by J. Harden,,20-13,,
5:28.0,Turnover by N. Hilario (bad pass; steal by M. Belinelli),,20-13,,
5:18.0,,,20-13,,M. Belinelli misses 3-pt shot from 27 ft
5:14.0,Defensive rebound by T. Ariza,,20-13,,
5:03.0,P. Tucker misses 3-pt shot from 24 ft,,20-13,,
5:00.0,,,20-13,,Defensive rebound by J. Collins
4:56.0,,,20-15,2,D. Schroder makes 2-pt shot from 2 ft
4:56.0,Personal foul by L. Mbah a Moute (drawn by D. Schroder),,20-15,,
4:56.0,Turnover by L. Mbah a Moute (turnover),,20-15,,
4:56.0,,,20-15,,L. Babbitt enters the game for M. Muscala
4:56.0,,,20-15,,D. Schroder misses free throw 1 of 1
4:54.0,Defensive rebound by P. Tucker,,20-15,,
4:39.0,Shooting foul by T. Waller-Prince (drawn by J. Harden),,20-15,,
4:39.0,J. Harden makes free throw 1 of 2,1,21-15,,
4:39.0,J. Harden misses free throw 2 of 2,,21-15,,
4:36.0,,,21-15,,Defensive rebound by L. Babbitt
4:24.0,,,21-17,2,D. Schroder makes 2-pt shot from 1 ft
4:13.0,J. Harden misses 3-pt shot from 25 ft,,21-17,,
4:10.0,,,21-17,,Defensive rebound by M. Belinelli
4:02.0,,,21-19,2,J. Collins makes 2-pt shot at rim (assist by M. Belinelli)
3:48.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by J. Harden),2,23-19,,
3:28.0,,,23-19,,Turnover by D. Schroder (bad pass)
3:28.0,,,23-19,,K. Bazemore enters the game for T. Waller-Prince
3:10.0,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by T. Ariza),3,26-19,,
2:53.0,,,26-19,,J. Collins misses 2-pt shot from 2 ft (block by N. Hilario)
2:47.0,Defensive rebound by L. Mbah a Moute,,26-19,,
2:46.0,J. Harden makes 3-pt shot from 25 ft,3,29-19,,
2:46.0,,,29-19,,Atlanta full timeout
2:46.0,,,29-19,,I. Taylor enters the game for D. Schroder
2:46.0,R. Anderson enters the game for T. Ariza,,29-19,,
2:29.0,,,29-19,,M. Belinelli misses 2-pt shot from 19 ft (block by L. Mbah a Moute)
2:21.0,Defensive rebound by J. Harden,,29-19,,
2:19.0,J. Harden misses 3-pt shot from 25 ft,,29-19,,
2:19.0,,,29-19,,Defensive rebound by I. Taylor
2:14.0,,,29-21,2,I. Taylor makes 2-pt shot from 2 ft
1:54.0,N. Hilario makes 2-pt shot from 3 ft (assist by J. Harden),2,31-21,,
