time,Boston,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Baynes (R. Rondo gains possession),,,,Jump ball: A. Davis vs. A. Baynes (R. Rondo gains possession)
11:41.0,,,0-0,,A. Davis misses 2-pt shot from 10 ft
11:37.0,Defensive rebound by A. Horford,,0-0,,
11:17.0,J. Tatum misses 2-pt shot from 15 ft,,0-0,,
11:13.0,Offensive rebound by A. Horford,,0-0,,
11:12.0,T. Rozier makes 3-pt shot from 22 ft (assist by A. Horford),3,3-0,,
10:51.0,,,3-0,,Turnover by E. Moore (bad pass; steal by J. Tatum)
10:47.0,J. Tatum makes 2-pt shot from 1 ft,2,5-0,,
10:47.0,Shooting foul by J. Holiday (drawn by J. Tatum),,5-0,,
10:47.0,J. Tatum makes free throw 1 of 1,1,6-0,,
10:36.0,,,6-0,,R. Rondo misses 2-pt shot from 8 ft
10:32.0,Defensive rebound by T. Rozier,,6-0,,
10:16.0,M. Morris makes 2-pt shot from 8 ft,2,8-0,,
10:02.0,,,8-0,,E. Moore misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by A. Baynes,,8-0,,
9:52.0,T. Rozier misses 3-pt shot from 27 ft,,8-0,,
9:49.0,,,8-0,,Defensive rebound by Team
9:30.0,,,8-0,,A. Davis misses 2-pt shot from 18 ft
9:26.0,Defensive rebound by J. Tatum,,8-0,,
9:17.0,A. Horford misses 2-pt shot from 13 ft,,8-0,,
9:14.0,,,8-0,,Defensive rebound by Team
9:14.0,Jump ball: E. Okafor vs. A. Baynes ( gains possession),,,,Jump ball: E. Okafor vs. A. Baynes ( gains possession)
9:14.0,Loose ball foul by A. Baynes (drawn by E. Okafor),,8-0,,
9:00.0,,,8-0,,E. Moore misses 2-pt shot from 5 ft
8:59.0,Defensive rebound by A. Baynes,,8-0,,
8:49.0,T. Rozier misses 3-pt shot from 22 ft,,8-0,,
8:47.0,,,8-0,,Defensive rebound by E. Okafor
8:35.0,,,8-2,2,R. Rondo makes 2-pt shot from 1 ft (assist by A. Davis)
8:15.0,J. Tatum misses 2-pt shot from 2 ft (block by E. Okafor),,8-2,,
8:15.0,Offensive rebound by Team,,8-2,,
8:11.0,A. Baynes misses 2-pt shot from 2 ft,,8-2,,
8:11.0,,,8-2,,Defensive rebound by A. Davis
8:00.0,Personal foul by J. Tatum (drawn by A. Davis),,8-2,,
7:46.0,,,8-4,2,A. Davis makes 2-pt shot from 14 ft (assist by R. Rondo)
7:28.0,J. Tatum makes 2-pt shot from 3 ft (assist by A. Baynes),2,10-4,,
7:20.0,,,10-4,,R. Rondo misses 2-pt shot from 2 ft (block by A. Baynes)
7:17.0,,,10-4,,Offensive rebound by R. Rondo
7:17.0,Personal block foul by A. Baynes (drawn by R. Rondo),,10-4,,
7:17.0,G. Monroe enters the game for A. Baynes,,10-4,,
7:09.0,,,10-6,2,A. Davis makes 2-pt shot from 8 ft
6:58.0,A. Horford misses 3-pt shot from 26 ft,,10-6,,
6:53.0,,,10-6,,Defensive rebound by J. Holiday
6:44.0,,,10-8,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
6:28.0,Turnover by G. Monroe (bad pass; steal by A. Davis),,10-8,,
6:23.0,,,10-8,,Turnover by A. Davis (lost ball; steal by T. Rozier)
6:18.0,J. Tatum makes 3-pt shot from 26 ft (assist by T. Rozier),3,13-8,,
6:07.0,,,13-10,2,E. Okafor makes 2-pt shot at rim (assist by J. Holiday)
5:45.0,G. Monroe makes 2-pt shot from 3 ft,2,15-10,,
