time,Cleveland,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. K. Love (R. Rubio gains possession),,,,Jump ball: D. Favors vs. K. Love (R. Rubio gains possession)
11:43.0,,,0-0,,D. Favors misses 2-pt shot from 2 ft (block by L. James)
11:39.0,Defensive rebound by J. Crowder,,0-0,,
11:36.0,J. Smith misses 3-pt shot from 25 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by T. Sefolosha
11:19.0,,,0-3,3,R. Rubio makes 3-pt shot from 24 ft (assist by J. Ingles)
10:57.0,K. Love makes 2-pt shot from 5 ft,2,2-3,,
10:45.0,,,2-3,,T. Sefolosha misses 3-pt shot from 23 ft
10:40.0,Defensive rebound by L. James,,2-3,,
10:34.0,J. Crowder makes 2-pt shot from 3 ft (assist by L. James),2,4-3,,
10:18.0,,,4-3,,D. Favors misses 2-pt shot from 5 ft
10:14.0,Defensive rebound by K. Love,,4-3,,
10:04.0,Turnover by J. Calderon (bad pass; steal by D. Favors),,4-3,,
10:04.0,Personal foul by J. Smith (drawn by R. Rubio),,4-3,,
9:44.0,,,4-3,,R. Rubio misses 2-pt shot from 5 ft
9:42.0,,,4-3,,Offensive rebound by D. Favors
9:41.0,,,4-5,2,D. Favors makes 2-pt shot from 1 ft
9:30.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,7-5,,
9:14.0,,,7-5,,Offensive charge foul by D. Favors (drawn by J. Calderon)
9:14.0,,,7-5,,Turnover by D. Favors (offensive foul)
9:03.0,K. Love misses 3-pt shot from 26 ft,,7-5,,
8:58.0,,,7-5,,Defensive rebound by T. Sefolosha
8:49.0,,,7-5,,R. Rubio misses 2-pt shot from 2 ft
8:46.0,Defensive rebound by J. Calderon,,7-5,,
8:35.0,Shooting foul by D. Favors (drawn by K. Love),,7-5,,
8:35.0,K. Love makes free throw 1 of 2,1,8-5,,
8:35.0,,,8-5,,E. Udoh enters the game for D. Favors
8:35.0,K. Love makes free throw 2 of 2,1,9-5,,
8:26.0,,,9-7,2,D. Mitchell makes 2-pt shot from 2 ft (assist by R. Rubio)
8:10.0,L. James makes 2-pt shot from 1 ft (assist by J. Calderon),2,11-7,,
8:00.0,,,11-9,2,R. Rubio makes 2-pt shot from 2 ft
7:41.0,K. Love misses 2-pt shot from 17 ft,,11-9,,
7:39.0,,,11-9,,Defensive rebound by T. Sefolosha
7:34.0,,,11-9,,Turnover by T. Sefolosha (bad pass; steal by L. James)
7:31.0,L. James makes 2-pt shot from 1 ft,2,13-9,,
7:10.0,,,13-12,3,D. Mitchell makes 3-pt shot from 22 ft (assist by J. Ingles)
6:53.0,Turnover by J. Calderon (lost ball; steal by R. Rubio),,13-12,,
6:51.0,,,13-12,,Offensive foul by J. Ingles (drawn by K. Love)
6:51.0,,,13-12,,Turnover by J. Ingles (offensive foul)
6:51.0,,,13-12,,Utah full timeout
6:37.0,L. James misses 2-pt shot from 2 ft (block by R. Rubio),,13-12,,
6:35.0,,,13-12,,Defensive rebound by R. Rubio
6:29.0,,,13-12,,T. Sefolosha misses 2-pt shot from 1 ft
6:27.0,,,13-12,,Offensive rebound by T. Sefolosha
6:10.0,,,13-12,,R. Rubio misses 3-pt shot from 24 ft
6:06.0,Defensive rebound by K. Love,,13-12,,
5:48.0,K. Love misses 3-pt shot from 24 ft,,13-12,,
5:45.0,Offensive rebound by L. James,,13-12,,
5:45.0,L. James makes 2-pt shot from 2 ft,2,15-12,,
5:24.0,,,15-12,,T. Sefolosha misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by Team,,15-12,,
5:22.0,,,15-12,,R. Hood enters the game for R. Rubio
5:07.0,L. James makes 2-pt shot from 17 ft,2,17-12,,
4:49.0,,,17-12,,D. Mitchell misses 3-pt shot from 28 ft
4:47.0,Defensive rebound by K. Love,,17-12,,
4:30.0,J. Smith makes 3-pt shot from 24 ft (assist by J. Calderon),3,20-12,,
4:12.0,Personal foul by J. Crowder (drawn by E. Udoh),,20-12,,
4:12.0,D. Wade enters the game for L. James,,20-12,,
4:12.0,J. Green enters the game for J. Calderon,,20-12,,
4:12.0,,,20-12,,J. Johnson enters the game for T. Sefolosha
4:03.0,,,20-14,2,D. Mitchell makes 2-pt shot from 1 ft
3:53.0,,,20-14,,Personal foul by E. Udoh (drawn by K. Love)
3:53.0,,,20-14,,A. Burks enters the game for J. Ingles
3:52.0,Turnover by J. Crowder (bad pass),,20-14,,
3:41.0,,,20-14,,E. Udoh misses 2-pt shot from 2 ft
3:37.0,Defensive rebound by K. Love,,20-14,,
3:35.0,K. Love misses 3-pt shot from 25 ft,,20-14,,
3:35.0,,,20-14,,Defensive rebound by A. Burks
3:11.0,,,20-14,,D. Mitchell misses 3-pt shot from 27 ft
3:08.0,Defensive rebound by K. Love,,20-14,,
3:02.0,J. Green misses 2-pt shot from 5 ft,,20-14,,
3:00.0,Offensive rebound by J. Green,,20-14,,
3:00.0,J. Green misses 2-pt shot from 2 ft,,20-14,,
3:00.0,Offensive rebound by Team,,20-14,,
3:00.0,Shooting foul by A. Burks (drawn by J. Green),,20-14,,
3:00.0,J. Green makes free throw 1 of 2,1,21-14,,
3:00.0,T. Thompson enters the game for K. Love,,21-14,,
3:00.0,J. Green makes free throw 2 of 2,1,22-14,,
3:00.0,,,22-14,,Utah full timeout
3:00.0,L. James enters the game for J. Crowder,,22-14,,
2:48.0,,,22-14,,R. Hood misses 3-pt shot from 25 ft
2:44.0,Defensive rebound by D. Wade,,22-14,,
2:42.0,Shooting foul by E. Udoh (drawn by J. Green),,22-14,,
2:42.0,J. Green makes free throw 1 of 2,1,23-14,,
2:42.0,J. Green makes free throw 2 of 2,1,24-14,,
2:26.0,,,24-17,3,R. Hood makes 3-pt shot from 25 ft (assist by D. Mitchell)
2:09.0,J. Smith misses 3-pt shot from 25 ft,,24-17,,
2:06.0,Offensive rebound by J. Green,,24-17,,
2:04.0,J. Green makes 3-pt shot from 22 ft (assist by L. James),3,27-17,,
1:48.0,,,27-17,,R. Hood misses 3-pt shot from 26 ft
1:45.0,Defensive rebound by J. Smith,,27-17,,
1:35.0,,,27-17,,Personal foul by R. Hood (drawn by T. Thompson)
1:35.0,T. Thompson makes free throw 1 of 2,1,28-17,,
