time,Washington,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. M. Gortat (T. Satoransky gains possession),,,,Jump ball: N. Vucevic vs. M. Gortat (T. Satoransky gains possession)
11:48.0,T. Satoransky makes 2-pt shot from 1 ft,2,2-0,,
11:28.0,,,2-3,3,A. Gordon makes 3-pt shot from 26 ft (assist by D. Augustin)
11:08.0,K. Oubre makes 3-pt shot from 25 ft (assist by M. Morris),3,5-3,,
10:48.0,,,5-6,3,A. Gordon makes 3-pt shot from 23 ft (assist by N. Vucevic)
10:33.0,M. Morris misses 3-pt shot from 24 ft,,5-6,,
10:29.0,,,5-6,,Defensive rebound by M. Hezonja
10:26.0,,,5-6,,Turnover by M. Hezonja (bad pass)
10:08.0,M. Gortat misses 2-pt shot from 11 ft,,5-6,,
10:05.0,,,5-6,,Defensive rebound by M. Hezonja
9:57.0,,,5-9,3,A. Gordon makes 3-pt shot from 25 ft (assist by M. Hezonja)
9:37.0,M. Gortat misses 2-pt shot from 2 ft (block by A. Gordon),,5-9,,
9:33.0,,,5-9,,Defensive rebound by A. Gordon
9:30.0,,,5-9,,Turnover by M. Hezonja (lost ball; steal by M. Morris)
9:26.0,,,5-9,,Shooting block foul by A. Gordon (drawn by B. Beal)
9:26.0,B. Beal makes free throw 1 of 2,1,6-9,,
9:26.0,B. Beal makes free throw 2 of 2,1,7-9,,
9:05.0,,,7-9,,W. Iwundu misses 3-pt shot from 22 ft
9:02.0,Defensive rebound by M. Morris,,7-9,,
8:53.0,M. Gortat misses 2-pt shot from 7 ft,,7-9,,
8:49.0,,,7-9,,Defensive rebound by M. Hezonja
8:29.0,,,7-12,3,W. Iwundu makes 3-pt shot from 22 ft (assist by M. Hezonja)
8:18.0,,,7-12,,Personal foul by M. Hezonja (drawn by K. Oubre)
8:12.0,M. Morris misses 2-pt shot from 17 ft,,7-12,,
8:07.0,Offensive rebound by T. Satoransky,,7-12,,
8:07.0,T. Satoransky misses 2-pt shot at rim,,7-12,,
8:05.0,,,7-12,,Defensive rebound by M. Hezonja
7:55.0,,,7-12,,A. Gordon misses 3-pt shot from 23 ft
7:52.0,Defensive rebound by M. Gortat,,7-12,,
7:46.0,Shooting foul by M. Hezonja (drawn by M. Gortat),,7-12,,
7:46.0,M. Gortat misses free throw 1 of 2,,7-12,,
7:46.0,Offensive rebound by Team,,7-12,,
7:46.0,M. Gortat makes free throw 2 of 2,1,8-12,,
7:35.0,,,8-12,,Shooting foul by M. Morris (drawn by M. Hezonja)
7:35.0,,,8-12,,M. Hezonja misses free throw 1 of 2
7:35.0,,,8-12,,Offensive rebound by Team
7:35.0,,,8-13,1,M. Hezonja makes free throw 2 of 2
7:11.0,B. Beal misses 2-pt shot from 21 ft,,8-13,,
7:08.0,,,8-13,,Defensive rebound by N. Vucevic
7:00.0,,,8-13,,A. Gordon misses 2-pt shot from 17 ft
6:56.0,,,8-13,,Offensive rebound by N. Vucevic
6:55.0,,,8-15,2,N. Vucevic makes 2-pt shot from 3 ft
6:55.0,Washington full timeout,,8-15,,
6:33.0,M. Gortat makes 2-pt shot from 7 ft (assist by M. Morris),2,10-15,,
6:14.0,,,10-15,,N. Vucevic misses 2-pt shot from 3 ft
6:11.0,Defensive rebound by M. Morris,,10-15,,
6:06.0,T. Satoransky makes 2-pt shot from 1 ft,2,12-15,,
5:52.0,,,12-17,2,D. Augustin makes 2-pt shot from 2 ft (assist by N. Vucevic)
5:34.0,K. Oubre misses 3-pt shot from 25 ft,,12-17,,
5:30.0,Offensive rebound by M. Morris,,12-17,,
5:27.0,K. Oubre misses 2-pt shot at rim,,12-17,,
5:25.0,,,12-17,,Defensive rebound by N. Vucevic
5:21.0,,,12-19,2,A. Gordon makes 2-pt shot from 1 ft (assist by M. Hezonja)
4:57.0,Turnover by B. Beal (bad pass; steal by M. Hezonja),,12-19,,
4:52.0,,,12-21,2,D. Augustin makes 2-pt shot at rim (assist by M. Hezonja)
4:32.0,M. Gortat makes 2-pt shot at rim (assist by K. Oubre),2,14-21,,
4:13.0,,,14-21,,A. Gordon misses 2-pt shot from 12 ft
4:10.0,Defensive rebound by M. Gortat,,14-21,,
4:06.0,T. Satoransky makes 2-pt shot from 16 ft,2,16-21,,
3:58.0,,,16-21,,Orlando full timeout
3:58.0,,,16-21,,J. Artis enters the game for M. Hezonja
3:58.0,,,16-21,,T. Ross enters the game for W. Iwundu
3:58.0,I. Mahinmi enters the game for M. Gortat,,16-21,,
3:52.0,,,16-21,,A. Gordon misses 2-pt shot from 15 ft
3:52.0,Defensive rebound by Team,,16-21,,
3:39.0,Shooting foul by J. Artis (drawn by B. Beal),,16-21,,
3:39.0,B. Beal makes free throw 1 of 2,1,17-21,,
3:39.0,B. Beal misses free throw 2 of 2,,17-21,,
3:36.0,,,17-21,,Defensive rebound by A. Gordon
3:21.0,,,17-21,,N. Vucevic misses 2-pt shot from 11 ft
3:18.0,Defensive rebound by I. Mahinmi,,17-21,,
3:10.0,K. Oubre misses 3-pt shot from 23 ft,,17-21,,
3:07.0,,,17-21,,Defensive rebound by A. Gordon
3:00.0,,,17-21,,N. Vucevic misses 3-pt shot from 26 ft
2:58.0,Defensive rebound by T. Satoransky,,17-21,,
2:48.0,M. Morris misses 2-pt shot from 19 ft,,17-21,,
2:44.0,,,17-21,,Defensive rebound by T. Ross
2:33.0,,,17-21,,A. Gordon misses 3-pt shot from 25 ft
2:30.0,Defensive rebound by B. Beal,,17-21,,
2:27.0,K. Oubre makes 2-pt shot from 9 ft,2,19-21,,
2:27.0,Shooting foul by J. Artis (drawn by K. Oubre),,19-21,,
2:27.0,T. Frazier enters the game for T. Satoransky,,19-21,,
2:27.0,K. Oubre makes free throw 1 of 1,1,20-21,,
2:27.0,M. Scott enters the game for M. Morris,,20-21,,
2:09.0,,,20-21,,T. Ross misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by Team,,20-21,,
1:52.0,B. Beal makes 3-pt shot from 25 ft,3,23-21,,
1:50.0,,,23-21,,Orlando full timeout
1:50.0,,,23-21,,A. Afflalo enters the game for J. Artis
1:34.0,,,23-21,,N. Vucevic misses 2-pt shot from 10 ft
1:30.0,Defensive rebound by I. Mahinmi,,23-21,,
1:14.0,Turnover by B. Beal (lost ball; steal by N. Vucevic),,23-21,,
1:10.0,,,23-21,,Turnover by A. Gordon (bad pass; steal by T. Frazier)
1:00.0,Shooting foul by A. Afflalo (drawn by M. Scott),,23-21,,
1:00.0,M. Scott misses free throw 1 of 2,,23-21,,
1:00.0,Offensive rebound by Team,,23-21,,
1:00.0,J. Meeks enters the game for B. Beal,,23-21,,
1:00.0,M. Scott misses free throw 2 of 2,,23-21,,
0:58.0,,,23-21,,Defensive rebound by T. Ross
0:44.0,,,23-23,2,T. Ross makes 2-pt shot from 17 ft (assist by N. Vucevic)
0:24.0,K. Oubre misses 2-pt shot from 1 ft,,23-23,,
0:22.0,,,23-23,,Defensive rebound by N. Vucevic
0:04.0,,,23-26,3,D. Augustin makes 3-pt shot from 28 ft
0:00.0,T. Frazier misses 2-pt shot from 10 ft,,23-26,,
0:00.0,Offensive rebound by Team,,23-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,23-29,3,T. Ross makes 3-pt shot from 26 ft (assist by A. Afflalo)
11:23.0,J. Meeks makes 3-pt shot from 24 ft (assist by M. Scott),3,26-29,,
11:12.0,,,26-29,,T. Ross misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by Team,,26-29,,
11:02.0,,,26-29,,Personal foul by B. Biyombo (drawn by I. Mahinmi)
10:56.0,T. Frazier misses 2-pt shot from 12 ft,,26-29,,
10:51.0,Offensive rebound by I. Mahinmi,,26-29,,
10:51.0,I. Mahinmi misses 2-pt shot at rim,,26-29,,
10:51.0,Offensive rebound by T. Satoransky,,26-29,,
10:50.0,M. Scott misses 3-pt shot from 25 ft,,26-29,,
10:46.0,Offensive rebound by T. Satoransky,,26-29,,
10:37.0,I. Mahinmi misses 2-pt shot from 4 ft (block by B. Biyombo),,26-29,,
10:37.0,Offensive rebound by Team,,26-29,,
10:33.0,M. Scott misses 2-pt shot from 5 ft,,26-29,,
10:27.0,,,26-29,,Defensive rebound by B. Biyombo
10:19.0,,,26-32,3,A. Afflalo makes 3-pt shot from 22 ft (assist by B. Biyombo)
10:08.0,M. Scott makes 2-pt shot from 7 ft,2,28-32,,
9:52.0,,,28-32,,B. Biyombo misses 2-pt shot from 18 ft
9:50.0,Defensive rebound by M. Scott,,28-32,,
9:42.0,T. Frazier misses 2-pt shot from 1 ft,,28-32,,
9:42.0,,,28-32,,Defensive rebound by Team
9:42.0,Personal foul by M. Scott (drawn by B. Biyombo),,28-32,,
9:32.0,,,28-32,,T. Ross misses 2-pt shot from 13 ft
9:29.0,Defensive rebound by T. Frazier,,28-32,,
9:26.0,J. Meeks makes 3-pt shot from 26 ft (assist by T. Frazier),3,31-32,,
9:13.0,,,31-32,,S. Mack misses 2-pt shot from 11 ft
9:13.0,Defensive rebound by M. Scott,,31-32,,
8:56.0,M. Scott makes 2-pt shot from 18 ft (assist by J. Meeks),2,33-32,,
8:39.0,,,33-34,2,A. Afflalo makes 2-pt shot from 13 ft
8:23.0,J. Meeks misses 2-pt shot from 21 ft,,33-34,,
8:21.0,Offensive rebound by M. Scott,,33-34,,
8:20.0,M. Scott makes 2-pt shot from 2 ft,2,35-34,,
8:10.0,,,35-34,,T. Ross misses 3-pt shot from 22 ft
8:09.0,,,35-34,,Offensive rebound by Team
8:09.0,Loose ball foul by I. Mahinmi (drawn by K. Birch),,35-34,,
8:09.0,,,35-34,,R. Purvis enters the game for T. Ross
8:05.0,Personal foul by T. Frazier (drawn by S. Mack),,35-34,,
7:53.0,,,35-34,,Turnover by S. Mack (lost ball; steal by T. Frazier)
7:49.0,T. Satoransky misses 2-pt shot at rim (block by K. Birch),,35-34,,
7:44.0,,,35-34,,Defensive rebound by R. Purvis
7:40.0,,,35-36,2,B. Biyombo makes 2-pt shot from 1 ft (assist by K. Birch)
7:22.0,I. Mahinmi misses 2-pt shot from 8 ft,,35-36,,
7:21.0,,,35-36,,Defensive rebound by Team
7:21.0,B. Beal enters the game for T. Frazier,,35-36,,
7:05.0,,,35-38,2,A. Afflalo makes 2-pt shot from 16 ft
6:49.0,M. Scott misses 2-pt shot from 18 ft,,35-38,,
6:47.0,,,35-38,,Defensive rebound by R. Purvis
6:27.0,,,35-38,,S. Mack misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by T. Satoransky,,35-38,,
6:17.0,J. Meeks misses 2-pt shot at rim (block by K. Birch),,35-38,,
6:17.0,Offensive rebound by Team,,35-38,,
6:17.0,,,35-38,,Orlando full timeout
6:17.0,M. Gortat enters the game for I. Mahinmi,,35-38,,
6:17.0,M. Morris enters the game for M. Scott,,35-38,,
6:06.0,J. Meeks misses 3-pt shot from 25 ft,,35-38,,
6:03.0,,,35-38,,Defensive rebound by K. Birch
5:46.0,,,35-38,,R. Purvis misses 2-pt shot from 19 ft
5:44.0,Defensive rebound by B. Beal,,35-38,,
5:30.0,B. Beal misses 3-pt shot from 24 ft,,35-38,,
5:27.0,,,35-38,,Defensive rebound by B. Biyombo
5:18.0,,,35-40,2,B. Biyombo makes 2-pt shot from 15 ft (assist by S. Mack)
5:01.0,Offensive foul by M. Gortat (drawn by B. Biyombo),,35-40,,
5:01.0,Turnover by M. Gortat (offensive foul),,35-40,,
5:01.0,K. Oubre enters the game for J. Meeks,,35-40,,
4:38.0,,,35-43,3,A. Afflalo makes 3-pt shot from 25 ft
4:16.0,T. Satoransky misses 3-pt shot from 24 ft,,35-43,,
4:11.0,Offensive rebound by M. Gortat,,35-43,,
4:08.0,T. Satoransky makes 3-pt shot from 23 ft (assist by B. Beal),3,38-43,,
3:53.0,Personal foul by B. Beal (drawn by R. Purvis),,38-43,,
3:53.0,,,38-43,,M. Hezonja enters the game for K. Birch
3:47.0,,,38-43,,R. Purvis misses 2-pt shot from 16 ft
3:43.0,Defensive rebound by M. Gortat,,38-43,,
3:29.0,Turnover by B. Beal (bad pass; steal by B. Biyombo),,38-43,,
3:15.0,,,38-45,2,A. Afflalo makes 2-pt shot from 15 ft
3:03.0,Turnover by T. Satoransky (bad pass; steal by S. Mack),,38-45,,
2:59.0,,,38-47,2,R. Purvis makes 2-pt shot from 2 ft (assist by M. Hezonja)
2:59.0,Washington full timeout,,38-47,,
2:42.0,M. Morris misses 2-pt shot from 7 ft,,38-47,,
2:35.0,Offensive rebound by M. Gortat,,38-47,,
2:35.0,M. Gortat makes 2-pt shot at rim,2,40-47,,
2:21.0,,,40-47,,A. Afflalo misses 3-pt shot from 23 ft
2:18.0,Defensive rebound by B. Beal,,40-47,,
2:14.0,Shooting foul by B. Biyombo (drawn by B. Beal),,40-47,,
2:14.0,B. Beal misses free throw 1 of 2,,40-47,,
2:14.0,Offensive rebound by Team,,40-47,,
2:14.0,,,40-47,,W. Iwundu enters the game for A. Afflalo
2:14.0,B. Beal makes free throw 2 of 2,1,41-47,,
2:03.0,,,41-50,2,R. Purvis makes 3-pt shot from 26 ft (assist by S. Mack)
1:48.0,,,41-50,,Personal foul by W. Iwundu (drawn by B. Beal)
1:41.0,M. Morris misses 2-pt shot from 10 ft,,41-50,,
1:37.0,,,41-50,,Defensive rebound by M. Hezonja
1:34.0,,,41-50,,M. Hezonja misses 2-pt shot at rim
1:26.0,,,41-50,,Offensive rebound by B. Biyombo
1:26.0,,,41-52,2,B. Biyombo makes 2-pt shot at rim
1:16.0,B. Beal misses 2-pt shot from 1 ft,,41-52,,
1:12.0,Offensive rebound by M. Gortat,,41-52,,
1:10.0,M. Morris makes 2-pt shot at rim (assist by T. Satoransky),2,43-52,,
0:50.0,,,43-52,,R. Purvis misses 3-pt shot from 23 ft
0:47.0,Defensive rebound by M. Morris,,43-52,,
0:44.0,Offensive foul by K. Oubre (drawn by M. Hezonja),,43-52,,
0:44.0,Turnover by K. Oubre (offensive foul),,43-52,,
0:44.0,,,43-52,,K. Birch enters the game for M. Hezonja
0:33.0,,,43-52,,S. Mack misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by M. Gortat,,43-52,,
0:11.0,Shooting foul by B. Biyombo (drawn by M. Morris),,43-52,,
0:11.0,M. Morris makes free throw 1 of 2,1,44-52,,
0:11.0,,,44-52,,M. Hezonja enters the game for B. Biyombo
0:11.0,M. Morris makes free throw 2 of 2,1,45-52,,
0:03.0,,,45-54,2,S. Mack makes 2-pt shot from 2 ft (assist by W. Iwundu)
0:03.0,,,45-54,,Shooting foul by K. Oubre (drawn by S. Mack)
0:03.0,,,45-55,1,S. Mack makes free throw 1 of 1
0:00.0,T. Satoransky misses 3-pt shot from 26 ft,,45-55,,
0:00.0,Offensive rebound by Team,,45-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Personal foul by M. Morris (drawn by K. Birch),,45-55,,
11:33.0,,,45-55,,M. Hezonja misses 2-pt shot from 2 ft
11:33.0,,,45-55,,Offensive rebound by K. Birch
11:33.0,,,45-55,,Shooting foul by K. Oubre (drawn by K. Birch)
11:33.0,,,45-56,1,K. Birch makes free throw 1 of 2
