time,Miami,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. B. Adebayo (G. Dragic gains possession),,,,Jump ball: W. Cauley-Stein vs. B. Adebayo (G. Dragic gains possession)
11:39.0,B. Adebayo misses 2-pt shot from 16 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by Z. Randolph
11:18.0,,,0-0,,Z. Randolph misses 2-pt shot from 8 ft
11:15.0,Defensive rebound by J. Johnson,,0-0,,
11:11.0,Turnover by J. Johnson (bad pass),,0-0,,
10:56.0,,,0-0,,D. Fox misses 2-pt shot from 19 ft
10:53.0,Defensive rebound by B. Adebayo,,0-0,,
10:47.0,B. Adebayo misses 2-pt shot from 8 ft,,0-0,,
10:45.0,Offensive rebound by B. Adebayo,,0-0,,
10:45.0,,,0-0,,Personal foul by W. Cauley-Stein (drawn by B. Adebayo)
10:38.0,J. Johnson misses 2-pt shot from 16 ft,,0-0,,
10:36.0,,,0-0,,Defensive rebound by J. Jackson
10:21.0,,,0-2,2,Z. Randolph makes 2-pt shot from 4 ft
10:06.0,G. Dragic makes 2-pt shot from 18 ft (assist by B. Adebayo),2,2-2,,
9:54.0,,,2-4,2,Z. Randolph makes 2-pt shot from 4 ft (assist by B. Bogdanovic)
9:54.0,,,2-4,,Shooting foul by J. Johnson (drawn by Z. Randolph)
9:54.0,,,2-4,,Z. Randolph misses free throw 1 of 1
9:52.0,Defensive rebound by B. Adebayo,,2-4,,
9:42.0,G. Dragic misses 2-pt shot from 13 ft,,2-4,,
9:38.0,,,2-4,,Defensive rebound by Z. Randolph
9:28.0,,,2-4,,B. Bogdanovic misses 2-pt shot from 3 ft
9:26.0,Defensive rebound by B. Adebayo,,2-4,,
9:23.0,G. Dragic makes 2-pt shot from 2 ft (assist by J. Johnson),2,4-4,,
9:02.0,,,4-6,2,B. Bogdanovic makes 2-pt shot from 12 ft
8:49.0,Turnover by G. Dragic (bad pass; steal by W. Cauley-Stein),,4-6,,
8:46.0,,,4-8,2,J. Jackson makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
8:28.0,Shooting foul by Z. Randolph (drawn by J. Johnson),,4-8,,
8:28.0,J. Johnson makes free throw 1 of 2,1,5-8,,
8:28.0,J. Johnson makes free throw 2 of 2,1,6-8,,
8:12.0,,,6-10,2,Z. Randolph makes 2-pt shot from 7 ft
8:01.0,L. Babbitt misses 3-pt shot from 23 ft,,6-10,,
8:01.0,Offensive rebound by Team,,6-10,,
8:01.0,,,6-10,,Loose ball foul by Z. Randolph (drawn by B. Adebayo)
7:53.0,T. Johnson makes 2-pt shot from 16 ft,2,8-10,,
7:40.0,,,8-10,,J. Jackson misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by B. Adebayo,,8-10,,
7:31.0,J. Johnson makes 2-pt shot from 3 ft,2,10-10,,
7:17.0,,,10-10,,J. Jackson misses 2-pt shot from 11 ft
7:12.0,Defensive rebound by B. Adebayo,,10-10,,
7:07.0,G. Dragic makes 2-pt shot at rim,2,12-10,,
6:56.0,,,12-10,,Turnover by Z. Randolph (bad pass)
6:56.0,,,12-10,,Sacramento full timeout
6:56.0,,,12-10,,V. Carter enters the game for Z. Randolph
6:45.0,T. Johnson misses 3-pt shot from 24 ft,,12-10,,
6:41.0,,,12-10,,Defensive rebound by J. Jackson
6:26.0,,,12-10,,B. Bogdanovic misses 2-pt shot from 7 ft
6:22.0,,,12-10,,Offensive rebound by D. Fox
6:20.0,,,12-10,,B. Bogdanovic misses 2-pt shot from 20 ft
6:16.0,Defensive rebound by B. Adebayo,,12-10,,
6:08.0,L. Babbitt misses 3-pt shot from 22 ft,,12-10,,
6:03.0,,,12-10,,Defensive rebound by W. Cauley-Stein
5:58.0,,,12-10,,W. Cauley-Stein misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by T. Johnson,,12-10,,
5:49.0,G. Dragic makes 2-pt shot from 3 ft,2,14-10,,
5:30.0,,,14-12,2,J. Jackson makes 2-pt shot from 10 ft
5:15.0,B. Adebayo misses 2-pt shot from 1 ft (block by W. Cauley-Stein),,14-12,,
5:12.0,Offensive rebound by B. Adebayo,,14-12,,
5:11.0,B. Adebayo makes 2-pt shot from 1 ft,2,16-12,,
4:59.0,,,16-14,2,D. Fox makes 2-pt shot from 9 ft
