time,New Orleans,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. D. Cousins (J. Holiday gains possession),,,,Jump ball: W. Cauley-Stein vs. D. Cousins (J. Holiday gains possession)
11:38.0,D. Cousins makes 2-pt shot from 1 ft (assist by J. Holiday),2,2-0,,
11:21.0,Def 3 sec tech foul by D. Cunningham,,2-0,,
11:21.0,,,2-1,1,B. Hield makes technical free throw
11:06.0,,,2-1,,Z. Randolph misses 2-pt shot from 6 ft (block by D. Cousins)
11:06.0,,,2-1,,Offensive rebound by Z. Randolph
11:05.0,,,2-1,,Turnover by Team (shot clock)
10:46.0,D. Cousins misses 2-pt shot from 5 ft (block by Z. Randolph),,2-1,,
10:46.0,,,2-1,,Defensive rebound by Z. Randolph
10:38.0,,,2-3,2,B. Hield makes 2-pt shot from 1 ft
10:21.0,D. Cousins misses 3-pt shot from 25 ft,,2-3,,
10:17.0,,,2-3,,Defensive rebound by Z. Randolph
10:12.0,,,2-6,3,Z. Randolph makes 3-pt shot from 25 ft (assist by G. Hill)
9:54.0,D. Miller misses 3-pt shot from 22 ft,,2-6,,
9:54.0,,,2-6,,Defensive rebound by Z. Randolph
9:41.0,,,2-9,3,J. Jackson makes 3-pt shot from 24 ft (assist by W. Cauley-Stein)
9:23.0,Turnover by D. Cousins (turnover),,2-9,,
9:19.0,Jump ball: W. Cauley-Stein vs. D. Cousins (G. Hill gains possession),,,,Jump ball: W. Cauley-Stein vs. D. Cousins (G. Hill gains possession)
9:18.0,,,2-11,2,J. Jackson makes 2-pt shot from 1 ft (assist by G. Hill)
9:03.0,E. Moore misses 2-pt shot from 4 ft,,2-11,,
8:58.0,,,2-11,,Defensive rebound by W. Cauley-Stein
8:55.0,,,2-11,,Turnover by B. Hield (bad pass; steal by D. Cousins)
8:47.0,J. Holiday makes 2-pt shot from 1 ft,2,4-11,,
8:31.0,,,4-13,2,W. Cauley-Stein makes 2-pt shot from 18 ft
8:19.0,J. Holiday misses 2-pt shot from 17 ft,,4-13,,
8:16.0,,,4-13,,Defensive rebound by Z. Randolph
8:07.0,,,4-15,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by Z. Randolph)
