time,Portland,pts.away,score,pts.home,New Orleans
2:02.0,Z. Collins makes 2-pt shot at rim,2,23-21,,
1:55.0,,,23-21,,Shooting foul by W. Baldwin (drawn by J. Holiday)
1:55.0,,,23-22,1,J. Holiday makes free throw 1 of 2
1:55.0,,,23-22,,S. Hill enters the game for N. Mirotic
1:55.0,,,23-23,1,J. Holiday makes free throw 2 of 2
1:33.0,W. Baldwin misses 2-pt shot from 5 ft (block by A. Davis),,23-23,,
1:29.0,,,23-23,,Defensive rebound by S. Hill
1:24.0,,,23-23,,Turnover by J. Holiday (out of bounds lost ball)
1:24.0,,,23-23,,R. Rondo enters the game for J. Holiday
1:05.0,Z. Collins misses 3-pt shot from 22 ft,,23-23,,
1:01.0,,,23-23,,Defensive rebound by R. Rondo
0:54.0,,,23-23,,Turnover by R. Rondo (bad pass; steal by Z. Collins)
0:47.0,,,23-23,,Personal foul by I. Clark (drawn by C. McCollum)
0:37.0,C. McCollum makes 2-pt shot from 7 ft,2,25-23,,
0:20.0,,,25-26,3,I. Clark makes 3-pt shot from 26 ft (assist by S. Hill)
0:02.0,P. Connaughton misses 3-pt shot from 25 ft,,25-26,,
0:02.0,,,25-26,,Defensive rebound by R. Rondo
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,25-26,,N. Mirotic misses 3-pt shot from 24 ft
11:46.0,Defensive rebound by E. Davis,,25-26,,
11:39.0,C. McCollum makes 2-pt shot at rim,2,27-26,,
11:27.0,,,27-26,,J. Holiday misses 3-pt shot from 25 ft
11:23.0,Defensive rebound by E. Davis,,27-26,,
11:16.0,D. Lillard misses 2-pt shot from 2 ft,,27-26,,
11:14.0,,,27-26,,Defensive rebound by S. Hill
11:03.0,,,27-29,3,D. Miller makes 3-pt shot from 25 ft (assist by R. Rondo)
10:41.0,D. Lillard makes 2-pt shot from 1 ft (assist by Z. Collins),2,29-29,,
10:29.0,,,29-31,2,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo)
10:07.0,Z. Collins misses 2-pt shot from 12 ft,,29-31,,
10:03.0,,,29-31,,Defensive rebound by S. Hill
9:48.0,,,29-33,2,J. Holiday makes 2-pt shot from 1 ft
9:32.0,Jump ball: J. Holiday vs. D. Lillard (P. Connaughton gains possession),,,,Jump ball: J. Holiday vs. D. Lillard (P. Connaughton gains possession)
9:27.0,D. Lillard misses 3-pt shot from 27 ft,,29-33,,
9:22.0,,,29-33,,Defensive rebound by N. Mirotic
9:13.0,,,29-35,2,J. Holiday makes 2-pt shot from 1 ft
9:00.0,,,29-35,,Personal foul by S. Hill (drawn by Z. Collins)
9:00.0,E. Turner enters the game for P. Connaughton,,29-35,,
8:54.0,Shooting foul by D. Miller (drawn by E. Davis),,29-35,,
8:54.0,E. Davis misses free throw 1 of 2,,29-35,,
8:54.0,Offensive rebound by Team,,29-35,,
8:54.0,E. Davis makes free throw 2 of 2,1,30-35,,
8:40.0,,,30-35,,J. Holiday misses 2-pt shot from 13 ft
8:38.0,Defensive rebound by E. Davis,,30-35,,
8:27.0,E. Turner makes 2-pt shot at rim,2,32-35,,
8:10.0,,,32-35,,Turnover by J. Holiday (bad pass; steal by D. Lillard)
8:02.0,E. Turner makes 3-pt shot from 25 ft (assist by D. Lillard),3,35-35,,
8:00.0,,,35-35,,New Orleans full timeout
8:00.0,,,35-35,,E. Moore enters the game for N. Mirotic
8:00.0,,,35-35,,A. Davis enters the game for J. Holiday
7:37.0,,,35-37,2,E. Moore makes 2-pt shot from 5 ft
7:20.0,Z. Collins misses 3-pt shot from 23 ft,,35-37,,
7:16.0,,,35-37,,Defensive rebound by R. Rondo
7:06.0,,,35-39,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
6:55.0,C. McCollum makes 2-pt shot from 16 ft (assist by E. Turner),2,37-39,,
6:43.0,,,37-39,,Offensive charge foul by A. Davis (drawn by E. Davis)
6:43.0,,,37-39,,Turnover by A. Davis (offensive foul)
6:43.0,J. Nurkic enters the game for E. Davis,,37-39,,
6:43.0,A. Aminu enters the game for Z. Collins,,37-39,,
6:31.0,E. Turner misses 3-pt shot from 25 ft,,37-39,,
6:26.0,,,37-39,,Defensive rebound by R. Rondo
6:17.0,,,37-39,,S. Hill misses 3-pt shot from 24 ft
6:14.0,Defensive rebound by J. Nurkic,,37-39,,
6:09.0,Shooting foul by E. Moore (drawn by D. Lillard),,37-39,,
6:09.0,D. Lillard misses free throw 1 of 2,,37-39,,
6:09.0,Offensive rebound by Team,,37-39,,
6:09.0,,,37-39,,N. Mirotic enters the game for S. Hill
6:09.0,D. Lillard makes free throw 2 of 2,1,38-39,,
6:00.0,,,38-41,2,A. Davis makes 2-pt shot from 10 ft (assist by R. Rondo)
5:44.0,A. Aminu misses 3-pt shot from 22 ft,,38-41,,
5:40.0,,,38-41,,Defensive rebound by R. Rondo
5:28.0,,,38-43,2,R. Rondo makes 2-pt shot from 2 ft (assist by A. Davis)
5:28.0,,,38-43,,Shooting foul by E. Turner (drawn by R. Rondo)
5:28.0,,,38-44,1,R. Rondo makes free throw 1 of 1
5:16.0,D. Lillard misses 2-pt shot from 2 ft,,38-44,,
5:12.0,Offensive rebound by J. Nurkic,,38-44,,
5:10.0,A. Aminu makes 2-pt shot at rim (assist by J. Nurkic),2,40-44,,
4:53.0,,,40-44,,E. Moore misses 2-pt shot from 11 ft
4:48.0,Defensive rebound by J. Nurkic,,40-44,,
4:42.0,C. McCollum misses 2-pt shot from 8 ft,,40-44,,
4:41.0,Offensive rebound by J. Nurkic,,40-44,,
4:40.0,J. Nurkic makes 2-pt shot from 3 ft,2,42-44,,
4:25.0,Personal foul by C. McCollum (drawn by A. Davis),,42-44,,
4:25.0,,,42-44,,J. Holiday enters the game for R. Rondo
4:13.0,,,42-46,2,J. Holiday makes 2-pt shot from 1 ft
4:13.0,Portland full timeout,,42-46,,
3:57.0,A. Aminu makes 3-pt shot from 22 ft (assist by E. Turner),3,45-46,,
3:39.0,,,45-48,2,A. Davis makes 2-pt shot from 7 ft (assist by J. Holiday)
3:21.0,C. McCollum makes 2-pt shot from 9 ft,2,47-48,,
3:05.0,,,47-48,,Turnover by J. Holiday (bad pass; steal by J. Nurkic)
2:52.0,,,47-48,,Personal foul by A. Davis (drawn by J. Nurkic)
2:52.0,,,47-48,,S. Hill enters the game for A. Davis
2:43.0,A. Aminu misses 3-pt shot from 25 ft,,47-48,,
2:39.0,,,47-48,,Defensive rebound by D. Miller
2:35.0,,,47-48,,N. Mirotic misses 3-pt shot from 25 ft
2:31.0,,,47-48,,Offensive rebound by D. Miller
2:31.0,,,47-48,,Turnover by J. Holiday (bad pass)
2:09.0,Turnover by C. McCollum (lost ball; steal by N. Mirotic),,47-48,,
2:04.0,Technical foul by C. McCollum (drawn by E. Moore),,47-48,,
2:04.0,,,47-48,,Technical foul by E. Moore
2:04.0,D. Lillard makes technical free throw,1,48-48,,
2:04.0,,,48-49,1,E. Moore makes flagrant free throw 1 of 2
2:04.0,,,48-50,1,E. Moore makes flagrant free throw 2 of 2
2:04.0,,,48-50,,R. Rondo enters the game for D. Miller
1:54.0,,,48-52,2,E. Moore makes 2-pt shot from 10 ft
1:43.0,,,48-52,,Away from play foul by S. Hill (drawn by D. Lillard)
1:43.0,D. Lillard makes free throw 1 of 2,1,49-52,,
1:43.0,W. Baldwin enters the game for C. McCollum,,49-52,,
1:43.0,D. Lillard makes free throw 2 of 2,1,50-52,,
1:26.0,,,50-52,,Shooting foul by E. Turner (drawn by S. Hill)
1:26.0,,,50-53,1,S. Hill makes free throw 1 of 2
1:26.0,,,50-53,,I. Clark enters the game for E. Moore
1:26.0,C. McCollum enters the game for W. Baldwin,,50-53,,
1:26.0,,,50-53,,S. Hill misses free throw 2 of 2
1:26.0,Defensive rebound by J. Nurkic,,50-53,,
1:06.0,J. Nurkic makes 2-pt shot from 3 ft (assist by A. Aminu),2,52-53,,
1:01.0,,,52-53,,J. Holiday misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by D. Lillard,,52-53,,
0:54.0,A. Aminu makes 2-pt shot at rim (assist by E. Turner),2,54-53,,
0:44.0,,,54-53,,Shooting foul by J. Nurkic (drawn by S. Hill)
0:44.0,,,54-54,1,S. Hill makes free throw 1 of 2
0:44.0,Z. Collins enters the game for A. Aminu,,54-54,,
0:44.0,E. Davis enters the game for J. Nurkic,,54-54,,
0:44.0,,,54-55,1,S. Hill makes free throw 2 of 2
0:31.0,E. Turner makes 2-pt shot at rim (assist by Z. Collins),2,56-55,,
0:15.0,,,56-57,2,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo)
0:01.0,E. Turner misses 3-pt shot from 22 ft,,56-57,,
0:00.0,,,56-57,,Defensive rebound by Team
0:00.0,Loose ball foul by Z. Collins (drawn by J. Holiday),,56-57,,
0:00.0,,,56-58,1,J. Holiday makes free throw 1 of 2
0:00.0,P. Connaughton enters the game for E. Turner,,56-58,,
0:00.0,,,56-58,,J. Holiday misses free throw 2 of 2
0:00.0,Defensive rebound by E. Davis,,56-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,56-58,,R. Rondo misses 2-pt shot from 1 ft
11:40.0,Defensive rebound by J. Nurkic,,56-58,,
11:24.0,C. McCollum makes 2-pt shot from 8 ft,2,58-58,,
11:24.0,Shooting foul by N. Mirotic (drawn by C. McCollum),,58-58,,
11:24.0,C. McCollum misses free throw 1 of 1,,58-58,,
11:19.0,,,58-58,,Defensive rebound by R. Rondo
11:11.0,,,58-60,2,J. Holiday makes 2-pt shot from 1 ft
10:50.0,D. Lillard makes 2-pt shot from 1 ft (assist by C. McCollum),2,60-60,,
10:44.0,,,60-62,2,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday)
10:21.0,A. Aminu misses 3-pt shot from 25 ft,,60-62,,
10:16.0,,,60-62,,Defensive rebound by A. Davis
10:09.0,,,60-62,,Shooting foul by C. McCollum (drawn by J. Holiday)
10:09.0,,,60-63,1,J. Holiday makes free throw 1 of 2
10:09.0,,,60-64,1,J. Holiday makes free throw 2 of 2
9:46.0,C. McCollum misses 3-pt shot from 24 ft,,60-64,,
9:41.0,,,60-64,,Defensive rebound by N. Mirotic
9:37.0,,,60-64,,E. Moore misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by J. Nurkic,,60-64,,
9:22.0,Jump ball: E. Moore vs. E. Turner (R. Rondo gains possession),,,,Jump ball: E. Moore vs. E. Turner (R. Rondo gains possession)
9:22.0,Turnover by E. Turner (turnover; steal by E. Moore),,60-64,,
9:17.0,,,60-66,2,J. Holiday makes 2-pt shot at rim (assist by R. Rondo)
9:05.0,D. Lillard misses 3-pt shot from 26 ft,,60-66,,
9:03.0,,,60-66,,Defensive rebound by Team
9:03.0,Loose ball foul by J. Nurkic (drawn by A. Davis),,60-66,,
8:44.0,,,60-66,,Shooting foul by A. Aminu (drawn by A. Davis)
8:44.0,,,60-67,1,A. Davis makes free throw 1 of 2
8:44.0,,,60-68,1,A. Davis makes free throw 2 of 2
8:32.0,D. Lillard makes 2-pt shot from 1 ft,2,62-68,,
8:17.0,,,62-71,3,A. Davis makes 3-pt shot from 25 ft (assist by R. Rondo)
8:06.0,Portland full timeout,,62-71,,
7:57.0,Turnover by E. Turner (bad pass; steal by N. Mirotic),,62-71,,
7:45.0,,,62-71,,R. Rondo misses 2-pt shot from 7 ft
7:44.0,Defensive rebound by D. Lillard,,62-71,,
7:33.0,E. Turner misses 2-pt shot from 12 ft,,62-71,,
7:31.0,Offensive rebound by J. Nurkic,,62-71,,
7:30.0,J. Nurkic makes 2-pt shot from 1 ft,2,64-71,,
7:16.0,,,64-71,,N. Mirotic misses 2-pt shot from 11 ft
7:14.0,Defensive rebound by A. Aminu,,64-71,,
7:04.0,C. McCollum misses 2-pt shot from 7 ft,,64-71,,
7:02.0,,,64-71,,Defensive rebound by N. Mirotic
6:56.0,,,64-73,2,N. Mirotic makes 2-pt shot from 2 ft (assist by E. Moore)
6:35.0,A. Aminu misses 2-pt shot from 13 ft,,64-73,,
6:32.0,,,64-73,,Defensive rebound by R. Rondo
6:25.0,,,64-76,3,N. Mirotic makes 3-pt shot from 25 ft
5:55.0,A. Aminu makes 3-pt shot from 27 ft (assist by D. Lillard),3,67-76,,
5:47.0,,,67-78,2,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo)
5:47.0,,,67-78,,Shooting foul by A. Aminu (drawn by A. Davis)
5:47.0,,,67-79,1,A. Davis makes free throw 1 of 1
5:32.0,J. Nurkic makes 2-pt shot from 4 ft,2,69-79,,
5:23.0,,,69-81,2,J. Holiday makes 2-pt shot from 11 ft
5:06.0,A. Aminu misses 3-pt shot from 23 ft,,69-81,,
5:02.0,,,69-81,,Defensive rebound by A. Davis
4:56.0,,,69-81,,A. Davis misses 2-pt shot from 2 ft
4:55.0,Defensive rebound by A. Aminu,,69-81,,
4:54.0,,,69-81,,Personal foul by J. Holiday (drawn by A. Aminu)
4:54.0,,,69-81,,D. Miller enters the game for R. Rondo
4:54.0,,,69-81,,I. Clark enters the game for E. Moore
4:54.0,P. Connaughton enters the game for E. Turner,,69-81,,
4:52.0,C. McCollum makes 2-pt shot from 13 ft,2,71-81,,
4:52.0,Shooting foul by I. Clark (drawn by C. McCollum),,71-81,,
4:52.0,C. McCollum makes free throw 1 of 1,1,72-81,,
4:43.0,,,72-83,2,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday)
4:34.0,,,72-83,,Personal foul by I. Clark (drawn by D. Lillard)
4:34.0,Z. Collins enters the game for A. Aminu,,72-83,,
4:34.0,E. Davis enters the game for J. Nurkic,,72-83,,
4:22.0,Z. Collins misses 2-pt shot from 14 ft,,72-83,,
4:18.0,,,72-83,,Defensive rebound by J. Holiday
4:14.0,Personal foul by Z. Collins (drawn by A. Davis),,72-83,,
4:14.0,,,72-84,1,A. Davis makes free throw 1 of 2
4:14.0,,,72-84,,A. Davis misses free throw 2 of 2
