time,Boston,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. A. Baynes (T. Rozier gains possession),,,,Jump ball: T. Zeller vs. A. Baynes (T. Rozier gains possession)
11:32.0,J. Brown misses 3-pt shot from 23 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by E. Bledsoe
11:16.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
10:55.0,T. Rozier misses 3-pt shot from 26 ft,,0-2,,
10:53.0,,,0-2,,Defensive rebound by K. Middleton
10:47.0,Personal foul by J. Brown (drawn by E. Bledsoe),,0-2,,
10:37.0,,,0-2,,G. Antetokounmpo misses 2-pt shot from 12 ft
10:35.0,Defensive rebound by T. Rozier,,0-2,,
10:25.0,Turnover by T. Rozier (bad pass),,0-2,,
10:10.0,,,0-2,,M. Brogdon misses 2-pt shot from 5 ft
10:08.0,,,0-2,,Offensive rebound by M. Brogdon
10:07.0,,,0-2,,Turnover by K. Middleton (traveling)
9:57.0,A. Horford makes 3-pt shot from 25 ft (assist by T. Rozier),3,3-2,,
9:37.0,,,3-4,2,K. Middleton makes 2-pt shot from 12 ft
9:29.0,,,3-4,,Personal foul by E. Bledsoe (drawn by J. Brown)
9:23.0,A. Horford misses 3-pt shot from 26 ft,,3-4,,
9:23.0,Offensive rebound by Team,,3-4,,
9:23.0,,,3-4,,Loose ball foul by T. Zeller (drawn by A. Baynes)
9:11.0,J. Tatum makes 2-pt shot from 6 ft,2,5-4,,
8:56.0,,,5-6,2,E. Bledsoe makes 2-pt shot from 17 ft (assist by K. Middleton)
8:45.0,,,5-6,,Personal foul by E. Bledsoe (drawn by A. Horford)
8:45.0,,,5-6,,M. Dellavedova enters the game for E. Bledsoe
8:33.0,A. Horford misses 2-pt shot from 8 ft,,5-6,,
8:31.0,Offensive rebound by A. Baynes,,5-6,,
8:30.0,Shooting foul by K. Middleton (drawn by J. Tatum),,5-6,,
8:30.0,J. Tatum makes free throw 1 of 2,1,6-6,,
8:30.0,J. Tatum misses free throw 2 of 2,,6-6,,
8:27.0,,,6-6,,Defensive rebound by K. Middleton
8:19.0,,,6-9,3,K. Middleton makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
8:06.0,Turnover by T. Rozier (out of bounds lost ball),,6-9,,
7:59.0,,,6-9,,G. Antetokounmpo misses 2-pt shot from 2 ft
7:56.0,Defensive rebound by A. Baynes,,6-9,,
7:52.0,T. Rozier misses 3-pt shot from 25 ft,,6-9,,
7:50.0,Offensive rebound by A. Baynes,,6-9,,
7:34.0,J. Tatum misses 3-pt shot from 26 ft,,6-9,,
7:32.0,Offensive rebound by A. Horford,,6-9,,
7:30.0,A. Horford misses 2-pt shot from 1 ft,,6-9,,
7:28.0,,,6-9,,Defensive rebound by M. Dellavedova
7:14.0,,,6-12,3,G. Antetokounmpo makes 3-pt shot from 25 ft (assist by M. Brogdon)
6:52.0,J. Brown misses 3-pt shot from 27 ft,,6-12,,
6:49.0,,,6-12,,Defensive rebound by T. Zeller
6:35.0,,,6-14,2,K. Middleton makes 2-pt shot from 15 ft
6:08.0,Turnover by T. Rozier (bad pass; steal by G. Antetokounmpo),,6-14,,
6:05.0,,,6-16,2,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
6:05.0,Boston full timeout,,6-16,,
6:05.0,G. Monroe enters the game for J. Tatum,,6-16,,
6:05.0,M. Morris enters the game for A. Baynes,,6-16,,
5:48.0,Turnover by T. Rozier (bad pass; steal by G. Antetokounmpo),,6-16,,
5:44.0,,,6-16,,G. Antetokounmpo misses 2-pt shot at rim
5:41.0,Defensive rebound by M. Morris,,6-16,,
5:35.0,M. Morris misses 2-pt shot from 3 ft,,6-16,,
5:33.0,,,6-16,,Defensive rebound by K. Middleton
5:23.0,,,6-16,,K. Middleton misses 2-pt shot from 9 ft
5:21.0,Defensive rebound by A. Horford,,6-16,,
5:20.0,,,6-16,,Personal foul by M. Dellavedova (drawn by G. Monroe)
