time,Chicago,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. C. Felicio (K. Walker gains possession),,,,Jump ball: D. Howard vs. C. Felicio (K. Walker gains possession)
11:46.0,,,0-0,,Turnover by K. Walker (out of bounds lost ball)
11:23.0,C. Felicio makes 2-pt shot from 16 ft (assist by Z. LaVine),2,2-0,,
11:07.0,,,2-2,2,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum)
10:45.0,C. Felicio makes 2-pt shot from 18 ft (assist by K. Dunn),2,4-2,,
10:29.0,,,4-2,,K. Walker misses 2-pt shot from 4 ft (block by K. Dunn)
10:26.0,,,4-2,,Offensive rebound by D. Howard
10:22.0,,,4-4,2,D. Howard makes 2-pt shot from 1 ft
9:55.0,C. Felicio makes 2-pt shot from 1 ft (assist by Z. LaVine),2,6-4,,
9:40.0,Personal foul by D. Nwaba (drawn by K. Walker),,6-4,,
9:32.0,,,6-4,,K. Walker misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by C. Felicio,,6-4,,
9:20.0,L. Markkanen misses 2-pt shot from 20 ft,,6-4,,
9:20.0,,,6-4,,Defensive rebound by M. Williams
9:10.0,,,6-7,3,M. Williams makes 3-pt shot from 27 ft (assist by N. Batum)
8:56.0,Z. LaVine misses 2-pt shot from 21 ft,,6-7,,
8:56.0,,,6-7,,Defensive rebound by D. Howard
8:42.0,,,6-7,,Shooting foul by C. Felicio (drawn by K. Walker)
8:42.0,,,6-8,1,K. Walker makes free throw 1 of 2
8:42.0,,,6-8,,K. Walker misses free throw 2 of 2
8:39.0,Defensive rebound by C. Felicio,,6-8,,
8:29.0,Z. LaVine makes 2-pt shot from 1 ft,2,8-8,,
8:18.0,,,8-11,3,K. Walker makes 3-pt shot from 25 ft
7:52.0,Turnover by L. Markkanen (bad pass; steal by M. Kidd-Gilchrist),,8-11,,
7:41.0,,,8-11,,N. Batum misses 3-pt shot from 24 ft
7:38.0,Defensive rebound by C. Felicio,,8-11,,
7:33.0,L. Markkanen misses 2-pt shot at rim,,8-11,,
7:31.0,Offensive rebound by D. Nwaba,,8-11,,
7:24.0,Z. LaVine makes 2-pt shot from 12 ft,2,10-11,,
7:08.0,,,10-14,3,K. Walker makes 3-pt shot from 26 ft
6:52.0,L. Markkanen makes 3-pt shot from 25 ft (assist by C. Felicio),3,13-14,,
6:29.0,,,13-16,2,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum)
6:08.0,Z. LaVine misses 2-pt shot from 2 ft,,13-16,,
6:02.0,Offensive rebound by Z. LaVine,,13-16,,
6:02.0,Z. LaVine misses 2-pt shot at rim (block by N. Batum),,13-16,,
6:02.0,,,13-16,,Defensive rebound by N. Batum
5:57.0,,,13-16,,K. Walker misses 3-pt shot from 26 ft
5:56.0,Defensive rebound by D. Nwaba,,13-16,,
