time,Atlanta,pts.away,score,pts.home,New Orleans
0:55.0,,,104-106,3,D. Miller makes 3-pt shot from 23 ft (assist by J. Holiday)
0:37.0,,,104-106,,Personal block foul by A. Davis (drawn by K. Bazemore)
0:37.0,K. Bazemore makes free throw 2 of 2,1,105-106,,
0:37.0,K. Bazemore misses free throw 1 of 2,,105-106,,
0:37.0,Offensive rebound by Team,,105-106,,
0:37.0,,,105-106,,D. Cousins enters the game for D. Miller
0:37.0,D. Dedmon enters the game for T. Cavanaugh,,105-106,,
0:37.0,,,105-106,,New Orleans full timeout
0:37.0,,,105-106,,D. Miller enters the game for E. Moore
0:37.0,T. Cavanaugh enters the game for M. Belinelli,,105-106,,
0:28.0,,,105-106,,D. Miller misses 3-pt shot from 26 ft
0:23.0,Defensive rebound by T. Waller-Prince,,105-106,,
0:03.0,,,105-106,,New Orleans full timeout
0:03.0,M. Delaney enters the game for T. Cavanaugh,,105-106,,
0:03.0,Turnover by D. Schroder (bad pass),,105-106,,
0:03.0,Personal take foul by D. Schroder (drawn by J. Holiday),,105-106,,
0:00.0,,,105-106,,Turnover by A. Davis (bad pass; steal by T. Waller-Prince)
0:00.0,Atlanta full timeout,,105-106,,
0:00.0,,,105-106,,D. Cunningham enters the game for D. Miller
0:00.0,M. Belinelli enters the game for D. Dedmon,,105-106,,
0:00.0,L. Babbitt enters the game for D. Schroder,,105-106,,
0:00.0,J. Collins enters the game for M. Delaney,,105-106,,
0:00.0,K. Bazemore misses 3-pt shot from 25 ft (block by J. Holiday),,105-106,,
0:00.0,Offensive rebound by Team,,105-106,,
