time,Atlanta,pts.away,score,pts.home,New Orleans
6:20.0,K. Bazemore misses 2-pt shot from 1 ft (block by A. Davis),,15-9,,
6:18.0,,,15-9,,Defensive rebound by Team
6:02.0,,,15-9,,Offensive foul by A. Davis (drawn by D. Schroder)
6:02.0,,,15-9,,Turnover by A. Davis (offensive foul)
6:02.0,M. Belinelli enters the game for K. Bazemore,,15-9,,
5:48.0,Turnover by L. Babbitt (bad pass; steal by E. Moore),,15-9,,
5:43.0,,,15-9,,E. Moore misses 2-pt shot at rim (block by T. Waller-Prince)
5:43.0,,,15-9,,D. Cunningham misses 2-pt shot from 1 ft
5:43.0,Defensive rebound by L. Babbitt,,15-9,,
5:38.0,,,15-9,,Defensive rebound by D. Cunningham
5:29.0,Turnover by D. Schroder (lost ball; steal by J. Holiday),,15-9,,
5:19.0,,,15-9,,J. Holiday misses 2-pt shot from 3 ft
5:15.0,Defensive rebound by J. Collins,,15-9,,
5:08.0,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Schroder),3,18-9,,
4:56.0,Personal foul by J. Collins (drawn by A. Davis),,18-9,,
4:56.0,,,18-9,,R. Rondo enters the game for E. Moore
4:56.0,D. Dedmon enters the game for J. Collins,,18-9,,
4:48.0,,,18-11,2,R. Rondo makes 2-pt shot at rim (assist by D. Cousins)
4:35.0,,,18-11,,Violation by D. Cousins (kicked ball)
4:32.0,Turnover by M. Belinelli (bad pass; steal by D. Cunningham),,18-11,,
4:25.0,,,18-14,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo)
3:57.0,D. Schroder makes 2-pt shot from 2 ft,2,20-14,,
3:52.0,,,20-14,,Turnover by D. Cousins (bad pass; steal by M. Belinelli)
3:48.0,T. Waller-Prince misses 3-pt shot from 24 ft,,20-14,,
3:41.0,,,20-14,,Defensive rebound by D. Cousins
3:40.0,,,20-17,3,D. Cunningham makes 3-pt shot from 24 ft (assist by D. Cousins)
3:32.0,Atlanta full timeout,,20-17,,
3:32.0,,,20-17,,C. Diallo enters the game for D. Cousins
3:32.0,,,20-17,,D. Miller enters the game for D. Cunningham
3:32.0,I. Taylor enters the game for T. Waller-Prince,,20-17,,
3:32.0,M. Delaney enters the game for D. Schroder,,20-17,,
3:26.0,M. Belinelli misses 2-pt shot from 20 ft,,20-17,,
3:20.0,,,20-17,,Defensive rebound by A. Davis
3:11.0,,,20-17,,Offensive charge foul by R. Rondo (drawn by M. Delaney)
3:11.0,,,20-17,,Turnover by R. Rondo (offensive foul)
3:11.0,,,20-17,,J. Nelson enters the game for J. Holiday
2:58.0,L. Babbitt misses 3-pt shot from 26 ft,,20-17,,
2:53.0,Offensive rebound by D. Dedmon,,20-17,,
2:52.0,D. Dedmon makes 2-pt shot from 2 ft,2,22-17,,
2:39.0,,,22-17,,J. Nelson misses 3-pt shot from 23 ft
2:35.0,Defensive rebound by D. Dedmon,,22-17,,
2:17.0,I. Taylor misses 3-pt shot from 24 ft,,22-17,,
2:14.0,Offensive rebound by D. Dedmon,,22-17,,
2:04.0,D. Dedmon makes 2-pt shot at rim (assist by L. Babbitt),2,24-17,,
1:51.0,,,24-19,2,D. Miller makes 2-pt shot from 22 ft (assist by R. Rondo)
1:35.0,M. Belinelli makes 2-pt shot from 22 ft,2,26-19,,
1:24.0,Personal foul by I. Taylor (drawn by J. Nelson),,26-19,,
1:24.0,,,26-19,,J. Nelson misses free throw 1 of 2
1:24.0,,,26-19,,Offensive rebound by Team
1:24.0,,,26-19,,I. Clark enters the game for C. Diallo
1:24.0,K. Bazemore enters the game for L. Babbitt,,26-19,,
1:24.0,,,26-20,1,J. Nelson makes free throw 2 of 2
1:12.0,Turnover by D. Dedmon (bad pass),,26-20,,
1:04.0,,,26-20,,Shooting foul by D. Dedmon (drawn by A. Davis)
1:04.0,,,26-21,1,A. Davis makes free throw 1 of 2
1:04.0,T. Cavanaugh enters the game for D. Dedmon,,26-21,,
1:04.0,,,26-21,,A. Davis misses free throw 2 of 2
1:01.0,,,26-21,,Offensive rebound by Team
0:52.0,,,26-21,,D. Miller misses 3-pt shot from 26 ft
0:52.0,,,26-21,,Offensive rebound by Team
0:52.0,Loose ball foul by T. Cavanaugh (drawn by A. Davis),,26-21,,
0:52.0,,,26-22,1,A. Davis makes free throw 1 of 2
0:52.0,,,26-23,1,A. Davis makes free throw 2 of 2
0:32.0,M. Belinelli makes 3-pt shot from 25 ft,3,29-23,,
0:25.0,,,29-23,,I. Clark misses 3-pt shot from 25 ft
0:21.0,Defensive rebound by M. Belinelli,,29-23,,
0:04.0,I. Taylor makes 3-pt shot from 23 ft (assist by M. Belinelli),3,32-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,T. Cavanaugh misses 2-pt shot from 9 ft,,32-23,,
11:41.0,,,32-23,,Defensive rebound by D. Cousins
11:23.0,,,32-23,,I. Clark misses 3-pt shot from 23 ft
11:18.0,Defensive rebound by M. Belinelli,,32-23,,
11:15.0,,,32-23,,Personal foul by J. Nelson (drawn by K. Bazemore)
10:58.0,M. Belinelli misses 3-pt shot from 25 ft,,32-23,,
10:55.0,,,32-23,,Defensive rebound by D. Cousins
10:50.0,,,32-23,,J. Holiday misses 3-pt shot from 25 ft
10:43.0,Defensive rebound by T. Cavanaugh,,32-23,,
10:41.0,K. Bazemore makes 2-pt shot from 3 ft (assist by I. Taylor),2,34-23,,
10:25.0,,,34-23,,Turnover by D. Cousins (bad pass; steal by M. Belinelli)
10:20.0,Turnover by K. Bazemore (lost ball; steal by D. Miller),,34-23,,
