time,Washington,pts.away,score,pts.home,Boston
2:17.0,,,19-31,1,M. Morris makes free throw 2 of 2
2:01.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by R. Sessions),2,21-31,,
1:45.0,,,21-31,,M. Morris misses 2-pt shot from 15 ft
1:42.0,Defensive rebound by J. Meeks,,21-31,,
1:27.0,Turnover by R. Sessions (bad pass; steal by S. Larkin),,21-31,,
1:20.0,,,21-33,2,S. Larkin makes 2-pt shot at rim
1:09.0,J. Meeks misses 3-pt shot from 26 ft,,21-33,,
1:06.0,,,21-33,,Defensive rebound by M. Morris
0:52.0,,,21-33,,S. Ojeleye misses 2-pt shot from 5 ft (block by M. Scott)
0:51.0,Defensive rebound by R. Sessions,,21-33,,
0:40.0,Turnover by M. Scott (discontinued dribble),,21-33,,
0:40.0,,,21-33,,J. Tatum enters the game for M. Morris
0:29.0,,,21-33,,J. Tatum misses 2-pt shot from 1 ft
0:27.0,,,21-33,,Offensive rebound by A. Nader
0:18.0,,,21-33,,A. Nader misses 2-pt shot from 2 ft
0:17.0,,,21-33,,Offensive rebound by G. Monroe
0:16.0,,,21-35,2,G. Monroe makes 2-pt shot from 1 ft
0:04.0,M. Scott makes 2-pt shot from 2 ft (assist by R. Sessions),2,23-35,,
0:00.0,,,23-37,2,S. Larkin makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,J. Meeks makes 2-pt shot from 11 ft (assist by M. Scott),2,25-37,,
11:29.0,,,25-37,,Turnover by G. Monroe (lost ball; steal by K. Oubre)
11:16.0,Turnover by I. Mahinmi (out of bounds lost ball),,25-37,,
10:56.0,,,25-37,,Turnover by S. Ojeleye (bad pass; steal by I. Mahinmi)
10:48.0,M. Scott misses 2-pt shot from 3 ft,,25-37,,
10:46.0,,,25-37,,Defensive rebound by G. Monroe
10:40.0,,,25-40,3,S. Larkin makes 3-pt shot from 22 ft (assist by J. Tatum)
10:24.0,,,25-40,,Personal foul by G. Monroe (drawn by I. Mahinmi)
10:18.0,J. Meeks misses 3-pt shot from 26 ft,,25-40,,
10:18.0,,,25-40,,Defensive rebound by J. Tatum
10:07.0,,,25-42,2,A. Nader makes 2-pt shot from 1 ft (assist by G. Monroe)
10:05.0,Washington full timeout,,25-42,,
9:55.0,Shooting foul by A. Nader (drawn by K. Oubre),,25-42,,
9:55.0,K. Oubre makes free throw 1 of 2,1,26-42,,
9:55.0,K. Oubre makes free throw 2 of 2,1,27-42,,
9:33.0,,,27-42,,S. Larkin misses 2-pt shot from 21 ft
9:33.0,Defensive rebound by Team,,27-42,,
9:19.0,R. Sessions misses 2-pt shot from 10 ft,,27-42,,
9:17.0,,,27-42,,Defensive rebound by G. Monroe
9:09.0,,,27-44,2,J. Tatum makes 2-pt shot at rim (assist by S. Larkin)
8:58.0,J. Meeks misses 2-pt shot from 1 ft (block by G. Monroe),,27-44,,
8:57.0,Offensive rebound by I. Mahinmi,,27-44,,
8:57.0,I. Mahinmi misses 2-pt shot at rim,,27-44,,
8:57.0,Offensive rebound by I. Mahinmi,,27-44,,
8:55.0,I. Mahinmi makes 2-pt shot from 3 ft,2,29-44,,
8:33.0,,,29-47,3,S. Ojeleye makes 3-pt shot from 22 ft (assist by A. Nader)
8:15.0,I. Mahinmi misses 2-pt shot from 1 ft,,29-47,,
8:15.0,,,29-47,,Defensive rebound by A. Nader
7:56.0,,,29-47,,J. Tatum misses 2-pt shot from 11 ft
7:53.0,,,29-47,,Offensive rebound by G. Monroe
7:52.0,Personal foul by M. Scott (drawn by G. Monroe),,29-47,,
7:52.0,M. Morris enters the game for R. Sessions,,29-47,,
7:52.0,B. Beal enters the game for J. Meeks,,29-47,,
7:52.0,O. Porter enters the game for I. Mahinmi,,29-47,,
7:45.0,,,29-49,2,G. Monroe makes 2-pt shot from 1 ft (assist by S. Larkin)
7:30.0,,,29-49,,Personal foul by A. Nader (drawn by O. Porter)
7:26.0,Turnover by M. Morris (bad pass; steal by G. Monroe),,29-49,,
7:18.0,,,29-49,,S. Larkin misses 2-pt shot from 14 ft
7:16.0,Defensive rebound by K. Oubre,,29-49,,
7:12.0,M. Morris makes 2-pt shot from 3 ft (assist by K. Oubre),2,31-49,,
6:53.0,,,31-51,2,J. Tatum makes 2-pt shot from 2 ft
6:38.0,M. Scott makes 3-pt shot from 22 ft (assist by M. Morris),3,34-51,,
6:14.0,,,34-51,,Turnover by G. Monroe (bad pass; steal by O. Porter)
6:07.0,Turnover by O. Porter (lost ball; steal by S. Ojeleye),,34-51,,
6:06.0,,,34-51,,Shooting foul by K. Oubre (drawn by S. Ojeleye)
6:06.0,,,34-52,1,S. Ojeleye makes free throw 1 of 2
6:06.0,,,34-52,,G. Yabusele enters the game for J. Tatum
6:06.0,,,34-52,,T. Rozier enters the game for S. Larkin
6:06.0,,,34-53,1,S. Ojeleye makes free throw 2 of 2
5:44.0,M. Scott makes 2-pt shot from 2 ft (assist by B. Beal),2,36-53,,
5:24.0,,,36-55,2,G. Monroe makes 2-pt shot from 15 ft
5:03.0,O. Porter misses 2-pt shot from 21 ft,,36-55,,
5:02.0,,,36-55,,Defensive rebound by A. Nader
4:54.0,Personal foul by M. Scott (drawn by G. Yabusele),,36-55,,
4:54.0,,,36-55,,M. Morris enters the game for G. Monroe
4:54.0,T. Satoransky enters the game for M. Scott,,36-55,,
4:49.0,,,36-55,,T. Rozier misses 2-pt shot from 16 ft
4:46.0,Defensive rebound by K. Oubre,,36-55,,
4:34.0,K. Oubre makes 3-pt shot from 26 ft (assist by B. Beal),3,39-55,,
