time,Charlotte,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. D. Howard (K. Walker gains possession),,,,Jump ball: J. Embiid vs. D. Howard (K. Walker gains possession)
11:40.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by D. Howard),2,2-0,,
11:29.0,,,2-2,2,B. Simmons makes 2-pt shot from 4 ft
11:13.0,M. Williams makes 2-pt shot from 9 ft (assist by N. Batum),2,4-2,,
11:00.0,,,4-5,3,J. Embiid makes 3-pt shot from 27 ft (assist by B. Simmons)
10:43.0,,,4-5,,Personal foul by J. Embiid (drawn by D. Howard)
10:30.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,4-5,,
10:27.0,Offensive rebound by N. Batum,,4-5,,
10:25.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,4-5,,
10:25.0,,,4-5,,Defensive rebound by J. Embiid
10:14.0,,,4-7,2,R. Covington makes 2-pt shot from 2 ft (assist by B. Simmons)
10:00.0,K. Walker makes 2-pt shot from 9 ft,2,6-7,,
9:53.0,,,6-7,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Simmons)
9:53.0,,,6-8,1,B. Simmons makes free throw 1 of 2
9:53.0,,,6-9,1,B. Simmons makes free throw 2 of 2
9:36.0,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum),2,8-9,,
9:18.0,,,8-9,,J. Embiid misses 2-pt shot from 22 ft
9:17.0,Defensive rebound by N. Batum,,8-9,,
9:03.0,Turnover by D. Howard (lost ball; steal by R. Covington),,8-9,,
8:56.0,,,8-9,,B. Simmons misses 2-pt shot from 6 ft
8:55.0,,,8-9,,Offensive rebound by D. Saric
8:48.0,Personal foul by D. Howard (drawn by J. Embiid),,8-9,,
8:42.0,,,8-11,2,D. Saric makes 2-pt shot from 2 ft (assist by R. Covington)
8:30.0,N. Batum makes 3-pt shot from 23 ft (assist by K. Walker),3,11-11,,
8:17.0,Personal foul by D. Howard (drawn by J. Embiid),,11-11,,
8:17.0,,,11-11,,M. Belinelli enters the game for J. Redick
8:11.0,,,11-11,,M. Belinelli misses 2-pt shot from 18 ft
8:11.0,Defensive rebound by Team,,11-11,,
8:11.0,,,11-11,,Loose ball foul by D. Saric (drawn by M. Williams)
7:59.0,N. Batum misses 2-pt shot from 15 ft,,11-11,,
7:56.0,,,11-11,,Defensive rebound by B. Simmons
7:41.0,,,11-13,2,D. Saric makes 2-pt shot from 4 ft
7:22.0,K. Walker makes 2-pt shot from 18 ft,2,13-13,,
7:20.0,,,13-13,,Philadelphia full timeout
7:20.0,,,13-13,,R. Holmes enters the game for J. Embiid
7:04.0,Personal foul by M. Williams (drawn by D. Saric),,13-13,,
6:49.0,,,13-13,,Turnover by Team (shot clock)
6:39.0,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker),3,16-13,,
6:20.0,,,16-15,2,B. Simmons makes 2-pt shot from 12 ft
6:03.0,K. Walker makes 2-pt shot from 17 ft,2,18-15,,
5:52.0,,,18-17,2,B. Simmons makes 2-pt shot from 1 ft
5:37.0,K. Walker misses 2-pt shot from 6 ft (block by R. Holmes),,18-17,,
5:34.0,,,18-17,,Defensive rebound by D. Saric
5:31.0,,,18-20,3,R. Covington makes 3-pt shot from 26 ft (assist by B. Simmons)
5:30.0,Charlotte full timeout,,18-20,,
5:30.0,,,18-20,,T. McConnell enters the game for R. Covington
5:11.0,M. Kidd-Gilchrist misses 2-pt shot from 10 ft,,18-20,,
5:08.0,,,18-20,,Defensive rebound by R. Holmes
5:03.0,,,18-20,,B. Simmons misses 2-pt shot from 11 ft
5:01.0,Defensive rebound by N. Batum,,18-20,,
5:01.0,,,18-20,,Personal foul by R. Holmes (drawn by M. Kidd-Gilchrist)
4:49.0,K. Walker makes 3-pt shot from 26 ft (assist by D. Howard),3,21-20,,
4:31.0,,,21-22,2,M. Belinelli makes 2-pt shot from 3 ft
4:13.0,K. Walker makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,24-22,,
4:12.0,,,24-22,,Philadelphia full timeout
4:12.0,,,24-22,,E. Ilyasova enters the game for D. Saric
4:12.0,F. Kaminsky enters the game for M. Williams,,24-22,,
4:12.0,,,24-22,,J. Redick enters the game for B. Simmons
4:12.0,J. Lamb enters the game for M. Kidd-Gilchrist,,24-22,,
4:03.0,,,24-22,,J. Redick misses 2-pt shot from 14 ft
4:01.0,Defensive rebound by F. Kaminsky,,24-22,,
3:49.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker),3,27-22,,
3:36.0,,,27-22,,J. Embiid enters the game for R. Holmes
3:29.0,,,27-25,3,E. Ilyasova makes 3-pt shot from 27 ft (assist by J. Redick)
3:07.0,Turnover by N. Batum (traveling),,27-25,,
3:07.0,,,27-25,,T. Luwawu-Cabarrot enters the game for M. Belinelli
2:53.0,,,27-25,,E. Ilyasova misses 2-pt shot from 3 ft
2:50.0,Defensive rebound by D. Howard,,27-25,,
2:45.0,J. Lamb misses 3-pt shot from 25 ft,,27-25,,
2:41.0,,,27-25,,Defensive rebound by J. Embiid
2:24.0,,,27-25,,E. Ilyasova misses 3-pt shot from 25 ft
2:24.0,,,27-25,,Offensive rebound by J. Embiid
2:21.0,,,27-25,,Shooting foul by D. Howard (drawn by J. Embiid)
2:21.0,,,27-26,1,J. Embiid makes free throw 1 of 2
2:21.0,W. Hernangomez enters the game for D. Howard,,27-26,,
2:21.0,,,27-26,,J. Embiid misses free throw 2 of 2
2:21.0,M. Carter-Williams enters the game for K. Walker,,27-26,,
2:15.0,Offensive rebound by W. Hernangomez,,27-26,,
2:10.0,Shooting foul by T. Luwawu-Cabarrot (drawn by N. Batum),,27-26,,
2:10.0,N. Batum makes free throw 1 of 2,1,28-26,,
2:10.0,N. Batum misses free throw 2 of 2,,28-26,,
2:08.0,,,28-26,,Defensive rebound by J. Embiid
1:48.0,,,28-26,,J. Embiid misses 2-pt shot from 3 ft
1:46.0,Defensive rebound by N. Batum,,28-26,,
1:42.0,Shooting foul by E. Ilyasova (drawn by M. Carter-Williams),,28-26,,
1:42.0,M. Carter-Williams makes free throw 1 of 2,1,29-26,,
1:42.0,M. Carter-Williams makes free throw 2 of 2,1,30-26,,
1:31.0,,,30-26,,J. Embiid misses 3-pt shot from 26 ft
1:30.0,Defensive rebound by Team,,30-26,,
1:16.0,N. Batum misses 3-pt shot from 26 ft,,30-26,,
1:12.0,,,30-26,,Defensive rebound by J. Redick
1:06.0,Personal foul by W. Hernangomez (drawn by J. Embiid),,30-26,,
1:06.0,,,30-27,1,J. Embiid makes free throw 1 of 2
1:06.0,,,30-27,,J. Embiid misses free throw 2 of 2
1:04.0,Defensive rebound by W. Hernangomez,,30-27,,
0:55.0,M. Carter-Williams misses 2-pt shot from 2 ft,,30-27,,
0:46.0,Offensive rebound by W. Hernangomez,,30-27,,
0:46.0,W. Hernangomez misses 2-pt shot at rim,,30-27,,
0:46.0,,,30-27,,Defensive rebound by T. McConnell
0:37.0,,,30-27,,T. McConnell misses 2-pt shot from 14 ft
0:35.0,Defensive rebound by W. Hernangomez,,30-27,,
0:32.0,W. Hernangomez misses 2-pt shot from 16 ft,,30-27,,
0:32.0,,,30-27,,Defensive rebound by J. Embiid
0:28.0,,,30-27,,J. Embiid misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by F. Kaminsky,,30-27,,
0:02.0,M. Carter-Williams misses 2-pt shot from 11 ft,,30-27,,
0:01.0,,,30-27,,Defensive rebound by J. Embiid
0:00.0,,,30-27,,T. McConnell misses 3-pt shot from 49 ft
0:00.0,,,30-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,30-29,2,J. Embiid makes 2-pt shot from 21 ft
11:20.0,J. Lamb misses 2-pt shot from 2 ft,,30-29,,
11:18.0,,,30-29,,Defensive rebound by J. Embiid
11:13.0,,,30-29,,Turnover by J. Embiid (traveling)
10:55.0,W. Hernangomez makes 2-pt shot from 10 ft,2,32-29,,
10:40.0,,,32-29,,Turnover by T. McConnell (bad pass; steal by J. Lamb)
10:30.0,J. Lamb makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,35-29,,
10:08.0,,,35-29,,M. Belinelli misses 2-pt shot from 18 ft
10:07.0,Defensive rebound by Team,,35-29,,
10:07.0,,,35-29,,R. Covington enters the game for T. Luwawu-Cabarrot
9:54.0,Shooting foul by E. Ilyasova (drawn by F. Kaminsky),,35-29,,
9:54.0,F. Kaminsky makes free throw 1 of 2,1,36-29,,
9:54.0,,,36-29,,D. Saric enters the game for E. Ilyasova
