time,Boston,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. A. Baynes (K. Lowry gains possession),,,,Jump ball: J. Valanciunas vs. A. Baynes (K. Lowry gains possession)
11:46.0,,,0-0,,J. Valanciunas misses 2-pt shot from 10 ft
11:43.0,Defensive rebound by J. Brown,,0-0,,
11:31.0,J. Brown makes 2-pt shot from 10 ft,2,2-0,,
11:12.0,,,2-3,3,K. Lowry makes 3-pt shot from 29 ft (assist by J. Valanciunas)
11:00.0,K. Irving misses 2-pt shot from 2 ft (block by J. Valanciunas),,2-3,,
10:58.0,,,2-3,,Defensive rebound by J. Valanciunas
10:53.0,,,2-5,2,S. Ibaka makes 2-pt shot from 16 ft (assist by K. Lowry)
10:26.0,Turnover by J. Brown (bad pass; steal by O. Anunoby),,2-5,,
10:21.0,,,2-8,3,K. Lowry makes 3-pt shot from 26 ft (assist by O. Anunoby)
10:00.0,A. Baynes makes 2-pt shot from 1 ft (assist by K. Irving),2,4-8,,
9:39.0,,,4-8,,D. DeRozan misses 2-pt shot from 18 ft
9:38.0,Defensive rebound by Team,,4-8,,
9:38.0,,,4-8,,Loose ball foul by S. Ibaka (drawn by J. Brown)
9:16.0,K. Irving makes 2-pt shot from 12 ft,2,6-8,,
8:55.0,,,6-8,,J. Valanciunas misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by A. Baynes,,6-8,,
8:48.0,K. Irving makes 3-pt shot from 25 ft (assist by J. Brown),3,9-8,,
8:33.0,,,9-10,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
8:19.0,J. Brown makes 2-pt shot from 12 ft,2,11-10,,
8:12.0,Personal foul by J. Brown (drawn by D. DeRozan),,11-10,,
7:57.0,,,11-12,2,S. Ibaka makes 2-pt shot from 20 ft (assist by D. DeRozan)
7:40.0,J. Tatum misses 2-pt shot from 13 ft,,11-12,,
7:39.0,,,11-12,,Defensive rebound by K. Lowry
7:34.0,,,11-15,3,K. Lowry makes 3-pt shot from 26 ft
7:20.0,J. Tatum misses 3-pt shot from 26 ft,,11-15,,
7:16.0,,,11-15,,Defensive rebound by J. Valanciunas
7:13.0,,,11-15,,K. Lowry misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by A. Baynes,,11-15,,
6:56.0,Turnover by A. Horford (bad pass),,11-15,,
6:56.0,,,11-15,,Toronto full timeout
6:41.0,,,11-15,,J. Valanciunas misses 2-pt shot from 2 ft
6:39.0,Defensive rebound by A. Baynes,,11-15,,
6:33.0,J. Brown misses 2-pt shot from 2 ft,,11-15,,
6:29.0,,,11-15,,Defensive rebound by J. Valanciunas
6:15.0,,,11-15,,J. Valanciunas misses 2-pt shot from 9 ft
6:11.0,,,11-15,,Offensive rebound by K. Lowry
6:01.0,,,11-15,,D. DeRozan misses 2-pt shot from 2 ft (block by A. Horford)
5:59.0,Defensive rebound by A. Baynes,,11-15,,
5:56.0,J. Tatum misses 2-pt shot from 1 ft,,11-15,,
5:54.0,,,11-15,,Defensive rebound by O. Anunoby
5:48.0,Personal foul by A. Horford (drawn by S. Ibaka),,11-15,,
