time,Boston,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Booker vs. A. Horford (K. Irving gains possession),,,,Jump ball: T. Booker vs. A. Horford (K. Irving gains possession)
11:47.0,K. Irving misses 2-pt shot from 9 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by R. Hollis-Jefferson
11:40.0,,,0-2,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
11:23.0,J. Tatum makes 3-pt shot from 24 ft (assist by M. Morris),3,3-2,,
11:04.0,Personal foul by J. Brown (drawn by A. Crabbe),,3-2,,
10:58.0,,,3-2,,S. Dinwiddie misses 3-pt shot from 26 ft
10:58.0,Defensive rebound by J. Brown,,3-2,,
10:38.0,A. Horford makes 2-pt shot from 11 ft,2,5-2,,
10:20.0,,,5-4,2,T. Booker makes 2-pt shot from 4 ft (assist by S. Dinwiddie)
10:03.0,K. Irving misses 3-pt shot from 24 ft,,5-4,,
10:03.0,,,5-4,,Defensive rebound by T. Booker
9:42.0,,,5-4,,T. Booker misses 2-pt shot from 7 ft
9:39.0,Defensive rebound by M. Morris,,5-4,,
9:29.0,J. Tatum makes 2-pt shot from 3 ft,2,7-4,,
9:10.0,,,7-4,,D. Carroll misses 2-pt shot from 4 ft
9:08.0,Defensive rebound by A. Horford,,7-4,,
8:57.0,J. Brown makes 2-pt shot from 11 ft,2,9-4,,
8:40.0,,,9-4,,R. Hollis-Jefferson misses 2-pt shot from 21 ft
8:40.0,Defensive rebound by Team,,9-4,,
8:25.0,M. Morris makes 2-pt shot from 15 ft,2,11-4,,
8:03.0,,,11-4,,D. Carroll misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by M. Morris,,11-4,,
7:53.0,K. Irving makes 3-pt shot from 25 ft (assist by A. Horford),3,14-4,,
7:53.0,,,14-4,,Brooklyn full timeout
7:31.0,,,14-4,,S. Dinwiddie misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by M. Morris,,14-4,,
7:15.0,J. Tatum makes 3-pt shot from 22 ft (assist by K. Irving),3,17-4,,
7:00.0,,,17-6,2,T. Booker makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
6:47.0,M. Morris misses 2-pt shot from 16 ft,,17-6,,
6:44.0,,,17-6,,Defensive rebound by A. Crabbe
6:30.0,,,17-8,2,R. Hollis-Jefferson makes 2-pt shot from 16 ft (assist by S. Dinwiddie)
6:12.0,J. Brown misses 3-pt shot from 24 ft,,17-8,,
6:09.0,,,17-8,,Defensive rebound by D. Carroll
6:00.0,,,17-8,,T. Booker misses 2-pt shot from 9 ft
5:57.0,Defensive rebound by M. Morris,,17-8,,
5:53.0,Turnover by K. Irving (discontinued dribble),,17-8,,
5:53.0,,,17-8,,Q. Acy enters the game for T. Booker
5:53.0,,,17-8,,C. LeVert enters the game for A. Crabbe
5:53.0,M. Smart enters the game for M. Morris,,17-8,,
5:32.0,,,17-10,2,D. Carroll makes 2-pt shot from 3 ft (assist by S. Dinwiddie)
5:12.0,K. Irving misses 2-pt shot from 13 ft,,17-10,,
5:07.0,,,17-10,,Defensive rebound by D. Carroll
5:06.0,,,17-10,,Shooting foul by J. Brown (drawn by D. Carroll)
5:06.0,,,17-11,1,D. Carroll makes free throw 1 of 2
5:06.0,D. Theis enters the game for J. Tatum,,17-11,,
5:06.0,,,17-12,1,D. Carroll makes free throw 2 of 2
4:56.0,D. Theis makes 3-pt shot from 25 ft (assist by J. Brown),3,20-12,,
4:35.0,,,20-12,,Q. Acy misses 2-pt shot from 15 ft
4:31.0,Defensive rebound by D. Theis,,20-12,,
4:19.0,J. Brown misses 3-pt shot from 23 ft,,20-12,,
4:19.0,,,20-12,,Defensive rebound by S. Dinwiddie
4:10.0,,,20-12,,C. LeVert misses 2-pt shot from 15 ft
4:10.0,Defensive rebound by K. Irving,,20-12,,
4:03.0,K. Irving misses 2-pt shot from 3 ft,,20-12,,
4:03.0,Offensive rebound by Team,,20-12,,
4:01.0,,,20-12,,Personal foul by D. Carroll (drawn by D. Theis)
4:01.0,,,20-12,,J. Harris enters the game for D. Carroll
4:01.0,,,20-12,,T. Mozgov enters the game for R. Hollis-Jefferson
4:01.0,T. Rozier enters the game for K. Irving,,20-12,,
3:50.0,A. Horford makes 2-pt shot from 5 ft,2,22-12,,
3:40.0,,,22-12,,Turnover by Q. Acy (bad pass; steal by J. Brown)
3:36.0,J. Brown makes 2-pt shot from 1 ft,2,24-12,,
3:36.0,,,24-12,,Brooklyn full timeout
3:20.0,,,24-14,2,T. Mozgov makes 2-pt shot at rim (assist by Q. Acy)
3:06.0,D. Theis misses 3-pt shot from 24 ft,,24-14,,
3:03.0,,,24-14,,Defensive rebound by S. Dinwiddie
2:49.0,,,24-17,3,C. LeVert makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
2:32.0,J. Brown makes 3-pt shot from 25 ft (assist by A. Horford),3,27-17,,
2:12.0,,,27-19,2,C. LeVert makes 2-pt shot from 7 ft
2:12.0,,,27-19,,Shooting foul by D. Theis (drawn by C. LeVert)
2:12.0,,,27-19,,I. Whitehead enters the game for S. Dinwiddie
2:12.0,A. Baynes enters the game for A. Horford,,27-19,,
2:12.0,,,27-19,,C. LeVert misses free throw 1 of 1
2:09.0,Defensive rebound by D. Theis,,27-19,,
2:00.0,Turnover by A. Baynes (bad pass; steal by C. LeVert),,27-19,,
1:54.0,,,27-21,2,C. LeVert makes 2-pt shot at rim
1:46.0,,,27-21,,Personal foul by C. LeVert (drawn by J. Brown)
1:32.0,A. Baynes misses 2-pt shot from 8 ft,,27-21,,
1:29.0,,,27-21,,Defensive rebound by J. Harris
1:27.0,,,27-21,,Offensive foul by Q. Acy (drawn by M. Smart)
1:27.0,,,27-21,,Turnover by Q. Acy (offensive foul)
1:10.0,T. Rozier misses 2-pt shot from 22 ft,,27-21,,
1:06.0,,,27-21,,Defensive rebound by I. Whitehead
1:02.0,,,27-21,,J. Harris misses 2-pt shot at rim
0:59.0,Defensive rebound by D. Theis,,27-21,,
