time,Toronto,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: E. Moreland vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: E. Moreland vs. J. Valanciunas (K. Lowry gains possession)
11:45.0,P. Siakam makes 3-pt shot from 22 ft (assist by D. DeRozan),3,3-0,,
11:27.0,,,3-0,,Shooting foul by K. Lowry (drawn by A. Tolliver)
11:27.0,,,3-1,1,A. Tolliver makes free throw 1 of 3
11:27.0,,,3-1,,A. Tolliver misses free throw 2 of 3
11:27.0,,,3-1,,Offensive rebound by Team
11:27.0,,,3-2,1,A. Tolliver makes free throw 3 of 3
11:12.0,,,3-2,,Personal foul by R. Jackson (drawn by P. Siakam)
11:00.0,D. DeRozan makes 2-pt shot from 2 ft,2,5-2,,
10:33.0,,,5-2,,R. Jackson misses 2-pt shot from 9 ft
10:29.0,Defensive rebound by O. Anunoby,,5-2,,
10:13.0,J. Valanciunas misses 2-pt shot from 2 ft (block by A. Tolliver),,5-2,,
10:10.0,,,5-2,,Defensive rebound by E. Moreland
10:02.0,,,5-2,,E. Moreland misses 2-pt shot from 6 ft
9:59.0,,,5-2,,Offensive rebound by A. Tolliver
9:56.0,,,5-2,,R. Jackson misses 3-pt shot from 26 ft
9:54.0,Defensive rebound by J. Valanciunas,,5-2,,
9:41.0,J. Valanciunas makes 2-pt shot from 2 ft,2,7-2,,
9:19.0,,,7-2,,S. Johnson misses 2-pt shot from 15 ft
9:16.0,Defensive rebound by J. Valanciunas,,7-2,,
9:02.0,J. Valanciunas makes 3-pt shot from 25 ft (assist by D. DeRozan),3,10-2,,
8:49.0,,,10-4,2,E. Moreland makes 2-pt shot from 2 ft (assist by R. Jackson)
8:34.0,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan),3,13-4,,
8:13.0,,,13-6,2,L. Kennard makes 2-pt shot from 18 ft (assist by E. Moreland)
8:01.0,O. Anunoby makes 2-pt shot from 2 ft (assist by K. Lowry),2,15-6,,
7:50.0,,,15-6,,Detroit full timeout
7:43.0,,,15-9,3,L. Kennard makes 3-pt shot from 27 ft (assist by R. Jackson)
7:31.0,J. Valanciunas misses 2-pt shot from 4 ft,,15-9,,
7:25.0,Offensive rebound by J. Valanciunas,,15-9,,
7:25.0,J. Valanciunas makes 2-pt shot at rim,2,17-9,,
7:12.0,,,17-12,3,L. Kennard makes 3-pt shot from 29 ft (assist by S. Johnson)
6:53.0,Shooting foul by E. Moreland (drawn by J. Valanciunas),,17-12,,
6:53.0,J. Valanciunas makes free throw 1 of 2,1,18-12,,
6:53.0,J. Valanciunas makes free throw 2 of 2,1,19-12,,
6:37.0,,,19-14,2,L. Kennard makes 2-pt shot from 11 ft (assist by A. Tolliver)
6:20.0,K. Lowry misses 3-pt shot from 27 ft,,19-14,,
6:17.0,Offensive rebound by J. Valanciunas,,19-14,,
6:03.0,O. Anunoby misses 3-pt shot from 25 ft,,19-14,,
6:00.0,Offensive rebound by D. DeRozan,,19-14,,
5:48.0,Turnover by J. Valanciunas (bad pass; steal by S. Johnson),,19-14,,
5:46.0,,,19-16,2,S. Johnson makes 2-pt shot from 1 ft (assist by A. Tolliver)
5:36.0,Turnover by D. DeRozan (lost ball; steal by E. Moreland),,19-16,,
5:14.0,,,19-16,,S. Johnson misses 3-pt shot from 23 ft (block by O. Anunoby)
5:12.0,,,19-16,,Offensive rebound by E. Moreland
5:12.0,,,19-16,,Turnover by Team (shot clock)
4:55.0,D. DeRozan misses 3-pt shot from 23 ft,,19-16,,
4:53.0,,,19-16,,Defensive rebound by L. Kennard
4:43.0,,,19-16,,L. Kennard misses 2-pt shot from 9 ft (block by K. Lowry)
4:43.0,,,19-16,,Offensive rebound by Team
4:38.0,,,19-18,2,R. Jackson makes 2-pt shot from 1 ft (assist by A. Tolliver)
4:38.0,Violation by J. Valanciunas (def goaltending),,19-18,,
4:27.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,21-18,,
4:13.0,,,21-18,,R. Jackson misses 2-pt shot from 8 ft
4:11.0,,,21-18,,Offensive rebound by R. Jackson
4:10.0,,,21-20,2,R. Jackson makes 2-pt shot from 3 ft
3:55.0,O. Anunoby makes 3-pt shot from 23 ft (assist by D. DeRozan),3,24-20,,
3:39.0,,,24-20,,A. Tolliver misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by D. DeRozan,,24-20,,
3:31.0,D. DeRozan misses 2-pt shot from 15 ft,,24-20,,
3:28.0,,,24-20,,Defensive rebound by L. Kennard
3:15.0,,,24-22,2,R. Jackson makes 2-pt shot from 4 ft
3:10.0,Toronto full timeout,,24-22,,
3:10.0,,,24-22,,H. Ellenson enters the game for R. Jackson
3:10.0,,,24-22,,I. Smith enters the game for S. Johnson
3:10.0,,,24-22,,J. Ennis enters the game for A. Tolliver
3:10.0,D. Wright enters the game for P. Siakam,,24-22,,
3:10.0,C. Miles enters the game for J. Valanciunas,,24-22,,
3:10.0,J. Poeltl enters the game for K. Lowry,,24-22,,
2:58.0,O. Anunoby misses 2-pt shot from 3 ft (block by E. Moreland),,24-22,,
2:56.0,,,24-22,,Defensive rebound by L. Kennard
2:48.0,,,24-22,,H. Ellenson misses 3-pt shot from 26 ft
2:45.0,Defensive rebound by O. Anunoby,,24-22,,
2:25.0,J. Poeltl misses 2-pt shot from 6 ft,,24-22,,
2:23.0,,,24-22,,Defensive rebound by H. Ellenson
2:10.0,,,24-22,,Shooting foul by D. Wright (drawn by H. Ellenson)
2:10.0,,,24-23,1,H. Ellenson makes free throw 1 of 2
