time,Sacramento,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. W. Cauley-Stein (J. Wilson gains possession),,,,Jump ball: D. Jordan vs. W. Cauley-Stein (J. Wilson gains possession)
11:34.0,,,0-2,2,D. Jordan makes 2-pt shot from 2 ft
11:21.0,G. Hill misses 2-pt shot from 12 ft,,0-2,,
11:21.0,Offensive rebound by Team,,0-2,,
11:16.0,Z. Randolph makes 2-pt shot from 18 ft (assist by W. Cauley-Stein),2,2-2,,
11:06.0,,,2-2,,M. Teodosic misses 3-pt shot from 25 ft
11:04.0,,,2-2,,Offensive rebound by C. Williams
10:59.0,,,2-5,3,J. Wilson makes 3-pt shot from 25 ft (assist by M. Teodosic)
10:37.0,Z. Randolph makes 2-pt shot from 19 ft,2,4-5,,
10:28.0,,,4-5,,A. Rivers misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by Z. Randolph,,4-5,,
10:16.0,G. Hill makes 2-pt shot from 12 ft,2,6-5,,
10:06.0,,,6-8,3,J. Wilson makes 3-pt shot from 26 ft (assist by M. Teodosic)
9:49.0,G. Hill misses 3-pt shot from 23 ft,,6-8,,
9:49.0,,,6-8,,Defensive rebound by Team
9:29.0,,,6-8,,A. Rivers misses 3-pt shot from 26 ft
9:28.0,,,6-8,,Offensive rebound by Team
9:28.0,Loose ball foul by B. Hield (drawn by D. Jordan),,6-8,,
9:24.0,,,6-8,,J. Wilson misses 3-pt shot from 26 ft
9:20.0,Defensive rebound by W. Cauley-Stein,,6-8,,
9:10.0,Z. Randolph misses 2-pt shot from 2 ft,,6-8,,
9:08.0,,,6-8,,Defensive rebound by D. Jordan
9:02.0,,,6-8,,A. Rivers misses 2-pt shot from 4 ft (block by G. Temple)
8:59.0,Defensive rebound by W. Cauley-Stein,,6-8,,
8:52.0,B. Hield makes 3-pt shot from 24 ft (assist by G. Hill),3,9-8,,
8:41.0,,,9-10,2,M. Teodosic makes 2-pt shot from 17 ft (assist by A. Rivers)
8:26.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Hill),2,11-10,,
8:10.0,,,11-10,,Turnover by C. Williams (lost ball; steal by Z. Randolph)
7:57.0,W. Cauley-Stein misses 2-pt shot from 2 ft (block by J. Wilson),,11-10,,
7:53.0,,,11-10,,Defensive rebound by M. Teodosic
7:50.0,,,11-10,,Turnover by M. Teodosic (bad pass; steal by W. Cauley-Stein)
7:47.0,G. Temple makes 2-pt shot from 2 ft (assist by W. Cauley-Stein),2,13-10,,
7:47.0,,,13-10,,Shooting block foul by A. Rivers (drawn by G. Temple)
7:47.0,G. Temple makes free throw 1 of 1,1,14-10,,
7:31.0,,,14-12,2,C. Williams makes 2-pt shot from 7 ft
7:16.0,Turnover by B. Hield (bad pass; steal by J. Wilson),,14-12,,
7:12.0,,,14-12,,Turnover by J. Wilson (bad pass; steal by G. Hill)
7:07.0,G. Temple misses 3-pt shot from 25 ft,,14-12,,
7:03.0,,,14-12,,Defensive rebound by A. Rivers
6:50.0,,,14-15,3,J. Wilson makes 3-pt shot from 25 ft (assist by A. Rivers)
6:22.0,B. Hield misses 2-pt shot from 4 ft,,14-15,,
6:20.0,,,14-15,,Defensive rebound by D. Jordan
6:11.0,,,14-15,,Shooting foul by B. Hield (drawn by D. Jordan)
6:11.0,,,14-15,,LA Clippers full timeout
6:11.0,,,14-16,1,D. Jordan makes free throw 1 of 2
6:11.0,,,14-16,,D. Jordan misses free throw 2 of 2
6:07.0,Defensive rebound by G. Temple,,14-16,,
5:56.0,B. Hield misses 3-pt shot from 25 ft,,14-16,,
5:53.0,,,14-16,,Defensive rebound by D. Jordan
5:39.0,,,14-16,,M. Teodosic misses 2-pt shot from 1 ft
5:36.0,Defensive rebound by Z. Randolph,,14-16,,
5:33.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Hill),2,16-16,,
5:16.0,,,16-18,2,J. Wilson makes 2-pt shot from 2 ft (assist by M. Teodosic)
5:05.0,,,16-18,,Personal foul by C. Williams (drawn by B. Hield)
5:05.0,B. Bogdanovic enters the game for B. Hield,,16-18,,
5:05.0,,,16-18,,L. Williams enters the game for C. Williams
5:05.0,,,16-18,,J. Evans enters the game for M. Teodosic
4:56.0,Z. Randolph misses 2-pt shot from 8 ft,,16-18,,
4:53.0,,,16-18,,Defensive rebound by D. Jordan
4:48.0,,,16-21,3,J. Wilson makes 3-pt shot from 25 ft (assist by L. Williams)
4:30.0,G. Hill makes 2-pt shot from 13 ft,2,18-21,,
4:20.0,,,18-21,,D. Jordan misses 2-pt shot from 3 ft
4:12.0,,,18-21,,Offensive rebound by D. Jordan
4:12.0,,,18-23,2,D. Jordan makes 2-pt shot at rim
4:06.0,Z. Randolph misses 3-pt shot from 26 ft,,18-23,,
4:05.0,Offensive rebound by B. Bogdanovic,,18-23,,
4:03.0,Turnover by B. Bogdanovic (bad pass),,18-23,,
3:51.0,,,18-26,3,L. Williams makes 3-pt shot from 26 ft
3:43.0,Sacramento full timeout,,18-26,,
3:43.0,M. Richardson enters the game for Z. Randolph,,18-26,,
3:30.0,Turnover by W. Cauley-Stein (lost ball; steal by J. Wilson),,18-26,,
3:21.0,,,18-26,,Shooting foul by W. Cauley-Stein (drawn by D. Jordan)
3:21.0,,,18-26,,D. Jordan misses free throw 1 of 2
3:21.0,,,18-26,,Offensive rebound by Team
3:21.0,,,18-27,1,D. Jordan makes free throw 2 of 2
3:10.0,Shooting foul by L. Williams (drawn by G. Temple),,18-27,,
3:10.0,G. Temple makes free throw 1 of 2,1,19-27,,
3:10.0,G. Temple makes free throw 2 of 2,1,20-27,,
2:44.0,,,20-27,,J. Evans misses 2-pt shot from 2 ft (block by G. Hill)
2:41.0,Defensive rebound by W. Cauley-Stein,,20-27,,
2:37.0,G. Temple makes 2-pt shot from 2 ft,2,22-27,,
2:37.0,,,22-27,,Violation by J. Wilson (def goaltending)
2:26.0,,,22-27,,L. Williams misses 2-pt shot from 19 ft
2:23.0,Defensive rebound by W. Cauley-Stein,,22-27,,
2:09.0,G. Temple misses 2-pt shot from 3 ft (block by D. Jordan),,22-27,,
2:09.0,Offensive rebound by G. Temple,,22-27,,
2:03.0,G. Temple misses 2-pt shot from 13 ft,,22-27,,
2:03.0,,,22-27,,Defensive rebound by J. Wilson
1:57.0,,,22-27,,L. Williams misses 2-pt shot from 17 ft (block by G. Temple)
1:57.0,Defensive rebound by W. Cauley-Stein,,22-27,,
1:50.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Temple),2,24-27,,
1:30.0,,,24-27,,Turnover by D. Jordan (lost ball; steal by W. Cauley-Stein)
1:26.0,W. Cauley-Stein makes 2-pt shot at rim (assist by G. Temple),2,26-27,,
1:09.0,,,26-27,,Turnover by A. Rivers (out of bounds lost ball)
1:09.0,,,26-27,,M. Harrell enters the game for D. Jordan
1:09.0,,,26-27,,S. Thornwell enters the game for J. Wilson
1:09.0,,,26-27,,S. Dekker enters the game for A. Rivers
1:09.0,F. Mason enters the game for G. Hill,,26-27,,
1:09.0,J. Jackson enters the game for G. Temple,,26-27,,
0:56.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by M. Richardson),2,28-27,,
0:45.0,,,28-30,3,J. Evans makes 3-pt shot from 26 ft (assist by S. Thornwell)
0:29.0,J. Jackson makes 2-pt shot from 10 ft (assist by F. Mason),2,30-30,,
0:12.0,,,30-30,,S. Thornwell misses 3-pt shot from 22 ft
0:12.0,Defensive rebound by F. Mason,,30-30,,
0:01.0,F. Mason misses 2-pt shot from 2 ft (block by S. Dekker),,30-30,,
0:01.0,,,30-30,,Defensive rebound by S. Thornwell
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,B. Bogdanovic makes 2-pt shot from 18 ft,2,32-30,,
11:31.0,,,32-30,,Shooting foul by J. Jackson (drawn by S. Thornwell)
11:31.0,,,32-31,1,S. Thornwell makes free throw 1 of 2
11:31.0,,,32-32,1,S. Thornwell makes free throw 2 of 2
11:10.0,M. Richardson makes 3-pt shot from 26 ft (assist by K. Koufos),3,35-32,,
10:55.0,,,35-34,2,S. Thornwell makes 2-pt shot from 2 ft (assist by M. Harrell)
10:41.0,K. Koufos makes 2-pt shot from 6 ft (assist by J. Jackson),2,37-34,,
10:30.0,,,37-34,,Shooting foul by K. Koufos (drawn by S. Dekker)
10:30.0,,,37-35,1,S. Dekker makes free throw 2 of 2
10:30.0,,,37-36,1,S. Dekker makes free throw 1 of 2
10:10.0,K. Koufos misses 2-pt shot from 4 ft,,37-36,,
10:07.0,,,37-36,,Defensive rebound by S. Thornwell
10:03.0,,,37-36,,J. Evans misses 3-pt shot from 25 ft
10:03.0,,,37-36,,Offensive rebound by Team
10:03.0,Loose ball foul by J. Jackson (drawn by S. Dekker),,37-36,,
9:56.0,,,37-39,3,L. Williams makes 3-pt shot from 25 ft (assist by M. Harrell)
9:37.0,F. Mason misses 3-pt shot from 25 ft,,37-39,,
9:37.0,,,37-39,,Defensive rebound by L. Williams
9:25.0,,,37-39,,J. Evans misses 3-pt shot from 23 ft
9:25.0,Defensive rebound by M. Richardson,,37-39,,
9:16.0,F. Mason misses 2-pt shot from 8 ft,,37-39,,
9:16.0,,,37-39,,Defensive rebound by J. Evans
9:10.0,,,37-41,2,M. Harrell makes 2-pt shot from 2 ft (assist by J. Evans)
9:02.0,Sacramento full timeout,,37-41,,
8:52.0,J. Jackson makes 2-pt shot from 17 ft (assist by B. Bogdanovic),2,39-41,,
8:36.0,,,39-41,,Shooting foul by K. Koufos (drawn by M. Harrell)
8:36.0,,,39-42,1,M. Harrell makes free throw 1 of 2
8:36.0,,,39-43,1,M. Harrell makes free throw 2 of 2
8:23.0,B. Bogdanovic misses 2-pt shot from 20 ft,,39-43,,
8:16.0,Offensive rebound by K. Koufos,,39-43,,
8:16.0,K. Koufos misses 2-pt shot at rim,,39-43,,
8:16.0,Offensive rebound by K. Koufos,,39-43,,
8:14.0,M. Richardson misses 3-pt shot from 28 ft,,39-43,,
8:12.0,,,39-43,,Defensive rebound by S. Dekker
8:05.0,,,39-43,,L. Williams misses 3-pt shot from 27 ft
8:03.0,Defensive rebound by B. Bogdanovic,,39-43,,
7:46.0,F. Mason makes 2-pt shot from 4 ft,2,41-43,,
7:26.0,,,41-45,2,S. Dekker makes 2-pt shot from 1 ft (assist by J. Evans)
7:15.0,,,41-45,,M. Teodosic enters the game for J. Evans
7:03.0,B. Bogdanovic misses 2-pt shot from 12 ft,,41-45,,
6:58.0,,,41-45,,Defensive rebound by L. Williams
6:52.0,,,41-47,2,M. Harrell makes 2-pt shot from 3 ft (assist by L. Williams)
6:36.0,K. Koufos misses 2-pt shot from 2 ft (block by M. Harrell),,41-47,,
6:36.0,Offensive rebound by Team,,41-47,,
6:36.0,,,41-47,,A. Rivers enters the game for S. Thornwell
6:35.0,Turnover by M. Richardson (step out of bounds),,41-47,,
6:23.0,,,41-50,3,M. Teodosic makes 3-pt shot from 25 ft
6:06.0,J. Jackson misses 3-pt shot from 26 ft,,41-50,,
6:03.0,,,41-50,,Defensive rebound by S. Dekker
5:57.0,,,41-52,2,M. Harrell makes 2-pt shot from 2 ft (assist by M. Teodosic)
5:34.0,,,41-52,,Personal foul by M. Harrell (drawn by B. Bogdanovic)
5:34.0,Z. Randolph enters the game for K. Koufos,,41-52,,
5:28.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by Z. Randolph),2,43-52,,
5:28.0,Shooting foul by S. Dekker (drawn by B. Bogdanovic),,43-52,,
5:28.0,B. Bogdanovic misses free throw 1 of 1,,43-52,,
5:24.0,,,43-52,,Defensive rebound by S. Dekker
5:16.0,,,43-52,,Turnover by L. Williams (bad pass; steal by B. Bogdanovic)
5:12.0,J. Jackson misses 3-pt shot from 23 ft,,43-52,,
5:07.0,,,43-52,,Defensive rebound by M. Harrell
5:05.0,,,43-54,2,S. Dekker makes 2-pt shot from 1 ft (assist by M. Teodosic)
4:50.0,M. Richardson misses 3-pt shot from 27 ft,,43-54,,
4:47.0,Offensive rebound by Team,,43-54,,
4:47.0,,,43-54,,Loose ball foul by A. Rivers (drawn by B. Bogdanovic)
4:47.0,,,43-54,,D. Jordan enters the game for M. Harrell
4:33.0,F. Mason misses 3-pt shot from 25 ft,,43-54,,
4:30.0,,,43-54,,Defensive rebound by S. Dekker
4:24.0,,,43-56,2,L. Williams makes 2-pt shot from 2 ft
4:19.0,Sacramento full timeout,,43-56,,
4:19.0,G. Hill enters the game for F. Mason,,43-56,,
4:09.0,J. Jackson makes 2-pt shot from 1 ft (assist by Z. Randolph),2,45-56,,
3:48.0,,,45-56,,M. Teodosic misses 3-pt shot from 24 ft
3:46.0,Defensive rebound by J. Jackson,,45-56,,
3:37.0,Z. Randolph misses 2-pt shot from 17 ft,,45-56,,
3:37.0,,,45-56,,Defensive rebound by M. Teodosic
3:28.0,,,45-58,2,S. Dekker makes 2-pt shot from 3 ft (assist by M. Teodosic)
3:17.0,,,45-58,,Personal foul by D. Jordan (drawn by Z. Randolph)
3:07.0,M. Richardson makes 2-pt shot from 2 ft (assist by J. Jackson),2,47-58,,
2:52.0,G. Temple enters the game for J. Jackson,,47-58,,
2:49.0,,,47-60,2,L. Williams makes 2-pt shot from 1 ft (assist by M. Teodosic)
2:37.0,G. Hill misses 2-pt shot from 7 ft,,47-60,,
2:34.0,,,47-60,,Defensive rebound by D. Jordan
2:24.0,,,47-63,3,A. Rivers makes 3-pt shot from 25 ft (assist by M. Teodosic)
2:05.0,Z. Randolph misses 2-pt shot from 11 ft,,47-63,,
2:03.0,,,47-63,,Defensive rebound by D. Jordan
1:58.0,,,47-63,,Shooting foul by Z. Randolph (drawn by D. Jordan)
1:58.0,,,47-64,1,D. Jordan makes free throw 1 of 2
1:58.0,,,47-64,,D. Jordan misses free throw 2 of 2
1:58.0,Violation by G. Temple (lane),,47-64,,
1:54.0,Offensive rebound by B. Bogdanovic,,47-64,,
1:40.0,Z. Randolph misses 2-pt shot from 8 ft,,47-64,,
1:33.0,Offensive rebound by Z. Randolph,,47-64,,
1:32.0,Z. Randolph makes 2-pt shot at rim,2,49-64,,
1:18.0,,,49-66,2,A. Rivers makes 2-pt shot from 1 ft (assist by D. Jordan)
1:02.0,Z. Randolph misses 2-pt shot from 6 ft,,49-66,,
1:00.0,,,49-66,,Defensive rebound by D. Jordan
