time,San Antonio,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. P. Gasol (L. Aldridge gains possession),,,,Jump ball: J. Nurkic vs. P. Gasol (L. Aldridge gains possession)
11:41.0,P. Gasol misses 2-pt shot from 3 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by S. Napier
11:26.0,,,0-0,,E. Turner misses 3-pt shot from 23 ft
11:24.0,Defensive rebound by L. Aldridge,,0-0,,
11:11.0,P. Gasol makes 3-pt shot from 22 ft (assist by L. Aldridge),3,3-0,,
10:53.0,,,3-2,2,C. McCollum makes 2-pt shot from 18 ft (assist by J. Nurkic)
10:31.0,L. Aldridge misses 2-pt shot from 13 ft (block by S. Napier),,3-2,,
10:31.0,,,3-2,,Defensive rebound by Team
10:17.0,,,3-2,,C. McCollum misses 2-pt shot from 1 ft (block by P. Gasol)
10:17.0,Defensive rebound by Team,,3-2,,
10:00.0,B. Forbes makes 2-pt shot from 14 ft (assist by P. Gasol),2,5-2,,
9:37.0,,,5-4,2,E. Turner makes 2-pt shot from 8 ft
9:24.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Murray),2,7-4,,
9:09.0,,,7-4,,J. Nurkic misses 2-pt shot from 1 ft (block by P. Gasol)
9:07.0,Defensive rebound by P. Gasol,,7-4,,
9:00.0,L. Aldridge makes 3-pt shot from 24 ft (assist by D. Murray),3,10-4,,
8:43.0,,,10-6,2,S. Napier makes 2-pt shot from 1 ft
8:34.0,Offensive foul by B. Forbes (drawn by A. Aminu),,10-6,,
8:34.0,Turnover by B. Forbes (offensive foul),,10-6,,
8:24.0,,,10-6,,Offensive foul by J. Nurkic (drawn by K. Anderson)
8:24.0,,,10-6,,Turnover by J. Nurkic (offensive foul)
8:12.0,Turnover by P. Gasol (bad pass; steal by S. Napier),,10-6,,
8:07.0,,,10-6,,C. McCollum misses 2-pt shot from 2 ft
8:05.0,Defensive rebound by P. Gasol,,10-6,,
7:59.0,D. Murray misses 2-pt shot from 14 ft,,10-6,,
7:56.0,,,10-6,,Defensive rebound by S. Napier
7:45.0,,,10-8,2,A. Aminu makes 2-pt shot from 5 ft
7:25.0,B. Forbes misses 2-pt shot from 16 ft,,10-8,,
7:23.0,,,10-8,,Defensive rebound by J. Nurkic
7:15.0,,,10-8,,C. McCollum misses 2-pt shot from 14 ft
7:12.0,Defensive rebound by K. Anderson,,10-8,,
7:04.0,P. Gasol makes 2-pt shot from 1 ft (assist by K. Anderson),2,12-8,,
6:46.0,,,12-10,2,J. Nurkic makes 2-pt shot from 13 ft
6:29.0,Turnover by D. Murray (step out of bounds),,12-10,,
6:29.0,,,12-10,,Portland full timeout
6:29.0,P. Mills enters the game for D. Murray,,12-10,,
6:16.0,Violation by P. Gasol (kicked ball),,12-10,,
6:10.0,,,12-12,2,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum)
5:49.0,P. Gasol misses 2-pt shot from 21 ft,,12-12,,
5:47.0,,,12-12,,Defensive rebound by J. Nurkic
5:40.0,Personal foul by P. Mills (drawn by E. Turner),,12-12,,
5:40.0,,,12-12,,P. Connaughton enters the game for S. Napier
5:40.0,D. Bertans enters the game for B. Forbes,,12-12,,
5:40.0,M. Ginobili enters the game for P. Gasol,,12-12,,
5:31.0,,,12-12,,A. Aminu misses 3-pt shot from 25 ft
5:31.0,,,12-12,,Offensive rebound by Team
5:31.0,Loose ball foul by L. Aldridge (drawn by J. Nurkic),,12-12,,
5:22.0,,,12-14,2,P. Connaughton makes 2-pt shot from 1 ft (assist by C. McCollum)
5:01.0,L. Aldridge makes 2-pt shot from 5 ft,2,14-14,,
4:46.0,Personal foul by L. Aldridge (drawn by J. Nurkic),,14-14,,
4:46.0,,,14-14,,E. Davis enters the game for A. Aminu
4:46.0,,,14-14,,Z. Collins enters the game for J. Nurkic
4:32.0,,,14-14,,E. Turner misses 2-pt shot from 12 ft
4:28.0,Defensive rebound by D. Bertans,,14-14,,
4:18.0,L. Aldridge makes 2-pt shot from 2 ft,2,16-14,,
3:56.0,,,16-14,,Z. Collins misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by L. Aldridge,,16-14,,
3:44.0,Turnover by P. Mills (out of bounds lost ball),,16-14,,
3:32.0,,,16-14,,Turnover by E. Turner (bad pass; steal by L. Aldridge)
3:25.0,D. Bertans makes 2-pt shot from 1 ft (assist by K. Anderson),2,18-14,,
3:09.0,,,18-16,2,C. McCollum makes 2-pt shot from 1 ft
3:07.0,San Antonio full timeout,,18-16,,
3:07.0,,,18-16,,M. Harkless enters the game for E. Turner
3:07.0,B. Forbes enters the game for K. Anderson,,18-16,,
3:07.0,J. Lauvergne enters the game for L. Aldridge,,18-16,,
2:54.0,P. Mills makes 2-pt shot from 22 ft (assist by J. Lauvergne),2,20-16,,
2:36.0,,,20-16,,Z. Collins misses 3-pt shot from 25 ft
2:33.0,Defensive rebound by J. Lauvergne,,20-16,,
2:24.0,Shooting foul by P. Connaughton (drawn by P. Mills),,20-16,,
2:24.0,P. Mills makes free throw 1 of 2,1,21-16,,
