time,Phoenix,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. T. Chandler (D. Bender gains possession),,,,Jump ball: D. Howard vs. T. Chandler (D. Bender gains possession)
11:39.0,T. Daniels misses 3-pt shot from 26 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by K. Walker
11:32.0,,,0-2,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker)
11:08.0,T. Chandler makes 2-pt shot from 2 ft (assist by S. Harrison),2,2-2,,
10:45.0,,,2-5,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
10:28.0,Turnover by E. Payton (bad pass; steal by N. Batum),,2-5,,
10:21.0,,,2-5,,Turnover by M. Kidd-Gilchrist (bad pass; steal by T. Daniels)
10:09.0,Turnover by S. Harrison (bad pass),,2-5,,
9:53.0,,,2-7,2,D. Howard makes 2-pt shot from 7 ft
9:36.0,S. Harrison misses 2-pt shot from 1 ft,,2-7,,
9:33.0,,,2-7,,Defensive rebound by D. Howard
9:23.0,,,2-7,,N. Batum misses 2-pt shot from 12 ft
9:20.0,Defensive rebound by E. Payton,,2-7,,
9:10.0,T. Chandler makes 2-pt shot from 2 ft (assist by E. Payton),2,4-7,,
8:53.0,,,4-7,,Turnover by M. Williams (out of bounds lost ball)
8:53.0,,,4-7,,Loose ball foul by M. Williams (drawn by E. Payton)
8:34.0,Turnover by S. Harrison (bad pass; steal by D. Howard),,4-7,,
8:21.0,,,4-7,,N. Batum misses 2-pt shot from 11 ft
8:18.0,Defensive rebound by T. Daniels,,4-7,,
8:00.0,T. Daniels misses 3-pt shot from 23 ft,,4-7,,
7:57.0,,,4-7,,Defensive rebound by D. Howard
7:54.0,,,4-7,,Turnover by D. Howard (lost ball; steal by S. Harrison)
7:51.0,S. Harrison misses 2-pt shot from 1 ft (block by M. Williams),,4-7,,
7:51.0,Offensive rebound by Team,,4-7,,
7:46.0,T. Daniels makes 3-pt shot from 26 ft (assist by D. Bender),3,7-7,,
7:25.0,,,7-10,3,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker)
7:13.0,E. Payton misses 2-pt shot at rim,,7-10,,
7:11.0,,,7-10,,Defensive rebound by D. Howard
7:00.0,,,7-10,,K. Walker misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by T. Daniels,,7-10,,
6:45.0,E. Payton makes 2-pt shot from 2 ft (assist by S. Harrison),2,9-10,,
6:32.0,,,9-13,3,K. Walker makes 3-pt shot from 29 ft (assist by N. Batum)
6:19.0,T. Daniels misses 2-pt shot from 15 ft,,9-13,,
6:16.0,,,9-13,,Defensive rebound by M. Kidd-Gilchrist
6:10.0,,,9-13,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
6:06.0,,,9-13,,Offensive rebound by M. Kidd-Gilchrist
6:06.0,,,9-15,2,M. Kidd-Gilchrist makes 2-pt shot at rim
6:06.0,Phoenix full timeout,,9-15,,
6:06.0,A. Len enters the game for T. Chandler,,9-15,,
6:06.0,D. Reed enters the game for S. Harrison,,9-15,,
5:47.0,Shooting foul by N. Batum (drawn by A. Len),,9-15,,
5:47.0,A. Len misses free throw 1 of 2,,9-15,,
5:47.0,Offensive rebound by Team,,9-15,,
5:47.0,A. Len makes free throw 2 of 2,1,10-15,,
5:30.0,,,10-17,2,D. Howard makes 2-pt shot from 7 ft
5:13.0,A. Len misses 2-pt shot from 18 ft,,10-17,,
5:10.0,,,10-17,,Defensive rebound by D. Howard
5:04.0,,,10-19,2,N. Batum makes 2-pt shot from 1 ft
4:54.0,D. Reed misses 2-pt shot from 17 ft,,10-19,,
4:51.0,,,10-19,,Defensive rebound by N. Batum
4:43.0,,,10-21,2,D. Howard makes 2-pt shot from 20 ft (assist by N. Batum)
4:27.0,E. Payton misses 2-pt shot from 5 ft,,10-21,,
4:24.0,,,10-21,,Defensive rebound by K. Walker
4:21.0,,,10-21,,K. Walker misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by D. Bender,,10-21,,
4:14.0,A. Len misses 2-pt shot from 3 ft,,10-21,,
4:14.0,Offensive rebound by A. Len,,10-21,,
4:14.0,Shooting foul by N. Batum (drawn by A. Len),,10-21,,
4:14.0,A. Len makes free throw 1 of 2,1,11-21,,
4:14.0,M. Chriss enters the game for D. Bender,,11-21,,
4:14.0,A. Len makes free throw 2 of 2,1,12-21,,
4:14.0,,,12-21,,J. Lamb enters the game for N. Batum
4:01.0,Personal foul by T. Daniels (drawn by K. Walker),,12-21,,
