time,Charlotte,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Allen vs. D. Howard (A. Crabbe gains possession),,,,Jump ball: J. Allen vs. D. Howard (A. Crabbe gains possession)
11:46.0,,,0-0,,R. Hollis-Jefferson misses 2-pt shot from 9 ft
11:42.0,Defensive rebound by M. Williams,,0-0,,
11:33.0,Turnover by D. Howard (bad pass),,0-0,,
11:13.0,,,0-0,,A. Crabbe misses 3-pt shot from 22 ft
11:13.0,,,0-0,,Offensive rebound by J. Allen
11:13.0,Personal foul by J. Lamb (drawn by J. Allen),,0-0,,
11:04.0,,,0-0,,D. Russell misses 2-pt shot from 12 ft
11:02.0,Defensive rebound by D. Howard,,0-0,,
10:56.0,K. Walker makes 2-pt shot from 7 ft,2,2-0,,
10:34.0,,,2-0,,A. Crabbe misses 2-pt shot from 20 ft
10:32.0,,,2-0,,Offensive rebound by J. Allen
10:29.0,,,2-0,,D. Carroll misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by D. Howard,,2-0,,
10:18.0,D. Howard makes 2-pt shot from 5 ft,2,4-0,,
10:07.0,,,4-0,,Shooting foul by M. Williams (drawn by R. Hollis-Jefferson)
10:07.0,,,4-1,1,R. Hollis-Jefferson makes free throw 1 of 2
10:07.0,,,4-2,1,R. Hollis-Jefferson makes free throw 2 of 2
9:44.0,D. Howard misses 2-pt shot from 22 ft,,4-2,,
9:41.0,,,4-2,,Defensive rebound by D. Carroll
9:33.0,,,4-2,,D. Russell misses 2-pt shot from 14 ft
9:32.0,,,4-2,,Offensive rebound by J. Allen
9:22.0,,,4-4,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by A. Crabbe)
9:12.0,M. Williams misses 2-pt shot from 1 ft,,4-4,,
9:10.0,Offensive rebound by D. Howard,,4-4,,
9:10.0,Shooting foul by J. Allen (drawn by D. Howard),,4-4,,
9:10.0,D. Howard misses free throw 1 of 2,,4-4,,
9:10.0,Offensive rebound by Team,,4-4,,
9:10.0,D. Howard misses free throw 2 of 2,,4-4,,
9:08.0,,,4-4,,Defensive rebound by J. Allen
8:53.0,,,4-4,,R. Hollis-Jefferson misses 2-pt shot from 3 ft
8:51.0,Defensive rebound by D. Howard,,4-4,,
8:50.0,,,4-4,,Shooting block foul by D. Russell (drawn by K. Walker)
8:50.0,K. Walker makes free throw 1 of 2,1,5-4,,
8:50.0,K. Walker makes free throw 2 of 2,1,6-4,,
8:41.0,,,6-6,2,J. Allen makes 2-pt shot from 1 ft (assist by A. Crabbe)
8:39.0,Turnover by D. Howard (turnover),,6-6,,
8:32.0,,,6-6,,A. Crabbe misses 2-pt shot from 15 ft
8:29.0,Defensive rebound by D. Howard,,6-6,,
8:18.0,J. Lamb makes 2-pt shot from 19 ft (assist by M. Williams),2,8-6,,
8:05.0,,,8-8,2,D. Russell makes 2-pt shot from 8 ft
7:54.0,Shooting foul by A. Crabbe (drawn by K. Walker),,8-8,,
7:54.0,K. Walker makes free throw 1 of 2,1,9-8,,
7:54.0,K. Walker makes free throw 2 of 2,1,10-8,,
7:41.0,,,10-10,2,D. Russell makes 2-pt shot from 7 ft
7:41.0,,,10-10,,Shooting foul by K. Walker (drawn by D. Russell)
7:41.0,,,10-11,1,D. Russell makes free throw 1 of 1
7:26.0,Turnover by J. Lamb (traveling),,10-11,,
7:11.0,,,10-11,,Turnover by D. Russell (bad pass; steal by M. Williams)
7:01.0,D. Howard misses 2-pt shot from 2 ft (block by A. Crabbe),,10-11,,
6:57.0,Offensive rebound by J. Lamb,,10-11,,
6:54.0,M. Kidd-Gilchrist makes 2-pt shot from 7 ft (assist by J. Lamb),2,12-11,,
6:36.0,,,12-13,2,D. Carroll makes 2-pt shot from 2 ft
6:19.0,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by K. Walker),2,14-13,,
6:14.0,,,14-13,,Brooklyn full timeout
6:14.0,,,14-13,,Q. Acy enters the game for D. Carroll
6:14.0,,,14-13,,S. Dinwiddie enters the game for J. Allen
6:05.0,,,14-15,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by Q. Acy)
5:46.0,K. Walker makes 2-pt shot from 1 ft,2,16-15,,
5:38.0,,,16-15,,A. Crabbe misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by D. Howard,,16-15,,
5:19.0,J. Lamb misses 2-pt shot from 17 ft,,16-15,,
5:15.0,,,16-15,,Defensive rebound by D. Russell
5:12.0,,,16-17,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by D. Russell)
4:55.0,M. Williams misses 2-pt shot from 10 ft,,16-17,,
4:54.0,Offensive rebound by D. Howard,,16-17,,
4:54.0,,,16-17,,Personal foul by D. Russell (drawn by D. Howard)
4:54.0,,,16-17,,C. LeVert enters the game for D. Russell
4:54.0,,,16-17,,J. Harris enters the game for A. Crabbe
4:52.0,Shooting foul by Q. Acy (drawn by D. Howard),,16-17,,
4:52.0,D. Howard makes free throw 1 of 2,1,17-17,,
4:52.0,D. Howard misses free throw 2 of 2,,17-17,,
4:50.0,,,17-17,,Defensive rebound by R. Hollis-Jefferson
4:28.0,,,17-17,,C. LeVert misses 2-pt shot from 8 ft (block by M. Kidd-Gilchrist)
4:27.0,,,17-17,,Offensive rebound by Team
4:27.0,,,17-17,,Turnover by Team (shot clock)
4:17.0,K. Walker misses 3-pt shot from 24 ft (block by R. Hollis-Jefferson),,17-17,,
4:17.0,,,17-17,,Defensive rebound by J. Harris
4:07.0,,,17-20,3,Q. Acy makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
3:51.0,D. Howard misses 2-pt shot from 14 ft,,17-20,,
3:48.0,,,17-20,,Defensive rebound by C. LeVert
3:46.0,F. Kaminsky enters the game for M. Williams,,17-20,,
3:46.0,D. Bacon enters the game for M. Kidd-Gilchrist,,17-20,,
3:35.0,,,17-20,,Q. Acy misses 3-pt shot from 27 ft
3:33.0,Defensive rebound by D. Bacon,,17-20,,
3:25.0,D. Bacon makes 2-pt shot from 18 ft,2,19-20,,
3:08.0,,,19-22,2,C. LeVert makes 2-pt shot from 2 ft
3:08.0,,,19-22,,Shooting foul by F. Kaminsky (drawn by C. LeVert)
3:08.0,,,19-22,,D. Carroll enters the game for R. Hollis-Jefferson
3:08.0,,,19-22,,C. LeVert misses free throw 1 of 1
3:08.0,,,19-22,,Offensive rebound by C. LeVert
2:57.0,,,19-25,3,J. Harris makes 3-pt shot from 25 ft (assist by C. LeVert)
2:30.0,F. Kaminsky misses 3-pt shot from 25 ft,,19-25,,
2:29.0,,,19-25,,Defensive rebound by Team
2:29.0,Charlotte full timeout,,19-25,,
2:29.0,M. Monk enters the game for K. Walker,,19-25,,
2:16.0,,,19-27,2,S. Dinwiddie makes 2-pt shot from 1 ft
2:03.0,,,19-27,,Personal foul by D. Carroll (drawn by D. Howard)
2:03.0,D. Howard makes free throw 1 of 2,1,20-27,,
2:03.0,T. Graham enters the game for J. Lamb,,20-27,,
2:03.0,D. Howard misses free throw 2 of 2,,20-27,,
2:01.0,,,20-27,,Defensive rebound by D. Carroll
1:45.0,,,20-27,,D. Carroll misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by D. Bacon,,20-27,,
1:36.0,Turnover by D. Howard (turnover),,20-27,,
1:36.0,W. Hernangomez enters the game for D. Howard,,20-27,,
1:21.0,,,20-30,2,C. LeVert makes 3-pt shot from 25 ft (assist by J. Harris)
1:07.0,Turnover by M. Monk (bad pass; steal by J. Harris),,20-30,,
1:02.0,,,20-32,2,J. Harris makes 2-pt shot from 1 ft
0:49.0,D. Bacon misses 2-pt shot from 13 ft,,20-32,,
0:47.0,,,20-32,,Defensive rebound by D. Carroll
0:33.0,,,20-32,,J. Harris misses 3-pt shot from 26 ft
0:30.0,Defensive rebound by F. Kaminsky,,20-32,,
