time,Oklahoma City,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. S. Adams (D. Green gains possession),,,,Jump ball: P. Gasol vs. S. Adams (D. Green gains possession)
11:55.0,,,0-2,2,D. Green makes 2-pt shot from 4 ft
11:41.0,,,0-2,,Personal foul by K. Anderson (drawn by P. George)
11:30.0,P. George misses 2-pt shot from 3 ft,,0-2,,
11:23.0,Offensive rebound by S. Adams,,0-2,,
11:23.0,S. Adams makes 2-pt shot at rim,2,2-2,,
11:15.0,,,2-2,,Turnover by K. Anderson (bad pass)
11:02.0,R. Westbrook makes 2-pt shot from 17 ft,2,4-2,,
10:39.0,,,4-2,,L. Aldridge misses 2-pt shot from 21 ft
10:35.0,Defensive rebound by S. Adams,,4-2,,
10:29.0,R. Westbrook makes 2-pt shot from 1 ft,2,6-2,,
10:18.0,,,6-2,,P. Gasol misses 2-pt shot from 20 ft
10:18.0,,,6-2,,Offensive rebound by L. Aldridge
10:08.0,Personal foul by A. Roberson (drawn by D. Green),,6-2,,
9:55.0,,,6-4,2,P. Mills makes 2-pt shot from 2 ft (assist by P. Gasol)
9:37.0,C. Anthony makes 2-pt shot from 17 ft (assist by P. George),2,8-4,,
9:22.0,,,8-4,,P. Mills misses 3-pt shot from 25 ft
9:19.0,Defensive rebound by C. Anthony,,8-4,,
9:14.0,R. Westbrook misses 2-pt shot from 1 ft,,8-4,,
9:09.0,Offensive rebound by A. Roberson,,8-4,,
9:08.0,S. Adams makes 2-pt shot from 8 ft (assist by A. Roberson),2,10-4,,
8:51.0,,,10-4,,P. Mills misses 3-pt shot from 25 ft
8:51.0,Defensive rebound by R. Westbrook,,10-4,,
8:43.0,R. Westbrook misses 3-pt shot from 26 ft,,10-4,,
8:43.0,,,10-4,,Defensive rebound by Team
8:20.0,,,10-4,,L. Aldridge misses 2-pt shot from 18 ft
8:18.0,Defensive rebound by A. Roberson,,10-4,,
8:08.0,Turnover by R. Westbrook (bad pass; steal by D. Green),,10-4,,
8:01.0,,,10-7,3,P. Mills makes 3-pt shot from 26 ft (assist by L. Aldridge)
7:39.0,C. Anthony misses 2-pt shot from 9 ft,,10-7,,
7:39.0,Offensive rebound by S. Adams,,10-7,,
7:32.0,S. Adams makes 2-pt shot at rim,2,12-7,,
7:19.0,,,12-7,,D. Green misses 3-pt shot from 22 ft
7:15.0,Defensive rebound by A. Roberson,,12-7,,
7:09.0,R. Westbrook misses 2-pt shot from 9 ft,,12-7,,
7:06.0,,,12-7,,Defensive rebound by P. Mills
6:56.0,,,12-7,,P. Gasol misses 2-pt shot from 20 ft
6:53.0,,,12-7,,Offensive rebound by L. Aldridge
6:50.0,,,12-10,3,D. Green makes 3-pt shot from 25 ft (assist by K. Anderson)
6:50.0,Oklahoma City full timeout,,12-10,,
6:35.0,C. Anthony makes 2-pt shot from 15 ft (assist by R. Westbrook),2,14-10,,
6:15.0,,,14-12,2,L. Aldridge makes 2-pt shot from 14 ft
5:51.0,C. Anthony misses 2-pt shot from 13 ft,,14-12,,
5:46.0,Offensive rebound by S. Adams,,14-12,,
5:46.0,S. Adams misses 2-pt shot from 8 ft,,14-12,,
5:46.0,,,14-12,,Defensive rebound by P. Gasol
5:36.0,,,14-12,,Shooting foul by S. Adams (drawn by L. Aldridge)
5:36.0,,,14-13,1,L. Aldridge makes free throw 1 of 2
5:36.0,,,14-13,,R. Gay enters the game for P. Mills
5:36.0,,,14-13,,D. Murray enters the game for D. Green
5:36.0,,,14-13,,M. Ginobili enters the game for P. Gasol
5:36.0,,,14-13,,L. Aldridge misses free throw 2 of 2
5:34.0,Defensive rebound by C. Anthony,,14-13,,
5:15.0,P. George makes 3-pt shot from 25 ft (assist by C. Anthony),3,17-13,,
4:59.0,,,17-13,,Turnover by M. Ginobili (bad pass; steal by A. Roberson)
4:56.0,Shooting foul by D. Murray (drawn by R. Westbrook),,17-13,,
4:56.0,R. Westbrook makes free throw 1 of 2,1,18-13,,
4:56.0,R. Westbrook makes free throw 2 of 2,1,19-13,,
4:37.0,,,19-13,,K. Anderson misses 2-pt shot from 2 ft (block by S. Adams)
4:33.0,Defensive rebound by P. George,,19-13,,
4:20.0,P. George misses 3-pt shot from 24 ft,,19-13,,
4:17.0,,,19-13,,Defensive rebound by Team
4:00.0,,,19-13,,D. Murray misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by C. Anthony,,19-13,,
3:54.0,Shooting foul by M. Ginobili (drawn by S. Adams),,19-13,,
3:54.0,S. Adams makes free throw 1 of 2,1,20-13,,
3:54.0,,,20-13,,B. Forbes enters the game for K. Anderson
3:54.0,J. Huestis enters the game for P. George,,20-13,,
3:54.0,A. Abrines enters the game for A. Roberson,,20-13,,
3:54.0,S. Adams makes free throw 2 of 2,1,21-13,,
3:45.0,,,21-13,,Turnover by M. Ginobili (bad pass)
3:29.0,R. Westbrook makes 2-pt shot from 11 ft,2,23-13,,
3:26.0,,,23-13,,San Antonio full timeout
3:26.0,D. Johnson enters the game for S. Adams,,23-13,,
3:08.0,,,23-13,,R. Gay misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by R. Westbrook,,23-13,,
2:53.0,C. Anthony makes 2-pt shot from 19 ft,2,25-13,,
2:35.0,,,25-13,,Turnover by L. Aldridge (bad pass)
2:21.0,,,25-13,,Personal foul by D. Murray (drawn by R. Westbrook)
2:21.0,,,25-13,,J. Lauvergne enters the game for L. Aldridge
2:21.0,J. Grant enters the game for C. Anthony,,25-13,,
2:12.0,Shooting foul by D. Murray (drawn by R. Westbrook),,25-13,,
2:12.0,R. Westbrook makes free throw 1 of 2,1,26-13,,
2:12.0,,,26-13,,B. Paul enters the game for D. Murray
2:12.0,P. George enters the game for J. Huestis,,26-13,,
2:12.0,R. Westbrook makes free throw 2 of 2,1,27-13,,
2:00.0,,,27-13,,Turnover by M. Ginobili (bad pass; steal by P. George)
1:53.0,A. Abrines makes 2-pt shot from 1 ft (assist by R. Westbrook),2,29-13,,
1:39.0,,,29-13,,Turnover by M. Ginobili (bad pass; steal by D. Johnson)
1:27.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,32-13,,
1:27.0,Shooting foul by B. Forbes (drawn by P. George),,32-13,,
1:27.0,P. George misses free throw 1 of 1,,32-13,,
1:25.0,,,32-13,,Defensive rebound by J. Lauvergne
1:18.0,,,32-13,,R. Gay misses 3-pt shot from 25 ft
1:15.0,Defensive rebound by J. Grant,,32-13,,
1:06.0,A. Abrines misses 3-pt shot from 23 ft,,32-13,,
1:03.0,,,32-13,,Defensive rebound by B. Paul
0:50.0,,,32-15,2,R. Gay makes 2-pt shot from 1 ft (assist by J. Lauvergne)
0:36.0,R. Felton enters the game for R. Westbrook,,32-15,,
0:36.0,P. Patterson enters the game for D. Johnson,,32-15,,
0:29.0,P. George misses 2-pt shot from 1 ft,,32-15,,
0:26.0,,,32-15,,Defensive rebound by M. Ginobili
0:22.0,,,32-15,,B. Forbes misses 3-pt shot from 22 ft
0:19.0,,,32-15,,Offensive rebound by R. Gay
0:08.0,,,32-15,,Turnover by R. Gay (bad pass; steal by P. Patterson)
0:01.0,Offensive charge foul by P. George,,32-15,,
0:01.0,Turnover by P. George (offensive foul),,32-15,,
0:01.0,Technical foul by P. George,,32-15,,
0:01.0,,,32-15,,R. Gay misses technical free throw
0:01.0,,,32-15,,Offensive rebound by Team
0:00.0,,,32-15,,J. Lauvergne misses 3-pt shot from 40 ft
0:00.0,,,32-15,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,A. Abrines makes 2-pt shot from 2 ft (assist by R. Felton),2,34-15,,
11:27.0,,,34-17,2,R. Gay makes 2-pt shot from 1 ft (assist by J. Lauvergne)
