time,Utah,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Gobert (C. Anthony gains possession),,,,Jump ball: S. Adams vs. R. Gobert (C. Anthony gains possession)
11:39.0,,,0-0,,Turnover by R. Westbrook (bad pass; steal by D. Mitchell)
11:37.0,D. Mitchell makes 2-pt shot from 1 ft,2,2-0,,
11:13.0,,,2-0,,C. Brewer misses 2-pt shot from 2 ft
11:11.0,Defensive rebound by R. Rubio,,2-0,,
11:02.0,D. Favors misses 2-pt shot from 8 ft,,2-0,,
10:58.0,Offensive rebound by R. Gobert,,2-0,,
10:58.0,R. Gobert makes 2-pt shot at rim,2,4-0,,
10:37.0,,,4-0,,Turnover by S. Adams (bad pass)
10:18.0,D. Favors makes 3-pt shot from 22 ft (assist by R. Rubio),3,7-0,,
9:59.0,,,7-0,,Turnover by P. George (bad pass; steal by R. Gobert)
9:55.0,R. Gobert makes 2-pt shot at rim (assist by D. Favors),2,9-0,,
9:54.0,,,9-0,,Oklahoma City full timeout
9:44.0,,,9-2,2,R. Westbrook makes 2-pt shot from 1 ft
9:25.0,D. Mitchell misses 2-pt shot from 5 ft,,9-2,,
9:22.0,,,9-2,,Defensive rebound by C. Anthony
9:19.0,,,9-2,,C. Anthony misses 3-pt shot from 26 ft
9:16.0,,,9-2,,Offensive rebound by S. Adams
9:16.0,Personal foul by R. Rubio (drawn by S. Adams),,9-2,,
9:06.0,,,9-5,3,C. Anthony makes 3-pt shot from 23 ft (assist by R. Westbrook)
8:54.0,,,9-5,,Personal foul by R. Westbrook (drawn by R. Rubio)
8:45.0,Turnover by R. Gobert (bad pass; steal by C. Brewer),,9-5,,
8:41.0,,,9-7,2,R. Westbrook makes 2-pt shot from 1 ft (assist by C. Brewer)
8:26.0,J. Ingles misses 3-pt shot from 23 ft,,9-7,,
8:23.0,,,9-7,,Defensive rebound by Team
8:14.0,,,9-7,,R. Westbrook misses 2-pt shot from 15 ft
8:13.0,,,9-7,,Offensive rebound by Team
8:13.0,Loose ball foul by R. Gobert (drawn by S. Adams),,9-7,,
8:13.0,J. Crowder enters the game for J. Ingles,,9-7,,
8:06.0,,,9-9,2,R. Westbrook makes 2-pt shot from 11 ft
7:57.0,,,9-9,,Personal foul by C. Brewer (drawn by D. Mitchell)
7:51.0,D. Favors misses 3-pt shot from 23 ft,,9-9,,
7:47.0,,,9-9,,Defensive rebound by P. George
7:37.0,,,9-9,,Turnover by P. George (lost ball; steal by J. Crowder)
7:36.0,,,9-9,,Personal foul by S. Adams (drawn by R. Gobert)
7:30.0,D. Mitchell makes 2-pt shot at rim,2,11-9,,
7:21.0,,,11-12,2,P. George makes 3-pt shot from 25 ft (assist by S. Adams)
7:21.0,,,11-12,,Shooting foul by J. Crowder (drawn by P. George)
7:21.0,,,11-12,,P. George misses free throw 1 of 1
7:18.0,Defensive rebound by D. Favors,,11-12,,
7:03.0,D. Favors makes 2-pt shot from 6 ft (assist by R. Rubio),2,13-12,,
6:51.0,,,13-12,,P. George misses 2-pt shot from 17 ft
6:50.0,Defensive rebound by Team,,13-12,,
6:50.0,,,13-12,,Loose ball foul by S. Adams (drawn by R. Gobert)
6:50.0,,,13-12,,J. Grant enters the game for S. Adams
6:37.0,D. Mitchell misses 2-pt shot from 1 ft,,13-12,,
6:33.0,,,13-12,,Defensive rebound by P. George
6:20.0,,,13-12,,C. Brewer misses 3-pt shot from 23 ft
6:16.0,,,13-12,,Offensive rebound by R. Westbrook
6:16.0,,,13-12,,R. Westbrook misses 2-pt shot at rim
6:16.0,Defensive rebound by D. Favors,,13-12,,
6:06.0,Turnover by R. Gobert (turnover),,13-12,,
6:06.0,R. O'Neale enters the game for D. Favors,,13-12,,
5:53.0,,,13-12,,J. Grant misses 2-pt shot from 2 ft (block by R. Gobert)
5:49.0,Defensive rebound by R. Rubio,,13-12,,
5:45.0,R. Rubio misses 2-pt shot from 11 ft,,13-12,,
5:43.0,,,13-12,,Defensive rebound by P. George
5:25.0,,,13-12,,C. Anthony misses 2-pt shot from 7 ft
5:21.0,,,13-12,,Offensive rebound by J. Grant
5:20.0,,,13-12,,Turnover by J. Grant (lost ball; steal by R. Rubio)
5:17.0,Offensive foul by J. Crowder (drawn by R. Westbrook),,13-12,,
5:17.0,Turnover by J. Crowder (offensive foul),,13-12,,
5:17.0,,,13-12,,A. Abrines enters the game for P. George
5:08.0,,,13-12,,R. Westbrook misses 2-pt shot from 11 ft
5:06.0,Defensive rebound by R. Gobert,,13-12,,
5:01.0,,,13-12,,Shooting block foul by J. Grant (drawn by R. Rubio)
5:01.0,R. Rubio makes free throw 1 of 2,1,14-12,,
5:01.0,R. Rubio makes free throw 2 of 2,1,15-12,,
4:46.0,,,15-15,3,R. Westbrook makes 3-pt shot from 25 ft
4:32.0,J. Crowder misses 3-pt shot from 24 ft,,15-15,,
4:29.0,,,15-15,,Defensive rebound by R. Westbrook
4:19.0,,,15-17,2,J. Grant makes 2-pt shot at rim
4:19.0,Utah full timeout,,15-17,,
4:07.0,D. Mitchell makes 2-pt shot at rim (assist by R. Rubio),2,17-17,,
3:54.0,,,17-17,,Shooting foul by R. Gobert (drawn by R. Westbrook)
3:54.0,,,17-17,,R. Westbrook misses free throw 1 of 2
3:54.0,,,17-17,,Offensive rebound by Team
3:54.0,,,17-17,,P. George enters the game for C. Brewer
3:54.0,D. Favors enters the game for R. Gobert,,17-17,,
3:54.0,,,17-18,1,R. Westbrook makes free throw 2 of 2
3:42.0,R. Rubio makes 2-pt shot at rim,2,19-18,,
3:29.0,,,19-18,,Turnover by R. Westbrook (bad pass; steal by J. Crowder)
3:29.0,,,19-18,,Personal take foul by C. Anthony (drawn by J. Crowder)
3:29.0,J. Crowder misses free throw 1 of 2,,19-18,,
3:29.0,Offensive rebound by Team,,19-18,,
3:29.0,J. Crowder makes free throw 2 of 2,1,20-18,,
3:20.0,,,20-18,,Turnover by J. Grant (out of bounds lost ball)
3:07.0,D. Favors misses 2-pt shot from 16 ft,,20-18,,
3:04.0,,,20-18,,Defensive rebound by C. Anthony
2:48.0,,,20-18,,Turnover by C. Anthony (bad pass)
2:48.0,,,20-18,,R. Felton enters the game for R. Westbrook
2:48.0,D. Exum enters the game for R. Rubio,,20-18,,
2:27.0,R. O'Neale misses 3-pt shot from 25 ft,,20-18,,
2:22.0,Offensive rebound by D. Favors,,20-18,,
2:17.0,D. Mitchell misses 3-pt shot from 26 ft,,20-18,,
2:11.0,Offensive rebound by D. Favors,,20-18,,
2:10.0,D. Favors misses 2-pt shot from 1 ft,,20-18,,
2:09.0,Offensive rebound by D. Favors,,20-18,,
1:59.0,,,20-18,,Violation by C. Anthony (kicked ball)
1:50.0,Turnover by D. Mitchell (bad pass; steal by R. Felton),,20-18,,
1:47.0,,,20-20,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Felton)
1:28.0,D. Mitchell misses 2-pt shot at rim,,20-20,,
1:26.0,Offensive rebound by D. Favors,,20-20,,
1:24.0,D. Favors makes 2-pt shot at rim,2,22-20,,
1:04.0,,,22-20,,Shooting foul by J. Crowder (drawn by C. Anthony)
1:04.0,,,22-21,1,C. Anthony makes free throw 1 of 2
1:04.0,J. Jerebko enters the game for D. Mitchell,,22-21,,
1:04.0,J. Ingles enters the game for J. Crowder,,22-21,,
1:04.0,,,22-22,1,C. Anthony makes free throw 2 of 2
0:49.0,D. Exum misses 2-pt shot from 1 ft,,22-22,,
0:47.0,,,22-22,,Defensive rebound by J. Grant
0:38.0,,,22-22,,C. Anthony misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by R. O'Neale,,22-22,,
0:14.0,R. O'Neale misses 2-pt shot from 5 ft,,22-22,,
0:11.0,Offensive rebound by D. Favors,,22-22,,
0:11.0,D. Favors makes 2-pt shot from 2 ft,2,24-22,,
0:04.0,,,24-25,3,P. George makes 3-pt shot from 27 ft
0:00.0,D. Exum makes 2-pt shot from 1 ft,2,26-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,J. Jerebko misses 2-pt shot from 10 ft,,26-25,,
11:41.0,Offensive rebound by J. Jerebko,,26-25,,
11:41.0,J. Jerebko makes 2-pt shot at rim,2,28-25,,
11:21.0,,,28-28,3,P. George makes 3-pt shot from 26 ft
11:21.0,,,28-28,,Shooting foul by J. Ingles (drawn by P. George)
11:21.0,,,28-29,1,P. George makes free throw 1 of 1
10:56.0,Turnover by Team (shot clock),,28-29,,
10:45.0,,,28-32,3,R. Felton makes 3-pt shot from 22 ft (assist by J. Grant)
10:17.0,R. O'Neale makes 3-pt shot from 24 ft (assist by J. Ingles),3,31-32,,
9:58.0,,,31-32,,P. George misses 2-pt shot from 1 ft
9:57.0,Defensive rebound by R. O'Neale,,31-32,,
9:41.0,J. Jerebko misses 3-pt shot from 23 ft,,31-32,,
9:36.0,Offensive rebound by D. Favors,,31-32,,
9:36.0,J. Jerebko makes 2-pt shot at rim (assist by D. Favors),2,33-32,,
9:36.0,,,33-32,,Violation by J. Grant (def goaltending)
9:17.0,,,33-32,,R. Felton misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by R. O'Neale,,33-32,,
8:51.0,J. Ingles misses 3-pt shot from 26 ft,,33-32,,
8:51.0,,,33-32,,Defensive rebound by P. George
8:36.0,,,33-34,2,J. Grant makes 2-pt shot at rim (assist by P. George)
8:17.0,Shooting foul by J. Grant (drawn by D. Favors),,33-34,,
8:17.0,D. Favors makes free throw 1 of 2,1,34-34,,
8:17.0,,,34-34,,S. Adams enters the game for A. Abrines
8:17.0,,,34-34,,R. Westbrook enters the game for J. Grant
8:17.0,R. Rubio enters the game for D. Exum,,34-34,,
8:17.0,D. Mitchell enters the game for R. O'Neale,,34-34,,
8:17.0,D. Favors misses free throw 2 of 2,,34-34,,
8:15.0,,,34-34,,Defensive rebound by R. Westbrook
8:10.0,Personal foul by D. Mitchell (drawn by R. Westbrook),,34-34,,
8:10.0,R. Gobert enters the game for D. Favors,,34-34,,
8:03.0,,,34-34,,R. Westbrook misses 2-pt shot from 15 ft
7:59.0,Defensive rebound by J. Jerebko,,34-34,,
7:46.0,,,34-34,,Personal foul by P. Patterson (drawn by R. Gobert)
7:39.0,J. Jerebko misses 2-pt shot from 1 ft,,34-34,,
7:37.0,Offensive rebound by R. Gobert,,34-34,,
7:35.0,R. Rubio makes 3-pt shot from 24 ft (assist by R. Gobert),3,37-34,,
7:16.0,,,37-34,,P. George misses 2-pt shot from 23 ft
7:14.0,Defensive rebound by J. Jerebko,,37-34,,
7:02.0,J. Ingles makes 3-pt shot from 22 ft (assist by R. Rubio),3,40-34,,
6:44.0,,,40-34,,P. Patterson misses 3-pt shot from 23 ft
6:41.0,,,40-34,,Offensive rebound by S. Adams
6:41.0,,,40-34,,S. Adams misses 2-pt shot at rim
6:41.0,,,40-34,,Offensive rebound by S. Adams
6:41.0,,,40-34,,Shooting foul by R. Rubio (drawn by S. Adams)
6:41.0,,,40-34,,Oklahoma City full timeout
6:41.0,,,40-34,,C. Anthony enters the game for R. Felton
6:41.0,,,40-34,,A. Abrines enters the game for P. George
6:41.0,,,40-34,,C. Brewer enters the game for P. Patterson
6:41.0,,,40-35,1,S. Adams makes free throw 1 of 2
6:41.0,,,40-35,,S. Adams misses free throw 2 of 2
6:39.0,Defensive rebound by R. Gobert,,40-35,,
6:25.0,D. Mitchell misses 2-pt shot from 23 ft,,40-35,,
6:22.0,,,40-35,,Defensive rebound by S. Adams
6:19.0,,,40-35,,R. Westbrook misses 2-pt shot from 19 ft
6:14.0,Defensive rebound by R. Rubio,,40-35,,
6:09.0,Shooting foul by A. Abrines (drawn by R. Gobert),,40-35,,
6:09.0,R. Gobert misses free throw 1 of 2,,40-35,,
6:09.0,Offensive rebound by Team,,40-35,,
6:09.0,R. Gobert misses free throw 2 of 2,,40-35,,
6:08.0,,,40-35,,Defensive rebound by R. Westbrook
5:53.0,,,40-35,,C. Anthony misses 2-pt shot from 13 ft
5:50.0,Defensive rebound by D. Mitchell,,40-35,,
5:47.0,J. Jerebko makes 2-pt shot at rim (assist by D. Mitchell),2,42-35,,
5:27.0,,,42-35,,Turnover by R. Westbrook (bad pass; steal by R. Gobert)
5:27.0,Turnover by R. Rubio (bad pass),,42-35,,
5:27.0,,,42-35,,P. George enters the game for A. Abrines
5:21.0,,,42-37,2,C. Brewer makes 2-pt shot at rim (assist by R. Westbrook)
5:06.0,R. Gobert misses 2-pt shot from 1 ft (block by P. George),,42-37,,
5:05.0,,,42-37,,Defensive rebound by S. Adams
5:05.0,Personal take foul by J. Jerebko (drawn by R. Westbrook),,42-37,,
