time,Denver,pts.away,score,pts.home,Cleveland
0:34.0,,,37-29,,Personal foul by R. Hood (drawn by M. Plumlee)
0:27.0,G. Harris misses 2-pt shot from 15 ft,,37-29,,
0:25.0,,,37-29,,Defensive rebound by L. Nance
0:06.0,Personal foul by M. Plumlee (drawn by L. James),,37-29,,
0:06.0,,,37-30,1,L. James makes free throw 1 of 2
0:06.0,,,37-31,1,L. James makes free throw 2 of 2
0:01.0,W. Barton misses 3-pt shot from 28 ft,,37-31,,
0:01.0,Offensive rebound by G. Harris,,37-31,,
0:00.0,G. Harris misses 3-pt shot from 26 ft,,37-31,,
0:00.0,Offensive rebound by Team,,37-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,37-34,3,J. Clarkson makes 3-pt shot from 24 ft (assist by R. Hood)
11:33.0,M. Plumlee makes 2-pt shot at rim (assist by W. Barton),2,39-34,,
11:19.0,,,39-34,,K. Korver misses 3-pt shot from 24 ft
11:17.0,,,39-34,,Offensive rebound by C. Osman
11:12.0,,,39-34,,K. Korver misses 2-pt shot from 17 ft
11:10.0,Defensive rebound by W. Barton,,39-34,,
11:02.0,M. Plumlee makes 2-pt shot at rim (assist by W. Barton),2,41-34,,
10:46.0,,,41-34,,L. Nance misses 2-pt shot from 12 ft
10:44.0,Defensive rebound by W. Barton,,41-34,,
10:31.0,R. Jefferson makes 2-pt shot from 1 ft,2,43-34,,
10:19.0,Personal foul by D. Harris (drawn by L. Nance),,43-34,,
10:15.0,,,43-36,2,L. Nance makes 2-pt shot at rim (assist by R. Hood)
9:58.0,W. Barton makes 2-pt shot at rim (assist by M. Plumlee),2,45-36,,
9:33.0,,,45-36,,R. Hood misses 3-pt shot from 25 ft
9:30.0,,,45-36,,Offensive rebound by J. Clarkson
9:28.0,,,45-38,2,L. Nance makes 2-pt shot at rim (assist by J. Clarkson)
9:12.0,W. Barton misses 3-pt shot from 24 ft,,45-38,,
9:09.0,,,45-38,,Defensive rebound by L. Nance
9:04.0,,,45-38,,R. Hood misses 3-pt shot from 30 ft
9:00.0,Defensive rebound by D. Harris,,45-38,,
