time,Utah,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. R. Gobert (D. Favors gains possession),,,,Jump ball: C. Capela vs. R. Gobert (D. Favors gains possession)
11:39.0,J. Ingles makes 2-pt shot from 19 ft (assist by R. O'Neale),2,2-0,,
11:21.0,,,2-2,2,J. Harden makes 2-pt shot from 2 ft (assist by C. Capela)
11:07.0,J. Ingles makes 2-pt shot from 3 ft (assist by D. Mitchell),2,4-2,,
10:51.0,,,4-2,,Shooting foul by D. Mitchell (drawn by J. Harden)
10:51.0,,,4-3,1,J. Harden makes free throw 1 of 3
10:51.0,,,4-4,1,J. Harden makes free throw 2 of 3
10:51.0,,,4-5,1,J. Harden makes free throw 3 of 3
10:29.0,J. Ingles misses 2-pt shot from 14 ft,,4-5,,
10:27.0,,,4-5,,Defensive rebound by J. Harden
10:12.0,,,4-8,3,P. Tucker makes 3-pt shot from 26 ft (assist by J. Harden)
9:59.0,D. Mitchell misses 2-pt shot from 19 ft,,4-8,,
9:58.0,,,4-8,,Defensive rebound by J. Harden
9:50.0,,,4-8,,C. Capela misses 2-pt shot from 4 ft
9:47.0,,,4-8,,Offensive rebound by C. Capela
9:45.0,,,4-8,,T. Ariza misses 3-pt shot from 24 ft
9:43.0,Defensive rebound by R. O'Neale,,4-8,,
9:25.0,D. Favors misses 2-pt shot from 10 ft,,4-8,,
9:24.0,,,4-8,,Defensive rebound by C. Capela
9:07.0,,,4-8,,J. Harden misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by J. Ingles,,4-8,,
8:43.0,D. Mitchell misses 3-pt shot from 25 ft,,4-8,,
8:42.0,Offensive rebound by Team,,4-8,,
8:39.0,Turnover by D. Mitchell (bad pass; steal by C. Paul),,4-8,,
8:35.0,,,4-8,,Turnover by C. Paul (lost ball; steal by R. O'Neale)
8:20.0,J. Ingles misses 2-pt shot from 3 ft,,4-8,,
8:19.0,Offensive rebound by R. Gobert,,4-8,,
8:16.0,Offensive foul by R. Gobert (drawn by T. Ariza),,4-8,,
8:16.0,Turnover by R. Gobert (offensive foul),,4-8,,
8:16.0,J. Crowder enters the game for J. Ingles,,4-8,,
8:01.0,,,4-10,2,C. Paul makes 2-pt shot from 12 ft
7:43.0,,,4-10,,Personal foul by J. Harden (drawn by D. Favors)
7:34.0,J. Crowder makes 3-pt shot from 23 ft (assist by D. Mitchell),3,7-10,,
7:19.0,,,7-12,2,J. Harden makes 2-pt shot from 1 ft
7:01.0,D. Mitchell makes 3-pt shot from 25 ft,3,10-12,,
6:50.0,,,10-14,2,C. Paul makes 2-pt shot from 12 ft
6:26.0,R. O'Neale misses 2-pt shot from 3 ft,,10-14,,
6:24.0,,,10-14,,Defensive rebound by C. Capela
6:19.0,,,10-17,3,T. Ariza makes 3-pt shot from 25 ft (assist by C. Paul)
6:18.0,Utah full timeout,,10-17,,
6:18.0,,,10-17,,E. Gordon enters the game for C. Paul
6:18.0,A. Burks enters the game for D. Favors,,10-17,,
6:02.0,A. Burks misses 3-pt shot from 26 ft,,10-17,,
6:01.0,,,10-17,,Defensive rebound by J. Harden
5:56.0,,,10-19,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
5:28.0,D. Mitchell makes 2-pt shot from 3 ft,2,12-19,,
5:17.0,Personal foul by J. Crowder (drawn by J. Harden),,12-19,,
5:17.0,,,12-19,,L. Mbah a Moute enters the game for T. Ariza
5:11.0,,,12-19,,E. Gordon misses 2-pt shot from 3 ft
5:10.0,,,12-19,,Offensive rebound by C. Capela
5:09.0,,,12-21,2,C. Capela makes 2-pt shot at rim
4:54.0,J. Crowder makes 3-pt shot from 25 ft (assist by A. Burks),3,15-21,,
4:39.0,,,15-21,,C. Capela misses 2-pt shot from 2 ft
4:37.0,Defensive rebound by Team,,15-21,,
4:37.0,,,15-21,,N. Hilario enters the game for C. Capela
4:27.0,Jump ball: P. Tucker vs. D. Mitchell (L. Mbah a Moute gains possession),,,,Jump ball: P. Tucker vs. D. Mitchell (L. Mbah a Moute gains possession)
4:27.0,Turnover by D. Mitchell (turnover; steal by P. Tucker),,15-21,,
4:16.0,,,15-24,3,J. Harden makes 3-pt shot from 26 ft
3:52.0,J. Crowder misses 3-pt shot from 23 ft,,15-24,,
3:51.0,,,15-24,,Defensive rebound by N. Hilario
3:35.0,,,15-24,,J. Harden misses 2-pt shot from 17 ft
3:34.0,Defensive rebound by R. Gobert,,15-24,,
3:27.0,A. Burks misses 2-pt shot from 3 ft (block by N. Hilario),,15-24,,
3:26.0,,,15-24,,Defensive rebound by E. Gordon
3:05.0,,,15-26,2,J. Harden makes 2-pt shot from 2 ft
2:44.0,A. Burks misses 2-pt shot from 5 ft,,15-26,,
2:43.0,,,15-26,,Defensive rebound by N. Hilario
2:38.0,,,15-26,,Turnover by N. Hilario (bad pass; steal by R. O'Neale)
2:34.0,Shooting foul by N. Hilario (drawn by A. Burks),,15-26,,
2:34.0,,,15-26,,Houston full timeout
2:34.0,,,15-26,,R. Anderson enters the game for P. Tucker
2:34.0,,,15-26,,C. Paul enters the game for J. Harden
2:34.0,D. Favors enters the game for R. O'Neale,,15-26,,
2:34.0,A. Burks makes free throw 1 of 2,1,16-26,,
2:34.0,J. Ingles enters the game for R. Gobert,,16-26,,
2:34.0,A. Burks makes free throw 2 of 2,1,17-26,,
2:23.0,,,17-26,,N. Hilario misses 2-pt shot from 3 ft
2:21.0,Defensive rebound by J. Ingles,,17-26,,
2:05.0,A. Burks misses 2-pt shot from 4 ft (block by N. Hilario),,17-26,,
2:04.0,,,17-26,,Defensive rebound by L. Mbah a Moute
1:50.0,,,17-26,,N. Hilario misses 2-pt shot from 2 ft
1:49.0,Defensive rebound by J. Crowder,,17-26,,
1:42.0,J. Crowder makes 2-pt shot at rim (assist by A. Burks),2,19-26,,
1:26.0,,,19-26,,C. Paul misses 2-pt shot from 15 ft
1:25.0,Defensive rebound by A. Burks,,19-26,,
1:14.0,D. Mitchell misses 3-pt shot from 22 ft,,19-26,,
1:13.0,,,19-26,,Defensive rebound by L. Mbah a Moute
1:00.0,,,19-29,3,C. Paul makes 3-pt shot from 26 ft
0:47.0,J. Crowder misses 2-pt shot from 20 ft,,19-29,,
0:46.0,,,19-29,,Defensive rebound by C. Paul
0:35.0,Personal foul by J. Crowder (drawn by N. Hilario),,19-29,,
0:35.0,J. Jerebko enters the game for A. Burks,,19-29,,
0:35.0,D. Exum enters the game for D. Mitchell,,19-29,,
0:35.0,,,19-29,,T. Ariza enters the game for N. Hilario
0:30.0,,,19-31,2,C. Paul makes 2-pt shot from 14 ft
0:17.0,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles),2,21-31,,
0:00.0,,,21-34,3,L. Mbah a Moute makes 3-pt shot from 26 ft (assist by C. Paul)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,21-36,2,T. Ariza makes 2-pt shot at rim (assist by E. Gordon)
11:22.0,J. Ingles misses 3-pt shot from 25 ft,,21-36,,
11:21.0,,,21-36,,Defensive rebound by R. Anderson
11:05.0,,,21-39,3,C. Paul makes 3-pt shot from 26 ft
10:46.0,,,21-39,,Personal foul by E. Gordon (drawn by D. Favors)
10:46.0,A. Burks enters the game for J. Crowder,,21-39,,
10:42.0,Turnover by D. Exum (traveling),,21-39,,
10:25.0,,,21-39,,L. Mbah a Moute misses 3-pt shot from 26 ft
10:23.0,Defensive rebound by J. Jerebko,,21-39,,
10:17.0,D. Exum makes 2-pt shot from 6 ft (assist by A. Burks),2,23-39,,
10:04.0,,,23-39,,R. Anderson misses 2-pt shot from 11 ft
10:02.0,Defensive rebound by Team,,23-39,,
9:53.0,D. Favors misses 2-pt shot from 14 ft,,23-39,,
9:51.0,,,23-39,,Defensive rebound by C. Paul
