time,Atlanta,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. T. Cavanaugh (J. Calderon gains possession),,,,Jump ball: K. Love vs. T. Cavanaugh (J. Calderon gains possession)
11:43.0,,,0-3,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
11:28.0,E. Ilyasova makes 3-pt shot from 23 ft (assist by T. Waller-Prince),3,3-3,,
11:13.0,,,3-3,,J. Crowder misses 3-pt shot from 24 ft
11:11.0,Defensive rebound by T. Waller-Prince,,3-3,,
11:02.0,K. Bazemore makes 3-pt shot from 22 ft (assist by T. Waller-Prince),3,6-3,,
10:46.0,,,6-3,,Offensive foul by K. Love (drawn by E. Ilyasova)
10:46.0,,,6-3,,Turnover by K. Love (offensive foul)
10:26.0,K. Bazemore misses 2-pt shot from 12 ft,,6-3,,
10:23.0,,,6-3,,Defensive rebound by K. Love
10:10.0,,,6-6,3,L. James makes 3-pt shot from 25 ft
9:53.0,E. Ilyasova misses 2-pt shot from 4 ft,,6-6,,
9:49.0,Offensive rebound by E. Ilyasova,,6-6,,
9:43.0,D. Schroder misses 2-pt shot from 1 ft,,6-6,,
9:43.0,,,6-6,,Defensive rebound by Team
9:42.0,Loose ball foul by T. Cavanaugh (drawn by L. James),,6-6,,
9:34.0,,,6-6,,J. Crowder misses 3-pt shot from 26 ft
9:30.0,Defensive rebound by K. Bazemore,,6-6,,
9:18.0,K. Bazemore misses 3-pt shot from 27 ft,,6-6,,
9:15.0,,,6-6,,Defensive rebound by J. Smith
9:11.0,,,6-6,,Turnover by L. James (bad pass; steal by K. Bazemore)
9:01.0,T. Waller-Prince misses 3-pt shot from 30 ft,,6-6,,
8:59.0,,,6-6,,Defensive rebound by K. Love
8:50.0,,,6-9,3,K. Love makes 3-pt shot from 22 ft (assist by J. Smith)
8:37.0,D. Schroder makes 2-pt shot from 1 ft,2,8-9,,
8:25.0,,,8-9,,J. Calderon misses 2-pt shot from 18 ft
8:25.0,Defensive rebound by T. Waller-Prince,,8-9,,
8:08.0,T. Waller-Prince makes 2-pt shot at rim,2,10-9,,
7:55.0,,,10-12,3,J. Crowder makes 3-pt shot from 25 ft (assist by J. Smith)
7:41.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by D. Schroder),3,13-12,,
7:24.0,,,13-12,,Turnover by J. Smith (lost ball; steal by K. Bazemore)
7:07.0,T. Cavanaugh misses 2-pt shot from 4 ft,,13-12,,
7:05.0,Offensive rebound by T. Cavanaugh,,13-12,,
7:04.0,Offensive foul by T. Waller-Prince (drawn by J. Calderon),,13-12,,
7:04.0,Turnover by T. Waller-Prince (offensive foul),,13-12,,
6:50.0,,,13-14,2,L. James makes 2-pt shot from 1 ft
6:50.0,Atlanta full timeout,,13-14,,
