time,Minnesota,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. K. Towns (K. Anderson gains possession),,,,Jump ball: L. Aldridge vs. K. Towns (K. Anderson gains possession)
11:46.0,,,0-0,,D. Murray misses 2-pt shot from 13 ft
11:45.0,Defensive rebound by Team,,0-0,,
11:25.0,A. Wiggins misses 2-pt shot from 13 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by K. Anderson
11:11.0,,,0-2,2,D. Green makes 2-pt shot from 22 ft (assist by L. Aldridge)
10:58.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague),2,2-2,,
10:38.0,,,2-2,,D. Green misses 3-pt shot from 24 ft
10:37.0,Defensive rebound by Team,,2-2,,
10:29.0,J. Teague makes 2-pt shot at rim (assist by K. Towns),2,4-2,,
10:07.0,,,4-5,3,K. Anderson makes 3-pt shot from 23 ft (assist by D. Green)
9:51.0,,,4-5,,Personal foul by L. Aldridge (drawn by J. Teague)
9:45.0,A. Wiggins makes 2-pt shot from 5 ft,2,6-5,,
9:45.0,Shooting foul by D. Green (drawn by A. Wiggins),,6-5,,
9:45.0,A. Wiggins makes free throw 1 of 1,1,7-5,,
9:31.0,,,7-5,,D. Green misses 2-pt shot from 10 ft
9:29.0,Defensive rebound by N. Bjelica,,7-5,,
9:21.0,T. Gibson makes 2-pt shot from 3 ft (assist by J. Teague),2,9-5,,
9:05.0,,,9-5,,D. Green misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by N. Bjelica,,9-5,,
8:59.0,Turnover by N. Bjelica (lost ball; steal by D. Murray),,9-5,,
8:52.0,,,9-5,,D. Green misses 2-pt shot from 2 ft
8:49.0,Defensive rebound by N. Bjelica,,9-5,,
8:46.0,N. Bjelica misses 3-pt shot from 25 ft,,9-5,,
8:46.0,,,9-5,,Defensive rebound by D. Murray
8:38.0,,,9-5,,L. Aldridge misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by A. Wiggins,,9-5,,
8:28.0,Offensive foul by T. Gibson (drawn by P. Mills),,9-5,,
8:28.0,Turnover by T. Gibson (offensive foul),,9-5,,
8:16.0,,,9-5,,Shooting foul by K. Towns (drawn by L. Aldridge)
8:16.0,,,9-6,1,L. Aldridge makes free throw 1 of 2
8:16.0,,,9-7,1,L. Aldridge makes free throw 2 of 2
8:03.0,Turnover by A. Wiggins (lost ball; steal by D. Murray),,9-7,,
8:00.0,,,9-7,,D. Green misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by T. Gibson,,9-7,,
7:46.0,,,9-7,,Personal foul by D. Murray (drawn by A. Wiggins)
7:37.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague),2,11-7,,
7:24.0,,,11-7,,P. Mills misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by N. Bjelica,,11-7,,
7:12.0,Turnover by T. Gibson (lost ball; steal by K. Anderson),,11-7,,
7:05.0,,,11-7,,D. Murray misses 2-pt shot from 2 ft
7:02.0,Defensive rebound by N. Bjelica,,11-7,,
6:51.0,A. Wiggins makes 2-pt shot from 1 ft (assist by N. Bjelica),2,13-7,,
6:49.0,,,13-7,,San Antonio full timeout
6:38.0,,,13-7,,Turnover by D. Murray (bad pass; steal by J. Teague)
6:34.0,J. Teague makes 2-pt shot at rim,2,15-7,,
6:16.0,,,15-7,,L. Aldridge misses 2-pt shot from 11 ft
6:15.0,,,15-7,,Offensive rebound by Team
6:03.0,,,15-7,,L. Aldridge misses 2-pt shot from 4 ft
5:57.0,,,15-7,,Offensive rebound by D. Green
5:57.0,,,15-9,2,D. Green makes 2-pt shot at rim
5:44.0,A. Wiggins misses 2-pt shot from 12 ft,,15-9,,
5:40.0,,,15-9,,Defensive rebound by K. Anderson
5:33.0,,,15-11,2,D. Green makes 2-pt shot from 1 ft (assist by P. Mills)
5:20.0,N. Bjelica makes 2-pt shot from 4 ft (assist by A. Wiggins),2,17-11,,
5:01.0,,,17-11,,D. Green misses 3-pt shot from 22 ft
4:58.0,,,17-11,,Offensive rebound by D. Murray
4:56.0,,,17-11,,D. Murray misses 2-pt shot from 2 ft
4:56.0,,,17-11,,Offensive rebound by L. Aldridge
4:51.0,,,17-11,,L. Aldridge misses 2-pt shot at rim
4:49.0,,,17-11,,Offensive rebound by D. Murray
4:49.0,,,17-11,,D. Murray misses 2-pt shot at rim
4:49.0,Defensive rebound by K. Towns,,17-11,,
4:49.0,,,17-11,,Shooting block foul by P. Mills (drawn by J. Teague)
4:49.0,J. Teague makes free throw 1 of 2,1,18-11,,
4:49.0,,,18-11,,T. Parker enters the game for K. Anderson
4:49.0,,,18-11,,M. Ginobili enters the game for P. Mills
4:49.0,,,18-11,,P. Gasol enters the game for D. Murray
4:49.0,J. Crawford enters the game for N. Bjelica,,18-11,,
4:49.0,J. Teague makes free throw 2 of 2,1,19-11,,
4:29.0,,,19-11,,L. Aldridge misses 2-pt shot from 8 ft
4:28.0,Defensive rebound by Team,,19-11,,
4:14.0,Turnover by K. Towns (bad pass; steal by T. Parker),,19-11,,
4:07.0,,,19-11,,Shooting foul by J. Teague (drawn by L. Aldridge)
4:07.0,,,19-12,1,L. Aldridge makes free throw 1 of 2
4:07.0,,,19-12,,B. Forbes enters the game for D. Green
4:07.0,,,19-13,1,L. Aldridge makes free throw 2 of 2
3:53.0,T. Gibson misses 2-pt shot from 2 ft,,19-13,,
3:51.0,,,19-13,,Defensive rebound by L. Aldridge
3:38.0,,,19-13,,B. Forbes misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by J. Teague,,19-13,,
3:23.0,J. Crawford makes 3-pt shot from 24 ft (assist by J. Teague),3,22-13,,
3:08.0,,,22-15,2,P. Gasol makes 2-pt shot from 17 ft (assist by M. Ginobili)
3:03.0,Minnesota full timeout,,22-15,,
3:03.0,,,22-15,,R. Gay enters the game for L. Aldridge
3:03.0,T. Jones enters the game for J. Teague,,22-15,,
3:03.0,G. Dieng enters the game for K. Towns,,22-15,,
2:45.0,G. Dieng misses 2-pt shot from 3 ft (block by R. Gay),,22-15,,
2:44.0,,,22-15,,Defensive rebound by M. Ginobili
2:44.0,Personal foul by G. Dieng (drawn by M. Ginobili),,22-15,,
2:25.0,,,22-15,,P. Gasol misses 2-pt shot from 2 ft
2:23.0,Defensive rebound by G. Dieng,,22-15,,
2:18.0,J. Crawford misses 2-pt shot from 14 ft,,22-15,,
2:18.0,Offensive rebound by G. Dieng,,22-15,,
2:01.0,,,22-15,,Personal foul by R. Gay (drawn by T. Gibson)
2:01.0,T. Gibson makes free throw 1 of 2,1,23-15,,
2:01.0,T. Gibson makes free throw 2 of 2,1,24-15,,
1:42.0,,,24-17,2,P. Gasol makes 2-pt shot from 2 ft
1:33.0,J. Crawford misses 3-pt shot from 25 ft,,24-17,,
1:32.0,,,24-17,,Defensive rebound by Team
1:32.0,D. Rose enters the game for A. Wiggins,,24-17,,
1:14.0,,,24-19,2,R. Gay makes 2-pt shot from 2 ft (assist by T. Parker)
1:02.0,T. Jones misses 2-pt shot from 5 ft,,24-19,,
1:00.0,,,24-19,,Defensive rebound by P. Gasol
0:56.0,,,24-21,2,R. Gay makes 2-pt shot from 1 ft (assist by T. Parker)
0:41.0,G. Dieng misses 2-pt shot from 21 ft,,24-21,,
0:39.0,,,24-21,,Defensive rebound by M. Ginobili
0:32.0,,,24-23,2,M. Ginobili makes 2-pt shot from 11 ft
0:08.0,Turnover by J. Crawford (bad pass; steal by M. Ginobili),,24-23,,
0:04.0,,,24-23,,Turnover by T. Parker (out of bounds lost ball)
0:00.0,J. Crawford misses 3-pt shot from 45 ft,,24-23,,
0:00.0,Offensive rebound by Team,,24-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,D. Rose makes 2-pt shot from 1 ft (assist by J. Crawford),2,26-23,,
11:26.0,,,26-25,2,P. Gasol makes 2-pt shot from 20 ft (assist by T. Parker)
11:12.0,J. Crawford misses 2-pt shot from 19 ft,,26-25,,
11:10.0,Offensive rebound by Team,,26-25,,
10:56.0,N. Bjelica misses 2-pt shot from 10 ft,,26-25,,
10:52.0,,,26-25,,Defensive rebound by M. Ginobili
10:44.0,,,26-27,2,R. Gay makes 2-pt shot from 1 ft (assist by M. Ginobili)
10:31.0,Turnover by J. Crawford (lost ball; steal by P. Gasol),,26-27,,
10:27.0,,,26-29,2,T. Parker makes 2-pt shot from 1 ft
10:21.0,Minnesota full timeout,,26-29,,
10:21.0,,,26-29,,L. Aldridge enters the game for P. Gasol
10:21.0,,,26-29,,P. Mills enters the game for M. Ginobili
10:21.0,K. Towns enters the game for G. Dieng,,26-29,,
10:06.0,K. Towns makes 2-pt shot from 1 ft (assist by D. Rose),2,28-29,,
9:54.0,,,28-31,2,T. Parker makes 2-pt shot from 2 ft
9:54.0,Violation by K. Towns (def goaltending),,28-31,,
9:46.0,,,28-31,,Shooting block foul by T. Parker (drawn by T. Jones)
9:46.0,T. Jones makes free throw 1 of 2,1,29-31,,
9:46.0,T. Jones misses free throw 2 of 2,,29-31,,
9:43.0,,,29-31,,Defensive rebound by R. Gay
9:21.0,,,29-33,2,P. Mills makes 2-pt shot from 21 ft (assist by T. Parker)
9:01.0,Shooting foul by P. Mills (drawn by K. Towns),,29-33,,
9:01.0,K. Towns makes free throw 1 of 2,1,30-33,,
9:01.0,,,30-33,,D. Murray enters the game for T. Parker
9:01.0,J. Teague enters the game for T. Jones,,30-33,,
9:01.0,,,30-33,,D. Green enters the game for B. Forbes
9:01.0,K. Towns makes free throw 2 of 2,1,31-33,,
8:48.0,,,31-33,,Offensive foul by L. Aldridge (drawn by K. Towns)
8:48.0,,,31-33,,Turnover by L. Aldridge (offensive foul)
8:39.0,D. Rose misses 2-pt shot from 3 ft,,31-33,,
8:36.0,Offensive rebound by D. Rose,,31-33,,
8:21.0,N. Bjelica misses 2-pt shot from 8 ft,,31-33,,
8:19.0,,,31-33,,Defensive rebound by D. Murray
8:02.0,,,31-35,2,L. Aldridge makes 2-pt shot from 13 ft (assist by D. Green)
7:43.0,K. Towns makes 2-pt shot from 2 ft,2,33-35,,
7:24.0,,,33-37,2,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Murray)
7:08.0,J. Teague makes 2-pt shot at rim,2,35-37,,
7:07.0,,,35-37,,San Antonio full timeout
7:07.0,,,35-37,,P. Gasol enters the game for R. Gay
7:07.0,A. Wiggins enters the game for J. Crawford,,35-37,,
6:48.0,,,35-40,3,P. Mills makes 3-pt shot from 24 ft (assist by P. Gasol)
6:30.0,K. Towns misses 2-pt shot from 15 ft,,35-40,,
6:26.0,,,35-40,,Defensive rebound by D. Murray
6:10.0,,,35-42,2,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Gasol)
6:05.0,Minnesota full timeout,,35-42,,
6:05.0,T. Gibson enters the game for D. Rose,,35-42,,
6:00.0,T. Gibson makes 2-pt shot from 21 ft (assist by A. Wiggins),2,37-42,,
5:47.0,,,37-45,3,P. Mills makes 3-pt shot from 25 ft (assist by P. Gasol)
5:32.0,J. Teague misses 2-pt shot from 4 ft,,37-45,,
5:29.0,,,37-45,,Defensive rebound by P. Gasol
5:22.0,,,37-47,2,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Gasol)
5:22.0,,,37-47,,Shooting foul by N. Bjelica (drawn by L. Aldridge)
5:22.0,,,37-48,1,L. Aldridge makes free throw 1 of 1
5:01.0,J. Teague makes 3-pt shot from 25 ft,3,40-48,,
4:49.0,,,40-50,2,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Gasol)
4:49.0,,,40-50,,Shooting foul by T. Gibson (drawn by L. Aldridge)
4:49.0,,,40-51,1,L. Aldridge makes free throw 1 of 1
4:32.0,N. Bjelica makes 2-pt shot from 3 ft (assist by T. Gibson),2,42-51,,
4:10.0,,,42-53,2,L. Aldridge makes 2-pt shot from 18 ft (assist by D. Green)
3:57.0,J. Teague misses 2-pt shot from 2 ft (block by P. Gasol),,42-53,,
3:57.0,Offensive rebound by Team,,42-53,,
3:50.0,J. Teague misses 2-pt shot from 8 ft,,42-53,,
3:47.0,,,42-53,,Defensive rebound by P. Mills
3:43.0,,,42-55,2,L. Aldridge makes 2-pt shot at rim (assist by D. Green)
3:25.0,A. Wiggins makes 2-pt shot from 10 ft,2,44-55,,
3:06.0,,,44-57,2,L. Aldridge makes 2-pt shot from 12 ft
2:57.0,K. Towns misses 2-pt shot from 9 ft (block by L. Aldridge),,44-57,,
2:57.0,Offensive rebound by Team,,44-57,,
2:45.0,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague),2,46-57,,
2:23.0,,,46-57,,L. Aldridge misses 2-pt shot from 18 ft
2:21.0,Defensive rebound by A. Wiggins,,46-57,,
2:10.0,A. Wiggins misses 2-pt shot from 10 ft,,46-57,,
2:07.0,Offensive rebound by T. Gibson,,46-57,,
2:07.0,Turnover by T. Gibson (lost ball; steal by D. Murray),,46-57,,
2:07.0,Loose ball foul by T. Gibson (drawn by D. Murray),,46-57,,
2:07.0,,,46-57,,M. Ginobili enters the game for D. Murray
2:07.0,G. Dieng enters the game for T. Gibson,,46-57,,
1:55.0,,,46-57,,D. Green misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by A. Wiggins,,46-57,,
1:35.0,K. Towns misses 2-pt shot from 6 ft,,46-57,,
1:31.0,,,46-57,,Defensive rebound by D. Green
1:24.0,,,46-57,,Shooting foul by N. Bjelica (drawn by M. Ginobili)
1:24.0,,,46-58,1,M. Ginobili makes free throw 1 of 2
1:24.0,,,46-58,,K. Anderson enters the game for L. Aldridge
1:24.0,,,46-59,1,M. Ginobili makes free throw 2 of 2
1:11.0,G. Dieng makes 2-pt shot from 1 ft (assist by K. Towns),2,48-59,,
0:54.0,,,48-61,2,P. Gasol makes 2-pt shot from 1 ft (assist by M. Ginobili)
0:43.0,K. Towns makes 2-pt shot from 2 ft (assist by J. Teague),2,50-61,,
0:25.0,,,50-61,,M. Ginobili misses 3-pt shot from 22 ft
0:24.0,Defensive rebound by Team,,50-61,,
0:00.0,J. Teague misses 2-pt shot from 1 ft,,50-61,,
0:00.0,Offensive rebound by Team,,50-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,J. Teague makes 2-pt shot from 18 ft,2,52-61,,
11:10.0,,,52-61,,D. Murray misses 2-pt shot from 12 ft
11:06.0,Defensive rebound by J. Teague,,52-61,,
10:52.0,K. Towns misses 2-pt shot from 4 ft,,52-61,,
10:41.0,Offensive rebound by K. Towns,,52-61,,
10:41.0,K. Towns makes 2-pt shot at rim,2,54-61,,
10:32.0,,,54-64,3,D. Murray makes 3-pt shot from 22 ft (assist by L. Aldridge)
10:17.0,A. Wiggins misses 2-pt shot from 20 ft,,54-64,,
10:14.0,Offensive rebound by T. Gibson,,54-64,,
10:11.0,Turnover by T. Gibson (lost ball; steal by K. Anderson),,54-64,,
9:58.0,,,54-66,2,P. Mills makes 2-pt shot from 18 ft
9:57.0,Minnesota full timeout,,54-66,,
9:34.0,T. Gibson misses 2-pt shot from 13 ft,,54-66,,
9:31.0,,,54-66,,Defensive rebound by K. Anderson
9:27.0,,,54-66,,Turnover by D. Murray (lost ball; steal by J. Teague)
9:20.0,N. Bjelica makes 3-pt shot from 28 ft (assist by J. Teague),3,57-66,,
8:59.0,,,57-68,2,L. Aldridge makes 2-pt shot from 20 ft (assist by P. Mills)
8:41.0,J. Teague makes 2-pt shot from 6 ft,2,59-68,,
8:21.0,,,59-68,,Shooting foul by K. Towns (drawn by L. Aldridge)
8:21.0,,,59-69,1,L. Aldridge makes free throw 1 of 2
8:21.0,,,59-70,1,L. Aldridge makes free throw 2 of 2
8:03.0,A. Wiggins makes 2-pt shot from 18 ft (assist by J. Teague),2,61-70,,
7:36.0,,,61-70,,L. Aldridge misses 3-pt shot from 26 ft
7:31.0,Defensive rebound by N. Bjelica,,61-70,,
7:27.0,,,61-70,,Personal foul by K. Anderson (drawn by J. Teague)
7:27.0,,,61-70,,M. Ginobili enters the game for P. Mills
7:21.0,N. Bjelica misses 2-pt shot from 2 ft (block by D. Green),,61-70,,
7:18.0,Offensive rebound by N. Bjelica,,61-70,,
7:18.0,Turnover by K. Towns (turnover),,61-70,,
7:06.0,,,61-70,,M. Ginobili misses 2-pt shot from 4 ft
7:04.0,Defensive rebound by A. Wiggins,,61-70,,
6:58.0,A. Wiggins makes 2-pt shot from 8 ft,2,63-70,,
6:58.0,,,63-70,,San Antonio full timeout
6:58.0,,,63-70,,T. Parker enters the game for K. Anderson
6:58.0,,,63-70,,P. Gasol enters the game for D. Murray
6:40.0,,,63-70,,D. Green misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by K. Towns,,63-70,,
6:24.0,K. Towns misses 2-pt shot from 5 ft,,63-70,,
6:19.0,,,63-70,,Defensive rebound by P. Gasol
6:09.0,,,63-70,,P. Gasol misses 2-pt shot from 6 ft
6:05.0,,,63-70,,Offensive rebound by P. Gasol
6:01.0,,,63-72,2,P. Gasol makes 2-pt shot from 3 ft
5:51.0,J. Teague misses 2-pt shot from 4 ft,,63-72,,
5:50.0,Offensive rebound by Team,,63-72,,
5:38.0,T. Gibson misses 2-pt shot from 4 ft (block by L. Aldridge),,63-72,,
