time,San Antonio,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. L. Aldridge (T. Harris gains possession),,,,Jump ball: D. Jordan vs. L. Aldridge (T. Harris gains possession)
11:40.0,,,0-0,,Turnover by A. Rivers (lost ball; steal by D. Murray)
11:22.0,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills),2,2-0,,
11:05.0,,,2-2,2,A. Rivers makes 2-pt shot from 12 ft
10:46.0,D. Green makes 2-pt shot from 1 ft (assist by P. Mills),2,4-2,,
10:32.0,,,4-2,,D. Jordan misses 2-pt shot from 4 ft (block by K. Anderson)
10:32.0,,,4-2,,Offensive rebound by Team
10:29.0,,,4-2,,Shooting foul by D. Murray (drawn by A. Rivers)
10:29.0,,,4-2,,A. Rivers misses free throw 1 of 2
10:29.0,,,4-2,,Offensive rebound by Team
10:29.0,,,4-3,1,A. Rivers makes free throw 2 of 2
10:11.0,L. Aldridge makes 2-pt shot from 14 ft,2,6-3,,
9:58.0,,,6-3,,T. Wallace misses 2-pt shot from 14 ft
9:55.0,Defensive rebound by D. Murray,,6-3,,
9:50.0,Turnover by D. Murray (lost ball; steal by T. Harris),,6-3,,
9:46.0,,,6-3,,T. Harris misses 2-pt shot from 7 ft
9:42.0,Defensive rebound by D. Green,,6-3,,
9:28.0,L. Aldridge misses 2-pt shot from 18 ft,,6-3,,
9:23.0,Offensive rebound by D. Murray,,6-3,,
9:21.0,P. Mills misses 3-pt shot from 25 ft,,6-3,,
9:18.0,,,6-3,,Defensive rebound by D. Jordan
9:18.0,,,6-3,,Turnover by D. Jordan (bad pass)
8:56.0,P. Mills makes 2-pt shot from 3 ft,2,8-3,,
8:54.0,,,8-3,,LA Clippers full timeout
8:40.0,,,8-3,,T. Harris misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by D. Murray,,8-3,,
8:18.0,D. Murray misses 3-pt shot from 22 ft,,8-3,,
8:14.0,Offensive rebound by D. Murray,,8-3,,
8:04.0,L. Aldridge makes 2-pt shot from 2 ft (assist by D. Green),2,10-3,,
7:43.0,,,10-3,,C. Williams misses 2-pt shot from 11 ft
7:39.0,Defensive rebound by D. Murray,,10-3,,
7:26.0,L. Aldridge makes 2-pt shot from 2 ft,2,12-3,,
7:26.0,Shooting foul by T. Harris (drawn by L. Aldridge),,12-3,,
7:26.0,,,12-3,,L. Williams enters the game for T. Wallace
7:26.0,L. Aldridge makes free throw 1 of 1,1,13-3,,
7:11.0,,,13-3,,T. Harris misses 2-pt shot from 1 ft
7:08.0,Defensive rebound by D. Murray,,13-3,,
6:56.0,D. Green misses 2-pt shot from 1 ft,,13-3,,
6:51.0,Offensive rebound by D. Green,,13-3,,
6:51.0,D. Green makes 2-pt shot at rim,2,15-3,,
6:34.0,,,15-3,,A. Rivers misses 3-pt shot from 26 ft
6:31.0,Defensive rebound by P. Mills,,15-3,,
6:21.0,L. Aldridge makes 2-pt shot from 9 ft (assist by P. Mills),2,17-3,,
6:10.0,,,17-3,,Turnover by D. Jordan (bad pass; steal by D. Murray)
5:59.0,P. Mills misses 2-pt shot from 16 ft,,17-3,,
5:56.0,Offensive rebound by L. Aldridge,,17-3,,
5:54.0,L. Aldridge misses 2-pt shot from 6 ft,,17-3,,
5:52.0,,,17-3,,Defensive rebound by D. Jordan
5:42.0,,,17-3,,Turnover by A. Rivers (lost ball; steal by D. Murray)
5:37.0,P. Mills misses 3-pt shot from 23 ft,,17-3,,
5:32.0,,,17-3,,Defensive rebound by T. Harris
5:22.0,,,17-6,3,T. Harris makes 3-pt shot from 27 ft (assist by L. Williams)
5:21.0,San Antonio full timeout,,17-6,,
5:21.0,T. Parker enters the game for K. Anderson,,17-6,,
