time,Philadelphia,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. J. Embiid (B. Simmons gains possession),,,,Jump ball: J. Valanciunas vs. J. Embiid (B. Simmons gains possession)
11:43.0,J. Embiid makes 2-pt shot from 1 ft (assist by B. Simmons),2,2-0,,
11:25.0,,,2-2,2,D. DeRozan makes 2-pt shot from 17 ft
11:13.0,J. Embiid misses 3-pt shot from 27 ft,,2-2,,
11:12.0,,,2-2,,Defensive rebound by D. DeRozan
11:00.0,,,2-2,,J. Valanciunas misses 2-pt shot from 4 ft
10:57.0,,,2-2,,Offensive rebound by O. Anunoby
10:56.0,,,2-2,,K. Lowry misses 3-pt shot from 26 ft
10:56.0,,,2-2,,Offensive rebound by J. Valanciunas
10:40.0,,,2-2,,S. Ibaka misses 2-pt shot from 4 ft
10:37.0,,,2-2,,Offensive rebound by Team
10:30.0,,,2-2,,J. Valanciunas misses 2-pt shot from 4 ft (block by J. Embiid)
10:26.0,Defensive rebound by J. Embiid,,2-2,,
10:19.0,J. Embiid misses 2-pt shot from 13 ft,,2-2,,
10:16.0,,,2-2,,Defensive rebound by O. Anunoby
10:06.0,,,2-2,,Turnover by D. DeRozan (bad pass; steal by R. Covington)
9:48.0,J. Embiid makes 3-pt shot from 26 ft (assist by B. Simmons),3,5-2,,
9:20.0,,,5-2,,D. DeRozan misses 2-pt shot from 14 ft
9:18.0,Defensive rebound by B. Simmons,,5-2,,
9:10.0,Turnover by D. Saric (lost ball; steal by K. Lowry),,5-2,,
9:06.0,Personal foul by B. Simmons (drawn by K. Lowry),,5-2,,
8:56.0,,,5-4,2,S. Ibaka makes 2-pt shot from 13 ft (assist by J. Valanciunas)
8:42.0,J. Embiid makes 2-pt shot from 6 ft (assist by B. Simmons),2,7-4,,
8:30.0,,,7-4,,J. Valanciunas misses 2-pt shot from 9 ft
8:28.0,Defensive rebound by J. Embiid,,7-4,,
8:23.0,J. Embiid misses 3-pt shot from 25 ft,,7-4,,
8:19.0,,,7-4,,Defensive rebound by O. Anunoby
8:10.0,,,7-7,3,S. Ibaka makes 3-pt shot from 25 ft (assist by O. Anunoby)
7:50.0,Shooting foul by J. Valanciunas (drawn by J. Embiid),,7-7,,
7:50.0,J. Embiid misses free throw 1 of 2,,7-7,,
7:50.0,Offensive rebound by Team,,7-7,,
7:50.0,J. Embiid makes free throw 2 of 2,1,8-7,,
7:39.0,,,8-7,,K. Lowry misses 3-pt shot from 26 ft
7:34.0,Defensive rebound by J. Embiid,,8-7,,
7:23.0,B. Simmons misses 2-pt shot from 10 ft,,8-7,,
7:20.0,,,8-7,,Defensive rebound by S. Ibaka
7:14.0,,,8-10,3,D. DeRozan makes 3-pt shot from 22 ft (assist by O. Anunoby)
7:03.0,B. Simmons makes 2-pt shot from 1 ft (assist by J. Embiid),2,10-10,,
6:53.0,,,10-10,,Shooting foul by B. Simmons (drawn by S. Ibaka)
6:53.0,,,10-10,,Toronto full timeout
6:53.0,A. Johnson enters the game for R. Covington,,10-10,,
6:53.0,T. Luwawu-Cabarrot enters the game for J. Embiid,,10-10,,
6:53.0,,,10-11,1,S. Ibaka makes free throw 2 of 2
6:53.0,,,10-12,1,S. Ibaka makes free throw 1 of 2
6:39.0,A. Johnson makes 2-pt shot from 2 ft (assist by T. Luwawu-Cabarrot),2,12-12,,
