time,Washington,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. M. Gortat (J. Redick gains possession),,,,Jump ball: J. Embiid vs. M. Gortat (J. Redick gains possession)
11:44.0,,,0-0,,D. Saric misses 2-pt shot from 12 ft
11:39.0,Defensive rebound by M. Morris,,0-0,,
11:29.0,Turnover by B. Beal (bad pass; steal by D. Saric),,0-0,,
11:09.0,,,0-0,,J. Embiid misses 2-pt shot from 7 ft (block by M. Gortat)
11:05.0,,,0-0,,Offensive rebound by D. Saric
11:04.0,,,0-2,2,D. Saric makes 2-pt shot from 3 ft
10:52.0,O. Porter misses 2-pt shot from 17 ft,,0-2,,
10:48.0,,,0-2,,Defensive rebound by J. Embiid
10:43.0,,,0-4,2,B. Simmons makes 2-pt shot at rim
10:21.0,M. Morris makes 3-pt shot from 22 ft (assist by M. Gortat),3,3-4,,
10:09.0,,,3-7,3,J. Embiid makes 3-pt shot from 27 ft (assist by B. Simmons)
9:54.0,Turnover by T. Satoransky (lost ball; steal by B. Simmons),,3-7,,
9:52.0,Personal foul by M. Morris (drawn by B. Simmons),,3-7,,
9:47.0,,,3-10,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Simmons)
9:22.0,M. Gortat misses 2-pt shot from 3 ft (block by J. Embiid),,3-10,,
9:19.0,,,3-10,,Defensive rebound by R. Covington
9:08.0,,,3-10,,Turnover by R. Covington (bad pass; steal by M. Gortat)
9:07.0,,,3-10,,Personal foul by J. Redick (drawn by B. Beal)
9:01.0,T. Satoransky misses 2-pt shot from 5 ft,,3-10,,
8:59.0,,,3-10,,Defensive rebound by J. Embiid
8:52.0,,,3-10,,Turnover by R. Covington (lost ball; steal by M. Morris)
8:37.0,B. Beal misses 2-pt shot from 9 ft,,3-10,,
8:34.0,,,3-10,,Defensive rebound by B. Simmons
8:31.0,,,3-10,,Turnover by B. Simmons (bad pass; steal by O. Porter)
8:25.0,O. Porter misses 2-pt shot from 20 ft,,3-10,,
8:22.0,Offensive rebound by O. Porter,,3-10,,
8:19.0,O. Porter makes 2-pt shot from 11 ft (assist by M. Gortat),2,5-10,,
8:04.0,,,5-10,,J. Embiid misses 2-pt shot from 12 ft
8:01.0,Defensive rebound by B. Beal,,5-10,,
7:54.0,M. Morris makes 2-pt shot from 3 ft (assist by O. Porter),2,7-10,,
7:41.0,Personal foul by O. Porter (drawn by B. Simmons),,7-10,,
7:41.0,,,7-10,,T. McConnell enters the game for J. Redick
7:30.0,,,7-12,2,J. Embiid makes 2-pt shot from 15 ft
7:10.0,B. Beal misses 3-pt shot from 25 ft,,7-12,,
7:07.0,,,7-12,,Defensive rebound by D. Saric
6:57.0,,,7-15,3,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons)
6:56.0,Washington full timeout,,7-15,,
6:56.0,,,7-15,,A. Johnson enters the game for J. Embiid
6:34.0,O. Porter misses 3-pt shot from 25 ft,,7-15,,
6:31.0,Offensive rebound by O. Porter,,7-15,,
6:28.0,M. Morris misses 3-pt shot from 25 ft,,7-15,,
6:24.0,,,7-15,,Defensive rebound by T. McConnell
6:07.0,,,7-18,3,A. Johnson makes 3-pt shot from 23 ft (assist by T. McConnell)
5:51.0,Turnover by B. Beal (lost ball; steal by A. Johnson),,7-18,,
5:44.0,,,7-20,2,D. Saric makes 2-pt shot at rim (assist by B. Simmons)
5:29.0,T. Satoransky misses 2-pt shot from 6 ft,,7-20,,
5:25.0,Offensive rebound by T. Satoransky,,7-20,,
5:14.0,O. Porter misses 2-pt shot from 16 ft,,7-20,,
5:11.0,,,7-20,,Defensive rebound by T. McConnell
5:00.0,,,7-20,,A. Johnson misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by M. Gortat,,7-20,,
4:49.0,B. Beal misses 3-pt shot from 25 ft,,7-20,,
