time,Detroit,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. A. Drummond (A. Crabbe gains possession),,,,Jump ball: T. Zeller vs. A. Drummond (A. Crabbe gains possession)
11:41.0,,,0-3,3,A. Crabbe makes 3-pt shot from 24 ft (assist by T. Zeller)
11:22.0,A. Bradley makes 2-pt shot from 9 ft (assist by A. Drummond),2,2-3,,
10:59.0,,,2-3,,J. Harris misses 2-pt shot from 4 ft (block by A. Drummond)
10:57.0,Defensive rebound by A. Drummond,,2-3,,
10:48.0,R. Bullock misses 2-pt shot from 20 ft,,2-3,,
10:44.0,,,2-3,,Defensive rebound by S. Dinwiddie
10:38.0,,,2-6,3,A. Crabbe makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
10:25.0,T. Harris makes 3-pt shot from 25 ft (assist by A. Bradley),3,5-6,,
10:09.0,,,5-8,2,R. Hollis-Jefferson makes 2-pt shot from 13 ft
9:49.0,T. Harris misses 2-pt shot from 12 ft,,5-8,,
9:46.0,,,5-8,,Defensive rebound by R. Hollis-Jefferson
9:32.0,,,5-8,,S. Dinwiddie misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by R. Bullock,,5-8,,
9:23.0,T. Harris misses 3-pt shot from 25 ft,,5-8,,
9:20.0,,,5-8,,Defensive rebound by R. Hollis-Jefferson
9:16.0,,,5-8,,A. Crabbe misses 3-pt shot from 30 ft
9:13.0,Defensive rebound by A. Bradley,,5-8,,
9:09.0,A. Drummond makes 2-pt shot at rim (assist by A. Bradley),2,7-8,,
8:54.0,,,7-8,,Shooting foul by A. Bradley (drawn by R. Hollis-Jefferson)
8:54.0,,,7-9,1,R. Hollis-Jefferson makes free throw 1 of 2
8:54.0,,,7-10,1,R. Hollis-Jefferson makes free throw 2 of 2
8:45.0,T. Harris misses 2-pt shot from 9 ft,,7-10,,
8:43.0,,,7-10,,Defensive rebound by R. Hollis-Jefferson
8:32.0,,,7-10,,R. Hollis-Jefferson misses 2-pt shot from 9 ft
8:30.0,Defensive rebound by A. Drummond,,7-10,,
8:22.0,Shooting foul by T. Zeller (drawn by A. Drummond),,7-10,,
8:22.0,A. Drummond makes free throw 1 of 2,1,8-10,,
8:22.0,A. Drummond misses free throw 2 of 2,,8-10,,
8:20.0,,,8-10,,Defensive rebound by R. Hollis-Jefferson
8:13.0,,,8-10,,A. Crabbe misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by Team,,8-10,,
8:01.0,A. Bradley misses 2-pt shot from 11 ft,,8-10,,
8:00.0,Offensive rebound by Team,,8-10,,
7:58.0,A. Bradley makes 2-pt shot from 17 ft (assist by I. Smith),2,10-10,,
7:35.0,,,10-10,,Turnover by T. Zeller (lost ball; steal by A. Drummond)
7:26.0,I. Smith makes 2-pt shot from 15 ft,2,12-10,,
7:15.0,,,12-13,3,J. Harris makes 3-pt shot from 27 ft (assist by A. Crabbe)
6:59.0,A. Bradley misses 2-pt shot from 1 ft,,12-13,,
6:57.0,,,12-13,,Defensive rebound by T. Zeller
6:52.0,,,12-13,,S. Dinwiddie misses 3-pt shot from 27 ft
6:49.0,Defensive rebound by T. Harris,,12-13,,
6:45.0,T. Harris makes 2-pt shot from 1 ft,2,14-13,,
6:26.0,,,14-13,,T. Zeller misses 3-pt shot from 22 ft
6:24.0,Defensive rebound by T. Harris,,14-13,,
6:11.0,A. Drummond misses 2-pt shot from 7 ft,,14-13,,
6:08.0,,,14-13,,Defensive rebound by T. Zeller
5:57.0,,,14-15,2,T. Zeller makes 2-pt shot from 5 ft (assist by J. Harris)
5:57.0,,,14-15,,Shooting foul by A. Drummond (drawn by T. Zeller)
5:57.0,,,14-15,,Brooklyn full timeout
5:57.0,,,14-15,,N. Stauskas enters the game for J. Harris
5:57.0,,,14-16,1,T. Zeller makes free throw 1 of 1
5:47.0,R. Bullock misses 2-pt shot from 1 ft,,14-16,,
5:43.0,Offensive rebound by A. Drummond,,14-16,,
5:43.0,A. Drummond makes 2-pt shot at rim,2,16-16,,
5:19.0,,,16-16,,R. Hollis-Jefferson misses 2-pt shot from 14 ft
5:16.0,Defensive rebound by A. Drummond,,16-16,,
5:09.0,Turnover by A. Drummond (bad pass; steal by R. Hollis-Jefferson),,16-16,,
5:06.0,,,16-16,,Shooting foul by I. Smith (drawn by R. Hollis-Jefferson)
5:06.0,,,16-17,1,R. Hollis-Jefferson makes free throw 1 of 2
5:06.0,,,16-17,,J. Allen enters the game for S. Dinwiddie
5:06.0,,,16-17,,C. LeVert enters the game for T. Zeller
5:06.0,L. Kennard enters the game for A. Bradley,,16-17,,
5:06.0,,,16-17,,R. Hollis-Jefferson misses free throw 2 of 2
5:04.0,Defensive rebound by A. Drummond,,16-17,,
4:49.0,T. Harris makes 2-pt shot from 10 ft,2,18-17,,
4:25.0,,,18-17,,Turnover by C. LeVert (traveling)
4:04.0,T. Harris makes 2-pt shot at rim (assist by A. Drummond),2,20-17,,
3:53.0,,,20-20,3,C. LeVert makes 3-pt shot from 26 ft (assist by A. Crabbe)
3:38.0,L. Kennard misses 2-pt shot from 10 ft,,20-20,,
3:36.0,Offensive rebound by A. Drummond,,20-20,,
3:35.0,A. Drummond misses 2-pt shot from 1 ft (block by J. Allen),,20-20,,
3:35.0,,,20-20,,Defensive rebound by C. LeVert
3:30.0,,,20-20,,A. Crabbe misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by I. Smith,,20-20,,
3:19.0,A. Drummond makes 2-pt shot at rim (assist by T. Harris),2,22-20,,
2:59.0,,,22-22,2,C. LeVert makes 2-pt shot from 1 ft
2:44.0,T. Harris makes 2-pt shot from 6 ft,2,24-22,,
2:26.0,,,24-24,2,J. Allen makes 2-pt shot at rim (assist by R. Hollis-Jefferson)
2:18.0,Detroit full timeout,,24-24,,
2:18.0,,,24-24,,Q. Acy enters the game for R. Hollis-Jefferson
2:18.0,,,24-24,,M. Doyle enters the game for A. Crabbe
2:18.0,E. Moreland enters the game for A. Drummond,,24-24,,
2:18.0,D. Buycks enters the game for I. Smith,,24-24,,
2:11.0,L. Kennard makes 2-pt shot from 14 ft (assist by D. Buycks),2,26-24,,
1:45.0,,,26-24,,Q. Acy misses 3-pt shot from 26 ft
1:42.0,Defensive rebound by L. Kennard,,26-24,,
1:32.0,T. Harris misses 3-pt shot from 23 ft,,26-24,,
1:30.0,Offensive rebound by E. Moreland,,26-24,,
1:28.0,R. Bullock makes 3-pt shot from 23 ft (assist by E. Moreland),3,29-24,,
1:09.0,,,29-26,2,J. Allen makes 2-pt shot from 7 ft
0:56.0,T. Harris makes 3-pt shot from 24 ft (assist by E. Moreland),3,32-26,,
0:43.0,,,32-26,,N. Stauskas misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by L. Kennard,,32-26,,
0:26.0,,,32-26,,Personal foul by Q. Acy (drawn by T. Harris)
0:22.0,Shooting foul by J. Allen (drawn by D. Buycks),,32-26,,
0:22.0,D. Buycks makes free throw 1 of 2,1,33-26,,
0:22.0,S. Johnson enters the game for R. Bullock,,33-26,,
0:22.0,D. Buycks makes free throw 2 of 2,1,34-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,E. Moreland makes 2-pt shot from 3 ft,2,36-26,,
11:16.0,,,36-26,,M. Doyle misses 3-pt shot from 27 ft
11:15.0,Defensive rebound by L. Kennard,,36-26,,
11:10.0,,,36-26,,Personal foul by M. Doyle (drawn by D. Buycks)
11:01.0,D. Buycks misses 2-pt shot from 1 ft,,36-26,,
10:58.0,,,36-26,,Defensive rebound by J. Harris
10:48.0,,,36-26,,C. LeVert misses 2-pt shot from 15 ft
10:45.0,Defensive rebound by L. Kennard,,36-26,,
