time,Golden State,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. Z. Pachulia (C. Anthony gains possession),,,,Jump ball: S. Adams vs. Z. Pachulia (C. Anthony gains possession)
11:40.0,,,0-0,,Shooting foul by K. Thompson (drawn by R. Westbrook)
11:40.0,,,0-1,1,R. Westbrook makes free throw 1 of 2
11:40.0,,,0-2,1,R. Westbrook makes free throw 2 of 2
11:23.0,K. Thompson misses 3-pt shot from 25 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by R. Westbrook
11:12.0,,,0-2,,P. George misses 2-pt shot from 9 ft
11:08.0,Defensive rebound by K. Durant,,0-2,,
10:51.0,Z. Pachulia misses 2-pt shot from 12 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by C. Anthony
10:30.0,,,0-4,2,P. George makes 2-pt shot at rim (assist by C. Brewer)
10:09.0,Turnover by Z. Pachulia (lost ball; steal by C. Brewer),,0-4,,
10:05.0,,,0-4,,C. Anthony misses 3-pt shot from 25 ft
10:03.0,,,0-4,,Offensive rebound by S. Adams
10:02.0,,,0-7,3,P. George makes 3-pt shot from 24 ft (assist by S. Adams)
9:42.0,K. Thompson misses 3-pt shot from 22 ft,,0-7,,
9:39.0,,,0-7,,Defensive rebound by R. Westbrook
9:34.0,,,0-7,,Turnover by R. Westbrook (out of bounds lost ball)
9:22.0,K. Durant makes 2-pt shot from 22 ft (assist by D. Green),2,2-7,,
9:05.0,,,2-7,,Shooting foul by Z. Pachulia (drawn by S. Adams)
9:05.0,,,2-8,1,S. Adams makes free throw 1 of 2
9:05.0,,,2-8,,S. Adams misses free throw 2 of 2
9:03.0,Defensive rebound by Z. Pachulia,,2-8,,
8:48.0,Z. Pachulia makes 2-pt shot at rim (assist by K. Thompson),2,4-8,,
8:27.0,,,4-11,3,R. Westbrook makes 3-pt shot from 24 ft (assist by S. Adams)
8:05.0,,,4-11,,Personal foul by P. George (drawn by Z. Pachulia)
7:58.0,K. Thompson makes 3-pt shot from 25 ft (assist by Q. Cook),3,7-11,,
7:40.0,,,7-11,,Turnover by C. Anthony (bad pass; steal by Z. Pachulia)
7:38.0,Z. Pachulia misses 2-pt shot from 1 ft,,7-11,,
7:34.0,,,7-11,,Defensive rebound by R. Westbrook
7:18.0,,,7-11,,P. George misses 2-pt shot from 19 ft
7:15.0,Defensive rebound by Z. Pachulia,,7-11,,
7:08.0,Q. Cook misses 3-pt shot from 25 ft,,7-11,,
7:06.0,,,7-11,,Defensive rebound by P. George
6:59.0,,,7-11,,C. Anthony misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by Q. Cook,,7-11,,
6:40.0,Turnover by D. Green (bad pass; steal by C. Brewer),,7-11,,
6:37.0,,,7-11,,Shooting foul by K. Thompson (drawn by C. Brewer)
6:37.0,,,7-11,,Oklahoma City full timeout
6:37.0,N. Young enters the game for K. Thompson,,7-11,,
6:37.0,,,7-12,1,C. Brewer makes free throw 1 of 2
6:37.0,,,7-12,,C. Brewer misses free throw 2 of 2
6:35.0,Defensive rebound by K. Durant,,7-12,,
6:25.0,D. Green misses 2-pt shot from 11 ft,,7-12,,
6:23.0,,,7-12,,Defensive rebound by R. Westbrook
6:23.0,Personal foul by N. Young (drawn by C. Brewer),,7-12,,
6:11.0,,,7-14,2,C. Anthony makes 2-pt shot from 1 ft
5:59.0,K. Durant misses 3-pt shot from 26 ft,,7-14,,
5:57.0,,,7-14,,Defensive rebound by C. Brewer
5:44.0,,,7-14,,C. Brewer misses 3-pt shot from 23 ft
5:40.0,Defensive rebound by K. Durant,,7-14,,
5:35.0,K. Durant makes 2-pt shot from 12 ft,2,9-14,,
5:20.0,,,9-14,,C. Brewer misses 3-pt shot from 24 ft
5:15.0,Defensive rebound by D. Green,,9-14,,
5:10.0,K. Durant makes 2-pt shot from 13 ft,2,11-14,,
4:49.0,,,11-17,3,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook)
4:37.0,Shooting foul by S. Adams (drawn by K. Durant),,11-17,,
4:37.0,K. Durant makes free throw 1 of 2,1,12-17,,
4:37.0,,,12-17,,A. Abrines enters the game for C. Brewer
4:37.0,,,12-17,,J. Huestis enters the game for P. George
4:37.0,J. McGee enters the game for D. Green,,12-17,,
4:37.0,J. Bell enters the game for Z. Pachulia,,12-17,,
4:37.0,K. Durant makes free throw 2 of 2,1,13-17,,
4:24.0,,,13-17,,Shooting foul by J. McGee (drawn by R. Westbrook)
4:24.0,,,13-18,1,R. Westbrook makes free throw 1 of 2
4:24.0,Golden State full timeout,,13-18,,
4:24.0,,,13-19,1,R. Westbrook makes free throw 2 of 2
4:08.0,K. Durant misses 2-pt shot from 17 ft,,13-19,,
4:06.0,,,13-19,,Defensive rebound by C. Anthony
3:50.0,,,13-19,,Turnover by S. Adams (turnover)
3:32.0,K. Durant misses 2-pt shot from 11 ft,,13-19,,
3:31.0,Offensive rebound by J. McGee,,13-19,,
3:31.0,J. McGee makes 2-pt shot at rim,2,15-19,,
3:13.0,,,15-21,2,S. Adams makes 2-pt shot from 3 ft
3:00.0,J. McGee makes 2-pt shot at rim (assist by J. Bell),2,17-21,,
2:44.0,,,17-23,2,S. Adams makes 2-pt shot at rim
2:24.0,N. Young misses 3-pt shot from 24 ft,,17-23,,
2:20.0,,,17-23,,Defensive rebound by S. Adams
2:11.0,,,17-25,2,A. Abrines makes 2-pt shot at rim
2:03.0,Shooting foul by A. Abrines (drawn by K. Durant),,17-25,,
2:03.0,K. Durant makes free throw 1 of 2,1,18-25,,
2:03.0,,,18-25,,R. Felton enters the game for R. Westbrook
2:03.0,,,18-25,,P. George enters the game for J. Huestis
2:03.0,K. Durant makes free throw 2 of 2,1,19-25,,
1:39.0,,,19-25,,C. Anthony misses 2-pt shot from 13 ft
1:37.0,Defensive rebound by Team,,19-25,,
1:37.0,,,19-25,,Loose ball foul by S. Adams (drawn by J. McGee)
1:37.0,,,19-25,,J. Grant enters the game for C. Anthony
1:37.0,,,19-25,,P. Patterson enters the game for S. Adams
1:37.0,D. Green enters the game for Q. Cook,,19-25,,
1:27.0,K. Durant misses 2-pt shot from 14 ft,,19-25,,
1:25.0,,,19-25,,Defensive rebound by R. Felton
1:06.0,,,19-25,,R. Felton misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by N. Young,,19-25,,
0:43.0,Shooting foul by P. George (drawn by K. Durant),,19-25,,
0:43.0,K. Durant makes free throw 1 of 2,1,20-25,,
0:43.0,Q. Cook enters the game for J. McGee,,20-25,,
0:43.0,K. Durant makes free throw 2 of 2,1,21-25,,
0:31.0,Personal foul by N. Young (drawn by P. George),,21-25,,
0:31.0,,,21-26,1,P. George makes free throw 1 of 2
0:31.0,,,21-27,1,P. George makes free throw 2 of 2
0:17.0,K. Durant makes 3-pt shot from 26 ft,3,24-27,,
0:01.0,,,24-27,,R. Felton misses 2-pt shot from 9 ft
0:01.0,Defensive rebound by D. Green,,24-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,D. West makes 2-pt shot from 4 ft,2,26-27,,
11:26.0,,,26-27,,P. Patterson misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by D. West,,26-27,,
11:17.0,J. Bell misses 2-pt shot from 4 ft,,26-27,,
11:15.0,,,26-27,,Defensive rebound by P. Patterson
10:58.0,,,26-27,,Shooting foul by D. West (drawn by J. Grant)
10:58.0,,,26-27,,J. Grant misses free throw 1 of 2
10:58.0,,,26-27,,Offensive rebound by Team
10:58.0,,,26-28,1,J. Grant makes free throw 2 of 2
10:48.0,J. Bell makes 2-pt shot at rim (assist by D. Green),2,28-28,,
10:36.0,,,28-28,,P. George misses 3-pt shot from 24 ft
10:33.0,Defensive rebound by K. Thompson,,28-28,,
10:24.0,Turnover by D. Green (bad pass),,28-28,,
10:24.0,,,28-28,,R. Westbrook enters the game for A. Abrines
10:11.0,,,28-28,,R. Westbrook misses 2-pt shot at rim
10:08.0,Defensive rebound by N. Young,,28-28,,
10:04.0,D. West makes 2-pt shot at rim (assist by D. Green),2,30-28,,
10:02.0,,,30-28,,Oklahoma City full timeout
9:52.0,,,30-28,,Turnover by R. Westbrook (bad pass; steal by K. Thompson)
