time,Memphis,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. M. Gasol (J. Green gains possession),,,,Jump ball: J. Embiid vs. M. Gasol (J. Green gains possession)
11:41.0,A. Harrison misses 2-pt shot from 15 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by B. Simmons
11:33.0,,,0-2,2,R. Covington makes 2-pt shot from 2 ft (assist by J. Redick)
11:26.0,D. Brooks misses 3-pt shot from 25 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by R. Covington
11:20.0,Violation by D. Brooks (kicked ball),,0-2,,
11:12.0,Personal foul by A. Harrison (drawn by J. Redick),,0-2,,
11:03.0,,,0-4,2,B. Simmons makes 2-pt shot from 1 ft (assist by J. Embiid)
10:47.0,J. Green makes 3-pt shot from 25 ft (assist by D. Brooks),3,3-4,,
10:34.0,,,3-4,,B. Simmons misses 2-pt shot from 4 ft
10:32.0,Defensive rebound by J. Green,,3-4,,
10:15.0,,,3-4,,Personal foul by R. Covington (drawn by M. Gasol)
10:08.0,Turnover by D. Brooks (offensive goaltending),,3-4,,
9:51.0,,,3-7,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Simmons)
9:33.0,D. Brooks makes 2-pt shot from 2 ft (assist by J. Green),2,5-7,,
9:16.0,,,5-7,,Shooting foul by M. Gasol (drawn by J. Redick)
9:16.0,,,5-8,1,J. Redick makes free throw 1 of 2
9:16.0,,,5-9,1,J. Redick makes free throw 2 of 2
8:56.0,M. Gasol misses 3-pt shot from 25 ft,,5-9,,
8:53.0,,,5-9,,Defensive rebound by J. Redick
8:48.0,,,5-9,,D. Saric misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by J. Martin,,5-9,,
8:40.0,M. Gasol misses 2-pt shot from 3 ft (block by D. Saric),,5-9,,
8:37.0,,,5-9,,Defensive rebound by D. Saric
8:31.0,,,5-9,,J. Embiid misses 2-pt shot from 3 ft
8:29.0,Defensive rebound by M. Gasol,,5-9,,
8:21.0,J. Martin misses 3-pt shot from 26 ft,,5-9,,
8:19.0,,,5-9,,Defensive rebound by J. Embiid
8:07.0,,,5-9,,J. Embiid misses 3-pt shot from 26 ft
8:04.0,Defensive rebound by J. Green,,5-9,,
7:52.0,M. Gasol misses 2-pt shot from 13 ft,,5-9,,
7:49.0,,,5-9,,Defensive rebound by B. Simmons
7:41.0,,,5-12,3,D. Saric makes 3-pt shot from 25 ft (assist by R. Covington)
7:24.0,D. Brooks misses 3-pt shot from 23 ft,,5-12,,
7:21.0,,,5-12,,Defensive rebound by B. Simmons
7:12.0,,,5-12,,Turnover by J. Redick (turnover)
7:12.0,,,5-12,,M. Belinelli enters the game for J. Redick
7:03.0,A. Harrison makes 2-pt shot at rim,2,7-12,,
7:03.0,,,7-12,,Philadelphia full timeout
7:03.0,,,7-12,,A. Johnson enters the game for J. Embiid
6:48.0,,,7-14,2,D. Saric makes 2-pt shot from 3 ft
6:48.0,,,7-14,,Shooting foul by A. Harrison (drawn by D. Saric)
6:48.0,B. Weber enters the game for A. Harrison,,7-14,,
6:48.0,,,7-14,,D. Saric misses free throw 1 of 1
6:48.0,Defensive rebound by M. Gasol,,7-14,,
6:41.0,Shooting foul by M. Belinelli (drawn by J. Green),,7-14,,
6:41.0,J. Green makes free throw 1 of 2,1,8-14,,
6:41.0,J. Green makes free throw 2 of 2,1,9-14,,
6:21.0,,,9-16,2,A. Johnson makes 2-pt shot from 3 ft (assist by B. Simmons)
6:01.0,J. Green makes 2-pt shot from 8 ft,2,11-16,,
5:45.0,,,11-18,2,M. Belinelli makes 2-pt shot from 19 ft
5:28.0,Offensive foul by B. Weber (drawn by B. Simmons),,11-18,,
5:28.0,Turnover by B. Weber (offensive foul),,11-18,,
5:28.0,W. Selden enters the game for J. Martin,,11-18,,
5:07.0,,,11-18,,Turnover by D. Saric (bad pass; steal by D. Brooks)
4:59.0,B. Weber misses 2-pt shot from 19 ft,,11-18,,
4:57.0,,,11-18,,Defensive rebound by A. Johnson
4:56.0,,,11-18,,Turnover by B. Simmons (lost ball; steal by B. Weber)
4:39.0,J. Green misses 2-pt shot from 2 ft,,11-18,,
4:36.0,,,11-18,,Defensive rebound by D. Saric
4:28.0,,,11-18,,A. Johnson misses 2-pt shot from 2 ft
4:25.0,Defensive rebound by M. Gasol,,11-18,,
4:17.0,M. Gasol misses 2-pt shot from 20 ft,,11-18,,
4:16.0,Offensive rebound by Team,,11-18,,
4:16.0,,,11-18,,Loose ball foul by D. Saric (drawn by J. Green)
4:16.0,,,11-18,,J. Anderson enters the game for D. Saric
4:16.0,,,11-18,,E. Ilyasova enters the game for R. Covington
4:16.0,C. Parsons enters the game for J. Green,,11-18,,
4:16.0,D. Davis enters the game for M. Gasol,,11-18,,
4:08.0,,,11-18,,J. Embiid enters the game for A. Johnson
4:08.0,,,11-18,,T. McConnell enters the game for B. Simmons
3:54.0,C. Parsons misses 2-pt shot from 5 ft,,11-18,,
3:50.0,Offensive rebound by D. Davis,,11-18,,
3:50.0,D. Davis makes 2-pt shot at rim,2,13-18,,
3:33.0,,,13-18,,J. Embiid misses 2-pt shot from 2 ft
3:32.0,,,13-18,,Offensive rebound by E. Ilyasova
3:29.0,,,13-20,2,E. Ilyasova makes 2-pt shot from 5 ft
3:23.0,W. Selden misses 3-pt shot from 25 ft,,13-20,,
3:23.0,,,13-20,,Defensive rebound by E. Ilyasova
3:02.0,,,13-22,2,J. Anderson makes 2-pt shot from 2 ft (assist by J. Embiid)
3:02.0,Memphis full timeout,,13-22,,
3:02.0,,,13-22,,J. Redick enters the game for M. Belinelli
3:02.0,J. Martin enters the game for D. Brooks,,13-22,,
2:49.0,,,13-22,,Personal foul by J. Anderson (drawn by B. Weber)
2:39.0,J. Martin misses 2-pt shot from 17 ft,,13-22,,
2:35.0,Offensive rebound by D. Davis,,13-22,,
2:34.0,D. Davis misses 2-pt shot at rim,,13-22,,
2:33.0,,,13-22,,Defensive rebound by J. Embiid
2:18.0,,,13-24,2,J. Embiid makes 2-pt shot from 14 ft
1:56.0,D. Davis makes 2-pt shot from 14 ft (assist by W. Selden),2,15-24,,
1:39.0,,,15-24,,J. Embiid misses 3-pt shot from 25 ft
1:39.0,Defensive rebound by C. Parsons,,15-24,,
1:30.0,C. Parsons misses 2-pt shot from 13 ft,,15-24,,
1:26.0,,,15-24,,Defensive rebound by T. McConnell
1:16.0,B. McLemore enters the game for B. Weber,,15-24,,
1:16.0,M. Chalmers enters the game for W. Selden,,15-24,,
1:14.0,,,15-26,2,J. Redick makes 2-pt shot from 16 ft (assist by T. McConnell)
1:05.0,B. McLemore misses 2-pt shot from 3 ft,,15-26,,
1:03.0,,,15-26,,Defensive rebound by J. Embiid
0:51.0,,,15-26,,J. Embiid misses 2-pt shot from 9 ft
0:48.0,Defensive rebound by D. Davis,,15-26,,
0:40.0,B. McLemore makes 3-pt shot from 23 ft (assist by M. Chalmers),3,18-26,,
0:31.0,Jump ball: T. McConnell vs. J. Martin ( gains possession),,,,Jump ball: T. McConnell vs. J. Martin ( gains possession)
0:31.0,,,18-26,,Turnover by T. McConnell (turnover)
0:31.0,,,18-26,,Loose ball foul by T. McConnell (drawn by J. Martin)
0:31.0,J. Martin misses free throw 1 of 2,,18-26,,
0:31.0,Offensive rebound by Team,,18-26,,
0:31.0,J. Martin makes free throw 2 of 2,1,19-26,,
0:10.0,,,19-26,,E. Ilyasova misses 2-pt shot from 3 ft
0:08.0,Defensive rebound by J. Martin,,19-26,,
0:01.0,B. McLemore misses 2-pt shot from 15 ft,,19-26,,
0:01.0,Offensive rebound by D. Davis,,19-26,,
0:00.0,D. Davis misses 2-pt shot at rim (block by J. Embiid),,19-26,,
0:00.0,Offensive rebound by Team,,19-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,19-28,2,J. Embiid makes 2-pt shot from 1 ft (assist by T. McConnell)
11:37.0,,,19-28,,Personal foul by J. Anderson (drawn by D. Davis)
11:33.0,B. McLemore misses 3-pt shot from 25 ft,,19-28,,
11:28.0,Offensive rebound by B. McLemore,,19-28,,
11:26.0,B. McLemore misses 3-pt shot from 24 ft,,19-28,,
11:25.0,,,19-28,,Defensive rebound by Team
11:18.0,Personal foul by D. Davis (drawn by J. Embiid),,19-28,,
11:01.0,,,19-30,2,J. Embiid makes 2-pt shot from 7 ft
10:58.0,Turnover by M. Chalmers (turnover),,19-30,,
10:42.0,,,19-30,,Shooting foul by J. Martin (drawn by J. Embiid)
10:42.0,,,19-31,1,J. Embiid makes free throw 1 of 2
10:42.0,,,19-32,1,J. Embiid makes free throw 2 of 2
10:30.0,,,19-32,,Personal foul by J. Embiid (drawn by D. Davis)
10:21.0,D. Davis misses 2-pt shot from 15 ft,,19-32,,
10:17.0,,,19-32,,Defensive rebound by J. Anderson
10:06.0,,,19-32,,J. Redick misses 3-pt shot from 25 ft
10:04.0,Defensive rebound by M. Chalmers,,19-32,,
9:50.0,J. Martin misses 3-pt shot from 23 ft,,19-32,,
9:48.0,Offensive rebound by Team,,19-32,,
9:48.0,,,19-32,,M. Belinelli enters the game for J. Redick
9:48.0,,,19-32,,D. Saric enters the game for E. Ilyasova
9:48.0,W. Selden enters the game for J. Martin,,19-32,,
9:48.0,J. Green enters the game for B. McLemore,,19-32,,
9:39.0,M. Chalmers makes 2-pt shot from 1 ft (assist by D. Davis),2,21-32,,
9:27.0,,,21-32,,J. Anderson misses 3-pt shot from 23 ft
9:27.0,,,21-32,,Offensive rebound by Team
9:27.0,Loose ball foul by M. Chalmers (drawn by D. Saric),,21-32,,
9:12.0,,,21-32,,J. Embiid misses 2-pt shot from 9 ft
9:09.0,Defensive rebound by J. Green,,21-32,,
8:52.0,J. Green misses 2-pt shot from 12 ft,,21-32,,
8:49.0,,,21-32,,Defensive rebound by T. McConnell
8:39.0,,,21-34,2,T. McConnell makes 2-pt shot from 9 ft
8:37.0,,,21-34,,Personal foul by J. Embiid (drawn by M. Chalmers)
8:37.0,,,21-34,,R. Covington enters the game for J. Anderson
8:37.0,,,21-34,,B. Simmons enters the game for T. McConnell
8:37.0,,,21-34,,A. Johnson enters the game for J. Embiid
8:37.0,M. Gasol enters the game for M. Chalmers,,21-34,,
8:37.0,A. Harrison enters the game for D. Davis,,21-34,,
8:37.0,D. Brooks enters the game for C. Parsons,,21-34,,
8:18.0,A. Harrison misses 2-pt shot from 10 ft,,21-34,,
8:18.0,,,21-34,,Defensive rebound by Team
7:58.0,,,21-34,,D. Saric misses 2-pt shot from 3 ft
7:56.0,Defensive rebound by M. Gasol,,21-34,,
7:52.0,D. Brooks makes 3-pt shot from 22 ft (assist by W. Selden),3,24-34,,
7:52.0,,,24-34,,Philadelphia full timeout
7:36.0,,,24-36,2,B. Simmons makes 2-pt shot at rim (assist by M. Belinelli)
7:11.0,D. Brooks makes 2-pt shot from 9 ft,2,26-36,,
6:53.0,,,26-39,3,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons)
6:33.0,Turnover by D. Brooks (bad pass; steal by A. Johnson),,26-39,,
6:28.0,,,26-41,2,B. Simmons makes 2-pt shot from 2 ft (assist by A. Johnson)
6:28.0,Memphis full timeout,,26-41,,
6:28.0,B. Weber enters the game for A. Harrison,,26-41,,
6:07.0,W. Selden misses 3-pt shot from 25 ft,,26-41,,
6:00.0,Offensive rebound by J. Green,,26-41,,
6:00.0,J. Green makes 2-pt shot at rim,2,28-41,,
5:48.0,,,28-41,,M. Belinelli misses 3-pt shot from 27 ft
5:45.0,Defensive rebound by W. Selden,,28-41,,
5:36.0,D. Brooks makes 2-pt shot from 3 ft (assist by J. Green),2,30-41,,
5:17.0,,,30-44,3,R. Covington makes 3-pt shot from 25 ft (assist by M. Belinelli)
4:59.0,,,30-44,,E. Ilyasova enters the game for A. Johnson
4:50.0,M. Gasol makes 2-pt shot from 10 ft,2,32-44,,
4:40.0,,,32-44,,B. Simmons misses 2-pt shot from 2 ft
4:38.0,Defensive rebound by M. Gasol,,32-44,,
4:34.0,Turnover by D. Brooks (bad pass; steal by B. Simmons),,32-44,,
4:34.0,Personal foul by M. Gasol (drawn by B. Simmons),,32-44,,
4:34.0,J. Martin enters the game for B. Weber,,32-44,,
4:34.0,C. Parsons enters the game for W. Selden,,32-44,,
4:23.0,,,32-46,2,M. Belinelli makes 2-pt shot from 5 ft (assist by D. Saric)
4:01.0,Shooting foul by R. Covington (drawn by D. Brooks),,32-46,,
4:01.0,D. Brooks misses free throw 1 of 2,,32-46,,
4:01.0,Offensive rebound by Team,,32-46,,
4:01.0,D. Brooks makes free throw 2 of 2,1,33-46,,
3:51.0,,,33-46,,Turnover by B. Simmons (out of bounds lost ball)
3:51.0,,,33-46,,J. Redick enters the game for M. Belinelli
3:39.0,Turnover by D. Brooks (bad pass; steal by E. Ilyasova),,33-46,,
