time,Cleveland,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. K. Love (K. Lowry gains possession),,,,Jump ball: J. Valanciunas vs. K. Love (K. Lowry gains possession)
11:43.0,,,0-2,2,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry)
11:27.0,K. Love misses 2-pt shot from 18 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by O. Anunoby
11:18.0,,,0-2,,O. Anunoby misses 3-pt shot from 25 ft
11:13.0,,,0-2,,Offensive rebound by J. Valanciunas
11:13.0,,,0-4,2,J. Valanciunas makes 2-pt shot at rim
10:58.0,J. Smith misses 3-pt shot from 25 ft,,0-4,,
10:52.0,,,0-4,,Defensive rebound by J. Valanciunas
10:45.0,,,0-4,,D. DeRozan misses 3-pt shot from 26 ft
10:43.0,Defensive rebound by K. Love,,0-4,,
10:33.0,G. Hill makes 2-pt shot at rim,2,2-4,,
10:10.0,,,2-6,2,O. Anunoby makes 2-pt shot from 1 ft (assist by J. Valanciunas)
9:52.0,L. James makes 2-pt shot at rim (assist by K. Love),2,4-6,,
9:41.0,,,4-6,,S. Ibaka misses 2-pt shot from 11 ft (block by L. James)
9:41.0,,,4-6,,Offensive rebound by Team
9:37.0,,,4-8,2,D. DeRozan makes 2-pt shot from 3 ft (assist by S. Ibaka)
9:22.0,G. Hill misses 2-pt shot from 2 ft,,4-8,,
9:19.0,,,4-8,,Defensive rebound by J. Valanciunas
9:14.0,,,4-10,2,K. Lowry makes 2-pt shot from 1 ft
9:14.0,Cleveland full timeout,,4-10,,
8:54.0,J. Smith misses 2-pt shot at rim,,4-10,,
8:52.0,Offensive rebound by K. Love,,4-10,,
8:50.0,K. Love misses 2-pt shot from 2 ft,,4-10,,
8:47.0,Offensive rebound by J. Smith,,4-10,,
8:44.0,K. Korver makes 3-pt shot from 25 ft (assist by J. Smith),3,7-10,,
8:24.0,,,7-10,,J. Valanciunas misses 2-pt shot from 3 ft
8:18.0,,,7-10,,Offensive rebound by J. Valanciunas
8:16.0,,,7-12,2,J. Valanciunas makes 2-pt shot at rim
8:14.0,Turnover by L. James (bad pass; steal by D. DeRozan),,7-12,,
