time,Golden State,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. J. McGee (D. Green gains possession),,,,Jump ball: L. Aldridge vs. J. McGee (D. Green gains possession)
11:35.0,K. Thompson misses 3-pt shot from 26 ft,,0-0,,
11:34.0,Offensive rebound by J. McGee,,0-0,,
11:34.0,Turnover by Team (shot clock),,0-0,,
11:11.0,,,0-2,2,R. Gay makes 2-pt shot from 9 ft (assist by D. Murray)
11:08.0,,,0-2,,Personal foul by P. Mills (drawn by A. Iguodala)
11:02.0,Offensive foul by A. Iguodala (drawn by P. Mills),,0-2,,
11:02.0,Turnover by A. Iguodala (offensive foul),,0-2,,
10:47.0,,,0-2,,D. Green misses 2-pt shot from 22 ft
10:44.0,Defensive rebound by J. McGee,,0-2,,
10:32.0,J. McGee makes 2-pt shot from 14 ft (assist by D. Green),2,2-2,,
10:09.0,,,2-2,,L. Aldridge misses 2-pt shot from 12 ft
10:06.0,Defensive rebound by K. Durant,,2-2,,
9:59.0,Turnover by K. Durant (bad pass),,2-2,,
9:49.0,,,2-2,,R. Gay misses 2-pt shot from 20 ft
9:44.0,,,2-2,,Offensive rebound by R. Gay
9:39.0,,,2-5,3,D. Murray makes 3-pt shot from 24 ft (assist by P. Mills)
9:17.0,K. Thompson makes 2-pt shot from 20 ft (assist by A. Iguodala),2,4-5,,
8:58.0,,,4-5,,D. Murray misses 2-pt shot from 20 ft
8:56.0,Defensive rebound by J. McGee,,4-5,,
8:52.0,Turnover by J. McGee (bad pass; steal by R. Gay),,4-5,,
8:47.0,,,4-7,2,R. Gay makes 2-pt shot from 3 ft
8:41.0,Turnover by D. Green (bad pass; steal by P. Mills),,4-7,,
8:36.0,,,4-7,,P. Mills misses 3-pt shot from 26 ft
8:32.0,Defensive rebound by A. Iguodala,,4-7,,
8:27.0,A. Iguodala misses 2-pt shot from 2 ft,,4-7,,
8:24.0,Offensive rebound by D. Green,,4-7,,
8:16.0,K. Durant makes 3-pt shot from 26 ft (assist by D. Green),3,7-7,,
8:07.0,,,7-7,,P. Mills misses 2-pt shot from 2 ft
8:04.0,Defensive rebound by K. Thompson,,7-7,,
7:57.0,Turnover by K. Durant (bad pass; steal by L. Aldridge),,7-7,,
7:51.0,,,7-7,,L. Aldridge misses 2-pt shot from 3 ft
7:49.0,,,7-7,,Offensive rebound by D. Green
7:47.0,,,7-10,3,D. Green makes 3-pt shot from 26 ft
7:47.0,Golden State full timeout,,7-10,,
7:31.0,Turnover by D. Green (bad pass; steal by D. Murray),,7-10,,
7:22.0,,,7-10,,R. Gay misses 3-pt shot from 25 ft
7:18.0,Defensive rebound by K. Durant,,7-10,,
7:14.0,K. Durant makes 3-pt shot from 25 ft,3,10-10,,
6:47.0,,,10-10,,D. Murray misses 2-pt shot from 3 ft
6:45.0,Defensive rebound by D. Green,,10-10,,
6:30.0,K. Durant misses 3-pt shot from 26 ft,,10-10,,
6:27.0,,,10-10,,Defensive rebound by D. Murray
6:11.0,,,10-10,,L. Aldridge misses 2-pt shot from 3 ft (block by K. Durant)
6:05.0,,,10-10,,Offensive rebound by L. Aldridge
6:05.0,,,10-12,2,L. Aldridge makes 2-pt shot at rim
5:50.0,J. McGee misses 2-pt shot from 8 ft,,10-12,,
5:46.0,Offensive rebound by J. McGee,,10-12,,
5:45.0,D. Green misses 2-pt shot from 3 ft,,10-12,,
5:45.0,Offensive rebound by D. Green,,10-12,,
5:40.0,D. Green makes 2-pt shot at rim,2,12-12,,
5:19.0,,,12-12,,D. Green misses 3-pt shot from 25 ft
5:15.0,Defensive rebound by D. Green,,12-12,,
