time,Sacramento,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. W. Cauley-Stein (T. Harris gains possession),,,,Jump ball: A. Drummond vs. W. Cauley-Stein (T. Harris gains possession)
11:41.0,,,0-3,3,R. Jackson makes 3-pt shot from 29 ft (assist by A. Drummond)
11:18.0,W. Cauley-Stein misses 2-pt shot from 4 ft,,0-3,,
11:16.0,,,0-3,,Defensive rebound by A. Drummond
11:13.0,,,0-3,,A. Bradley misses 3-pt shot from 27 ft
11:09.0,Defensive rebound by B. Bogdanovic,,0-3,,
10:51.0,Turnover by Z. Randolph (lost ball; steal by R. Jackson),,0-3,,
10:46.0,,,0-5,2,A. Bradley makes 2-pt shot from 4 ft (assist by R. Jackson)
10:29.0,Turnover by G. Temple (lost ball; steal by R. Jackson),,0-5,,
10:22.0,,,0-7,2,A. Drummond makes 2-pt shot from 1 ft (assist by A. Bradley)
10:16.0,Sacramento full timeout,,0-7,,
10:10.0,Turnover by D. Fox (bad pass; steal by A. Drummond),,0-7,,
10:04.0,,,0-10,3,T. Harris makes 3-pt shot from 27 ft (assist by R. Jackson)
9:47.0,Z. Randolph makes 2-pt shot from 16 ft (assist by W. Cauley-Stein),2,2-10,,
9:24.0,,,2-12,2,A. Drummond makes 2-pt shot from 2 ft (assist by A. Bradley)
9:18.0,D. Fox makes 2-pt shot from 4 ft,2,4-12,,
9:18.0,Shooting foul by A. Bradley (drawn by D. Fox),,4-12,,
9:18.0,D. Fox makes free throw 1 of 1,1,5-12,,
8:57.0,,,5-12,,Shooting foul by W. Cauley-Stein (drawn by A. Drummond)
8:57.0,,,5-12,,A. Drummond misses free throw 1 of 2
8:57.0,,,5-12,,Offensive rebound by Team
8:57.0,,,5-12,,A. Drummond misses free throw 2 of 2
8:54.0,Defensive rebound by Z. Randolph,,5-12,,
8:46.0,Z. Randolph makes 2-pt shot from 2 ft (assist by D. Fox),2,7-12,,
