time,Golden State,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. J. McGee (T. Gibson gains possession),,,,Jump ball: K. Towns vs. J. McGee (T. Gibson gains possession)
11:48.0,,,0-2,2,T. Gibson makes 2-pt shot from 12 ft (assist by K. Towns)
11:33.0,K. Durant misses 2-pt shot from 18 ft,,0-2,,
11:28.0,Offensive rebound by J. McGee,,0-2,,
11:26.0,D. Green misses 3-pt shot from 25 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by A. Wiggins
11:16.0,,,0-2,,A. Wiggins misses 2-pt shot from 18 ft
11:14.0,Defensive rebound by K. Durant,,0-2,,
11:10.0,K. Thompson misses 2-pt shot from 5 ft,,0-2,,
11:07.0,,,0-2,,Defensive rebound by N. Bjelica
10:55.0,,,0-2,,T. Gibson misses 2-pt shot from 1 ft
10:52.0,Defensive rebound by D. Green,,0-2,,
10:49.0,Q. Cook makes 2-pt shot from 6 ft,2,2-2,,
10:25.0,,,2-2,,K. Towns misses 3-pt shot from 25 ft
10:23.0,Defensive rebound by Q. Cook,,2-2,,
10:14.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green),3,5-2,,
10:00.0,,,5-4,2,K. Towns makes 2-pt shot from 1 ft (assist by N. Bjelica)
9:45.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Green),2,7-4,,
9:31.0,,,7-4,,Turnover by A. Wiggins (traveling)
9:19.0,J. McGee makes 2-pt shot at rim (assist by K. Durant),2,9-4,,
9:02.0,,,9-6,2,A. Wiggins makes 2-pt shot from 1 ft (assist by N. Bjelica)
8:53.0,K. Durant misses 2-pt shot from 15 ft,,9-6,,
8:53.0,,,9-6,,Defensive rebound by K. Towns
8:40.0,,,9-8,2,J. Teague makes 2-pt shot from 1 ft
8:40.0,,,9-8,,Shooting foul by J. McGee (drawn by J. Teague)
8:40.0,,,9-9,1,J. Teague makes free throw 1 of 1
8:27.0,Shooting foul by T. Gibson (drawn by K. Durant),,9-9,,
8:27.0,K. Durant makes free throw 1 of 2,1,10-9,,
8:27.0,K. Durant makes free throw 2 of 2,1,11-9,,
8:14.0,,,11-12,3,N. Bjelica makes 3-pt shot from 22 ft (assist by J. Teague)
7:51.0,Turnover by K. Thompson (bad pass; steal by N. Bjelica),,11-12,,
7:47.0,,,11-14,2,T. Gibson makes 2-pt shot at rim (assist by N. Bjelica)
7:47.0,Golden State full timeout,,11-14,,
7:28.0,K. Thompson misses 2-pt shot from 15 ft,,11-14,,
7:26.0,,,11-14,,Defensive rebound by K. Towns
7:20.0,,,11-17,3,K. Towns makes 3-pt shot from 25 ft (assist by A. Wiggins)
7:03.0,K. Durant misses 2-pt shot from 19 ft,,11-17,,
7:01.0,,,11-17,,Defensive rebound by K. Towns
6:42.0,,,11-20,3,A. Wiggins makes 3-pt shot from 24 ft (assist by T. Gibson)
6:29.0,K. Thompson misses 2-pt shot from 17 ft,,11-20,,
6:27.0,,,11-20,,Defensive rebound by A. Wiggins
6:17.0,,,11-20,,T. Gibson misses 2-pt shot from 4 ft (block by K. Durant)
6:14.0,Defensive rebound by K. Durant,,11-20,,
6:12.0,Q. Cook makes 2-pt shot from 11 ft (assist by K. Durant),2,13-20,,
6:01.0,,,13-20,,Turnover by J. Teague (bad pass; steal by D. Green)
5:57.0,K. Durant makes 2-pt shot at rim (assist by Q. Cook),2,15-20,,
5:48.0,,,15-20,,Minnesota full timeout
5:48.0,,,15-20,,J. Crawford enters the game for N. Bjelica
5:31.0,,,15-20,,J. Teague misses 2-pt shot from 15 ft
5:28.0,Defensive rebound by D. Green,,15-20,,
5:13.0,K. Durant misses 2-pt shot from 1 ft,,15-20,,
5:09.0,Offensive rebound by J. McGee,,15-20,,
5:08.0,Q. Cook misses 3-pt shot from 25 ft,,15-20,,
5:04.0,,,15-20,,Defensive rebound by T. Gibson
4:51.0,,,15-22,2,K. Towns makes 2-pt shot from 7 ft (assist by J. Crawford)
4:24.0,K. Thompson misses 2-pt shot from 1 ft,,15-22,,
4:22.0,,,15-22,,Defensive rebound by K. Towns
4:01.0,,,15-22,,J. Crawford misses 3-pt shot from 24 ft
3:57.0,,,15-22,,Offensive rebound by K. Towns
3:47.0,,,15-24,2,A. Wiggins makes 2-pt shot from 6 ft (assist by J. Teague)
3:36.0,Golden State full timeout,,15-24,,
3:36.0,,,15-24,,G. Dieng enters the game for J. Teague
3:36.0,,,15-24,,T. Jones enters the game for K. Towns
3:36.0,K. Looney enters the game for J. McGee,,15-24,,
3:36.0,Z. Pachulia enters the game for D. Green,,15-24,,
3:21.0,Z. Pachulia makes 2-pt shot from 11 ft (assist by Q. Cook),2,17-24,,
3:02.0,,,17-26,2,A. Wiggins makes 2-pt shot from 6 ft
2:52.0,K. Durant misses 2-pt shot from 5 ft,,17-26,,
2:48.0,,,17-26,,Defensive rebound by T. Gibson
2:42.0,,,17-28,2,G. Dieng makes 2-pt shot from 1 ft (assist by T. Jones)
2:42.0,,,17-28,,Shooting foul by K. Looney (drawn by G. Dieng)
2:42.0,,,17-28,,D. Rose enters the game for A. Wiggins
2:42.0,N. Young enters the game for Q. Cook,,17-28,,
2:42.0,S. Livingston enters the game for K. Thompson,,17-28,,
2:42.0,,,17-28,,G. Dieng misses free throw 1 of 1
2:39.0,Defensive rebound by Z. Pachulia,,17-28,,
2:20.0,K. Durant misses 2-pt shot from 3 ft,,17-28,,
2:16.0,,,17-28,,Defensive rebound by T. Jones
2:14.0,,,17-28,,Turnover by D. Rose (step out of bounds)
1:59.0,K. Durant makes 3-pt shot from 25 ft (assist by Z. Pachulia),3,20-28,,
1:35.0,,,20-28,,G. Dieng misses 2-pt shot from 1 ft (block by Z. Pachulia)
1:31.0,,,20-28,,Offensive rebound by D. Rose
1:31.0,,,20-30,2,D. Rose makes 2-pt shot from 1 ft
1:18.0,Z. Pachulia makes 2-pt shot from 1 ft,2,22-30,,
1:00.0,,,22-30,,D. Rose misses 2-pt shot from 8 ft
0:58.0,Defensive rebound by Z. Pachulia,,22-30,,
0:48.0,Shooting foul by T. Gibson (drawn by K. Durant),,22-30,,
0:48.0,K. Durant makes free throw 1 of 2,1,23-30,,
0:48.0,,,23-30,,N. Bjelica enters the game for T. Gibson
0:48.0,K. Durant makes free throw 2 of 2,1,24-30,,
0:33.0,,,24-32,2,T. Jones makes 2-pt shot from 10 ft (assist by D. Rose)
0:17.0,Turnover by S. Livingston (bad pass; steal by J. Crawford),,24-32,,
0:14.0,,,24-34,2,N. Bjelica makes 2-pt shot from 1 ft (assist by T. Jones)
0:00.0,N. Young misses 3-pt shot from 22 ft,,24-34,,
0:00.0,Offensive rebound by Team,,24-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,S. Livingston misses 2-pt shot from 13 ft,,24-34,,
11:46.0,,,24-34,,Defensive rebound by G. Dieng
11:40.0,,,24-34,,T. Jones misses 2-pt shot from 9 ft
11:37.0,Defensive rebound by Z. Pachulia,,24-34,,
11:29.0,K. Thompson makes 2-pt shot from 20 ft (assist by Z. Pachulia),2,26-34,,
11:15.0,,,26-34,,D. Rose misses 2-pt shot from 4 ft
11:13.0,Defensive rebound by D. Green,,26-34,,
11:13.0,,,26-34,,Personal foul by N. Bjelica (drawn by D. Green)
11:07.0,Z. Pachulia makes 2-pt shot from 7 ft (assist by K. Thompson),2,28-34,,
10:53.0,,,28-34,,Turnover by J. Crawford (bad pass; steal by Z. Pachulia)
10:50.0,K. Thompson makes 2-pt shot at rim,2,30-34,,
10:31.0,,,30-34,,G. Dieng misses 2-pt shot from 18 ft
10:29.0,Defensive rebound by Z. Pachulia,,30-34,,
10:22.0,S. Livingston makes 2-pt shot from 17 ft,2,32-34,,
10:13.0,,,32-34,,Minnesota full timeout
10:13.0,,,32-34,,K. Towns enters the game for G. Dieng
10:07.0,,,32-36,2,T. Jones makes 2-pt shot from 7 ft
9:49.0,Z. Pachulia makes 2-pt shot from 15 ft (assist by D. Green),2,34-36,,
9:37.0,,,34-36,,D. Rose misses 2-pt shot from 5 ft (block by D. Green)
9:37.0,,,34-36,,Offensive rebound by Team
9:35.0,,,34-36,,N. Bjelica misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by Z. Pachulia,,34-36,,
9:27.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green),3,37-36,,
9:06.0,,,37-36,,D. Rose misses 2-pt shot from 18 ft
9:06.0,Defensive rebound by D. Green,,37-36,,
8:57.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Green),2,39-36,,
8:44.0,,,39-38,2,K. Towns makes 2-pt shot from 13 ft (assist by D. Rose)
8:31.0,D. Green makes 3-pt shot from 24 ft (assist by S. Livingston),3,42-38,,
8:15.0,,,42-38,,Turnover by D. Rose (lost ball; steal by D. Green)
8:09.0,S. Livingston makes 2-pt shot from 1 ft (assist by K. Thompson),2,44-38,,
8:06.0,,,44-38,,Minnesota full timeout
8:06.0,,,44-38,,J. Teague enters the game for T. Jones
8:06.0,,,44-38,,A. Wiggins enters the game for D. Rose
7:49.0,,,44-38,,Turnover by K. Towns (bad pass; steal by N. Young)
7:44.0,K. Thompson misses 3-pt shot from 27 ft,,44-38,,
7:41.0,,,44-38,,Defensive rebound by A. Wiggins
7:29.0,,,44-38,,N. Bjelica misses 3-pt shot from 23 ft
7:27.0,Defensive rebound by Z. Pachulia,,44-38,,
7:24.0,Turnover by K. Thompson (out of bounds lost ball),,44-38,,
7:15.0,,,44-40,2,J. Crawford makes 2-pt shot from 9 ft
7:15.0,,,44-40,,Shooting foul by N. Young (drawn by J. Crawford)
7:15.0,,,44-41,1,J. Crawford makes free throw 1 of 1
6:58.0,D. Green makes 3-pt shot from 25 ft (assist by K. Thompson),3,47-41,,
6:41.0,,,47-41,,J. Crawford misses 2-pt shot from 16 ft (block by N. Young)
6:39.0,Defensive rebound by D. Green,,47-41,,
6:34.0,Turnover by K. Thompson (bad pass; steal by K. Towns),,47-41,,
6:24.0,,,47-41,,K. Towns misses 2-pt shot from 2 ft (block by Z. Pachulia)
6:20.0,,,47-41,,Offensive rebound by K. Towns
6:20.0,,,47-41,,K. Towns misses 2-pt shot from 1 ft
6:20.0,,,47-41,,Offensive rebound by J. Crawford
6:19.0,,,47-43,2,J. Crawford makes 2-pt shot at rim
5:55.0,Shooting foul by A. Wiggins (drawn by K. Thompson),,47-43,,
5:55.0,K. Thompson makes free throw 1 of 2,1,48-43,,
5:55.0,,,48-43,,T. Gibson enters the game for J. Crawford
5:55.0,K. Durant enters the game for N. Young,,48-43,,
5:55.0,Q. Cook enters the game for D. Green,,48-43,,
5:55.0,K. Thompson makes free throw 2 of 2,1,49-43,,
5:44.0,,,49-43,,A. Wiggins misses 3-pt shot from 24 ft
5:41.0,Defensive rebound by S. Livingston,,49-43,,
5:37.0,Q. Cook misses 2-pt shot from 18 ft,,49-43,,
5:32.0,,,49-43,,Defensive rebound by K. Towns
5:22.0,,,49-43,,T. Gibson misses 2-pt shot at rim
5:21.0,Defensive rebound by Q. Cook,,49-43,,
5:20.0,Turnover by Q. Cook (step out of bounds),,49-43,,
5:20.0,O. Casspi enters the game for K. Thompson,,49-43,,
5:02.0,,,49-45,2,A. Wiggins makes 2-pt shot from 6 ft
4:43.0,Shooting foul by A. Wiggins (drawn by S. Livingston),,49-45,,
4:43.0,S. Livingston makes free throw 1 of 2,1,50-45,,
4:43.0,S. Livingston makes free throw 2 of 2,1,51-45,,
4:31.0,,,51-45,,N. Bjelica misses 2-pt shot from 4 ft
4:26.0,,,51-45,,Offensive rebound by N. Bjelica
4:26.0,,,51-45,,N. Bjelica misses 2-pt shot at rim
4:25.0,Defensive rebound by S. Livingston,,51-45,,
4:08.0,K. Durant makes 3-pt shot from 24 ft,3,54-45,,
3:58.0,Personal foul by Z. Pachulia (drawn by K. Towns),,54-45,,
3:58.0,N. Young enters the game for Z. Pachulia,,54-45,,
3:58.0,D. Green enters the game for S. Livingston,,54-45,,
3:54.0,,,54-45,,A. Wiggins misses 2-pt shot from 21 ft
3:51.0,Defensive rebound by K. Durant,,54-45,,
3:47.0,K. Durant makes 3-pt shot from 26 ft,3,57-45,,
3:28.0,,,57-47,2,K. Towns makes 2-pt shot from 3 ft
3:15.0,K. Durant misses 3-pt shot from 26 ft,,57-47,,
3:13.0,,,57-47,,Defensive rebound by Team
3:13.0,Golden State full timeout,,57-47,,
3:13.0,K. Thompson enters the game for N. Young,,57-47,,
2:53.0,,,57-47,,J. Teague misses 3-pt shot from 22 ft
2:51.0,Defensive rebound by K. Thompson,,57-47,,
2:35.0,Shooting foul by K. Towns (drawn by O. Casspi),,57-47,,
2:35.0,O. Casspi makes free throw 1 of 2,1,58-47,,
2:35.0,O. Casspi misses free throw 2 of 2,,58-47,,
2:33.0,,,58-47,,Defensive rebound by K. Towns
2:25.0,,,58-47,,Shooting foul by O. Casspi (drawn by A. Wiggins)
2:25.0,,,58-48,1,A. Wiggins makes free throw 1 of 2
2:25.0,,,58-49,1,A. Wiggins makes free throw 2 of 2
2:12.0,K. Thompson misses 3-pt shot from 23 ft,,58-49,,
2:09.0,,,58-49,,Defensive rebound by T. Gibson
2:00.0,,,58-49,,A. Wiggins misses 2-pt shot from 1 ft (block by K. Durant)
1:59.0,,,58-49,,Offensive rebound by T. Gibson
1:59.0,,,58-49,,T. Gibson misses 2-pt shot from 2 ft
1:59.0,,,58-49,,Offensive rebound by K. Towns
1:59.0,,,58-51,2,K. Towns makes 2-pt shot from 1 ft
1:59.0,,,58-51,,Shooting foul by D. Green (drawn by K. Towns)
1:59.0,,,58-51,,K. Towns misses free throw 1 of 1
1:57.0,Defensive rebound by O. Casspi,,58-51,,
1:43.0,Shooting foul by K. Towns (drawn by K. Durant),,58-51,,
1:43.0,K. Durant makes free throw 1 of 2,1,59-51,,
1:43.0,Z. Pachulia enters the game for O. Casspi,,59-51,,
1:43.0,K. Durant makes free throw 2 of 2,1,60-51,,
1:30.0,,,60-51,,K. Towns misses 2-pt shot from 5 ft
1:25.0,Defensive rebound by D. Green,,60-51,,
1:22.0,D. Green makes 2-pt shot at rim,2,62-51,,
1:11.0,,,62-51,,J. Teague misses 3-pt shot from 22 ft
1:09.0,,,62-51,,Offensive rebound by K. Towns
1:02.0,,,62-53,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
0:37.0,K. Durant misses 3-pt shot from 25 ft,,62-53,,
0:37.0,,,62-53,,Defensive rebound by Team
0:32.0,,,62-53,,T. Gibson misses 2-pt shot from 1 ft (block by K. Durant)
0:30.0,Defensive rebound by K. Durant,,62-53,,
0:25.0,Q. Cook misses 3-pt shot from 25 ft,,62-53,,
0:25.0,,,62-53,,Defensive rebound by N. Bjelica
0:02.0,,,62-55,2,A. Wiggins makes 2-pt shot from 16 ft (assist by J. Teague)
0:00.0,D. Green misses 3-pt shot from 61 ft,,62-55,,
0:00.0,Offensive rebound by Team,,62-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,K. Thompson misses 3-pt shot from 25 ft,,62-55,,
11:35.0,,,62-55,,Defensive rebound by A. Wiggins
11:25.0,Personal foul by J. McGee (drawn by K. Towns),,62-55,,
11:11.0,,,62-55,,Turnover by Team (shot clock)
10:54.0,Shooting foul by N. Bjelica (drawn by K. Durant),,62-55,,
10:54.0,K. Durant makes free throw 1 of 2,1,63-55,,
10:54.0,K. Durant makes free throw 2 of 2,1,64-55,,
10:46.0,,,64-57,2,J. Teague makes 2-pt shot from 3 ft
10:33.0,K. Thompson makes 2-pt shot from 13 ft (assist by D. Green),2,66-57,,
10:18.0,,,66-59,2,A. Wiggins makes 2-pt shot from 6 ft
10:10.0,K. Thompson misses 3-pt shot from 24 ft,,66-59,,
10:07.0,,,66-59,,Defensive rebound by K. Towns
9:57.0,,,66-59,,N. Bjelica misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by Q. Cook,,66-59,,
9:36.0,Turnover by Q. Cook (turnover),,66-59,,
9:22.0,,,66-59,,Shooting foul by Q. Cook (drawn by J. Teague)
9:22.0,,,66-60,1,J. Teague makes free throw 1 of 2
9:22.0,,,66-61,1,J. Teague makes free throw 2 of 2
9:03.0,Turnover by K. Thompson (out of bounds lost ball),,66-61,,
8:49.0,,,66-61,,Turnover by J. Teague (bad pass; steal by J. McGee)
8:44.0,Turnover by K. Durant (offensive goaltending),,66-61,,
8:34.0,,,66-61,,J. Teague misses 2-pt shot from 10 ft
8:31.0,Defensive rebound by D. Green,,66-61,,
8:27.0,K. Thompson misses 3-pt shot from 25 ft,,66-61,,
8:23.0,,,66-61,,Defensive rebound by J. Teague
8:19.0,,,66-61,,Shooting foul by K. Durant (drawn by N. Bjelica)
8:19.0,,,66-61,,N. Bjelica misses free throw 1 of 2
8:19.0,,,66-61,,Offensive rebound by Team
8:19.0,,,66-62,1,N. Bjelica makes free throw 2 of 2
8:07.0,D. Green misses 2-pt shot from 3 ft (block by T. Gibson),,66-62,,
8:07.0,Offensive rebound by Team,,66-62,,
7:59.0,Q. Cook misses 2-pt shot from 3 ft,,66-62,,
7:57.0,,,66-62,,Defensive rebound by N. Bjelica
7:52.0,,,66-62,,K. Towns misses 3-pt shot from 24 ft
7:47.0,Defensive rebound by J. McGee,,66-62,,
7:30.0,K. Durant misses 2-pt shot from 10 ft,,66-62,,
7:28.0,,,66-62,,Defensive rebound by K. Towns
7:19.0,,,66-62,,K. Towns misses 2-pt shot from 2 ft
7:17.0,Defensive rebound by K. Durant,,66-62,,
7:14.0,K. Thompson makes 2-pt shot from 1 ft (assist by K. Durant),2,68-62,,
7:13.0,,,68-62,,Minnesota full timeout
6:56.0,,,68-64,2,N. Bjelica makes 2-pt shot from 3 ft (assist by A. Wiggins)
