time,Indiana,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Turner (J. Green gains possession),,,,Jump ball: M. Gasol vs. M. Turner (J. Green gains possession)
11:47.0,,,0-0,,Turnover by J. Ennis (bad pass)
11:24.0,M. Turner makes 2-pt shot from 20 ft (assist by D. Collison),2,2-0,,
11:07.0,,,2-0,,M. Gasol misses 2-pt shot from 21 ft
11:05.0,Defensive rebound by V. Oladipo,,2-0,,
10:52.0,D. Collison misses 2-pt shot from 5 ft,,2-0,,
10:46.0,,,2-0,,Defensive rebound by J. Green
10:46.0,,,2-0,,Turnover by J. Green (bad pass; steal by T. Young)
10:41.0,D. Collison makes 3-pt shot from 26 ft (assist by B. Bogdanovic),3,5-0,,
10:24.0,,,5-2,2,M. Gasol makes 2-pt shot from 1 ft (assist by M. Chalmers)
10:13.0,Offensive foul by M. Turner (drawn by M. Chalmers),,5-2,,
10:13.0,Turnover by M. Turner (offensive foul),,5-2,,
10:03.0,,,5-2,,M. Gasol misses 2-pt shot from 10 ft
9:59.0,Defensive rebound by M. Turner,,5-2,,
9:49.0,B. Bogdanovic makes 2-pt shot at rim (assist by V. Oladipo),2,7-2,,
9:32.0,,,7-2,,D. Brooks misses 2-pt shot from 14 ft
9:29.0,Defensive rebound by V. Oladipo,,7-2,,
9:26.0,D. Collison misses 3-pt shot from 25 ft,,7-2,,
9:22.0,Offensive rebound by T. Young,,7-2,,
9:11.0,T. Young misses 2-pt shot from 17 ft,,7-2,,
9:08.0,,,7-2,,Defensive rebound by J. Ennis
8:54.0,,,7-2,,D. Brooks misses 3-pt shot from 26 ft
8:53.0,Defensive rebound by Team,,7-2,,
8:39.0,V. Oladipo misses 2-pt shot from 1 ft (block by D. Brooks),,7-2,,
8:36.0,,,7-2,,Defensive rebound by M. Gasol
8:32.0,,,7-4,2,J. Ennis makes 2-pt shot from 1 ft (assist by D. Brooks)
8:19.0,M. Turner makes 2-pt shot from 20 ft (assist by D. Collison),2,9-4,,
7:58.0,,,9-4,,M. Chalmers misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by M. Turner,,9-4,,
7:49.0,M. Turner misses 3-pt shot from 25 ft,,9-4,,
7:44.0,,,9-4,,Defensive rebound by D. Brooks
7:36.0,,,9-6,2,M. Gasol makes 2-pt shot at rim (assist by J. Ennis)
7:23.0,V. Oladipo misses 3-pt shot from 25 ft,,9-6,,
7:21.0,,,9-6,,Defensive rebound by M. Gasol
7:07.0,,,9-6,,J. Green misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by M. Turner,,9-6,,
6:58.0,T. Young makes 2-pt shot at rim (assist by V. Oladipo),2,11-6,,
6:47.0,,,11-6,,Turnover by M. Chalmers (bad pass)
6:47.0,,,11-6,,Memphis full timeout
6:24.0,V. Oladipo misses 2-pt shot from 16 ft,,11-6,,
6:22.0,,,11-6,,Defensive rebound by J. Green
6:08.0,,,11-8,2,D. Brooks makes 2-pt shot from 1 ft (assist by M. Gasol)
5:56.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by M. Turner),3,14-8,,
5:35.0,,,14-8,,D. Brooks misses 3-pt shot from 25 ft
5:31.0,Defensive rebound by T. Young,,14-8,,
5:18.0,T. Young misses 2-pt shot from 1 ft,,14-8,,
5:16.0,,,14-8,,Defensive rebound by M. Gasol
5:12.0,,,14-8,,M. Chalmers misses 2-pt shot from 5 ft
5:08.0,Defensive rebound by M. Turner,,14-8,,
4:56.0,,,14-8,,C. Parsons enters the game for J. Ennis
4:56.0,,,14-8,,T. Evans enters the game for J. Green
4:56.0,,,14-8,,W. Selden enters the game for M. Chalmers
4:56.0,D. Sabonis enters the game for T. Young,,14-8,,
4:52.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by M. Turner),2,16-8,,
4:44.0,,,16-8,,C. Parsons misses 3-pt shot from 26 ft
4:44.0,Defensive rebound by V. Oladipo,,16-8,,
4:37.0,D. Collison makes 3-pt shot from 26 ft (assist by D. Sabonis),3,19-8,,
4:15.0,,,19-8,,M. Gasol misses 2-pt shot from 6 ft
4:13.0,Defensive rebound by D. Sabonis,,19-8,,
4:07.0,Turnover by D. Collison (bad pass),,19-8,,
4:07.0,C. Joseph enters the game for D. Collison,,19-8,,
4:07.0,L. Stephenson enters the game for B. Bogdanovic,,19-8,,
3:55.0,,,19-10,2,M. Gasol makes 2-pt shot from 1 ft (assist by T. Evans)
3:37.0,Turnover by D. Sabonis (traveling),,19-10,,
3:25.0,,,19-12,2,M. Gasol makes 2-pt shot from 1 ft (assist by T. Evans)
3:09.0,,,19-12,,B. McLemore enters the game for D. Brooks
3:07.0,Jump ball: T. Evans vs. D. Sabonis (V. Oladipo gains possession),,,,Jump ball: T. Evans vs. D. Sabonis (V. Oladipo gains possession)
3:07.0,Indiana full timeout,,19-12,,
3:01.0,V. Oladipo makes 3-pt shot from 25 ft,3,22-12,,
2:42.0,,,22-15,3,C. Parsons makes 3-pt shot from 25 ft (assist by W. Selden)
2:27.0,L. Stephenson makes 2-pt shot from 22 ft (assist by C. Joseph),2,24-15,,
2:13.0,,,24-17,2,M. Gasol makes 2-pt shot from 1 ft (assist by W. Selden)
2:05.0,D. Sabonis makes 2-pt shot from 3 ft (assist by L. Stephenson),2,26-17,,
2:05.0,Shooting foul by B. McLemore (drawn by D. Sabonis),,26-17,,
2:05.0,D. Collison enters the game for V. Oladipo,,26-17,,
2:05.0,T. Leaf enters the game for M. Turner,,26-17,,
2:05.0,D. Sabonis makes free throw 1 of 1,1,27-17,,
1:54.0,,,27-19,2,C. Parsons makes 2-pt shot from 1 ft (assist by W. Selden)
1:54.0,,,27-19,,Shooting foul by C. Joseph (drawn by C. Parsons)
1:54.0,,,27-19,,C. Parsons misses free throw 1 of 1
1:50.0,Defensive rebound by D. Sabonis,,27-19,,
1:44.0,C. Joseph makes 3-pt shot from 25 ft (assist by L. Stephenson),3,30-19,,
1:25.0,,,30-21,2,M. Gasol makes 2-pt shot from 9 ft (assist by C. Parsons)
1:16.0,Turnover by L. Stephenson (bad pass; steal by W. Selden),,30-21,,
1:14.0,,,30-21,,Turnover by W. Selden (bad pass)
0:55.0,L. Stephenson misses 2-pt shot from 1 ft (block by T. Evans),,30-21,,
0:55.0,Offensive rebound by Team,,30-21,,
0:51.0,D. Sabonis makes 2-pt shot from 13 ft,2,32-21,,
0:30.0,,,32-21,,Shooting foul by L. Stephenson (drawn by T. Evans)
0:30.0,,,32-22,1,T. Evans makes free throw 1 of 3
0:30.0,,,32-23,1,T. Evans makes free throw 2 of 3
0:30.0,,,32-23,,B. Wright enters the game for M. Gasol
0:30.0,,,32-23,,T. Evans misses free throw 3 of 3
0:29.0,Defensive rebound by L. Stephenson,,32-23,,
0:13.0,Shooting foul by B. Wright (drawn by D. Collison),,32-23,,
0:13.0,D. Collison makes free throw 1 of 2,1,33-23,,
0:13.0,D. Collison makes free throw 2 of 2,1,34-23,,
0:03.0,,,34-25,2,T. Evans makes 2-pt shot from 1 ft
0:01.0,C. Joseph misses 2-pt shot from 20 ft,,34-25,,
0:00.0,Offensive rebound by Team,,34-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,C. Joseph misses 3-pt shot from 25 ft,,34-25,,
11:42.0,Offensive rebound by L. Stephenson,,34-25,,
11:39.0,Turnover by L. Stephenson (bad pass; steal by B. Wright),,34-25,,
11:24.0,,,34-25,,B. McLemore misses 3-pt shot from 22 ft
11:21.0,Defensive rebound by D. Collison,,34-25,,
11:11.0,D. Sabonis misses 2-pt shot from 9 ft,,34-25,,
11:07.0,,,34-25,,Defensive rebound by B. Wright
10:57.0,,,34-27,2,B. Wright makes 2-pt shot from 1 ft (assist by T. Evans)
10:34.0,L. Stephenson misses 2-pt shot from 10 ft,,34-27,,
10:31.0,,,34-27,,Defensive rebound by T. Evans
10:28.0,,,34-29,2,B. McLemore makes 2-pt shot at rim (assist by T. Evans)
10:04.0,T. Leaf makes 3-pt shot from 24 ft (assist by C. Joseph),3,37-29,,
9:45.0,,,37-29,,B. McLemore misses 3-pt shot from 23 ft
9:44.0,Defensive rebound by D. Sabonis,,37-29,,
9:33.0,L. Stephenson makes 2-pt shot from 18 ft (assist by D. Sabonis),2,39-29,,
