time,Detroit,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Drummond (R. Jackson gains possession),,,,Jump ball: A. Horford vs. A. Drummond (R. Jackson gains possession)
11:44.0,A. Bradley makes 2-pt shot from 16 ft (assist by A. Drummond),2,2-0,,
11:29.0,Violation by A. Drummond (kicked ball),,2-0,,
11:23.0,,,2-0,,Turnover by K. Irving (bad pass; steal by A. Drummond)
11:20.0,Turnover by A. Drummond (bad pass),,2-0,,
11:07.0,,,2-2,2,A. Horford makes 2-pt shot from 17 ft (assist by K. Irving)
10:50.0,T. Harris misses 2-pt shot from 2 ft,,2-2,,
10:46.0,,,2-2,,Defensive rebound by M. Morris
10:43.0,,,2-4,2,K. Irving makes 2-pt shot at rim
10:30.0,A. Drummond makes 2-pt shot from 1 ft (assist by A. Bradley),2,4-4,,
10:18.0,,,4-4,,J. Brown misses 3-pt shot from 24 ft
10:15.0,Defensive rebound by A. Drummond,,4-4,,
10:08.0,T. Harris misses 2-pt shot from 13 ft (block by M. Morris),,4-4,,
10:04.0,Offensive rebound by T. Harris,,4-4,,
10:03.0,T. Harris makes 3-pt shot from 27 ft,3,7-4,,
9:47.0,,,7-4,,K. Irving misses 2-pt shot from 19 ft
9:44.0,Defensive rebound by A. Drummond,,7-4,,
9:35.0,S. Johnson misses 3-pt shot from 26 ft,,7-4,,
9:32.0,,,7-4,,Defensive rebound by J. Brown
9:21.0,,,7-4,,J. Tatum misses 3-pt shot from 24 ft
9:19.0,Defensive rebound by A. Drummond,,7-4,,
9:06.0,R. Jackson makes 3-pt shot from 24 ft (assist by A. Bradley),3,10-4,,
9:06.0,,,10-4,,Boston full timeout
8:52.0,,,10-6,2,M. Morris makes 2-pt shot at rim (assist by J. Tatum)
8:36.0,A. Drummond makes 2-pt shot from 2 ft (assist by A. Bradley),2,12-6,,
8:18.0,,,12-6,,K. Irving misses 2-pt shot from 2 ft
8:16.0,Defensive rebound by T. Harris,,12-6,,
8:12.0,,,12-6,,Personal foul by M. Morris (drawn by A. Drummond)
8:05.0,S. Johnson misses 3-pt shot from 27 ft,,12-6,,
8:03.0,,,12-6,,Defensive rebound by K. Irving
7:51.0,,,12-6,,M. Morris misses 2-pt shot from 19 ft
7:48.0,Defensive rebound by A. Drummond,,12-6,,
7:38.0,A. Bradley makes 2-pt shot from 13 ft (assist by R. Jackson),2,14-6,,
7:19.0,,,14-6,,J. Brown misses 2-pt shot from 8 ft
7:16.0,Defensive rebound by A. Drummond,,14-6,,
7:10.0,Turnover by A. Bradley (bad pass),,14-6,,
6:55.0,,,14-6,,Turnover by K. Irving (turnover)
6:55.0,,,14-6,,A. Baynes enters the game for M. Morris
6:38.0,T. Harris makes 2-pt shot from 7 ft,2,16-6,,
6:20.0,,,16-6,,A. Horford misses 3-pt shot from 26 ft
6:18.0,,,16-6,,Offensive rebound by Team
6:08.0,,,16-6,,J. Brown misses 2-pt shot from 9 ft
6:06.0,,,16-6,,Offensive rebound by A. Baynes
6:04.0,,,16-8,2,A. Baynes makes 2-pt shot at rim
5:50.0,A. Bradley makes 2-pt shot from 3 ft (assist by A. Drummond),2,18-8,,
5:33.0,,,18-10,2,K. Irving makes 2-pt shot from 4 ft
5:12.0,A. Drummond makes 2-pt shot from 8 ft,2,20-10,,
4:59.0,Personal foul by A. Bradley (drawn by K. Irving),,20-10,,
4:59.0,,,20-10,,M. Smart enters the game for K. Irving
4:52.0,,,20-12,2,J. Brown makes 2-pt shot from 5 ft
4:52.0,,,20-12,,Shooting foul by R. Jackson (drawn by J. Brown)
4:52.0,,,20-12,,J. Brown misses free throw 1 of 1
4:50.0,Defensive rebound by A. Drummond,,20-12,,
4:44.0,R. Jackson makes 2-pt shot from 2 ft,2,22-12,,
4:30.0,,,22-12,,A. Horford misses 2-pt shot from 7 ft
4:30.0,Defensive rebound by A. Drummond,,22-12,,
4:15.0,S. Johnson misses 2-pt shot from 9 ft,,22-12,,
4:15.0,,,22-12,,Defensive rebound by J. Brown
4:06.0,,,22-14,2,A. Baynes makes 2-pt shot from 1 ft (assist by M. Smart)
3:53.0,T. Harris misses 2-pt shot from 5 ft,,22-14,,
3:53.0,Offensive rebound by T. Harris,,22-14,,
3:44.0,S. Johnson makes 3-pt shot from 27 ft (assist by R. Jackson),3,25-14,,
3:23.0,,,25-17,3,J. Brown makes 3-pt shot from 23 ft (assist by M. Smart)
3:06.0,A. Bradley misses 2-pt shot from 1 ft (block by J. Tatum),,25-17,,
3:04.0,,,25-17,,Defensive rebound by A. Horford
2:54.0,,,25-17,,M. Smart misses 2-pt shot from 17 ft
2:51.0,,,25-17,,Offensive rebound by A. Baynes
2:49.0,,,25-17,,J. Brown misses 3-pt shot from 23 ft
2:49.0,Defensive rebound by A. Drummond,,25-17,,
