time,New Orleans,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. A. Davis (T. Young gains possession),,,,Jump ball: M. Turner vs. A. Davis (T. Young gains possession)
11:43.0,,,0-0,,M. Turner misses 2-pt shot from 16 ft
11:40.0,Defensive rebound by J. Holiday,,0-0,,
11:33.0,,,0-0,,Personal foul by M. Turner (drawn by D. Cousins)
11:21.0,E. Moore misses 2-pt shot at rim,,0-0,,
11:19.0,Offensive rebound by E. Moore,,0-0,,
11:18.0,E. Moore makes 2-pt shot from 1 ft,2,2-0,,
11:07.0,Personal foul by D. Cousins (drawn by B. Bogdanovic),,2-0,,
10:58.0,,,2-0,,M. Turner misses 2-pt shot from 11 ft
10:55.0,Defensive rebound by A. Davis,,2-0,,
10:45.0,D. Cousins makes 3-pt shot from 27 ft (assist by E. Moore),2,5-0,,
10:28.0,,,5-0,,V. Oladipo misses 2-pt shot from 18 ft
10:27.0,,,5-0,,Offensive rebound by M. Turner
10:17.0,,,5-2,2,B. Bogdanovic makes 2-pt shot from 16 ft
9:51.0,D. Cousins misses 2-pt shot from 13 ft,,5-2,,
9:48.0,Offensive rebound by A. Davis,,5-2,,
9:46.0,A. Davis makes 2-pt shot from 9 ft,2,7-2,,
9:29.0,,,7-4,2,T. Young makes 2-pt shot from 8 ft
9:15.0,J. Holiday misses 2-pt shot from 8 ft,,7-4,,
9:12.0,,,7-4,,Defensive rebound by M. Turner
9:03.0,,,7-7,3,T. Young makes 3-pt shot from 26 ft (assist by V. Oladipo)
8:51.0,Turnover by J. Holiday (step out of bounds),,7-7,,
8:35.0,,,7-7,,M. Turner misses 3-pt shot from 27 ft
8:31.0,,,7-7,,Offensive rebound by T. Young
8:30.0,,,7-7,,D. Collison misses 3-pt shot from 26 ft
8:26.0,Defensive rebound by A. Davis,,7-7,,
8:19.0,A. Davis makes 3-pt shot from 26 ft (assist by D. Cousins),3,10-7,,
8:02.0,,,10-9,2,B. Bogdanovic makes 2-pt shot at rim
7:53.0,D. Cousins misses 2-pt shot from 6 ft (block by M. Turner),,10-9,,
