time,LA Clippers,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Labissiere vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: S. Labissiere vs. D. Jordan (B. Griffin gains possession)
11:39.0,A. Rivers misses 3-pt shot from 25 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by Z. Randolph
11:25.0,,,0-0,,Turnover by D. Fox (bad pass; steal by A. Rivers)
11:20.0,L. Williams misses 2-pt shot from 2 ft,,0-0,,
11:15.0,Offensive rebound by B. Griffin,,0-0,,
11:15.0,B. Griffin makes 2-pt shot at rim,2,2-0,,
11:13.0,,,2-0,,D. Fox misses 2-pt shot from 2 ft (block by D. Jordan)
11:13.0,,,2-0,,Offensive rebound by Team
11:03.0,,,2-3,3,G. Hill makes 3-pt shot from 23 ft (assist by D. Fox)
10:36.0,W. Johnson misses 2-pt shot from 20 ft,,2-3,,
10:34.0,,,2-3,,Defensive rebound by Z. Randolph
10:24.0,,,2-3,,Shooting foul by B. Griffin (drawn by S. Labissiere)
10:24.0,,,2-4,1,S. Labissiere makes free throw 1 of 2
10:24.0,,,2-5,1,S. Labissiere makes free throw 2 of 2
10:10.0,B. Griffin makes 2-pt shot from 2 ft,2,4-5,,
10:00.0,,,4-8,3,S. Labissiere makes 3-pt shot from 24 ft (assist by G. Hill)
9:56.0,Turnover by L. Williams (bad pass),,4-8,,
9:46.0,,,4-10,2,D. Fox makes 2-pt shot from 14 ft
9:30.0,Turnover by D. Jordan (bad pass; steal by D. Fox),,4-10,,
9:21.0,,,4-12,2,S. Labissiere makes 2-pt shot from 15 ft
9:20.0,LA Clippers full timeout,,4-12,,
9:06.0,B. Griffin misses 3-pt shot from 23 ft,,4-12,,
9:02.0,,,4-12,,Defensive rebound by D. Fox
8:47.0,,,4-14,2,Z. Randolph makes 2-pt shot from 16 ft
8:33.0,D. Jordan makes 2-pt shot from 2 ft (assist by A. Rivers),2,6-14,,
8:10.0,,,6-17,3,Z. Randolph makes 3-pt shot from 24 ft (assist by G. Hill)
7:58.0,,,6-17,,Personal foul by Z. Randolph (drawn by B. Griffin)
7:50.0,Turnover by L. Williams (bad pass),,6-17,,
7:41.0,,,6-17,,D. Fox misses 2-pt shot from 14 ft
7:40.0,,,6-17,,Offensive rebound by Team
