time,San Antonio,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. P. Gasol (T. Parker gains possession),,,,Jump ball: C. Capela vs. P. Gasol (T. Parker gains possession)
11:44.0,L. Aldridge misses 2-pt shot from 9 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by J. Harden
11:35.0,,,0-0,,Turnover by J. Harden (bad pass; steal by L. Aldridge)
11:24.0,L. Aldridge misses 2-pt shot from 21 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by T. Ariza
11:16.0,,,0-3,3,T. Ariza makes 3-pt shot from 25 ft (assist by C. Paul)
10:59.0,T. Parker misses 3-pt shot from 22 ft,,0-3,,
10:55.0,Offensive rebound by D. Green,,0-3,,
10:46.0,K. Leonard makes 2-pt shot from 16 ft,2,2-3,,
10:22.0,,,2-3,,Shooting foul by T. Parker (drawn by J. Harden)
10:22.0,,,2-4,1,J. Harden makes free throw 1 of 3
10:22.0,,,2-5,1,J. Harden makes free throw 2 of 3
10:22.0,,,2-6,1,J. Harden makes free throw 3 of 3
10:03.0,Turnover by K. Leonard (bad pass; steal by R. Anderson),,2-6,,
9:59.0,,,2-6,,J. Harden misses 2-pt shot from 2 ft (block by K. Leonard)
9:59.0,,,2-6,,Offensive rebound by Team
9:57.0,,,2-6,,T. Ariza misses 3-pt shot from 25 ft
9:53.0,,,2-6,,Offensive rebound by C. Capela
9:49.0,,,2-9,3,C. Paul makes 3-pt shot from 23 ft
9:29.0,P. Gasol misses 2-pt shot from 11 ft,,2-9,,
9:27.0,,,2-9,,Defensive rebound by C. Capela
9:25.0,,,2-9,,Turnover by C. Paul (lost ball; steal by D. Green)
9:21.0,D. Green makes 2-pt shot from 1 ft,2,4-9,,
9:09.0,,,4-9,,Turnover by C. Paul (bad pass; steal by K. Leonard)
9:04.0,K. Leonard makes 2-pt shot from 10 ft,2,6-9,,
8:41.0,,,6-9,,R. Anderson misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by K. Leonard,,6-9,,
8:24.0,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Gasol),2,8-9,,
8:10.0,,,8-9,,T. Ariza misses 3-pt shot from 23 ft
8:08.0,Defensive rebound by P. Gasol,,8-9,,
7:51.0,Turnover by T. Parker (bad pass; steal by R. Anderson),,8-9,,
7:42.0,,,8-12,3,C. Paul makes 3-pt shot from 25 ft
7:42.0,San Antonio full timeout,,8-12,,
7:23.0,Turnover by D. Green (bad pass),,8-12,,
7:15.0,,,8-12,,C. Paul misses 2-pt shot from 10 ft
7:12.0,Defensive rebound by T. Parker,,8-12,,
7:05.0,,,8-12,,E. Gordon enters the game for C. Paul
7:05.0,B. Forbes enters the game for K. Leonard,,8-12,,
7:03.0,D. Green misses 3-pt shot from 25 ft,,8-12,,
6:58.0,Offensive rebound by L. Aldridge,,8-12,,
6:56.0,L. Aldridge makes 2-pt shot from 1 ft,2,10-12,,
6:43.0,,,10-12,,T. Ariza misses 3-pt shot from 25 ft
6:41.0,,,10-12,,Offensive rebound by Team
6:41.0,Loose ball foul by B. Forbes (drawn by R. Anderson),,10-12,,
6:35.0,,,10-14,2,J. Harden makes 2-pt shot at rim (assist by C. Capela)
6:14.0,P. Gasol misses 2-pt shot from 7 ft,,10-14,,
6:12.0,Offensive rebound by L. Aldridge,,10-14,,
6:12.0,L. Aldridge makes 2-pt shot at rim,2,12-14,,
5:51.0,,,12-17,3,R. Anderson makes 3-pt shot from 24 ft (assist by T. Ariza)
5:24.0,L. Aldridge misses 3-pt shot from 26 ft,,12-17,,
5:21.0,,,12-17,,Defensive rebound by C. Capela
5:17.0,Personal foul by P. Gasol (drawn by C. Capela),,12-17,,
5:17.0,,,12-17,,P. Tucker enters the game for R. Anderson
5:17.0,P. Mills enters the game for T. Parker,,12-17,,
5:17.0,M. Ginobili enters the game for D. Green,,12-17,,
5:13.0,,,12-17,,Shooting foul by B. Forbes (drawn by J. Harden)
5:13.0,,,12-18,1,J. Harden makes free throw 1 of 3
5:13.0,,,12-19,1,J. Harden makes free throw 2 of 3
5:13.0,,,12-19,,N. Hilario enters the game for C. Capela
5:13.0,B. Paul enters the game for B. Forbes,,12-19,,
5:13.0,R. Gay enters the game for P. Gasol,,12-19,,
5:13.0,,,12-20,1,J. Harden makes free throw 3 of 3
5:00.0,Turnover by M. Ginobili (bad pass; steal by N. Hilario),,12-20,,
4:47.0,,,12-20,,Shooting foul by R. Gay (drawn by E. Gordon)
4:47.0,,,12-20,,E. Gordon misses free throw 1 of 2
4:47.0,,,12-20,,Offensive rebound by Team
4:47.0,D. Bertans enters the game for R. Gay,,12-20,,
4:47.0,,,12-21,1,E. Gordon makes free throw 2 of 2
4:36.0,L. Aldridge misses 2-pt shot from 11 ft,,12-21,,
4:33.0,,,12-21,,Defensive rebound by T. Ariza
4:30.0,Personal foul by B. Paul (drawn by J. Harden),,12-21,,
4:30.0,,,12-21,,J. Harden misses free throw 1 of 2
4:30.0,,,12-21,,Offensive rebound by Team
4:30.0,R. Gay enters the game for D. Bertans,,12-21,,
4:30.0,,,12-22,1,J. Harden makes free throw 2 of 2
4:20.0,R. Gay misses 3-pt shot from 25 ft,,12-22,,
4:16.0,,,12-22,,Defensive rebound by T. Ariza
4:11.0,,,12-22,,J. Harden misses 3-pt shot from 24 ft
4:10.0,Defensive rebound by Team,,12-22,,
3:51.0,L. Aldridge makes 2-pt shot from 13 ft (assist by M. Ginobili),2,14-22,,
3:41.0,,,14-22,,Turnover by J. Harden (bad pass)
3:29.0,R. Gay misses 2-pt shot from 16 ft,,14-22,,
3:25.0,,,14-22,,Defensive rebound by J. Harden
3:17.0,,,14-25,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
2:55.0,M. Ginobili makes 2-pt shot from 2 ft (assist by L. Aldridge),2,16-25,,
2:55.0,Shooting foul by N. Hilario (drawn by M. Ginobili),,16-25,,
2:55.0,,,16-25,,Houston full timeout
2:55.0,,,16-25,,C. Paul enters the game for T. Ariza
2:55.0,P. Gasol enters the game for B. Paul,,16-25,,
2:55.0,K. Leonard enters the game for L. Aldridge,,16-25,,
2:55.0,M. Ginobili misses free throw 1 of 1,,16-25,,
2:55.0,,,16-25,,Defensive rebound by J. Harden
2:43.0,,,16-25,,E. Gordon misses 3-pt shot from 26 ft (block by K. Leonard)
2:39.0,Defensive rebound by R. Gay,,16-25,,
2:35.0,P. Gasol misses 2-pt shot from 23 ft,,16-25,,
2:32.0,,,16-25,,Defensive rebound by J. Harden
2:25.0,,,16-25,,N. Hilario misses 2-pt shot from 3 ft (block by P. Gasol)
2:20.0,Defensive rebound by K. Leonard,,16-25,,
2:19.0,Turnover by K. Leonard (bad pass; steal by C. Paul),,16-25,,
2:16.0,,,16-25,,Houston full timeout
1:54.0,,,16-27,2,P. Tucker makes 2-pt shot at rim (assist by C. Paul)
1:29.0,Turnover by M. Ginobili (bad pass; steal by C. Paul),,16-27,,
1:19.0,,,16-27,,Shooting foul by M. Ginobili (drawn by J. Harden)
1:19.0,,,16-27,,J. Harden misses free throw 1 of 2
1:19.0,,,16-27,,Offensive rebound by Team
1:19.0,,,16-28,1,J. Harden makes free throw 2 of 2
1:02.0,K. Leonard misses 2-pt shot from 11 ft,,16-28,,
1:00.0,,,16-28,,Defensive rebound by C. Paul
0:57.0,,,16-28,,J. Harden misses 3-pt shot from 24 ft
0:53.0,,,16-28,,Offensive rebound by N. Hilario
0:50.0,,,16-31,3,P. Tucker makes 3-pt shot from 24 ft (assist by N. Hilario)
0:32.0,R. Gay misses 2-pt shot from 9 ft,,16-31,,
0:31.0,Offensive rebound by Team,,16-31,,
0:31.0,,,16-31,,Loose ball foul by N. Hilario (drawn by P. Gasol)
0:29.0,P. Mills misses 3-pt shot from 28 ft,,16-31,,
0:26.0,,,16-31,,Defensive rebound by N. Hilario
0:05.0,,,16-31,,J. Harden misses 3-pt shot from 28 ft
0:02.0,Defensive rebound by Team,,16-31,,
0:00.0,M. Ginobili misses 3-pt shot from 28 ft,,16-31,,
0:00.0,Offensive rebound by Team,,16-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,16-33,2,E. Gordon makes 2-pt shot from 11 ft (assist by C. Paul)
11:28.0,Turnover by M. Ginobili (bad pass; steal by T. Ariza),,16-33,,
