time,Phoenix,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. A. Len (T. Warren gains possession),,,,Jump ball: R. Gobert vs. A. Len (T. Warren gains possession)
11:42.0,T. Warren misses 2-pt shot from 14 ft,,0-0,,
11:38.0,Offensive rebound by A. Len,,0-0,,
11:33.0,D. Booker misses 2-pt shot from 9 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by D. Favors
11:21.0,,,0-2,2,R. Gobert makes 2-pt shot from 3 ft (assist by D. Favors)
11:21.0,,,0-2,,Shooting foul by D. Bender (drawn by R. Gobert)
11:21.0,,,0-3,1,R. Gobert makes free throw 1 of 1
11:04.0,D. Booker makes 2-pt shot from 11 ft,2,2-3,,
10:44.0,,,2-3,,Turnover by D. Mitchell (lost ball; steal by D. Bender)
10:41.0,Shooting foul by R. Rubio (drawn by T. Warren),,2-3,,
10:41.0,T. Warren makes free throw 1 of 2,1,3-3,,
10:41.0,T. Warren makes free throw 2 of 2,1,4-3,,
10:28.0,,,4-6,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Rubio)
10:10.0,A. Len misses 2-pt shot from 12 ft,,4-6,,
10:07.0,,,4-6,,Defensive rebound by D. Mitchell
10:02.0,,,4-6,,Shooting foul by A. Len (drawn by D. Mitchell)
10:02.0,,,4-6,,D. Mitchell misses free throw 1 of 2
10:02.0,,,4-6,,Offensive rebound by Team
10:02.0,,,4-7,1,D. Mitchell makes free throw 2 of 2
9:43.0,D. Booker misses 2-pt shot from 1 ft,,4-7,,
9:41.0,,,4-7,,Defensive rebound by J. Ingles
9:32.0,Violation by D. Booker (kicked ball),,4-7,,
9:23.0,,,4-9,2,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio)
9:02.0,T. Warren makes 2-pt shot from 7 ft,2,6-9,,
8:49.0,,,6-11,2,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio)
8:39.0,E. Payton makes 2-pt shot at rim,2,8-11,,
8:25.0,Violation by D. Bender (kicked ball),,8-11,,
8:13.0,,,8-11,,R. Rubio misses 3-pt shot from 25 ft
8:10.0,Defensive rebound by D. Booker,,8-11,,
7:55.0,T. Warren makes 2-pt shot from 1 ft (assist by D. Booker),2,10-11,,
7:29.0,,,10-11,,D. Mitchell misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by D. Bender,,10-11,,
7:15.0,E. Payton misses 2-pt shot from 11 ft,,10-11,,
7:12.0,,,10-11,,Defensive rebound by R. Rubio
7:05.0,,,10-13,2,R. Rubio makes 2-pt shot from 3 ft
7:01.0,Turnover by A. Len (bad pass; steal by R. Rubio),,10-13,,
6:47.0,,,10-13,,Turnover by D. Favors (bad pass; steal by T. Warren)
6:47.0,,,10-13,,Personal foul by J. Ingles (drawn by D. Booker)
6:47.0,,,10-13,,Utah full timeout
6:37.0,D. Booker makes 3-pt shot from 25 ft,3,13-13,,
6:13.0,,,13-13,,D. Favors misses 3-pt shot from 23 ft
6:09.0,Defensive rebound by A. Len,,13-13,,
5:51.0,Turnover by D. Booker (bad pass; steal by D. Favors),,13-13,,
5:39.0,,,13-15,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
5:20.0,Turnover by A. Len (offensive goaltending),,13-15,,
5:19.0,,,13-15,,J. Crowder enters the game for D. Favors
5:19.0,M. Chriss enters the game for A. Len,,13-15,,
5:11.0,Personal foul by T. Warren (drawn by J. Ingles),,13-15,,
5:02.0,,,13-15,,J. Ingles misses 2-pt shot from 10 ft
4:59.0,Defensive rebound by T. Warren,,13-15,,
4:48.0,D. Bender misses 3-pt shot from 24 ft,,13-15,,
4:46.0,,,13-15,,Defensive rebound by J. Ingles
4:28.0,,,13-15,,R. Gobert misses 2-pt shot from 8 ft
4:26.0,Defensive rebound by D. Booker,,13-15,,
4:19.0,D. Booker misses 2-pt shot from 19 ft,,13-15,,
4:16.0,,,13-15,,Defensive rebound by R. Gobert
4:01.0,,,13-15,,J. Crowder misses 3-pt shot from 23 ft
3:57.0,,,13-15,,Offensive rebound by R. Rubio
3:55.0,,,13-15,,J. Crowder misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by Team,,13-15,,
3:54.0,,,13-15,,Loose ball foul by R. Gobert (drawn by M. Chriss)
3:54.0,,,13-15,,J. Jerebko enters the game for J. Ingles
3:54.0,J. Jackson enters the game for D. Booker,,13-15,,
3:43.0,Turnover by E. Payton (step out of bounds),,13-15,,
3:32.0,,,13-15,,R. Rubio misses 2-pt shot from 1 ft
3:31.0,,,13-15,,Offensive rebound by R. Gobert
3:31.0,,,13-15,,Shooting foul by M. Chriss (drawn by R. Gobert)
3:31.0,,,13-16,1,R. Gobert makes free throw 1 of 2
3:31.0,,,13-16,,R. O'Neale enters the game for R. Rubio
3:31.0,,,13-17,1,R. Gobert makes free throw 2 of 2
3:21.0,J. Jackson makes 2-pt shot from 11 ft,2,15-17,,
3:08.0,,,15-17,,J. Crowder misses 2-pt shot from 18 ft
3:03.0,Defensive rebound by J. Jackson,,15-17,,
2:58.0,J. Jackson misses 2-pt shot from 11 ft (block by R. O'Neale),,15-17,,
2:58.0,,,15-17,,Defensive rebound by J. Crowder
2:50.0,,,15-19,2,J. Jerebko makes 2-pt shot from 1 ft (assist by D. Mitchell)
2:36.0,T. Warren misses 2-pt shot from 17 ft,,15-19,,
2:33.0,,,15-19,,Defensive rebound by R. Gobert
2:25.0,,,15-19,,D. Mitchell misses 2-pt shot from 4 ft
2:22.0,Defensive rebound by J. Jackson,,15-19,,
2:20.0,T. Warren misses 2-pt shot at rim,,15-19,,
2:18.0,,,15-19,,Defensive rebound by J. Crowder
2:11.0,,,15-19,,J. Jerebko misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by J. Jackson,,15-19,,
1:53.0,J. Jackson makes 2-pt shot from 10 ft,2,17-19,,
1:27.0,,,17-19,,D. Mitchell misses 3-pt shot from 26 ft
1:23.0,Defensive rebound by J. Jackson,,17-19,,
1:20.0,M. Chriss makes 2-pt shot from 2 ft (assist by J. Jackson),2,19-19,,
1:16.0,,,19-19,,Utah full timeout
1:16.0,,,19-19,,D. Favors enters the game for R. Gobert
1:16.0,,,19-19,,D. Exum enters the game for D. Mitchell
1:16.0,S. Harrison enters the game for E. Payton,,19-19,,
1:16.0,J. Dudley enters the game for T. Warren,,19-19,,
1:16.0,D. Booker enters the game for D. Bender,,19-19,,
1:04.0,,,19-19,,D. Favors misses 2-pt shot from 18 ft
1:02.0,Defensive rebound by Team,,19-19,,
0:51.0,J. Dudley makes 3-pt shot from 26 ft (assist by S. Harrison),3,22-19,,
0:38.0,,,22-19,,J. Jerebko misses 3-pt shot from 23 ft
0:35.0,Defensive rebound by M. Chriss,,22-19,,
0:23.0,Shooting foul by D. Favors (drawn by S. Harrison),,22-19,,
0:23.0,S. Harrison misses free throw 1 of 2,,22-19,,
0:23.0,Offensive rebound by Team,,22-19,,
0:23.0,S. Harrison makes free throw 2 of 2,1,23-19,,
0:08.0,Personal foul by S. Harrison (drawn by D. Exum),,23-19,,
0:08.0,,,23-19,,D. Exum misses free throw 1 of 2
0:08.0,,,23-19,,Offensive rebound by Team
0:08.0,,,23-20,1,D. Exum makes free throw 2 of 2
0:01.0,D. Booker misses 2-pt shot from 14 ft,,23-20,,
0:01.0,Offensive rebound by Team,,23-20,,
